,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1401,Ivan Rakitić,"2,233",3,55,86.2,52.5,39.3,1192,26,32,2020-2021,32,hr CRO,Sevilla,es La Liga,37,"2,233",24.8,25,12,0,4,2,6,2,2,2,0,1480,1717,86.2,25,149,10,1,167,25592,6345,722,778,92.8,543,600,90.5,167,247,67.6,55,48,4,0,1,2,0,3,3,0,0,0,0,0,1192,5401,2607,34,29,2,32,16,1510,55,28,11,39.3,17,60.7,32,18,18,10,4,12,41,29.3,29,19,4,15,26,58,29,1,31,28,52.5,MF
1402,João Félix,"1,572",11,46,82.3,40.4,50,578,5,8,2020-2021,20,pt POR,Atlético Madrid,es La Liga,31,"1,572",17.5,14,17,0,7,5,12,6,1,2,1,567,689,82.3,21,55,16,0,73,7174,2182,357,397,89.9,108,136,79.4,36,51,70.6,46,32,0,5,5,4,0,11,8,0,1,1,1,0,578,3145,1640,49,54,10,40,34,749,94,60,30,50,30,50,8,4,1,6,1,4,17,23.5,13,3,0,3,5,13,2,0,21,31,40.4,"FW,MF"
1403,Mikel Oyarzabal,"2,408",16,103,68.8,29.5,46,685,15,30,2020-2021,23,es ESP,Real Sociedad,es La Liga,33,"2,408",26.8,30,3,0,11,8,19,5,6,7,1,673,978,68.8,51,36,40,6,89,10783,2762,352,429,82.1,209,282,74.1,67,160,41.9,103,57,29,4,7,4,2,16,10,3,0,3,0,0,685,3582,1640,46,37,18,45,42,831,186,50,23,46,27,54,30,17,14,12,4,10,31,32.3,21,30,5,25,15,45,17,0,18,43,29.5,"FW,MF"
1404,Jota,668,2,16,69.7,22.2,69.6,179,6,7,2020-2021,21,pt POR,Valladolid,es La Liga,17,668,7.4,7,10,9,1,0,1,1,0,0,0,147,211,69.7,2,5,1,0,14,2183,355,86,106,81.1,45,59,76.3,10,26,38.5,16,9,0,2,4,1,0,2,1,0,0,1,0,0,179,1358,636,20,18,6,11,5,197,50,23,16,69.6,7,30.4,7,3,1,4,2,5,10,50,5,4,0,4,6,13,5,1,2,7,22.2,"MF,FW"
1405,Ángel Rodríguez,"1,374",2,31,65.8,29.3,42.3,278,2,7,2020-2021,33,es ESP,Getafe,es La Liga,33,"1,374",15.3,12,21,4,5,0,5,4,1,2,1,198,301,65.8,6,8,3,1,15,2668,351,114,150,76,49,77,63.6,15,27,55.6,31,19,0,3,4,5,0,2,1,0,0,0,1,0,278,1389,433,23,14,10,54,25,364,94,26,11,42.3,15,57.7,7,4,1,4,2,1,16,6.3,15,7,0,7,2,9,8,0,22,53,29.3,"FW,MF"
1406,Carlos Neva,"1,797",2,18,67.1,32.6,71.4,289,27,12,2020-2021,24,es ESP,Granada,es La Liga,22,"1,797",20,21,1,4,0,0,0,0,0,0,0,421,627,67.1,6,34,7,6,34,6605,2782,227,262,86.6,155,234,66.2,26,75,34.7,18,12,3,0,2,1,0,2,1,1,0,0,0,0,289,1381,679,17,10,3,12,7,320,54,7,5,71.4,2,28.6,12,6,6,6,0,6,11,54.5,5,16,4,12,27,39,58,0,15,31,32.6,DF
1407,Ximo Navarro,"2,375",4,30,74.5,35.2,55.2,615,47,54,2020-2021,30,es ESP,Alavés,es La Liga,31,"2,375",26.4,28,3,4,1,1,2,1,0,0,0,802,1077,74.5,8,54,12,8,59,14278,5611,365,442,82.6,330,430,76.7,92,157,58.6,30,19,6,2,1,2,0,4,1,1,1,0,1,0,615,3897,1653,28,31,1,27,19,610,27,29,16,55.2,13,44.8,54,30,36,17,1,14,30,46.7,16,14,4,10,47,101,75,3,19,35,35.2,DF
1408,Francisco Portillo,418,1,13,72.1,6.3,37.5,198,5,5,2020-2021,30,es ESP,Getafe,es La Liga,16,418,4.6,3,13,19,0,1,1,0,0,0,0,196,272,72.1,5,27,8,2,35,2869,965,107,125,85.6,70,87,80.5,10,24,41.7,13,11,0,1,0,1,0,1,1,0,0,0,0,0,198,916,403,8,4,1,9,7,232,29,16,6,37.5,10,62.5,5,3,1,4,0,2,14,14.3,12,3,0,3,5,10,1,0,1,15,6.3,"MF,FW"
1409,Toni Lato,728,1,8,76.2,42.1,42.9,228,10,13,2020-2021,22,es ESP,Valencia,es La Liga,15,728,8.1,8,7,19,1,0,1,1,0,0,0,276,362,76.2,3,20,2,2,19,4642,1427,117,136,86,132,160,82.5,22,50,44,8,5,2,1,0,0,0,1,0,0,1,0,0,0,228,789,361,6,3,1,6,4,236,30,7,3,42.9,4,57.1,13,6,7,3,3,6,13,46.2,7,12,1,11,10,23,21,0,8,11,42.1,DF
1410,Ander Guevara,"2,081",4,36,82.6,50,87.5,950,25,35,2020-2021,23,es ESP,Real Sociedad,es La Liga,31,"2,081",23.1,25,6,7,1,1,2,1,0,0,0,1175,1423,82.6,14,109,9,1,140,20240,5719,537,621,86.5,483,562,85.9,123,167,73.7,36,33,0,1,1,0,1,4,3,0,0,1,0,0,950,5012,2639,31,24,1,30,21,1123,21,16,14,87.5,2,12.5,35,23,15,16,4,15,30,50,15,19,5,14,25,60,35,1,26,26,50,MF
1411,Alexander Isak,"2,340",6,50,70.7,35.8,56.7,403,3,9,2020-2021,20,se SWE,Real Sociedad,es La Liga,34,"2,340",26,30,4,4,17,2,19,17,0,1,1,319,451,70.7,10,11,17,0,44,4637,758,175,225,77.8,106,133,79.7,17,31,54.8,50,25,1,8,6,9,1,6,3,0,0,1,2,0,403,2549,1218,44,33,25,54,28,522,153,67,38,56.7,29,43.3,9,5,0,3,6,3,8,37.5,5,17,1,16,3,12,7,0,38,68,35.8,FW
1412,Ante Budimir,"1,625",2,26,59.6,61.8,50,300,2,20,2020-2021,29,hr CRO,Osasuna,es La Liga,30,"1,625",18.1,18,12,1,11,0,11,11,0,0,0,238,399,59.6,9,19,3,0,29,2861,579,162,239,67.8,53,84,63.1,4,12,33.3,26,16,1,1,6,2,0,2,1,0,0,1,0,0,300,1229,401,14,15,9,68,34,455,103,26,13,50,13,50,20,12,2,11,7,4,15,26.7,11,17,4,13,2,22,17,1,134,83,61.8,FW
1413,Rodrygo,983,9,41,79.3,26.3,45,393,7,15,2020-2021,19,br BRA,Real Madrid,es La Liga,22,983,10.9,10,12,7,1,6,7,1,0,0,0,333,420,79.3,19,23,13,2,28,4279,1070,218,243,89.7,80,98,81.6,13,23,56.5,41,30,0,5,2,3,1,9,7,0,2,0,0,0,393,2508,1490,45,34,19,30,16,453,99,40,18,45,22,55,15,6,10,4,1,2,17,11.8,15,15,0,15,7,22,4,0,5,14,26.3,FW
1414,Guido Carrillo,"1,002",2,15,70.8,57.6,61.5,196,4,9,2020-2021,29,ar ARG,Elche,es La Liga,21,"1,002",11.1,11,10,1,3,2,5,3,0,0,0,216,305,70.8,8,20,2,0,31,2855,551,127,160,79.4,54,81,66.7,12,18,66.7,15,14,0,1,0,0,0,2,2,0,0,0,0,0,196,757,268,9,14,0,28,11,328,30,13,8,61.5,5,38.5,9,8,1,7,1,2,8,25,6,2,1,1,4,13,14,0,83,61,57.6,FW
1415,Jason,441,1,12,62.6,35.7,40,131,10,9,2020-2021,26,es ESP,Valencia,es La Liga,17,441,4.9,4,13,16,0,0,0,0,0,0,0,87,139,62.6,7,4,5,3,13,1293,443,42,59,71.2,29,45,64.4,7,18,38.9,12,11,0,1,0,0,0,1,1,0,0,0,0,0,131,962,488,17,14,2,15,6,134,23,20,8,40,12,60,9,3,5,2,2,4,16,25,12,6,1,5,10,19,4,0,5,9,35.7,"MF,DF"
1416,Cifu,451,0,0,72.8,35.7,28.6,130,8,10,2020-2021,29,es ESP,Elche,es La Liga,11,451,5,4,7,23,0,0,0,0,0,0,0,158,217,72.8,0,5,1,1,10,2266,859,85,98,86.7,53,72,73.6,8,13,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,671,284,9,7,0,6,3,130,16,7,2,28.6,5,71.4,10,7,7,3,0,7,13,53.8,6,5,1,4,8,18,10,0,5,9,35.7,DF
1417,Dimitris Siovas,"3,071",1,25,80.5,66.3,90,1219,62,46,2020-2021,31,gr GRE,Huesca,es La Liga,36,"3,071",34.1,34,2,1,2,0,2,2,0,0,0,1508,1873,80.5,6,72,0,0,69,30207,10101,459,533,86.1,868,966,89.9,162,330,49.1,25,18,0,0,5,2,0,1,0,0,0,1,0,0,1219,6343,3725,22,15,0,13,2,1406,7,10,9,90,1,10,46,24,34,10,2,20,30,66.7,10,38,17,21,62,108,125,2,120,61,66.3,DF
1418,Domingos Duarte,"2,363",0,16,77,57.5,100,577,29,32,2020-2021,25,pt POR,Granada,es La Liga,29,"2,363",26.3,27,2,1,1,0,1,1,0,0,0,742,964,77,6,58,4,1,79,15218,5887,231,263,87.8,385,443,86.9,115,226,50.9,16,14,0,0,2,0,0,0,0,0,0,0,0,0,577,3269,1960,17,10,0,6,4,619,3,2,2,100,0,0,32,20,18,12,2,14,21,66.7,7,29,20,9,29,61,86,0,46,34,57.5,DF
1419,Manu Trigueros,"2,527",12,74,85.4,31.8,81.8,1152,17,51,2020-2021,28,es ESP,Villarreal,es La Liga,35,"2,527",28.1,30,5,1,1,6,7,1,0,0,0,1380,1615,85.4,35,153,48,4,212,21607,6603,731,795,91.9,493,561,87.9,97,146,66.4,74,71,1,0,0,2,0,12,11,0,0,0,1,0,1152,4624,2013,33,50,2,40,34,1454,68,33,27,81.8,6,18.2,51,30,25,21,5,21,77,27.3,56,32,2,30,17,68,19,0,14,30,31.8,MF
1420,Iglesias,605,0,8,51.4,50,50,126,17,27,2020-2021,22,es ESP,Getafe,es La Liga,10,605,6.7,7,3,7,0,0,0,0,0,0,0,111,216,51.4,4,11,5,3,13,2028,966,51,70,72.9,38,74,51.4,17,55,30.9,8,2,3,2,0,1,0,0,0,0,0,0,0,0,126,620,239,5,8,1,7,5,123,14,10,5,50,5,50,27,15,14,10,3,11,19,57.9,8,11,1,10,17,44,19,0,10,10,50,"DF,MF"
1421,Allan Nyom,"2,323",2,34,63.9,56.7,45.8,514,22,38,2020-2021,32,cm CMR,Getafe,es La Liga,31,"2,323",25.8,28,3,3,0,2,2,0,0,0,0,577,903,63.9,17,54,22,20,59,9417,3925,301,385,78.2,208,295,70.5,52,157,33.1,34,28,3,2,0,1,0,2,1,0,1,0,0,0,514,2539,1020,35,34,5,30,23,574,66,24,11,45.8,13,54.2,38,23,14,19,5,15,30,50,15,16,2,14,22,60,42,0,51,39,56.7,"MF,DF"
1422,Jorge Pulido,"2,885",2,26,83,56,60,1093,52,39,2020-2021,29,es ESP,Huesca,es La Liga,33,"2,885",32.1,32,1,3,1,0,1,1,0,0,0,1358,1637,83,5,96,8,2,99,26618,8801,453,504,89.9,741,816,90.8,151,273,55.3,26,21,1,1,2,0,1,2,2,0,0,0,0,0,1093,5903,3626,39,34,0,7,9,1234,19,10,6,60,4,40,39,24,31,8,0,17,29,58.6,12,32,18,14,52,91,98,0,61,48,56,DF
1423,Jon Moncayola,"2,660",3,45,80.2,51.5,53.3,666,23,61,2020-2021,22,es ESP,Osasuna,es La Liga,36,"2,660",29.6,28,8,0,2,0,2,2,0,0,0,934,1165,80.2,18,92,16,3,111,18043,4945,372,438,84.9,391,461,84.8,148,209,70.8,45,42,0,2,1,0,0,3,3,0,0,0,0,0,666,3001,1439,27,25,3,32,13,823,45,15,8,53.3,7,46.7,61,36,27,23,11,24,67,35.8,43,27,9,18,23,84,38,0,35,33,51.5,MF
1424,Robin Le Normand,"2,747",6,16,85,60.4,100,1166,36,34,2020-2021,23,es ESP,Real Sociedad,es La Liga,33,"2,747",30.5,30,3,3,0,1,1,0,0,0,0,1451,1707,85,4,66,3,1,101,28317,8443,458,521,87.9,828,912,90.8,143,232,61.6,16,9,1,0,2,3,1,6,2,0,0,2,2,0,1166,6749,3931,22,12,0,9,9,1264,4,5,5,100,0,0,34,20,25,8,1,9,19,47.4,10,35,24,11,36,70,87,1,119,78,60.4,DF
1425,Ibai Gómez,424,2,12,68.6,46.2,80,99,2,6,2020-2021,30,es ESP,Athletic Club,es La Liga,13,424,4.7,4,9,11,0,1,1,0,0,0,0,109,159,68.6,7,9,3,2,20,1681,746,63,76,82.9,31,44,70.5,9,30,30,12,9,3,0,0,0,0,2,1,1,0,0,0,0,99,457,151,1,3,0,5,5,130,28,5,4,80,1,20,6,4,2,3,1,4,7,57.1,3,3,0,3,2,8,4,0,6,7,46.2,MF
1426,Roberto Soldado,"1,438",3,22,59,25,50,211,4,7,2020-2021,35,es ESP,Granada,es La Liga,29,"1,438",16,16,13,1,9,0,9,7,2,2,0,206,349,59,9,12,6,0,19,2798,429,119,169,70.4,53,92,57.6,14,22,63.6,22,16,1,0,2,3,0,3,1,0,0,1,1,0,211,848,304,12,8,8,30,10,306,82,8,4,50,4,50,7,4,1,4,2,2,11,18.2,9,8,0,8,4,11,13,1,22,66,25,FW
1427,Óscar de Marcos,"1,520",5,29,73.8,46.2,58.3,443,12,28,2020-2021,31,es ESP,Athletic Club,es La Liga,25,"1,520",16.9,17,8,6,1,2,3,1,0,0,0,571,774,73.8,12,37,14,5,49,8547,2864,327,387,84.5,191,260,73.5,35,66,53,29,26,3,0,0,0,0,5,5,0,0,0,0,0,443,2781,1507,54,35,7,23,4,514,107,12,7,58.3,5,41.7,28,17,12,10,6,10,25,40,15,12,1,11,12,40,38,0,12,14,46.2,"DF,MF"
1428,Jota,"1,398",3,30,70.7,30.8,47.2,396,9,19,2020-2021,29,es ESP,Alavés,es La Liga,23,"1,398",15.5,18,5,7,0,2,2,0,0,0,0,352,498,70.7,17,38,15,3,55,5852,1735,181,206,87.9,129,169,76.3,30,80,37.5,30,18,10,1,1,0,0,3,1,1,0,1,0,0,396,2292,1135,28,35,2,29,14,401,39,36,17,47.2,19,52.8,19,14,6,7,6,3,29,10.3,26,12,0,12,9,28,9,0,4,9,30.8,MF
