,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
801,Roger Martí,"2,115",5,39,67.7,34.9,50,382,2,23,2021-2022,30,es ESP,Levante,es La Liga,29,"2,115",23.5,25,4,0,7,3,10,6,1,3,2,313,462,67.7,23,23,15,1,50,4374,1057,190,240,79.2,87,126,69,18,37,48.6,39,28,0,1,7,3,0,5,3,0,0,1,1,0,382,1751,643,24,17,9,57,23,496,133,28,14,50,14,50,23,14,3,13,7,8,30,26.7,22,14,0,14,2,25,8,0,29,54,34.9,FW
802,Raúl Guti,"1,627",2,22,83.4,34.6,52.4,568,25,25,2021-2022,24,es ESP,Elche,es La Liga,31,"1,627",18.1,17,14,5,0,0,0,0,0,0,0,659,790,83.4,10,76,5,1,76,10891,2926,341,377,90.5,233,266,87.6,58,97,59.8,22,17,0,0,1,2,2,2,2,0,0,0,0,0,568,2587,1148,21,14,0,20,15,674,25,21,11,52.4,10,47.6,25,15,7,14,4,10,30,33.3,20,9,3,6,25,50,7,0,9,17,34.6,MF
803,Santi Mina,"2,367",8,53,65.3,45,57.1,472,6,27,2021-2022,25,es ESP,Celta Vigo,es La Liga,33,"2,367",26.3,30,3,0,7,3,10,7,0,1,1,432,662,65.3,21,28,9,1,36,5909,1027,260,361,72,97,150,64.7,31,51,60.8,53,40,0,1,7,4,1,8,6,0,1,1,0,0,472,1833,622,23,19,11,62,34,683,135,21,12,57.1,8,38.1,27,17,8,15,4,5,32,15.6,27,28,2,26,6,33,22,0,126,154,45,FW
804,Manu Vallejo,468,2,10,68,26.9,10,104,0,10,2021-2022,24,es ESP,2 Teams,es La Liga,20,468,5.2,2,18,17,1,1,2,1,0,0,0,104,153,68,5,6,3,2,9,1633,386,52,65,80,34,45,75.6,12,26,46.2,10,6,4,0,0,0,0,2,1,1,0,0,0,0,104,441,185,7,3,0,15,7,127,31,10,1,10,9,90,10,3,2,5,3,4,14,28.6,10,7,0,7,0,10,5,0,7,19,26.9,"MF,FW"
805,Rafinha,"1,050",1,35,86,46.4,50,558,12,43,2021-2022,28,br BRA,Real Sociedad,es La Liga,17,"1,050",11.7,13,4,0,1,0,1,1,0,0,0,582,677,86,9,66,11,2,54,8313,2063,338,367,92.1,170,189,89.9,37,59,62.7,35,25,2,1,1,4,2,1,0,0,0,0,1,0,558,2887,1523,34,28,6,26,22,586,31,36,18,50,18,50,43,27,17,20,6,16,28,57.1,12,21,2,19,12,55,4,0,13,15,46.4,MF
806,Vedat Muriqi,"1,438",6,39,53.5,54.2,40.9,306,6,6,2021-2022,27,xk KVX,Mallorca,es La Liga,16,"1,438",16,16,0,0,5,3,8,3,2,2,0,245,458,53.5,14,15,12,1,33,3142,764,153,241,63.5,55,125,44,10,22,45.5,39,28,0,4,7,0,0,6,4,0,1,1,0,0,306,1263,555,19,11,6,42,14,497,84,22,9,40.9,13,59.1,6,3,1,3,2,1,7,14.3,6,12,0,12,6,12,29,0,116,98,54.2,FW
807,Njegoš Petrović,918,3,22,78.7,33.3,62.5,214,9,24,2021-2022,22,rs SRB,Granada,es La Liga,15,918,10.2,10,5,0,0,1,1,0,0,0,0,266,338,78.7,3,26,2,0,33,4051,1239,136,161,84.5,88,112,78.6,23,31,74.2,22,16,0,2,2,1,1,3,2,0,0,1,0,0,214,1020,529,3,11,1,11,6,255,14,16,10,62.5,6,37.5,24,11,4,19,1,8,14,57.1,6,16,4,12,9,33,11,0,10,20,33.3,MF
808,Pedri,885,6,46,84.7,57.1,78.9,481,5,20,2021-2022,18,es ESP,Barcelona,es La Liga,12,885,9.8,10,2,0,3,1,4,3,0,0,0,513,606,84.7,15,57,19,1,84,8778,2142,238,264,90.2,196,226,86.7,57,68,83.8,46,33,7,1,2,3,0,6,4,0,0,1,1,0,481,2385,1030,23,33,5,14,17,542,42,19,15,78.9,4,21.1,20,12,9,8,3,7,20,35,13,13,0,13,5,25,7,1,4,3,57.1,MF
809,Lucas Torró,"2,725",2,40,77.2,69.3,88,722,47,71,2021-2022,27,es ESP,Osasuna,es La Liga,33,"2,725",30.3,32,1,2,1,0,1,1,0,0,0,989,1281,77.2,9,107,13,0,156,15897,5119,511,614,83.2,373,475,78.5,69,114,60.5,40,31,0,1,1,5,2,2,2,0,0,0,0,0,722,3244,1332,18,21,0,33,23,829,27,25,22,88,3,12,71,40,25,38,8,29,57,50.9,28,32,11,21,47,118,55,0,131,58,69.3,MF
