,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
601,Borja Iglesias,"2,365",5,40,76.1,35.3,37.5,467,1,8,2022-2023,29,es ESP,Betis,es La Liga,35,"2,365",26.3,29,6,0,15,3,18,10,5,6,1,397,522,76.1,22,13,14,0,33,4818,691,260,320,81.3,73,97,75.3,19,22,86.4,40,29,1,1,5,4,0,5,4,0,0,1,0,0,467,2132,691,20,14,20,81,38,638,147,32,12,37.5,14,43.8,8,4,3,3,2,2,13,15.4,11,9,1,8,1,9,17,0,24,44,35.3,FW
602,Santiago Arzamendia,483,0,11,66.4,50,33.3,140,2,9,2022-2023,24,py PAR,Cádiz,es La Liga,12,483,5.4,5,7,26,0,0,0,0,0,0,0,150,226,66.4,6,14,3,0,17,2442,1025,80,94,85.1,54,73,74,11,36,30.6,11,8,2,1,0,0,0,0,0,0,0,0,0,0,140,668,349,8,9,2,8,4,142,22,6,2,33.3,4,66.7,9,8,7,1,1,6,21,28.6,15,11,1,10,2,11,15,1,6,6,50,"DF,MF"
603,Samu Costa,"1,989",3,47,78.8,66.7,40.9,717,37,61,2022-2023,21,pt POR,Almería,es La Liga,32,"1,989",22.1,22,10,6,1,2,3,1,0,0,0,864,1097,78.8,13,68,11,0,91,15886,5134,383,439,87.2,368,428,86,102,169,60.4,47,37,1,1,2,3,3,3,3,0,0,0,0,0,717,2783,1113,9,8,1,31,13,856,24,22,9,40.9,12,54.5,61,31,35,20,6,29,61,47.5,32,29,7,22,37,98,64,4,48,24,66.7,MF
604,Bryan Gil,918,4,25,75.9,30.8,42.2,339,8,22,2022-2023,21,es ESP,Sevilla,es La Liga,17,918,10.2,10,7,2,2,2,4,2,0,0,0,284,374,75.9,8,10,10,3,22,3630,945,182,201,90.5,88,114,77.2,3,22,13.6,25,20,0,1,1,2,1,4,3,0,0,1,0,0,339,1802,743,28,21,4,31,18,337,75,45,19,42.2,17,37.8,22,11,11,7,4,10,23,43.5,13,10,0,10,8,30,10,0,4,9,30.8,"FW,DF"
605,Eduardo Camavinga,"2,010",5,72,90.7,66.7,53.5,1162,17,68,2022-2023,19,fr FRA,Real Madrid,es La Liga,37,"2,010",22.3,21,16,0,0,1,1,0,0,0,0,1364,1504,90.7,24,138,17,1,165,21221,5654,711,763,93.2,517,548,94.3,89,112,79.5,72,55,0,5,3,9,0,5,3,0,0,1,1,0,1162,6589,3684,69,77,12,39,28,1326,99,71,38,53.5,25,35.2,68,48,32,21,15,24,64,37.5,40,24,5,19,17,85,25,0,22,11,66.7,"MF,DF"
606,Aimar Oroz,"2,013",11,77,79.1,30.4,50,652,24,26,2022-2023,20,es ESP,Osasuna,es La Liga,31,"2,013",22.4,23,8,2,3,6,9,2,1,1,0,649,820,79.1,33,48,20,0,86,9209,2193,400,462,86.6,194,239,81.2,32,49,65.3,77,61,1,5,3,4,3,11,11,0,0,0,0,0,652,3119,1359,35,34,8,42,51,769,144,62,31,50,22,35.5,26,14,8,10,8,8,30,26.7,22,24,1,23,24,50,6,0,17,39,30.4,"MF,FW"
607,Óscar Plano,"2,038",7,56,73.1,40.5,39.4,496,29,40,2022-2023,31,es ESP,Valladolid,es La Liga,33,"2,038",22.6,22,11,5,1,1,2,1,0,0,0,468,640,73.1,16,56,17,4,73,7102,1888,252,326,77.3,157,195,80.5,30,49,61.2,56,46,0,1,4,4,1,7,5,0,0,1,1,0,496,2410,979,30,30,4,37,23,570,95,33,13,39.4,14,42.4,40,25,9,17,14,12,37,32.4,25,26,2,24,29,69,23,0,34,50,40.5,"FW,MF"
608,Roque Mesa,"1,617",1,40,82,32.4,48.4,748,13,27,2022-2023,33,es ESP,Valladolid,es La Liga,29,"1,617",18,20,9,6,2,1,3,2,0,0,0,790,963,82,18,106,18,4,116,15512,4724,301,343,87.8,342,382,89.5,121,187,64.7,40,37,1,0,1,0,1,1,1,0,0,0,0,0,748,4717,2201,29,23,3,21,21,772,24,31,15,48.4,14,45.2,27,15,16,10,1,12,38,31.6,26,16,4,12,13,40,18,0,11,23,32.4,MF
609,Tino Kadewere,542,0,12,62.9,60,57.1,122,2,6,2022-2023,26,zw ZIM,Mallorca,es La Liga,15,542,6,5,10,11,1,0,1,1,0,0,0,95,151,62.9,3,6,0,0,4,1261,233,56,79,70.9,29,43,67.4,3,11,27.3,12,9,0,3,0,0,0,0,0,0,0,0,0,0,122,710,333,14,5,9,15,11,163,29,14,8,57.1,4,28.6,6,3,3,3,0,4,9,44.4,5,6,2,4,2,8,1,0,30,20,60,"FW,MF"
