,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1601,Ramon Azeez,"1,361",1,22,78.1,36.7,36.4,263,19,11,2019-2020,26,ng NGA,Granada,es La Liga,25,"1,361",15.1,14,11,12,2,0,2,2,0,0,0,303,388,78.1,6,35,3,0,43,4820,1170,175,200,87.5,88,117,75.2,32,43,74.4,22,13,1,0,3,3,2,1,1,0,0,0,0,0,263,1498,671,16,11,2,16,10,273,25,11,4,36.4,7,63.6,11,8,2,8,1,7,19,36.8,12,8,2,6,19,30,11,1,18,31,36.7,MF
1602,Fran Mérida,"1,161",3,25,74.4,53.3,74.2,544,25,27,2019-2020,29,es ESP,Osasuna,es La Liga,23,"1,161",12.9,12,11,10,0,1,1,0,0,0,0,584,785,74.4,9,89,9,2,112,12068,4177,204,250,81.6,235,304,77.3,126,187,67.4,25,18,2,1,1,2,1,3,3,0,0,0,0,0,544,2286,1239,13,17,1,19,14,615,22,31,23,74.2,8,25.8,27,15,11,10,6,9,27,33.3,18,15,4,11,25,52,10,0,8,7,53.3,MF
1603,Kenneth Omeruo,"1,874",0,7,70,67,100,329,36,28,2019-2020,25,ng NGA,Leganés,es La Liga,23,"1,874",20.8,22,1,6,1,0,1,1,0,0,0,471,673,70,5,36,3,2,43,10398,4410,130,164,79.3,239,303,78.9,95,183,51.9,7,6,1,0,0,0,0,0,0,0,0,0,0,0,329,1451,600,0,6,0,6,1,346,2,4,4,100,0,0,28,17,25,3,0,11,18,61.1,7,21,12,9,36,64,112,2,69,34,67,DF
1604,Pipa,473,0,9,66.8,53.3,40,127,6,9,2019-2020,21,es ESP,Espanyol,es La Liga,7,473,5.3,5,2,2,0,0,0,0,0,0,0,145,217,66.8,4,5,4,2,9,2476,706,63,72,87.5,71,101,70.3,8,27,29.6,9,7,1,0,0,1,0,0,0,0,0,0,0,0,127,998,521,22,12,6,8,2,127,33,10,4,40,6,60,9,8,5,4,0,4,6,66.7,2,8,0,8,6,15,17,0,8,7,53.3,"DF,FW"
1605,Adrià Pedrosa,"1,087",2,28,73.9,42.9,53.3,323,11,19,2019-2020,21,es ESP,Espanyol,es La Liga,20,"1,087",12.1,11,9,13,1,0,1,1,0,0,0,366,495,73.9,4,16,8,3,25,5939,1774,173,195,88.7,162,204,79.4,23,61,37.7,28,18,2,4,0,3,1,2,0,0,1,0,0,1,323,2063,1164,32,24,5,34,9,358,53,30,16,53.3,14,46.7,19,13,8,9,2,7,25,28,18,12,1,11,11,30,32,0,9,12,42.9,"DF,MF"
1606,Alberto Moreno,"1,471",2,21,84.5,46.2,50,565,25,27,2019-2020,27,es ESP,Villarreal,es La Liga,18,"1,471",16.3,17,1,1,0,0,0,0,0,0,0,825,976,84.5,10,32,15,5,63,12969,4146,411,444,92.6,320,371,86.3,55,91,60.4,21,19,2,0,0,0,0,2,2,0,0,0,0,0,565,3045,1838,51,39,9,27,11,685,70,28,14,50,14,50,27,16,15,11,1,9,25,36,16,15,3,12,25,52,36,0,12,14,46.2,DF
1607,Álvaro Morata,"2,098",5,61,62.7,56.4,67.9,424,5,17,2019-2020,26,es ESP,Atlético Madrid,es La Liga,34,"2,098",23.3,25,9,0,12,2,14,10,2,3,1,321,512,62.7,25,10,14,1,27,3505,753,189,282,67,69,110,62.7,6,17,35.3,61,42,0,5,10,4,0,5,3,0,1,0,1,0,424,2408,1159,49,42,14,74,46,627,139,28,19,67.9,9,32.1,17,8,4,9,4,1,13,7.7,12,12,2,10,5,22,23,0,127,98,56.4,FW
1608,Denis Suárez,"1,630",8,64,75.2,23.8,57.1,733,14,22,2019-2020,25,es ESP,Celta Vigo,es La Liga,26,"1,630",18.1,20,6,3,1,5,6,1,0,1,1,658,875,75.2,42,60,37,11,117,10210,3427,369,422,87.4,200,255,78.4,60,115,52.2,64,41,14,3,3,2,1,8,8,0,0,0,0,0,733,5584,2978,93,62,19,38,44,804,115,105,60,57.1,45,42.9,22,15,14,7,1,10,37,27,27,9,1,8,14,36,12,1,5,16,23.8,"MF,FW"
1609,Aridane Hernández,"2,610",0,11,75.8,67.4,75,562,34,35,2019-2020,30,es ESP,Osasuna,es La Liga,29,"2,610",29,29,0,4,3,0,3,3,0,0,0,760,1002,75.8,3,33,4,1,60,16360,5958,213,250,85.2,402,500,80.4,136,227,59.9,11,10,0,0,0,0,1,0,0,0,0,0,0,0,562,2547,885,4,3,1,14,2,552,1,4,3,75,1,25,35,23,22,13,0,15,19,78.9,4,24,15,9,34,69,137,2,93,45,67.4,DF
