,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2401,Emmanuel Boateng,"1,276",7,37,62.7,53.3,62.5,207,5,4,2017-2018,21,gh GHA,Levante,es La Liga,25,"1,276",14.2,10,15,3,6,0,6,6,0,0,0,143,228,62.7,7,18,7,0,21,1890,358,99,138,71.7,31,58,53.4,7,9,77.8,37,16,1,5,4,10,1,7,2,0,2,0,3,0,207,1104,455,18,12,8,41,19,282,64,24,15,62.5,9,37.5,4,3,0,0,4,0,6,0,6,8,1,7,5,9,17,0,73,64,53.3,FW
2402,Javi Fuego,"1,878",0,16,78.5,53,62.5,469,22,54,2017-2018,33,es ESP,2 Teams,es La Liga,28,"1,878",20.9,23,5,3,0,0,0,0,0,0,0,753,959,78.5,2,75,3,0,73,11929,3852,389,459,84.7,275,335,82.1,61,98,62.2,16,10,1,0,0,2,3,0,0,0,0,0,0,0,469,1715,658,3,7,0,28,19,649,3,8,5,62.5,3,37.5,54,38,27,23,4,18,42,42.9,24,22,10,12,22,76,37,0,35,31,53,MF
2403,Aarón Martín,"2,815",3,59,74.6,30.5,67.3,816,49,56,2017-2018,20,es ESP,Espanyol,es La Liga,32,"2,815",31.3,31,1,5,0,0,0,0,0,0,0,1053,1412,74.6,31,63,30,23,86,15981,5502,635,717,88.6,320,419,76.4,77,194,39.7,59,45,11,1,0,1,1,3,2,1,0,0,0,0,816,4527,2590,64,52,1,23,25,858,114,52,35,67.3,17,32.7,56,36,41,12,3,31,59,52.5,28,26,5,21,49,105,78,0,18,41,30.5,DF
2404,José Ángel,"2,426",11,76,61,55.4,71.1,841,38,61,2017-2018,27,es ESP,Eibar,es La Liga,30,"2,426",27,28,2,5,0,8,8,0,0,0,0,1003,1645,61,45,119,35,29,128,20949,9014,347,431,80.5,434,630,68.9,197,486,40.5,76,36,30,6,2,2,0,11,5,4,1,1,0,0,841,3676,1724,44,54,3,25,16,910,89,38,27,71.1,11,28.9,61,44,36,19,6,38,58,65.5,20,31,1,30,38,99,76,0,36,29,55.4,DF
2405,Álvaro Medrán,"1,019",0,23,79.1,40,60,419,16,21,2017-2018,23,es ESP,2 Teams,es La Liga,18,"1,019",11.3,10,8,5,2,0,2,2,0,0,0,412,521,79.1,10,53,5,1,56,7918,2638,174,202,86.1,163,187,87.2,66,98,67.3,23,18,0,3,0,2,0,0,0,0,0,0,0,0,419,2363,1046,18,14,2,26,14,458,19,30,18,60,12,40,21,15,6,10,5,9,23,39.1,14,7,0,7,16,37,11,0,6,9,40,MF
2406,Alin Toșca,423,0,4,83.9,75,66.7,136,5,12,2017-2018,25,ro ROU,Betis,es La Liga,6,423,4.7,5,1,9,0,0,0,0,0,0,0,182,217,83.9,1,11,3,1,16,3015,1093,96,107,89.7,65,80,81.3,16,20,80,4,3,1,0,0,0,0,0,0,0,0,0,0,0,136,661,280,7,6,0,4,1,158,22,3,2,66.7,1,33.3,12,9,7,5,0,5,9,55.6,4,7,1,6,5,17,17,1,6,2,75,DF
2407,Sergi Roberto,"2,225",12,63,89.2,37.8,71.1,1291,39,63,2017-2018,25,es ESP,Barcelona,es La Liga,30,"2,225",24.7,24,6,0,1,7,8,1,0,0,0,1634,1832,89.2,23,119,31,4,139,23188,6591,1001,1053,95.1,478,545,87.7,89,121,73.6,63,55,0,5,0,2,1,12,10,0,1,0,0,1,1291,7076,4083,87,64,9,26,15,1467,185,76,54,71.1,22,28.9,63,40,30,25,8,25,49,51,24,18,8,10,39,102,30,1,14,23,37.8,DF
2408,Raúl Albentosa,"1,748",0,6,78.3,68.4,66.7,395,26,13,2017-2018,28,es ESP,La Coruña,es La Liga,20,"1,748",19.4,19,1,8,1,0,1,1,0,0,0,607,775,78.3,3,28,1,0,27,14038,5509,136,162,84,334,386,86.5,135,214,63.1,6,4,0,0,1,1,0,0,0,0,0,0,0,0,395,1492,606,1,3,0,6,0,546,5,3,2,66.7,1,33.3,13,6,9,4,0,7,20,35,13,26,19,7,26,39,92,1,39,18,68.4,DF
2409,Martin Agirregabiria,"1,828",5,25,71.7,56.7,47.1,476,41,50,2017-2018,21,es ESP,Alavés,es La Liga,21,"1,828",20.3,20,1,4,0,4,4,0,0,0,0,634,884,71.7,13,46,12,9,48,9706,4749,366,436,83.9,207,288,71.9,47,104,45.2,25,20,5,0,0,0,0,5,5,0,0,0,0,0,476,2344,1290,24,13,6,20,10,483,54,34,16,47.1,18,52.9,50,33,31,17,2,32,50,64,18,13,7,6,41,91,66,0,17,13,56.7,DF
2410,Léo Baptistão,"2,677",8,71,65.1,43.4,38,647,23,54,2017-2018,24,br BRA,Espanyol,es La Liga,36,"2,677",29.7,31,5,1,8,3,11,8,0,0,0,473,727,65.1,25,33,19,4,51,6165,1407,300,387,77.5,132,193,68.4,13,45,28.9,71,43,1,9,7,8,3,8,6,0,1,0,0,1,647,3871,2118,76,50,32,57,42,737,187,79,30,38,49,62,54,34,12,28,14,13,52,25,39,22,1,21,23,77,25,0,46,60,43.4,"FW,MF"
2411,Óscar Melendo,686,1,25,81.9,23.1,53.3,219,3,2,2017-2018,19,es ESP,Espanyol,es La Liga,18,686,7.6,6,12,7,0,1,1,0,0,0,0,221,270,81.9,9,30,4,2,35,3483,761,113,132,85.6,76,85,89.4,20,30,66.7,25,17,0,2,1,5,0,1,1,0,0,0,0,0,219,1202,564,12,14,0,5,6,241,34,15,8,53.3,7,46.7,2,2,2,0,0,0,5,0,5,2,0,2,3,5,3,0,3,10,23.1,"MF,FW"
2412,Ander Capa,"2,249",5,44,71.2,70,55.7,829,52,57,2017-2018,25,es ESP,Eibar,es La Liga,33,"2,249",25,25,8,3,0,1,1,0,0,0,0,1062,1492,71.2,14,95,26,14,143,18906,7912,513,604,84.9,408,543,75.1,123,251,49,44,38,1,4,0,1,0,5,5,0,0,0,0,0,829,5224,2987,81,82,11,36,24,907,122,61,34,55.7,27,44.3,57,38,34,14,9,25,38,65.8,13,21,2,19,52,109,50,1,28,12,70,DF
2413,Nabil El Zhar,"1,981",4,61,72.8,30.2,53.3,611,18,11,2017-2018,30,ma MAR,Leganés,es La Liga,30,"1,981",22,20,10,1,2,2,4,2,0,0,0,469,644,72.8,25,55,22,10,97,7069,2171,280,337,83.1,130,181,71.8,40,73,54.8,61,35,5,8,4,8,1,4,3,0,1,0,0,0,611,3829,1981,67,41,13,55,40,635,132,92,49,53.3,43,46.7,11,6,4,6,1,3,18,16.7,15,14,1,13,18,29,3,0,13,30,30.2,"FW,MF"
2414,Anthony Lozano,471,1,9,62.8,51.2,57.9,111,3,9,2017-2018,24,hn HON,Girona,es La Liga,14,471,5.2,4,10,2,1,0,1,1,0,0,0,81,129,62.8,4,4,2,1,11,1179,271,48,62,77.4,29,45,64.4,2,8,25,9,6,0,3,0,0,0,1,1,0,0,0,0,0,111,887,501,21,12,2,10,8,138,26,19,11,57.9,8,42.1,9,5,2,7,0,1,5,20,4,3,0,3,3,12,2,0,22,21,51.2,"FW,MF"
2415,Gerard Deulofeu,503,1,18,78.2,28.6,33.3,248,8,8,2017-2018,23,es ESP,Barcelona,es La Liga,10,503,5.6,5,5,3,1,1,2,1,0,0,0,230,294,78.2,10,6,5,1,14,3290,494,138,158,87.3,57,73,78.1,18,31,58.1,18,12,3,2,0,1,0,1,1,0,0,0,0,0,248,1530,786,32,12,22,8,8,283,84,21,7,33.3,14,66.7,8,5,6,1,1,3,4,75,1,2,0,2,8,16,0,0,2,5,28.6,"MF,FW"
2416,Borja Valle,486,3,12,73,28.6,0,113,3,6,2017-2018,25,es ESP,La Coruña,es La Liga,17,486,5.4,3,14,11,3,2,5,3,0,0,0,103,141,73,9,6,7,2,12,1511,277,63,71,88.7,29,48,60.4,7,11,63.6,12,12,0,0,0,0,0,3,3,0,0,0,0,0,113,601,280,10,8,4,9,9,137,34,4,0,0,4,100,6,6,3,3,0,1,4,25,3,2,0,2,3,9,4,0,8,20,28.6,"FW,MF"
