,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
401,Lisandro Magallán,902,0,9,83.1,47.2,100,249,13,19,2022-2023,28,ar ARG,Elche,es La Liga,14,902,10,11,3,6,0,0,0,0,0,0,0,325,391,83.1,2,16,1,1,16,6440,2695,110,121,90.9,168,191,88,42,67,62.7,9,7,1,0,1,0,0,0,0,0,0,0,0,0,249,1337,533,2,1,0,3,0,250,0,1,1,100,0,0,19,11,11,5,3,10,12,83.3,2,14,5,9,13,32,30,1,17,19,47.2,DF
402,Ángel Correa,"1,455",11,61,78.1,23.8,39,472,10,12,2022-2023,27,ar ARG,Atlético Madrid,es La Liga,35,"1,455",16.2,13,22,1,9,1,10,9,0,0,0,406,520,78.1,23,27,19,3,58,5237,1201,270,310,87.1,93,118,78.8,16,37,43.2,61,45,3,5,6,1,1,11,5,0,2,3,0,1,472,2244,971,44,20,24,58,31,568,142,59,23,39,33,55.9,12,6,6,3,3,5,16,31.3,11,17,0,17,10,22,6,1,5,16,23.8,"FW,MF"
403,Jaime Mata,437,2,10,55.7,40,40,102,3,13,2022-2023,33,es ESP,Getafe,es La Liga,18,437,4.9,5,13,15,1,1,2,1,0,0,0,68,122,55.7,6,6,6,3,10,1040,301,36,55,65.5,23,38,60.5,5,11,45.5,10,8,0,0,2,0,0,2,1,0,0,1,0,0,102,369,104,2,6,0,16,7,131,33,5,2,40,3,60,13,10,4,5,4,7,22,31.8,15,7,2,5,3,16,6,0,10,15,40,"FW,MF"
404,Marcos Llorente,"1,703",3,60,80.9,34.5,44.4,558,17,32,2022-2023,27,es ESP,Atlético Madrid,es La Liga,22,"1,703",18.9,21,1,2,1,2,3,1,0,0,0,660,816,80.9,29,30,30,3,88,9299,2473,380,415,91.6,202,260,77.7,34,55,61.8,60,54,1,0,2,1,2,3,3,0,0,0,0,0,558,3321,1942,64,45,15,23,11,661,139,27,12,44.4,13,48.1,32,15,16,10,6,17,30,56.7,13,26,2,24,17,49,19,0,10,19,34.5,"MF,DF"
405,Luis Hernández,"3,149",3,36,72.4,63.5,75,783,31,33,2022-2023,33,es ESP,Cádiz,es La Liga,35,"3,149",35,35,0,1,0,0,0,0,0,0,0,1078,1488,72.4,12,81,7,4,95,23046,9678,323,361,89.5,558,670,83.3,186,415,44.8,36,20,13,0,2,0,1,3,2,1,0,0,0,0,783,3449,2033,10,5,0,5,2,894,8,4,3,75,0,0,33,21,25,7,1,22,36,61.1,14,31,24,7,31,64,145,0,40,23,63.5,DF
406,Raúl de Tomás,805,0,20,73.5,37.5,58.6,205,0,3,2022-2023,27,es ESP,Rayo Vallecano,es La Liga,19,805,8.9,9,10,2,4,0,4,3,1,2,1,114,155,73.5,9,8,7,0,18,1874,303,58,68,85.3,37,46,80.4,12,24,50,20,12,0,3,2,2,1,0,0,0,0,0,0,0,205,917,332,13,7,5,29,19,231,51,29,17,58.6,8,27.6,3,2,0,1,2,2,6,33.3,4,4,0,4,0,3,6,0,12,20,37.5,FW
407,Keidi Bare,503,2,11,82.8,35.7,33.3,181,11,15,2022-2023,24,al ALB,Espanyol,es La Liga,18,503,5.6,4,14,7,0,1,1,0,0,0,0,221,267,82.8,3,25,1,0,28,3777,1040,106,122,86.9,93,104,89.4,20,31,64.5,11,7,1,0,2,0,1,2,1,0,0,0,0,1,181,1012,439,6,13,1,6,3,214,11,6,2,33.3,3,50,15,8,7,5,3,7,13,53.8,6,8,2,6,11,26,8,0,5,9,35.7,MF
408,Rubén Alcaraz,"2,043",2,47,79.1,50.8,50,715,19,43,2022-2023,31,es ESP,Cádiz,es La Liga,31,"2,043",22.7,22,9,0,3,0,3,1,2,3,1,827,1046,79.1,20,93,16,8,105,16517,4831,331,386,85.8,340,388,87.6,138,219,63,47,34,9,1,1,2,0,2,2,0,0,0,0,0,715,3713,1587,30,27,3,34,31,775,20,24,12,50,10,41.7,43,31,24,18,1,19,54,35.2,35,23,8,15,19,62,37,0,30,29,50.8,MF
409,Aleix Vidal,"1,025",5,25,72.7,30,36.8,238,15,11,2022-2023,32,es ESP,Espanyol,es La Liga,25,"1,025",11.4,10,15,6,0,3,3,0,0,0,0,279,384,72.7,15,19,10,4,23,4979,1379,147,176,83.5,90,127,70.9,37,53,69.8,25,16,5,3,0,0,1,5,3,1,0,0,0,1,238,1219,457,16,5,3,15,7,250,53,19,7,36.8,11,57.9,11,5,6,3,2,4,22,18.2,18,21,2,19,15,26,14,0,3,7,30,"MF,FW"
410,Youssef En-Nesyri,"1,661",5,32,64.7,40,17.4,190,4,16,2022-2023,25,ma MAR,Sevilla,es La Liga,31,"1,661",18.5,17,14,6,8,1,9,8,0,0,0,156,241,64.7,10,4,1,0,12,2202,328,96,135,71.1,50,75,66.7,4,8,50,32,21,1,2,6,2,0,5,3,0,1,1,0,0,190,927,369,16,5,14,46,9,286,71,23,4,17.4,16,69.6,16,8,3,7,6,4,14,28.6,10,6,2,4,4,20,16,0,60,90,40,FW
411,David Alaba,"1,838",4,27,87.6,57.9,75,779,14,15,2022-2023,30,at AUT,Real Madrid,es La Liga,23,"1,838",20.4,21,2,3,1,3,4,1,0,0,0,1042,1189,87.6,16,68,9,4,67,15258,5475,601,626,96,340,388,87.6,53,99,53.5,27,23,3,0,1,0,0,4,3,0,0,1,0,0,779,3566,2070,16,24,2,7,5,938,60,4,3,75,1,25,15,11,8,4,3,9,15,60,6,18,9,9,14,29,37,1,11,8,57.9,DF
