,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1201,Denis Cheryshev,"1,101",6,26,59.1,44.8,40,264,12,19,2020-2021,29,ru RUS,Valencia,es La Liga,21,"1,101",12.2,13,8,3,0,3,3,0,0,0,0,195,330,59.1,16,16,13,4,37,3191,1014,97,133,72.9,77,113,68.1,16,45,35.6,26,22,1,1,0,2,0,6,6,0,0,0,0,0,264,1706,862,37,27,12,24,10,315,95,20,8,40,12,60,19,15,6,7,6,6,26,23.1,20,15,1,14,12,31,15,0,13,16,44.8,MF
1202,Roger Martí,"2,198",8,40,68.8,31.3,73.7,357,4,11,2020-2021,29,es ESP,Levante,es La Liga,33,"2,198",24.4,26,7,3,12,4,16,10,2,4,2,357,519,68.8,18,26,13,0,44,4948,1049,231,293,78.8,86,129,66.7,20,36,55.6,40,34,0,4,2,0,0,8,8,0,0,0,0,0,357,1299,449,12,15,6,58,26,524,155,19,14,73.7,5,26.3,11,7,5,4,2,6,23,26.1,17,10,3,7,4,15,6,0,20,44,31.3,FW
1203,Raúl Guti,"2,862",3,28,83.1,42.4,61.7,906,49,48,2020-2021,23,es ESP,Elche,es La Liga,36,"2,862",31.8,33,3,1,3,1,4,3,0,0,0,1078,1297,83.1,7,88,6,2,95,18831,4470,484,542,89.3,431,473,91.1,115,183,62.8,28,23,0,1,2,2,0,3,1,0,0,1,1,0,906,4233,1672,25,21,2,35,33,1055,22,47,29,61.7,18,38.3,48,28,21,22,5,16,52,30.8,36,25,3,22,49,97,25,0,14,19,42.4,MF
1204,Santi Mina,"2,412",6,38,71,47.2,40,448,6,31,2020-2021,24,es ESP,Celta Vigo,es La Liga,34,"2,412",26.8,29,5,1,12,3,15,11,1,1,0,438,617,71,15,21,6,0,40,5351,921,284,366,77.6,89,134,66.4,20,32,62.5,38,24,0,1,5,8,0,6,2,0,0,0,4,0,448,1637,684,17,18,7,70,30,674,135,25,10,40,15,60,31,13,9,12,10,6,37,16.2,31,15,3,12,6,37,17,0,100,112,47.2,FW
1205,Ansu Fati,431,4,21,83.2,33.3,47.8,183,3,9,2020-2021,17,es ESP,Barcelona,es La Liga,7,431,4.8,6,1,0,4,0,4,4,0,0,0,168,202,83.2,9,3,6,0,12,1697,333,105,118,89,28,36,77.8,1,1,100,21,13,1,2,0,5,0,4,2,0,1,0,1,0,183,1296,700,32,16,21,11,8,226,60,23,11,47.8,12,52.2,9,4,2,4,3,2,10,20,8,4,0,4,3,12,1,0,2,4,33.3,FW
1206,Manu Vallejo,950,1,22,75,27.6,30,244,3,18,2020-2021,23,es ESP,Valencia,es La Liga,30,950,10.6,9,21,8,5,0,5,5,0,0,0,192,256,75,7,10,12,1,25,2532,550,112,135,83,49,59,83.1,10,15,66.7,22,13,0,3,0,5,1,1,1,0,0,0,0,0,244,1285,624,22,15,8,35,13,275,60,30,9,30,21,70,18,8,5,8,5,5,26,19.2,21,8,0,8,3,21,3,0,8,21,27.6,"FW,MF"
1207,Emre Mor,500,0,8,73.3,33.3,64,111,5,8,2020-2021,23,tr TUR,Celta Vigo,es La Liga,11,500,5.6,6,5,6,0,0,0,0,0,0,0,85,116,73.3,3,4,2,0,7,1128,221,47,60,78.3,22,27,81.5,6,10,60,8,3,1,2,2,0,0,0,0,0,0,0,0,0,111,747,306,9,6,2,18,13,123,21,25,16,64,9,36,8,4,1,3,4,0,3,0,3,5,0,5,5,13,0,0,4,8,33.3,"FW,MF"
1208,Pedri,"2,415",12,87,87,35.7,70.7,1388,33,44,2020-2021,17,es ESP,Barcelona,es La Liga,37,"2,415",26.8,28,9,0,3,3,6,3,0,0,0,1498,1721,87,39,109,43,1,152,22376,4124,827,897,92.2,483,543,89,99,129,76.7,87,72,4,5,2,4,0,12,8,0,0,1,3,0,1388,6757,2935,65,81,16,63,34,1595,128,41,29,70.7,12,29.3,44,27,16,16,12,17,71,23.9,54,46,1,45,33,77,7,0,5,9,35.7,MF
1209,Lucas Torró,"1,548",4,23,75.3,61.1,71.4,354,27,32,2020-2021,26,es ESP,Osasuna,es La Liga,25,"1,548",17.2,17,8,0,0,1,1,0,0,0,0,504,669,75.3,6,58,4,0,55,7987,2500,266,344,77.3,174,212,82.1,40,68,58.8,23,16,0,2,4,1,0,4,3,0,0,1,0,0,354,1382,486,5,7,1,21,9,471,15,14,10,71.4,4,28.6,32,15,11,19,2,21,34,61.8,13,16,7,9,27,59,43,0,88,56,61.1,MF
1210,Dani Gómez,"1,666",6,33,75,20.7,55.9,350,2,4,2020-2021,22,es ESP,Levante,es La Liga,34,"1,666",18.5,17,17,4,2,2,4,2,0,0,0,252,336,75,11,18,10,1,33,3305,663,148,174,85.1,70,89,78.7,11,18,61.1,33,23,0,5,2,3,0,6,3,0,0,2,1,0,350,2165,978,42,25,23,60,40,425,133,59,33,55.9,26,44.1,4,3,2,1,1,0,11,0,11,3,0,3,2,6,4,0,12,46,20.7,FW
1211,Philippe Coutinho,654,6,27,85.5,20,73.3,387,2,8,2020-2021,28,br BRA,Barcelona,es La Liga,12,654,7.3,8,4,1,2,2,4,2,0,0,0,444,519,85.5,6,35,16,2,58,5834,1273,276,298,92.6,116,133,87.2,18,37,48.6,27,21,1,1,1,3,0,6,6,0,0,0,0,0,387,2308,1257,38,35,15,9,7,506,61,15,11,73.3,4,26.7,8,6,2,5,1,3,9,33.3,6,7,0,7,2,10,1,0,2,8,20,"MF,FW"
1212,Denis Suárez,"2,852",15,89,81,52,62.1,1410,22,64,2020-2021,26,es ESP,Celta Vigo,es La Liga,35,"2,852",31.7,34,1,1,0,9,9,0,0,0,0,1650,2037,81,46,174,31,5,204,25777,7577,848,952,89.1,575,680,84.6,135,239,56.5,89,56,23,3,2,4,1,15,10,4,0,0,0,1,1410,7856,3874,82,80,4,56,25,1674,87,58,36,62.1,22,37.9,64,32,22,30,12,21,94,22.3,73,30,2,28,22,86,15,2,13,12,52,MF
