,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2401,Filip Helander,"2,499",0,10,81.1,57.5,100,902,37,48,2017-2018,24,se SWE,Bologna,it Serie A,29,"2,499",27.8,27,2,5,0,0,0,0,0,0,0,1007,1242,81.1,1,65,2,0,87,20541,7490,303,338,89.6,572,638,89.7,123,224,54.9,10,9,0,0,0,1,0,0,0,0,0,0,0,0,902,4907,2982,24,5,0,14,6,933,3,6,6,100,0,0,48,32,33,15,0,15,29,51.7,14,47,25,22,37,85,160,2,61,45,57.5,DF
2402,Marten de Roon,"2,571",7,59,84.2,52.7,84.6,1115,46,77,2017-2018,26,nl NED,Atalanta,it Serie A,34,"2,571",28.6,29,5,1,3,3,6,2,1,2,1,1431,1699,84.2,19,178,21,2,205,26299,7654,581,661,87.9,648,731,88.6,169,227,74.4,59,51,0,1,3,2,2,7,4,0,1,0,0,2,1115,5381,2681,31,22,2,26,17,1316,33,13,11,84.6,2,15.4,77,50,27,44,6,29,82,35.4,53,40,5,35,46,123,36,0,48,43,52.7,MF
2403,Gastón Ramírez,"2,214",16,112,70.2,36.3,64.4,803,18,33,2017-2018,26,uy URU,Sampdoria,it Serie A,37,"2,214",24.6,28,9,0,3,6,9,3,0,0,0,769,1096,70.2,48,80,42,5,112,12287,3269,410,495,82.8,252,339,74.3,73,182,40.1,112,64,11,12,6,16,3,16,8,0,2,1,3,2,803,4826,1904,49,53,10,84,57,1049,167,87,56,64.4,31,35.6,33,20,4,15,14,9,56,16.1,47,30,3,27,18,51,24,0,29,51,36.3,MF
2404,Robin Gosens,"1,451",2,38,78.5,52.2,58.8,505,22,61,2017-2018,23,de GER,Atalanta,it Serie A,21,"1,451",16.1,17,4,17,1,2,3,1,0,0,0,684,871,78.5,16,58,21,6,87,10491,3826,372,416,89.4,261,329,79.3,35,84,41.7,38,30,2,1,0,1,4,2,1,1,0,0,0,0,505,2598,1536,44,27,4,19,6,655,106,17,10,58.8,7,41.2,61,46,35,22,4,27,46,58.7,19,17,2,15,22,83,40,0,12,11,52.2,DF
2405,Gianluca Lapadula,"1,495",6,43,62.2,43.5,75,249,3,8,2017-2018,27,pe PER,Genoa,it Serie A,28,"1,495",16.6,13,15,5,6,1,7,3,3,4,1,171,275,62.2,14,7,5,0,17,2187,332,106,155,68.4,48,80,60,2,5,40,43,21,1,6,6,9,0,6,1,0,1,1,3,0,249,1124,333,12,13,8,45,18,359,110,16,12,75,4,25,8,5,4,4,0,1,11,9.1,10,7,1,6,3,11,8,0,67,87,43.5,FW
2406,Riccardo Meggiorini,786,1,13,56.5,45.1,30,152,2,9,2017-2018,31,it ITA,Chievo,it Serie A,15,786,8.7,10,5,9,0,0,0,0,0,0,0,118,209,56.5,4,11,2,1,21,1483,437,75,108,69.4,30,63,47.6,1,10,10,13,8,0,2,1,2,0,1,0,0,0,1,0,0,152,741,280,14,8,4,24,7,230,65,10,3,30,7,70,9,6,3,6,0,1,6,16.7,5,12,3,9,2,11,9,0,32,39,45.1,FW
2407,Marcel Büchel,"1,696",0,29,76.2,60,70.8,463,45,37,2017-2018,26,li LIE,Hellas Verona,it Serie A,23,"1,696",18.8,20,3,6,0,0,0,0,0,0,0,647,849,76.2,12,43,4,1,60,11239,2434,289,345,83.8,254,301,84.4,72,146,49.3,29,23,4,1,0,1,0,0,0,0,0,0,0,0,463,2089,778,4,10,0,27,20,641,7,24,17,70.8,7,29.2,37,21,15,21,1,13,48,27.1,35,35,6,29,45,82,46,1,48,32,60,MF
2408,Elseid Hysaj,"3,125",6,60,86.5,48.1,51.1,1693,43,64,2017-2018,23,al ALB,Napoli,it Serie A,35,"3,125",34.7,35,0,2,0,1,1,0,0,0,0,2341,2705,86.5,20,124,23,7,144,32073,9074,1497,1615,92.7,650,762,85.3,101,154,65.6,60,50,4,3,0,0,3,6,5,0,1,0,0,0,1693,7501,4342,105,92,9,43,27,1964,185,47,24,51.1,23,48.9,64,45,28,30,6,32,56,57.1,24,35,4,31,43,107,68,4,37,40,48.1,DF
2409,Lorenzo Insigne,"3,090",20,224,83.1,23.1,53.4,2167,17,29,2017-2018,26,it ITA,Napoli,it Serie A,37,"3,090",34.3,36,1,0,8,11,19,7,1,1,0,2137,2573,83.1,102,112,81,10,186,26710,5243,1462,1590,91.9,465,599,77.6,76,147,51.7,224,186,1,20,14,1,2,20,14,0,3,3,0,0,2167,10818,6438,206,167,77,87,56,2625,674,116,62,53.4,54,46.6,29,17,11,13,5,13,33,39.4,20,20,0,20,17,46,4,0,3,10,23.1,FW
2410,Milan Škriniar,"3,420",5,31,91,58.4,100,1763,35,86,2017-2018,22,sk SVK,Inter,it Serie A,38,"3,420",38,38,0,0,4,0,4,4,0,0,0,2172,2387,91,8,95,3,0,144,37320,14999,977,1034,94.5,1004,1068,94,158,234,67.5,31,26,0,1,1,1,2,5,3,0,0,1,1,0,1763,10509,6977,23,19,0,16,15,1867,9,19,19,100,0,0,86,55,69,16,1,44,70,62.9,26,38,26,12,35,121,180,0,66,47,58.4,DF
2411,Miranda,"2,726",0,18,87.3,58,66.7,1263,38,48,2017-2018,32,br BRA,Inter,it Serie A,31,"2,726",30.3,31,0,2,0,0,0,0,0,0,0,1498,1716,87.3,5,59,2,0,78,27255,11544,581,621,93.6,754,828,91.1,135,215,62.8,18,14,0,2,2,0,0,0,0,0,0,0,0,0,1263,6835,3835,12,11,0,6,11,1297,8,9,6,66.7,3,33.3,48,37,38,10,0,22,25,88,3,30,23,7,38,86,131,2,58,42,58,DF
2412,Christian Maggio,641,1,7,83.7,58.8,14.3,248,13,17,2017-2018,35,it ITA,Napoli,it Serie A,13,641,7.1,6,7,25,0,0,0,0,0,0,0,394,471,83.7,3,18,5,3,26,5733,1608,234,262,89.3,130,153,85,22,33,66.7,7,4,2,0,0,1,0,1,0,1,0,0,0,0,248,872,465,13,11,0,4,4,304,28,7,1,14.3,6,85.7,17,10,9,6,2,7,19,36.8,12,15,4,11,13,30,21,0,20,14,58.8,DF
2413,Alin Toșca,"1,170",0,10,87.3,71,85.7,525,13,11,2017-2018,25,ro ROU,Benevento,it Serie A,13,"1,170",13,13,0,2,0,0,0,0,0,0,0,635,727,87.3,2,46,1,1,53,11377,4512,260,283,91.9,314,336,93.5,53,85,62.4,10,8,1,0,0,1,0,0,0,0,0,0,0,0,525,3577,2593,17,13,0,2,1,585,3,7,6,85.7,1,14.3,11,8,7,4,0,6,12,50,6,9,4,5,13,24,69,0,22,9,71,DF
2414,Maximiliano Olivera,412,0,9,78.4,66.7,100,171,11,12,2017-2018,25,uy URU,Fiorentina,it Serie A,7,412,4.6,4,3,31,0,0,0,0,0,0,0,218,278,78.4,4,7,6,3,17,4031,1429,90,100,90,104,127,81.9,22,38,57.9,9,6,2,0,0,0,1,0,0,0,0,0,0,0,171,867,445,3,6,0,3,3,201,22,1,1,100,0,0,12,9,5,4,3,3,8,37.5,5,4,1,3,11,23,11,0,6,3,66.7,DF
2415,Thomas Heurtaux,"1,392",0,4,80.8,54.5,50,269,37,14,2017-2018,29,fr FRA,Hellas Verona,it Serie A,17,"1,392",15.5,16,1,14,0,0,0,0,0,0,0,429,531,80.8,1,21,2,0,22,9105,3294,133,152,87.5,218,238,91.6,73,127,57.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,269,1592,831,1,3,1,3,0,392,0,2,1,50,1,50,14,11,12,2,0,4,8,50,4,25,16,9,37,51,97,1,18,15,54.5,DF
2416,Andrea Barberis,"3,029",5,68,70.8,44,75,628,58,80,2017-2018,23,it ITA,Crotone,it Serie A,38,"3,029",33.7,34,4,0,2,1,3,2,0,0,0,813,1148,70.8,34,79,16,6,116,13858,4950,376,458,82.1,326,437,74.6,81,172,47.1,68,41,18,1,3,2,3,5,2,1,0,1,1,0,628,2598,1104,16,25,1,58,37,682,56,24,18,75,6,25,80,44,33,42,5,16,68,23.5,52,52,5,47,58,138,67,1,40,51,44,MF
2417,Simone Missiroli,"2,918",5,76,73.4,60.6,65.7,768,67,62,2017-2018,31,it ITA,Sassuolo,it Serie A,35,"2,918",32.4,33,2,2,1,1,2,1,0,0,0,930,1267,73.4,32,122,14,5,164,16116,5343,414,532,77.8,422,542,77.9,74,130,56.9,76,63,0,3,4,3,3,5,3,0,1,0,1,0,768,4843,2251,47,45,2,30,24,979,103,35,23,65.7,12,34.3,62,37,25,31,6,14,72,19.4,58,46,8,38,67,129,70,0,129,84,60.6,MF
2418,Vasco Regini,"1,077",0,6,85.8,56.7,75,378,11,13,2017-2018,26,it ITA,Sampdoria,it Serie A,14,"1,077",12,10,4,24,0,0,0,0,0,0,0,581,677,85.8,3,33,2,2,42,10196,3943,240,259,92.7,292,325,89.8,41,79,51.9,6,5,0,0,1,0,0,0,0,0,0,0,0,0,378,2330,1481,22,12,2,7,6,538,13,12,9,75,3,25,13,7,11,0,2,6,11,54.5,5,14,7,7,11,24,68,0,17,13,56.7,DF
2419,Marcelo Brozović,"1,926",14,110,84.3,35,70.3,1363,18,60,2017-2018,24,hr CRO,Inter,it Serie A,31,"1,926",21.4,21,10,3,4,8,12,4,0,0,0,1510,1792,84.3,59,197,48,5,239,27124,8738,695,758,91.7,562,657,85.5,202,279,72.4,110,78,26,1,3,2,0,14,8,4,0,1,1,0,1363,6557,2895,46,54,8,35,28,1572,118,37,26,70.3,11,29.7,60,43,21,31,8,19,63,30.2,44,30,7,23,18,78,18,0,21,39,35,MF
2420,Giovanni Simeone,"2,998",11,92,68.3,22.3,52.5,620,12,32,2017-2018,22,ar ARG,Fiorentina,it Serie A,38,"2,998",33.3,36,2,0,14,4,18,14,0,0,0,383,561,68.3,37,24,14,0,32,4452,786,240,303,79.2,69,123,56.1,15,33,45.5,92,65,0,12,8,4,3,11,5,0,4,1,1,0,620,3444,1255,58,31,26,108,66,718,245,61,32,52.5,29,47.5,32,23,9,17,6,8,40,20,32,27,1,26,12,44,32,0,43,150,22.3,FW
2421,Vincent Laurini,"1,608",3,37,77.8,52.1,92.9,562,11,34,2017-2018,28,fr FRA,Fiorentina,it Serie A,22,"1,608",17.9,20,2,8,0,1,1,0,0,0,0,860,1106,77.8,15,83,25,19,100,15141,6487,385,440,87.5,372,457,81.4,88,167,52.7,37,30,6,1,0,0,0,3,3,0,0,0,0,0,562,2602,1451,27,21,1,18,6,693,40,14,13,92.9,1,7.1,34,23,21,9,4,12,22,54.5,10,20,5,15,11,45,72,1,25,23,52.1,DF
2422,Antonio Candreva,"2,537",16,139,71.6,0,65.8,1282,22,12,2017-2018,30,it ITA,Inter,it Serie A,36,"2,537",28.2,33,3,2,0,7,7,0,0,0,0,1174,1639,71.6,71,62,63,28,120,18652,4954,691,774,89.3,317,476,66.6,124,254,48.8,139,95,26,8,7,2,1,16,14,2,0,0,0,0,1282,9069,4572,158,104,37,48,27,1488,337,76,50,65.8,26,34.2,12,7,7,5,0,8,39,20.5,31,20,2,18,22,34,24,0,0,3,0,FW
2423,Leonardo Spinazzola,"1,503",3,36,75.6,50,69.1,695,18,14,2017-2018,24,it ITA,Atalanta,it Serie A,18,"1,503",16.7,17,1,2,0,3,3,0,0,0,0,741,980,75.6,15,47,33,15,78,12099,3892,382,431,88.6,242,303,79.9,75,153,49,36,28,1,4,1,2,0,3,3,0,0,0,0,0,695,5527,3143,93,55,14,26,24,755,108,55,38,69.1,17,30.9,14,5,9,4,1,7,15,46.7,8,25,6,19,18,32,44,1,9,9,50,DF
2424,Everton Luiz,642,0,5,82,33.3,60,171,10,22,2017-2018,29,br BRA,SPAL,it Serie A,11,642,7.1,7,4,5,0,0,0,0,0,0,0,200,244,82,4,17,3,1,18,3246,837,85,99,85.9,94,102,92.2,12,22,54.5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,171,980,474,5,7,0,10,5,183,5,10,6,60,4,40,22,16,10,10,2,6,29,20.7,23,8,1,7,10,32,8,1,3,6,33.3,MF
