,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
201,Chris Ramos,1,710,2022-2023,25,es ESP,Cádiz,es La Liga,15,710,7.9,7,8,2,1,0,1,1,0,0,0,FW
202,Álvaro Rodríguez,1,79,2022-2023,18,uy URU,Real Madrid,es La Liga,6,79,0.9,0,6,3,1,1,2,1,0,0,0,FW
203,Darko Brašanac,1,"1,041",2022-2023,30,rs SRB,Osasuna,es La Liga,25,"1,041",11.6,9,16,2,1,1,2,1,0,0,0,MF
204,Jules Koundé,1,"2,426",2022-2023,23,fr FRA,Barcelona,es La Liga,29,"2,426",27,28,1,2,1,3,4,1,0,0,0,DF
205,Thomas Lemar,1,"1,252",2022-2023,26,fr FRA,Atlético Madrid,es La Liga,27,"1,252",13.9,17,10,2,1,3,4,1,0,0,0,MF
206,Pau Torres,1,"3,054",2022-2023,25,es ESP,Villarreal,es La Liga,34,"3,054",33.9,34,0,1,1,0,1,1,0,0,0,DF
207,Gonzalo Plata,1,"2,302",2022-2023,21,ec ECU,Valladolid,es La Liga,34,"2,302",25.6,26,8,0,1,5,6,1,0,0,0,FW
208,Tanguy Nianzou,1,"1,366",2022-2023,20,fr FRA,Sevilla,es La Liga,19,"1,366",15.2,16,3,8,1,0,1,1,0,0,0,DF
209,Josan,1,"1,078",2022-2023,32,es ESP,Elche,es La Liga,26,"1,078",12,9,17,10,1,3,4,1,0,0,0,"DF,MF"
210,José Carlos Lazo,1,179,2022-2023,26,es ESP,2 Teams,es La Liga,11,179,2,0,11,24,1,1,2,1,0,0,0,"MF,FW"
211,Igor Zubeldia,1,"2,542",2022-2023,25,es ESP,Real Sociedad,es La Liga,31,"2,542",28.2,29,2,4,1,1,2,1,0,0,0,DF
212,Alejandro Balde,1,"2,471",2022-2023,18,es ESP,Barcelona,es La Liga,33,"2,471",27.5,30,3,4,1,6,7,1,0,0,0,DF
213,Asier Illarramendi,1,"1,076",2022-2023,32,es ESP,Real Sociedad,es La Liga,24,"1,076",12,13,11,13,1,0,1,1,0,0,0,MF
214,Javi Sánchez,1,"2,392",2022-2023,25,es ESP,Valladolid,es La Liga,32,"2,392",26.6,28,4,2,1,0,1,1,0,0,0,DF
215,César de la Hoz,1,"1,673",2022-2023,30,es ESP,Almería,es La Liga,25,"1,673",18.6,18,7,8,1,0,1,1,0,0,0,MF
216,Toni Villa,1,986,2022-2023,27,es ESP,2 Teams,es La Liga,26,986,11,13,13,3,1,3,4,1,0,0,0,MF
217,Álvaro Negredo,1,757,2022-2023,36,es ESP,Cádiz,es La Liga,21,757,8.4,9,12,13,1,2,3,1,0,0,0,FW
218,Ronaël Pierre-Gabriel,1,236,2022-2023,24,fr FRA,Espanyol,es La Liga,8,236,2.6,2,6,9,1,0,1,1,0,0,0,DF
219,Vinicius Souza,1,"2,428",2022-2023,23,br BRA,Espanyol,es La Liga,34,"2,428",27,27,7,2,1,1,2,1,0,0,0,MF
220,Juan Foyth,1,"1,958",2022-2023,24,ar ARG,Villarreal,es La Liga,24,"1,958",21.8,22,2,3,1,0,1,1,0,0,0,DF
221,Papu Gómez,1,"1,065",2022-2023,34,ar ARG,Sevilla,es La Liga,19,"1,065",11.8,11,8,4,1,1,2,1,0,0,0,"FW,MF"
222,Iván Sánchez,1,"1,154",2022-2023,29,es ESP,Valladolid,es La Liga,25,"1,154",12.8,13,12,11,1,1,2,1,0,0,0,"MF,FW"
223,Pape Gueye,1,"1,171",2022-2023,23,sn SEN,Sevilla,es La Liga,16,"1,171",13,15,1,0,1,3,4,1,0,0,0,MF
