,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
401,Kiliann Sildillia,"1,977",5,28,71.4,49.4,44.4,650,21,33,2022-2023,20,fr FRA,Freiburg,de Bundesliga,27,"1,977",22,23,4,4,0,2,2,0,0,0,0,787,1103,71.4,10,69,9,4,81,14814,5194,316,402,78.6,333,448,74.3,118,183,64.5,28,16,8,1,1,2,0,5,2,1,1,1,0,0,650,3159,1546,20,24,2,21,15,693,47,27,12,44.4,14,51.9,33,20,10,19,4,18,30,60,12,24,9,15,21,54,47,1,42,43,49.4,"DF,MF"
402,Michael Frey,868,4,15,57.2,41.7,25,201,2,13,2022-2023,28,ch SUI,Schalke 04,de Bundesliga,15,868,9.6,10,5,4,0,3,3,0,0,0,0,127,222,57.2,10,14,5,2,22,1706,507,81,129,62.8,33,49,67.3,4,12,33.3,15,13,0,0,2,0,0,4,4,0,0,0,0,0,201,786,231,10,8,3,40,12,280,65,20,5,25,12,60,13,5,2,8,3,4,13,30.8,9,6,0,6,2,15,1,0,43,60,41.7,FW
403,Danny Latza,853,0,15,78.7,40,30.8,244,5,17,2022-2023,32,de GER,Schalke 04,de Bundesliga,20,853,9.5,8,12,7,0,1,1,0,0,0,0,310,394,78.7,4,21,5,2,33,5376,1274,132,151,87.4,137,163,84,31,51,60.8,15,6,4,0,3,2,0,0,0,0,0,0,0,0,244,1080,561,11,3,1,7,8,282,15,13,4,30.8,8,61.5,17,13,8,8,1,5,17,29.4,12,16,1,15,5,22,15,0,14,21,40,MF
404,Julian Weigl,"1,894",2,22,89.1,58.1,69.2,745,18,43,2022-2023,26,de GER,Gladbach,de Bundesliga,23,"1,894",21,21,2,1,1,0,1,0,1,1,0,1072,1203,89.1,6,66,5,0,82,19320,5266,444,476,93.3,513,552,92.9,98,137,71.5,22,21,0,0,0,1,0,2,2,0,0,0,0,0,745,2991,1462,7,11,0,2,2,979,7,13,9,69.2,1,7.7,43,16,21,21,1,23,41,56.1,18,23,2,21,18,61,32,0,18,13,58.1,MF
405,Lee Jae-sung,"1,894",11,58,71.8,46.4,67.6,537,17,38,2022-2023,29,kr KOR,Mainz 05,de Bundesliga,34,"1,894",21,24,10,0,7,5,12,7,0,0,0,564,785,71.8,27,44,26,7,69,8491,2102,298,371,80.3,198,255,77.6,37,78,47.4,58,47,0,2,6,2,1,11,8,0,0,2,0,1,537,2426,1038,29,24,9,44,25,649,103,37,25,67.6,6,16.2,38,17,9,21,8,16,36,44.4,20,29,5,24,17,55,21,0,39,45,46.4,MF
406,Nico Schlotterbeck,"2,252",7,32,86.3,64.5,57.9,1342,32,59,2022-2023,22,de GER,Dortmund,de Bundesliga,28,"2,252",25,27,1,3,4,5,9,4,0,0,0,1648,1910,86.3,14,137,11,0,159,33135,11360,558,609,91.6,860,920,93.5,215,335,64.2,32,24,0,2,3,1,2,7,5,0,0,0,0,2,1342,6598,4158,39,39,1,14,8,1510,14,19,11,57.9,4,21.1,59,34,34,24,1,37,53,69.8,16,38,21,17,32,91,71,1,60,33,64.5,DF
407,Anthony Modeste,813,1,12,57.5,47.1,0,91,2,4,2022-2023,34,fr FRA,Dortmund,de Bundesliga,19,813,9,7,12,12,2,1,3,2,0,0,0,73,127,57.5,7,5,5,1,8,940,170,40,60,66.7,22,44,50,2,4,50,12,10,0,0,2,0,0,1,1,0,0,0,0,0,91,299,94,3,1,2,18,9,142,36,4,0,0,4,100,4,4,2,0,2,2,5,40,3,7,0,7,2,6,22,0,33,37,47.1,FW
408,Tuta,"2,718",1,20,80.1,45.5,55,1332,49,53,2022-2023,23,br BRA,Eint Frankfurt,de Bundesliga,31,"2,718",30.2,30,1,0,2,1,3,2,0,0,0,1486,1855,80.1,6,94,6,1,107,28536,10513,483,544,88.8,828,945,87.6,161,314,51.3,20,15,0,2,2,0,1,1,1,0,0,0,0,0,1332,6758,3475,23,18,2,27,13,1380,17,20,11,55,9,45,53,35,27,19,7,33,57,57.9,24,47,14,33,49,102,134,2,51,61,45.5,DF
409,Marco Reus,"1,353",7,52,79.2,36.4,36,426,8,30,2022-2023,33,de GER,Dortmund,de Bundesliga,25,"1,353",15,14,11,0,6,4,10,5,1,1,0,450,568,79.2,20,27,9,1,45,5844,1398,259,309,83.8,148,170,87.1,9,24,37.5,52,36,4,1,9,2,0,7,3,1,0,2,1,0,426,2098,1006,33,25,11,29,16,510,78,25,9,36,13,52,30,17,12,14,4,7,24,29.2,17,12,4,8,8,38,8,0,12,21,36.4,"MF,FW"
410,Florian Neuhaus,"1,405",4,46,79.2,23.1,35.3,488,12,19,2022-2023,25,de GER,Gladbach,de Bundesliga,23,"1,405",15.6,16,7,2,1,0,1,1,0,0,0,510,644,79.2,16,55,15,2,78,7872,2540,282,318,88.7,183,220,83.2,30,53,56.6,46,40,0,1,2,2,1,4,4,0,0,0,0,0,488,2184,1238,26,26,4,22,14,597,56,34,12,35.3,15,44.1,19,9,9,5,5,8,27,29.6,19,20,3,17,12,31,5,0,3,10,23.1,MF
411,Thomas Ouwejan,903,2,29,58.6,23.5,20,238,13,20,2022-2023,25,nl NED,Schalke 04,de Bundesliga,17,903,10,10,7,6,0,1,1,0,0,0,0,295,503,58.6,18,21,15,7,41,5638,3049,118,149,79.2,135,190,71.1,36,123,29.3,29,12,16,0,0,0,1,2,0,2,0,0,0,0,238,1297,525,14,13,1,9,4,251,21,5,1,20,4,80,20,8,13,5,2,6,10,60,4,17,4,13,13,33,27,0,4,13,23.5,DF
412,Sebastian Polter,630,4,16,52.5,52.7,50,107,1,4,2022-2023,31,de GER,Schalke 04,de Bundesliga,19,630,7,5,14,1,2,3,5,2,0,0,0,84,160,52.5,9,5,5,0,11,1126,290,44,80,55,28,50,56,1,4,25,16,13,0,0,2,1,0,4,3,0,0,0,1,0,107,373,131,4,4,2,26,11,168,32,4,2,50,2,50,4,3,0,4,0,1,4,25,3,4,0,4,1,5,6,0,39,35,52.7,FW
413,Ramy Bensebaini,"2,481",5,37,78.2,62.4,37.5,940,36,34,2022-2023,27,dz ALG,Gladbach,de Bundesliga,28,"2,481",27.6,28,0,0,6,1,7,4,2,2,0,1192,1525,78.2,15,81,30,3,101,20015,7769,594,658,90.3,478,576,83,96,203,47.3,37,25,3,3,5,1,0,5,3,0,0,1,1,0,940,4235,2012,40,24,11,35,18,1061,98,32,12,37.5,16,50,34,21,21,10,3,26,39,66.7,13,44,14,30,36,70,98,1,68,41,62.4,DF
414,Jesper Lindstrøm,"1,679",10,55,63.2,20,32.6,440,9,26,2022-2023,22,dk DEN,Eint Frankfurt,de Bundesliga,27,"1,679",18.7,22,5,0,7,2,9,7,0,0,0,325,514,63.2,19,20,15,2,33,4294,1166,208,279,74.6,83,129,64.3,14,39,35.9,55,25,7,8,10,4,1,10,2,0,4,3,1,0,440,2951,1473,65,41,40,65,34,507,136,86,28,32.6,52,60.5,26,11,15,7,4,7,22,31.8,15,25,3,22,9,35,9,0,6,24,20,"MF,FW"
415,Dennis Geiger,"1,952",7,57,81.8,30.8,56.3,525,24,45,2022-2023,24,de GER,Hoffenheim,de Bundesliga,27,"1,952",21.7,27,0,1,1,3,4,1,0,0,0,697,852,81.8,35,74,15,1,99,12742,4292,293,325,90.2,306,351,87.2,79,127,62.2,57,38,14,2,1,0,2,7,6,1,0,0,0,0,525,2874,1267,21,11,0,22,8,582,22,16,9,56.3,5,31.3,45,25,15,28,2,22,35,62.9,13,27,3,24,24,69,18,2,8,18,30.8,MF
416,Angelo Stiller,704,3,16,76.9,61.5,42.9,226,10,26,2022-2023,21,de GER,Hoffenheim,de Bundesliga,20,704,7.8,6,14,6,1,1,2,1,0,0,0,279,363,76.9,3,26,5,0,34,4425,1193,154,183,84.2,93,111,83.8,22,34,64.7,16,14,1,0,0,1,0,3,3,0,0,0,0,0,226,951,357,4,7,0,15,11,266,16,7,3,42.9,3,42.9,26,12,9,13,4,8,12,66.7,4,12,2,10,10,36,14,0,16,10,61.5,MF
417,Luca Pellegrini,557,0,14,67.7,62.5,42.3,240,7,13,2022-2023,23,it ITA,Eint Frankfurt,de Bundesliga,9,557,6.2,7,2,1,0,0,0,0,0,0,0,292,431,67.7,8,16,4,2,22,5244,2035,140,164,85.4,106,137,77.4,38,90,42.2,14,6,5,1,0,2,0,0,0,0,0,0,0,0,240,1188,674,19,17,2,7,5,267,28,26,11,42.3,12,46.2,13,8,10,3,0,8,8,100,0,8,2,6,7,20,11,1,5,3,62.5,DF
418,Edimilson Fernandes,"2,437",5,36,69.9,47.5,68,768,54,35,2022-2023,26,ch SUI,Mainz 05,de Bundesliga,32,"2,437",27.1,28,4,2,0,3,3,0,0,0,0,832,1190,69.9,15,67,14,5,67,17686,6806,286,323,88.5,372,456,81.6,157,352,44.6,36,18,13,2,2,1,0,5,1,3,0,1,0,0,768,3634,1792,15,12,3,15,14,739,23,25,17,68,4,16,35,25,26,5,4,18,34,52.9,16,37,16,21,54,89,87,2,38,42,47.5,DF
419,Thomas Müller,"1,665",12,86,74.7,61.9,50,574,4,21,2022-2023,32,de GER,Bayern Munich,de Bundesliga,27,"1,665",18.5,21,6,0,7,8,15,7,0,0,0,621,831,74.7,40,39,37,4,88,8689,2465,351,417,84.2,214,281,76.2,22,52,42.3,86,74,2,4,5,0,1,12,10,0,0,2,0,0,574,2013,1010,33,24,11,49,20,791,182,18,9,50,9,50,21,12,5,9,7,6,16,37.5,10,19,3,16,4,25,16,0,39,24,61.9,"FW,MF"
420,Fredrik Jensen,924,1,20,53.9,36.5,33.3,206,4,15,2022-2023,24,fi FIN,Augsburg,de Bundesliga,20,924,10.3,8,12,3,2,1,3,2,0,0,0,160,297,53.9,13,22,11,2,24,2978,1073,75,104,72.1,56,103,54.4,24,57,42.1,20,17,3,0,0,0,0,1,1,0,0,0,0,0,206,853,306,3,9,2,23,19,243,62,12,4,33.3,8,66.7,15,10,8,3,4,5,10,50,5,12,5,7,4,19,12,0,19,33,36.5,"FW,MF"
421,André Silva,"1,738",10,63,73.2,36.4,34.4,478,3,12,2022-2023,26,pt POR,RB Leipzig,de Bundesliga,31,"1,738",19.3,20,11,3,4,3,7,4,0,0,0,349,477,73.2,26,16,13,0,37,4277,862,241,291,82.8,75,104,72.1,9,14,64.3,63,46,0,4,7,6,0,10,7,0,0,3,0,0,478,2386,984,35,21,23,65,43,556,142,61,21,34.4,29,47.5,12,6,2,5,5,3,8,37.5,5,11,1,10,3,15,3,0,20,35,36.4,FW
422,Márton Dárdai,947,1,10,59.5,50,75,219,11,17,2022-2023,20,hu HUN,Hertha BSC,de Bundesliga,17,947,10.5,11,6,9,1,0,1,1,0,0,0,225,378,59.5,4,19,2,0,21,4843,2114,66,91,72.5,120,162,74.1,38,115,33,10,9,0,0,0,1,0,1,1,0,0,0,0,0,219,1042,608,2,1,0,4,4,236,0,4,3,75,0,0,17,8,9,8,0,9,18,50,9,14,9,5,11,28,45,1,17,17,50,"DF,MF"
423,Christoph Baumgartner,"2,567",12,89,66.7,49,46.6,767,15,36,2022-2023,22,at AUT,Hoffenheim,de Bundesliga,33,"2,567",28.5,33,0,0,7,3,10,7,0,0,0,610,915,66.7,24,70,35,4,100,9280,2767,340,449,75.7,188,257,73.2,47,86,54.7,89,60,0,11,5,12,1,12,5,0,2,1,4,0,767,4948,2487,76,59,33,81,36,900,145,116,54,46.6,47,40.5,36,19,12,17,7,9,52,17.3,43,57,5,52,15,51,19,1,72,75,49,"MF,FW"
424,Obite N'Dicka,"2,692",1,13,86.1,61.6,60,1265,31,25,2022-2023,22,ci CIV,Eint Frankfurt,de Bundesliga,30,"2,692",29.9,30,0,1,1,0,1,1,0,0,0,1563,1815,86.1,3,74,3,0,94,26918,10983,683,736,92.8,750,834,89.9,108,199,54.3,13,12,0,1,0,0,0,1,1,0,0,0,0,0,1265,5821,3115,16,14,2,18,5,1394,5,10,6,60,3,30,25,18,10,11,4,18,32,56.3,14,47,19,28,31,56,150,0,77,48,61.6,DF
425,Ridle Baku,"2,580",7,64,78.4,41.5,37.7,1052,21,50,2022-2023,24,de GER,Wolfsburg,de Bundesliga,33,"2,580",28.7,29,4,0,5,3,8,5,0,0,0,1216,1551,78.4,28,116,37,14,126,22159,7294,486,563,86.3,593,719,82.5,121,202,59.9,64,50,2,4,4,4,0,7,5,0,1,1,0,0,1052,4917,2381,50,23,8,59,20,1155,157,61,23,37.7,27,44.3,50,26,29,17,4,32,58,55.2,26,44,6,38,21,71,59,0,22,31,41.5,"DF,FW"
426,Maximilian Bauer,"1,846",1,15,72.7,58.2,40,461,23,31,2022-2023,22,de GER,Augsburg,de Bundesliga,27,"1,846",20.5,20,7,6,0,1,1,0,0,0,0,551,758,72.7,4,30,2,0,40,11267,4449,177,208,85.1,290,342,84.8,74,178,41.6,15,5,2,0,4,3,1,1,0,1,0,0,0,0,461,2267,1272,11,8,0,10,5,501,2,5,2,40,1,20,31,17,18,12,1,17,34,50,17,25,9,16,23,54,79,1,71,51,58.2,DF
427,Benjamin Pavard,"2,431",3,45,88.3,66,0,1660,44,70,2022-2023,26,fr FRA,Bayern Munich,de Bundesliga,30,"2,431",27,27,3,3,4,1,5,4,0,0,0,2120,2400,88.3,19,184,21,9,202,37520,14296,867,940,92.2,1064,1162,91.6,155,231,67.1,45,37,0,0,4,0,4,3,2,0,0,0,0,1,1660,7436,4097,37,21,2,11,2,1947,65,6,0,0,1,16.7,70,41,36,26,8,36,48,75,12,35,16,19,44,114,83,0,64,33,66,DF
428,Lee Buchanan,472,0,7,67,53.3,0,168,12,14,2022-2023,21,eng ENG,Werder Bremen,de Bundesliga,21,472,5.2,2,19,9,1,0,1,1,0,0,0,179,267,67,5,16,5,2,21,3373,1351,74,93,79.6,77,107,72,26,61,42.6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,168,724,348,10,4,1,7,3,185,20,7,0,0,6,85.7,14,10,2,11,1,6,12,50,6,5,0,5,12,26,21,0,8,7,53.3,"DF,FW"
429,Ludovic Ajorque,"1,211",3,34,58.6,51.7,58.3,253,1,6,2022-2023,28,fr FRA,Mainz 05,de Bundesliga,17,"1,211",13.5,15,2,0,6,1,7,6,0,0,0,243,415,58.6,13,17,8,0,31,3550,613,153,231,66.2,55,104,52.9,22,28,78.6,34,26,0,0,5,3,0,3,2,0,0,1,0,0,253,989,267,5,11,1,46,13,415,85,12,7,58.3,4,33.3,6,5,1,4,1,1,9,11.1,8,8,2,6,1,7,8,0,91,85,51.7,"FW,MF"
430,Marcin Kamiński,632,1,12,80.9,63,100,171,9,6,2022-2023,30,pl POL,Schalke 04,de Bundesliga,8,632,7,7,1,10,2,0,2,2,0,0,0,254,314,80.9,2,20,1,0,25,5229,2285,81,88,92,124,144,86.1,47,73,64.4,12,11,0,1,0,0,0,1,1,0,0,0,0,0,171,643,387,2,1,0,4,1,191,3,1,1,100,0,0,6,4,4,0,2,2,4,50,2,8,7,1,9,15,28,0,29,17,63,DF
431,Nico Elvedi,"2,826",1,17,91.5,59.7,33.3,1517,35,46,2022-2023,25,ch SUI,Gladbach,de Bundesliga,32,"2,826",31.4,32,0,0,3,0,3,3,0,0,0,1967,2149,91.5,5,50,1,0,83,36425,11114,704,749,94,1082,1140,94.9,157,209,75.1,17,17,0,0,0,0,0,1,1,0,0,0,0,0,1517,7687,4018,20,19,1,8,3,1748,5,3,1,33.3,2,66.7,46,24,32,12,2,27,41,65.9,14,31,16,15,35,81,149,3,71,48,59.7,DF
432,Joshua Kimmich,"2,809",15,142,84.3,33.3,52,1762,41,78,2022-2023,27,de GER,Bayern Munich,de Bundesliga,33,"2,809",31.2,32,1,0,5,6,11,4,1,1,0,2333,2767,84.3,84,272,68,4,315,43859,14050,954,1017,93.8,1036,1151,90,306,512,59.8,142,82,55,1,2,1,1,15,12,2,0,1,0,0,1762,8923,3443,42,31,4,26,26,2065,56,25,13,52,8,32,78,49,24,46,8,38,72,52.8,34,36,7,29,41,119,39,2,16,32,33.3,MF
433,Christoph Kramer,"2,222",2,39,82.7,46.2,43.8,772,17,44,2022-2023,31,de GER,Gladbach,de Bundesliga,29,"2,222",24.7,27,2,2,0,0,0,0,0,0,0,1020,1233,82.7,15,61,11,2,79,14647,4393,595,663,89.7,331,392,84.4,43,70,61.4,39,34,0,2,1,2,0,2,2,0,0,0,0,0,772,3287,1556,26,28,6,26,30,1013,60,48,21,43.8,24,50,44,33,24,15,5,22,55,40,33,34,2,32,17,61,40,0,24,28,46.2,MF
434,Timo Werner,"1,937",7,54,73.7,31.3,42.2,578,7,10,2022-2023,26,de GER,RB Leipzig,de Bundesliga,27,"1,937",21.5,23,4,0,9,3,12,9,0,0,0,505,685,73.7,20,38,19,2,51,7147,1425,301,360,83.6,162,222,73,22,35,62.9,54,40,0,6,7,1,0,7,6,0,1,0,0,0,578,3302,1482,65,20,44,53,21,716,209,64,27,42.2,32,50,10,5,4,3,3,4,12,33.3,8,12,0,12,7,17,5,0,5,11,31.3,"FW,MF"
435,Stefan Lainer,817,0,13,81.1,50,18.2,382,14,16,2022-2023,29,at AUT,Gladbach,de Bundesliga,17,817,9.1,9,8,12,0,0,0,0,0,0,0,501,618,81.1,8,38,13,7,45,7802,2734,266,299,89,196,235,83.4,27,53,50.9,13,11,1,0,0,1,0,0,0,0,0,0,0,0,382,1792,908,23,8,5,12,4,477,39,11,2,18.2,8,72.7,16,8,10,5,1,10,23,43.5,13,8,1,7,14,30,34,1,8,8,50,DF
436,Angelo Fulgini,525,1,18,79,25,32,199,5,6,2022-2023,25,fr FRA,Mainz 05,de Bundesliga,16,525,5.8,5,11,2,0,1,1,0,0,0,0,188,238,79,8,13,10,1,29,2496,683,123,139,88.5,48,69,69.6,6,15,40,18,17,0,0,0,1,0,1,1,0,0,0,0,0,199,800,326,3,6,2,12,7,228,43,25,8,32,14,56,6,5,2,3,1,5,12,41.7,7,5,0,5,5,11,7,0,4,12,25,MF
