,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1001,Mickael Nade,"2,563",1,20,81,67.7,66.7,882,60,57,2021-2022,22,fr FRA,Saint-Étienne,fr Ligue 1,30,"2,563",28.5,29,1,8,1,0,1,1,0,0,0,985,1216,81,5,73,2,0,85,18889,6177,336,403,83.4,509,573,88.8,113,194,58.2,20,14,1,1,0,1,3,1,1,0,0,0,0,0,882,4179,2279,10,17,1,14,10,887,4,15,10,66.7,5,33.3,57,35,37,18,2,23,38,60.5,15,29,15,14,60,117,84,0,67,32,67.7,DF
1002,Jean Lucas,"1,445",2,37,77.8,35.9,65.1,649,13,43,2021-2022,23,br BRA,Monaco,fr Ligue 1,28,"1,445",16.1,18,10,10,1,1,2,1,0,0,0,638,820,77.8,17,74,15,5,81,10614,2591,317,364,87.1,234,283,82.7,63,112,56.3,37,18,10,7,1,0,1,2,2,0,0,0,0,0,649,3453,1532,42,37,7,45,24,705,71,43,28,65.1,15,34.9,43,25,14,24,5,17,40,42.5,23,15,5,10,13,56,4,1,14,25,35.9,MF
1003,Pierre-Yves Hamel,553,0,11,70.8,41.7,50,71,2,11,2021-2022,27,fr FRA,2 Teams,fr Ligue 1,20,553,6.1,6,14,6,0,0,0,0,0,0,0,75,106,70.8,4,5,2,0,10,957,134,54,67,80.6,19,27,70.4,1,3,33.3,11,7,0,1,3,0,0,0,0,0,0,0,0,0,71,206,32,2,1,2,17,9,108,16,2,1,50,1,50,11,6,0,5,6,5,7,71.4,2,2,1,1,2,13,0,0,25,35,41.7,"FW,MF"
1004,Amine Gouiri,"2,754",17,132,75.3,33.3,51.2,952,11,22,2021-2022,21,dz ALG,Nice,fr Ligue 1,38,"2,754",30.6,32,6,0,10,9,19,7,3,5,2,786,1044,75.3,49,56,33,8,104,11948,2753,449,525,85.5,232,290,80,69,127,54.3,132,75,19,21,9,7,1,17,14,0,2,0,1,0,952,5886,2807,93,82,40,68,56,1046,198,121,62,51.2,58,47.9,22,13,2,13,7,10,32,31.3,22,22,5,17,11,33,17,1,12,24,33.3,"FW,MF"
1005,Timothée Kolodziejczak,"2,565",4,36,77.4,44.9,71.4,882,60,43,2021-2022,29,fr FRA,Saint-Étienne,fr Ligue 1,30,"2,565",28.5,30,0,3,2,3,5,2,0,0,0,1230,1589,77.4,22,68,18,10,102,21368,8858,554,630,87.9,545,678,80.4,111,209,53.1,36,32,1,0,2,0,1,4,3,0,0,1,0,0,882,4595,2679,38,24,0,21,2,1056,72,7,5,71.4,2,28.6,43,24,22,14,7,20,36,55.6,16,29,7,22,60,103,72,1,31,38,44.9,DF
1006,Axel Disasi,"2,721",0,13,87,62.3,90,1316,26,42,2021-2022,23,fr FRA,Monaco,fr Ligue 1,32,"2,721",30.2,30,2,4,1,0,1,1,0,0,0,1542,1773,87,7,113,5,1,120,31409,12168,433,480,90.2,910,977,93.1,185,283,65.4,13,11,0,0,2,0,0,0,0,0,0,0,0,0,1316,7236,4448,27,13,0,8,5,1373,4,10,9,90,1,10,42,27,20,21,1,23,39,59,16,40,30,10,26,68,75,0,71,43,62.3,DF
1007,Presnel Kimpembe,"2,576",3,18,95.6,71,72.7,1784,38,34,2021-2022,25,fr FRA,Paris S-G,fr Ligue 1,30,"2,576",28.6,29,1,3,1,0,1,1,0,0,0,2154,2254,95.6,2,133,6,2,170,35854,13217,977,1014,96.4,1018,1045,97.4,112,131,85.5,18,17,0,0,1,0,0,3,3,0,0,0,0,0,1784,8989,5253,30,13,1,15,5,1939,16,11,8,72.7,3,27.3,34,19,18,15,1,14,23,60.9,9,20,14,6,38,72,73,1,49,20,71,DF
1008,Samuel Moutoussamy,"1,509",4,21,84.3,30.3,50,544,17,48,2021-2022,24,cd COD,Nantes,fr Ligue 1,30,"1,509",16.8,16,14,4,0,1,1,0,0,0,0,598,709,84.3,6,56,8,2,66,9532,2694,313,355,88.2,216,239,90.4,46,66,69.7,21,19,0,0,1,0,1,4,4,0,0,0,0,0,544,2399,1090,13,14,1,22,8,546,16,20,10,50,10,50,48,32,20,20,8,23,62,37.1,39,14,2,12,17,65,16,0,10,23,30.3,MF
1009,Christopher Wooh,"1,050",3,11,87.1,65.9,73.3,493,21,29,2021-2022,19,cm CMR,Lens,fr Ligue 1,14,"1,050",11.7,11,3,23,0,1,1,0,0,0,0,526,604,87.1,4,34,1,0,36,10040,3466,165,186,88.7,312,339,92,42,63,66.7,11,6,1,2,1,1,0,3,2,0,0,0,1,0,493,3179,1825,16,4,2,13,2,502,0,15,11,73.3,4,26.7,29,11,20,8,1,11,18,61.1,7,21,14,7,21,50,40,1,27,14,65.9,DF
