,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
601,Tobias Figueiredo,"1,649",3,13,82.4,66.3,60,781,30,16,2022-2023,28,pt POR,Hull City,eng Championship,22,"1,649",18.3,18,4,10,0,0,0,0,0,0,0,890,1080,82.4,6,41,1,0,46,17991,6291,268,298,89.9,507,565,89.7,107,186,57.5,13,12,0,0,1,0,0,3,2,0,0,1,0,0,781,4339,2587,10,4,1,10,3,823,6,5,3,60,2,40,16,13,12,3,1,8,13,61.5,5,20,17,3,30,46,98,3,59,30,66.3,DF
602,Dan Potts,"2,008",1,14,65.7,65.2,100,424,26,19,2022-2023,28,eng ENG,Luton Town,eng Championship,25,"2,008",22.3,24,1,4,1,0,1,1,0,0,0,568,865,65.7,4,66,4,2,69,11822,5690,185,239,77.4,285,395,72.2,94,201,46.8,14,9,2,0,2,1,0,1,0,1,0,0,0,0,424,1830,790,6,1,0,9,5,476,9,3,3,100,0,0,19,14,10,7,2,10,13,76.9,3,21,15,6,26,45,102,0,88,47,65.2,DF
603,Alex Mowatt,"1,143",5,35,85.3,57.6,40,538,10,16,2022-2023,27,eng ENG,2 Teams,eng Championship,29,"1,143",12.7,11,18,14,0,2,2,0,0,0,0,689,808,85.3,14,64,18,1,81,10778,3029,348,373,93.3,269,300,89.7,41,81,50.6,35,26,3,0,4,0,2,5,4,0,0,1,0,0,538,2128,844,7,15,1,7,2,674,20,10,4,40,3,30,16,8,6,9,1,7,19,36.8,12,14,3,11,10,26,12,0,19,14,57.6,MF
604,Jeremy Ngakia,824,0,20,68.6,30.4,62.1,260,12,32,2022-2023,21,eng ENG,Watford,eng Championship,14,824,9.2,10,4,6,0,0,0,0,0,0,0,267,389,68.6,7,23,12,5,37,4417,1953,134,162,82.7,111,148,75,16,46,34.8,20,16,1,1,2,0,0,0,0,0,0,0,0,0,260,1497,808,20,10,4,19,6,265,42,29,18,62.1,9,31,32,21,18,12,2,13,20,65,7,11,0,11,12,44,26,0,7,16,30.4,DF
605,Tom Lockyer,"3,443",4,42,66.9,63.3,50,942,63,48,2022-2023,27,wls WAL,Luton Town,eng Championship,39,"3,443",38.3,39,0,5,3,1,4,3,0,0,0,1106,1654,66.9,13,108,14,1,101,26175,12792,282,371,76,564,745,75.7,245,474,51.7,42,33,3,0,6,0,0,4,3,0,0,1,0,0,942,5212,2659,12,16,3,18,8,888,11,18,9,50,4,22.2,48,30,30,17,1,30,52,57.7,22,48,33,15,63,111,196,0,174,101,63.3,DF
606,Joe Ralls,"2,497",3,96,70.8,54.4,47.4,675,28,55,2022-2023,28,eng ENG,Cardiff City,eng Championship,41,"2,497",27.7,30,11,3,1,2,3,1,0,1,1,941,1329,70.8,48,114,30,8,148,16499,5894,440,519,84.8,369,466,79.2,106,259,40.9,96,63,20,0,8,1,4,3,1,1,0,0,0,1,675,2952,1305,24,32,4,24,20,884,58,19,9,47.4,7,36.8,55,34,27,22,6,18,40,45,22,26,8,18,28,83,39,0,31,26,54.4,MF
607,Tom Eaves,577,1,6,52.6,44.2,20,101,3,10,2022-2023,30,eng ENG,Rotherham Utd,eng Championship,20,577,6.4,5,15,8,0,1,1,0,0,0,0,60,114,52.6,3,1,1,0,9,865,173,28,49,57.1,23,43,53.5,3,6,50,6,4,0,1,1,0,0,1,1,0,0,0,0,0,101,435,107,5,4,0,24,20,152,35,5,1,20,3,60,10,9,6,3,1,3,9,33.3,6,3,1,2,3,13,2,1,38,48,44.2,FW
608,Fred Onyedinma,644,2,10,64.4,54.2,26.5,182,11,14,2022-2023,25,eng ENG,Luton Town,eng Championship,17,644,7.2,6,11,6,0,2,2,0,0,0,0,154,239,64.4,4,9,0,0,12,2353,668,80,104,76.9,60,83,72.3,7,22,31.8,10,6,0,3,0,1,0,2,1,0,0,0,1,0,182,1496,607,27,12,15,25,10,191,35,34,9,26.5,17,50,14,6,7,4,3,9,15,60,6,6,0,6,11,25,19,0,13,11,54.2,"DF,MF"
609,Tyrese Campbell,"2,656",12,84,59.7,43.6,29.8,644,16,18,2022-2023,22,eng ENG,Stoke City,eng Championship,41,"2,656",29.5,30,11,1,9,5,14,9,0,0,0,452,757,59.7,30,37,37,14,72,6764,1710,248,366,67.8,146,235,62.1,28,57,49.1,84,59,0,9,10,5,1,12,8,0,0,4,0,0,644,4208,1950,95,60,49,69,43,834,240,104,31,29.8,64,61.5,18,12,6,3,9,9,19,47.4,10,16,2,14,16,34,8,0,44,57,43.6,FW
