,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
1,Artem Dovbyk,24,"2,587",2023-2024,26,ua UKR,Girona,es La Liga,36,"2,587",28.7,32,4,0,24,8,32,17,7,8,1,FW
2,Alexander Sørloth,23,"2,489",2023-2024,27,no NOR,Villarreal,es La Liga,34,"2,489",27.7,30,4,1,23,6,29,23,0,0,0,FW
3,Jude Bellingham,19,"2,315",2023-2024,20,eng ENG,Real Madrid,es La Liga,28,"2,315",25.7,27,1,4,19,6,25,18,1,1,0,MF
4,Robert Lewandowski,19,"2,750",2023-2024,34,pl POL,Barcelona,es La Liga,35,"2,750",30.6,32,3,0,19,8,27,15,4,4,0,FW
5,Ante Budimir,17,"2,435",2023-2024,32,hr CRO,Osasuna,es La Liga,33,"2,435",27.1,29,4,1,17,2,19,14,3,4,1,FW
6,Youssef En-Nesyri,16,"2,570",2023-2024,26,ma MAR,Sevilla,es La Liga,33,"2,570",28.6,28,5,0,16,2,18,15,1,1,0,FW
7,Antoine Griezmann,16,"2,644",2023-2024,32,fr FRA,Atlético Madrid,es La Liga,33,"2,644",29.4,31,2,1,16,6,22,12,4,4,0,"FW,MF"
8,Álvaro Morata,15,"1,904",2023-2024,30,es ESP,Atlético Madrid,es La Liga,32,"1,904",21.2,21,11,2,15,3,18,15,0,1,1,FW
9,Borja Mayoral,15,"2,153",2023-2024,26,es ESP,Getafe,es La Liga,27,"2,153",23.9,25,2,0,15,1,16,11,4,4,0,FW
10,Vinicius Júnior,15,"1,864",2023-2024,23,br BRA,Real Madrid,es La Liga,26,"1,864",20.7,22,4,3,15,5,20,14,1,1,0,FW
11,Gorka Guruzeta,14,"2,217",2023-2024,26,es ESP,Athletic Club,es La Liga,32,"2,217",24.6,30,2,1,14,5,19,14,0,1,1,FW
12,Hugo Duro,13,"2,976",2023-2024,23,es ESP,Valencia,es La Liga,37,"2,976",33.1,35,2,0,13,2,15,13,0,0,0,FW
13,Jørgen Strand Larsen,13,"2,863",2023-2024,23,no NOR,Celta Vigo,es La Liga,37,"2,863",31.8,36,1,0,13,3,16,13,0,0,0,FW
14,Iñaki Williams,12,"2,844",2023-2024,29,gh GHA,Athletic Club,es La Liga,34,"2,844",31.6,32,2,0,12,3,15,12,0,0,0,FW
15,Myrto Uzuni,11,"2,448",2023-2024,28,al ALB,Granada,es La Liga,34,"2,448",27.2,28,6,1,11,1,12,7,4,5,1,FW
16,Joselu,10,"1,687",2023-2024,33,es ESP,Real Madrid,es La Liga,34,"1,687",18.7,15,19,2,10,2,12,10,0,2,2,FW
17,Gerard Moreno,10,"2,215",2023-2024,31,es ESP,Villarreal,es La Liga,30,"2,215",24.6,28,2,2,10,6,16,8,2,3,1,FW
18,Rodrygo,10,"2,380",2023-2024,22,br BRA,Real Madrid,es La Liga,34,"2,380",26.4,28,6,3,10,5,15,10,0,1,1,FW
19,Willian José,10,"1,971",2023-2024,31,br BRA,Betis,es La Liga,33,"1,971",21.9,25,8,2,10,5,15,10,0,0,0,FW
20,Ángel Correa,9,"1,528",2023-2024,28,ar ARG,Atlético Madrid,es La Liga,32,"1,528",17,14,18,3,9,2,11,8,1,1,0,"FW,MF"
21,Sergio Arribas,9,"2,047",2023-2024,21,es ESP,Almería,es La Liga,34,"2,047",22.7,22,12,4,9,4,13,9,0,0,0,"MF,FW"
22,Cristhian Stuani,9,804,2023-2024,36,uy URU,Girona,es La Liga,31,804,8.9,5,26,1,9,3,12,9,0,0,0,FW
23,Iago Aspas,9,"2,707",2023-2024,35,es ESP,Celta Vigo,es La Liga,35,"2,707",30.1,31,4,1,9,10,19,6,3,5,2,FW
24,Ayoze Pérez,9,"2,294",2023-2024,30,es ESP,Betis,es La Liga,31,"2,294",25.5,29,2,1,9,1,10,9,0,0,0,FW
25,Mikel Oyarzabal,9,"2,156",2023-2024,26,es ESP,Real Sociedad,es La Liga,33,"2,156",24,23,10,1,9,3,12,7,2,2,0,"FW,MF"
26,Samu Omorodion,9,"1,998",2023-2024,19,es ESP,2 Teams,es La Liga,35,"1,998",22.2,22,13,1,9,1,10,9,0,0,0,FW
27,Sávio,9,"2,976",2023-2024,19,br BRA,Girona,es La Liga,37,"2,976",33.1,35,2,0,9,10,19,9,0,0,0,"FW,MF"
28,Brahim Díaz,8,"1,545",2023-2024,23,ma MAR,Real Madrid,es La Liga,31,"1,545",17.2,18,13,7,8,6,14,8,0,0,0,"FW,MF"
29,Mason Greenwood,8,"2,662",2023-2024,21,eng ENG,Getafe,es La Liga,33,"2,662",29.6,30,3,0,8,6,14,6,2,3,1,"MF,FW"
30,Isco,8,"2,326",2023-2024,31,es ESP,Betis,es La Liga,29,"2,326",25.8,28,1,0,8,5,13,6,2,2,0,MF
31,Fermin López,8,"1,446",2023-2024,20,es ESP,Barcelona,es La Liga,31,"1,446",16.1,14,17,6,8,0,8,8,0,0,0,"MF,FW"
32,Viktor Tsyhankov,8,"2,052",2023-2024,25,ua UKR,Girona,es La Liga,30,"2,052",22.8,26,4,0,8,7,15,8,0,0,0,"MF,FW"
33,Vedat Muriqi,7,"2,327",2023-2024,29,xk KVX,Mallorca,es La Liga,29,"2,327",25.9,25,4,0,7,2,9,6,1,3,2,FW
34,Takefusa Kubo,7,"2,150",2023-2024,22,jp JPN,Real Sociedad,es La Liga,30,"2,150",23.9,24,6,4,7,4,11,7,0,0,0,"FW,MF"
35,Portu,7,"1,285",2023-2024,31,es ESP,2 Teams,es La Liga,36,"1,285",14.3,11,25,2,7,5,12,7,0,0,0,FW
36,José Luis García Vayá,7,"3,302",2023-2024,24,es ESP,Valencia,es La Liga,37,"3,302",36.7,37,0,0,7,1,8,0,7,8,1,MF
37,José Luis Morales,7,"1,048",2023-2024,36,es ESP,Villarreal,es La Liga,29,"1,048",11.6,8,21,9,7,0,7,7,0,0,0,"FW,MF"
38,Anastasios Douvikas,7,905,2023-2024,23,gr GRE,Celta Vigo,es La Liga,32,905,10.1,7,25,3,7,1,8,7,0,0,0,FW
39,João Félix,7,"1,540",2023-2024,23,pt POR,2 Teams,es La Liga,30,"1,540",17.1,18,12,3,7,3,10,7,0,0,0,FW
40,Ferrán Torres,7,"1,211",2023-2024,23,es ESP,Barcelona,es La Liga,29,"1,211",13.5,12,17,2,7,2,9,7,0,0,0,FW
41,Álex Berenguer,7,"1,592",2023-2024,28,es ESP,Athletic Club,es La Liga,35,"1,592",17.7,15,20,1,7,3,10,6,1,1,0,FW
42,Marcos Llorente,6,"2,565",2023-2024,28,es ESP,Atlético Madrid,es La Liga,37,"2,565",28.5,29,8,0,6,4,10,6,0,0,0,"MF,DF"
43,Raúl,6,"1,355",2023-2024,22,es ESP,Osasuna,es La Liga,35,"1,355",15.1,13,22,2,6,1,7,6,0,0,0,FW
44,Raphinha,6,"1,368",2023-2024,26,br BRA,Barcelona,es La Liga,28,"1,368",15.2,17,11,2,6,9,15,5,1,1,0,"FW,MF"
45,Léo Baptistão,6,"1,837",2023-2024,30,br BRA,Almería,es La Liga,32,"1,837",20.4,22,10,1,6,0,6,6,0,0,0,FW
46,Arda Güler,6,377,2023-2024,18,tr TUR,Real Madrid,es La Liga,10,377,4.2,4,6,11,6,0,6,6,0,0,0,"FW,MF"
47,Álvaro García,6,"2,475",2023-2024,30,es ESP,Rayo Vallecano,es La Liga,32,"2,475",27.5,30,2,0,6,1,7,6,0,0,0,"FW,MF"
