,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
801,Cédric Kipré,"3,707",4,38,77.3,58.3,59.3,1026,65,48,2022-2023,25,ci CIV,Cardiff City,eng Championship,42,"3,707",41.2,41,1,0,3,0,3,3,0,0,0,1233,1595,77.3,16,57,6,0,98,24603,9841,394,475,82.9,682,802,85,144,270,53.3,38,31,1,1,4,1,0,4,4,0,0,0,0,0,1026,5895,3427,21,12,2,28,7,1013,16,27,16,59.3,7,25.9,48,30,39,7,2,20,34,58.8,14,57,38,19,65,113,178,1,95,68,58.3,DF
802,Shane Long,"1,432",3,25,61.9,44.4,22.7,260,8,15,2022-2023,35,ie IRL,Reading,eng Championship,30,"1,432",15.9,16,14,4,1,1,2,0,1,1,0,198,320,61.9,11,13,3,1,14,2519,411,130,187,69.5,54,94,57.4,4,12,33.3,25,19,0,0,1,3,2,3,2,0,0,0,1,0,260,1237,341,13,13,4,41,37,351,79,22,5,22.7,15,68.2,15,9,2,6,7,4,14,28.6,10,4,0,4,8,23,16,0,56,70,44.4,FW
803,Joe Allen,"1,235",3,36,85,44.4,44.4,450,25,32,2022-2023,32,wls WAL,Swansea City,eng Championship,25,"1,235",13.7,17,8,1,1,1,2,1,0,0,0,664,781,85,13,56,3,0,66,10224,2442,347,376,92.3,261,293,89.1,28,66,42.4,36,27,6,0,1,2,0,3,3,0,0,0,0,0,450,2043,998,22,20,4,19,23,624,32,18,8,44.4,5,27.8,32,20,13,11,8,14,27,51.9,13,17,9,8,25,57,21,1,12,15,44.4,MF
804,Shane Ferguson,"1,469",6,29,63.3,20,44.4,282,11,20,2022-2023,31,nir NIR,Rotherham Utd,eng Championship,31,"1,469",16.3,20,11,3,3,5,8,3,0,0,0,274,433,63.3,14,27,10,6,30,4870,1818,142,165,86.1,80,113,70.8,44,118,37.3,29,21,7,1,0,0,0,6,4,2,0,0,0,0,282,1156,404,19,9,5,11,16,307,63,18,8,44.4,8,44.4,20,10,9,8,3,11,17,64.7,6,12,0,12,11,31,19,0,2,8,20,"FW,MF"
805,Max Watters,518,1,9,69.3,8.3,33.3,73,2,2,2022-2023,23,eng ENG,Cardiff City,eng Championship,11,518,5.8,8,3,0,0,0,0,0,0,0,0,61,88,69.3,4,5,2,0,6,708,96,45,56,80.4,9,17,52.9,2,3,66.7,9,6,0,2,1,0,0,1,1,0,0,0,0,0,73,339,79,4,7,5,11,4,100,32,6,2,33.3,4,66.7,2,1,0,2,0,1,1,100,0,2,0,2,2,4,3,0,2,22,8.3,FW
806,Conor Washington,"1,714",1,21,65.6,11.8,14.8,242,1,11,2022-2023,30,nir NIR,Rotherham Utd,eng Championship,35,"1,714",19,20,15,1,5,0,5,5,0,0,0,147,224,65.6,11,4,1,0,10,1735,192,101,126,80.2,31,50,62,3,13,23.1,21,14,0,1,6,0,0,1,0,0,0,1,0,0,242,1366,485,21,11,12,39,24,272,96,27,4,14.8,21,77.8,11,8,5,4,2,2,9,22.2,7,5,2,3,1,12,1,0,8,60,11.8,FW
807,Jordan Hugill,"1,483",4,23,48.3,41.9,11.1,177,2,10,2022-2023,30,eng ENG,2 Teams,eng Championship,25,"1,483",16.5,18,7,10,5,0,5,3,2,2,0,145,300,48.3,8,26,7,0,26,1867,633,91,158,57.6,35,82,42.7,7,13,53.8,23,12,0,0,4,7,0,4,0,0,0,0,4,0,177,725,187,5,6,4,25,17,352,51,18,2,11.1,12,66.7,10,5,1,3,6,3,10,30,7,6,1,5,2,12,18,1,116,161,41.9,"FW,MF"
808,Joël Latibeaudière,"2,604",10,65,89.7,59.5,45,1203,22,44,2022-2023,22,jm JAM,Swansea City,eng Championship,34,"2,604",28.9,30,4,3,2,3,5,2,0,0,0,1742,1942,89.7,24,109,21,9,101,26596,6360,992,1045,94.9,615,678,90.7,90,128,70.3,65,54,2,3,3,3,0,10,9,0,1,0,0,0,1203,5592,2965,49,53,9,37,14,1591,129,20,9,45,8,40,44,24,26,12,6,21,33,63.6,12,28,10,18,22,66,34,0,44,30,59.5,DF
809,Dan Neil,"3,581",7,72,82.2,48.8,41.9,1351,47,102,2022-2023,20,eng ENG,Sunderland,eng Championship,45,"3,581",39.8,42,3,0,2,4,6,2,0,0,0,1592,1937,82.2,31,196,27,2,231,27054,8241,739,843,87.7,669,767,87.2,134,203,66,72,58,0,1,4,5,4,7,6,0,0,1,0,0,1351,6065,3079,51,53,7,62,46,1647,75,62,26,41.9,32,51.6,102,63,42,50,10,49,90,54.4,41,42,14,28,47,149,33,2,39,41,48.8,MF
