,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1001,Harry Souttar,"1,427",2,9,82.3,78,80,738,28,28,2021-2022,22,au AUS,Stoke City,eng Championship,16,"1,427",15.9,16,0,1,0,0,0,0,0,0,0,863,1049,82.3,2,42,0,0,35,17101,7138,276,303,91.1,498,551,90.4,86,181,47.5,9,8,0,0,1,0,0,2,1,0,0,1,0,0,738,2897,1669,3,3,1,4,2,778,0,5,4,80,1,20,28,22,17,11,0,15,17,88.2,2,15,7,8,28,56,92,0,71,20,78,DF
1002,Osman Kakay,514,1,8,71.8,53.8,40,160,8,10,2021-2022,23,sl SLE,QPR,eng Championship,13,514,5.7,4,9,13,0,0,0,0,0,0,0,199,277,71.8,3,9,5,4,9,3189,1099,107,121,88.4,79,106,74.5,10,38,26.3,8,6,1,0,1,0,0,1,1,0,0,0,0,0,160,953,482,14,6,4,12,3,186,27,10,4,40,6,60,10,5,8,2,0,7,14,50,7,7,2,5,8,18,6,1,7,6,53.8,DF
1003,Josh Magennis,"1,365",1,25,61.7,34.1,66.7,178,1,4,2021-2022,30,nir NIR,Hull City,eng Championship,19,"1,365",15.2,18,1,1,2,0,2,2,0,1,1,158,256,61.7,11,6,4,2,14,2292,396,85,129,65.9,58,86,67.4,6,18,33.3,25,19,0,0,5,0,1,1,0,0,0,1,0,0,178,774,232,7,6,2,23,15,257,49,9,6,66.7,3,33.3,4,4,0,3,1,1,1,100,0,4,1,3,1,5,20,0,45,87,34.1,FW
1004,Ryan Bennett,"1,437",2,14,84.6,51.9,0,624,19,21,2021-2022,31,eng ENG,Swansea City,eng Championship,18,"1,437",16,16,2,6,0,0,0,0,0,0,0,866,1024,84.6,5,74,5,1,84,14851,4461,378,422,89.6,408,456,89.5,63,112,56.3,14,14,0,0,0,0,0,2,2,0,0,0,0,0,624,3496,1832,26,24,0,7,2,814,16,2,0,0,2,100,21,11,7,13,1,14,23,60.9,9,18,14,4,19,40,49,0,27,25,51.9,DF
1005,Jorge Grant,"1,737",6,39,79.6,50,52.6,523,11,31,2021-2022,26,eng ENG,P'borough Utd,eng Championship,26,"1,737",19.3,21,5,17,2,2,4,2,0,0,0,669,840,79.6,16,72,9,2,86,11655,3279,323,372,86.8,243,294,82.7,82,134,61.2,39,23,8,2,1,3,2,6,4,0,1,0,1,0,523,2472,1246,23,13,4,42,12,674,64,19,10,52.6,9,47.4,31,16,14,13,4,18,35,51.4,17,16,6,10,11,42,33,2,13,13,50,"MF,FW"
1006,Brennan Johnson,"3,898",22,133,66.5,13.8,50,817,14,40,2021-2022,20,wls WAL,Nott'ham Forest,eng Championship,46,"3,898",43.3,44,2,0,16,10,26,13,3,4,1,569,855,66.5,59,37,38,13,75,8000,2009,351,442,79.4,166,263,63.1,26,60,43.3,133,91,1,16,6,15,4,22,15,0,3,0,3,1,817,6334,3040,129,62,70,119,41,947,263,108,54,50,54,50,40,23,9,20,11,17,43,39.5,26,32,0,32,14,54,12,1,8,50,13.8,"FW,MF"
1007,Tyler Burey,618,0,11,63.3,21.1,40,120,1,4,2021-2022,19,eng ENG,Millwall,eng Championship,15,618,6.9,6,9,6,2,0,2,2,0,0,0,57,90,63.3,3,2,3,2,6,809,135,41,48,85.4,10,20,50,5,6,83.3,11,6,0,2,0,3,0,0,0,0,0,0,0,0,120,1153,498,21,15,11,21,14,124,33,20,8,40,12,60,4,2,3,1,0,2,6,33.3,4,4,1,3,1,5,0,0,4,15,21.1,"FW,MF"
1008,Jake Clarke-Salter,"2,291",0,19,79.2,60.6,41.7,994,34,68,2021-2022,23,eng ENG,Coventry City,eng Championship,29,"2,291",25.5,27,2,4,0,0,0,0,0,0,0,1187,1499,79.2,7,81,6,2,99,21738,10057,464,535,86.7,611,718,85.1,101,198,51,19,15,0,0,2,2,0,0,0,0,0,0,0,0,994,5118,3083,27,23,2,13,3,1091,10,12,5,41.7,7,58.3,68,45,41,25,2,27,43,62.8,16,31,14,17,34,102,82,1,103,67,60.6,DF
1009,Ricky Jade-Jones,662,4,16,57.3,14,40.6,108,2,11,2021-2022,20,eng ENG,P'borough Utd,eng Championship,18,662,7.4,6,12,3,0,2,2,0,0,0,0,51,89,57.3,10,0,7,6,2,833,205,18,28,64.3,21,35,60,6,10,60,16,12,0,1,1,2,0,4,2,0,1,0,1,0,108,1234,555,22,11,13,29,14,99,33,32,13,40.6,19,59.4,11,6,3,3,5,6,15,40,9,3,1,2,2,13,3,0,6,37,14,"FW,MF"
1010,Dejan Tetek,446,0,8,78.8,52.9,83.3,128,4,16,2021-2022,18,rs SRB,Reading,eng Championship,10,446,5,5,5,8,0,0,0,0,0,0,0,164,208,78.8,5,5,0,0,9,2362,795,98,111,88.3,56,71,78.9,6,15,40,8,5,1,1,0,1,0,0,0,0,0,0,0,0,128,560,232,6,1,2,9,4,140,8,6,5,83.3,1,16.7,16,9,11,4,1,7,13,53.8,6,9,1,8,4,20,12,0,9,8,52.9,"DF,MF"
1011,Bobby Reid,"2,524",17,86,81.3,22.5,43.4,837,17,29,2021-2022,28,jm JAM,Fulham,eng Championship,41,"2,524",28,26,15,3,8,8,16,8,0,0,0,879,1081,81.3,47,58,48,9,110,13131,3561,484,551,87.8,306,367,83.4,48,82,58.5,86,80,0,2,2,2,0,17,14,0,2,1,0,0,837,3998,1798,55,33,23,67,26,1025,223,53,23,43.4,30,56.6,29,12,8,17,4,11,33,33.3,22,22,3,19,17,46,18,0,9,31,22.5,"FW,MF"
