,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1601,Charles Abi,623,2,18,56.8,45.2,68.4,108,4,9,2019-2020,19,fr FRA,Saint-Étienne,fr Ligue 1,15,623,6.9,6,9,1,0,0,0,0,0,0,0,75,132,56.8,7,3,4,1,10,932,234,46,75,61.3,16,29,55.2,4,6,66.7,18,11,0,1,1,4,1,2,1,0,0,0,1,0,108,680,346,12,4,5,26,7,144,33,19,13,68.4,6,31.6,9,9,2,5,2,2,7,28.6,5,2,0,2,4,13,4,0,28,34,45.2,FW
1602,Christophe Jallet,855,2,19,76.6,41.7,57.1,240,18,24,2019-2020,35,fr FRA,Amiens,fr Ligue 1,12,855,9.5,10,2,10,1,1,2,1,0,0,0,433,565,76.6,12,38,13,7,51,7195,3295,215,250,86,173,222,77.9,36,68,52.9,19,12,7,0,0,0,0,2,2,0,0,0,0,0,240,1125,630,12,10,0,12,3,331,31,7,4,57.1,3,42.9,24,16,14,8,2,14,37,37.8,23,8,2,6,18,42,29,0,10,14,41.7,DF
1603,Ibrahima Niane,951,0,25,68.9,28.6,45.5,263,10,8,2019-2020,20,sn SEN,Metz,fr Ligue 1,21,951,10.6,9,12,5,3,0,3,2,1,1,0,195,283,68.9,9,13,3,1,19,2708,466,115,140,82.1,51,81,63,12,29,41.4,25,15,1,3,1,5,0,0,0,0,0,0,0,0,263,1770,734,19,26,4,37,20,315,72,44,20,45.5,24,54.5,8,7,2,5,1,5,16,31.3,11,5,1,4,10,18,11,1,18,45,28.6,FW
1604,Gaëtan Paquiez,"1,530",1,15,69.6,40.5,54.5,316,33,36,2019-2020,25,fr FRA,Nîmes,fr Ligue 1,21,"1,530",17,17,4,6,0,0,0,0,0,0,0,542,779,69.6,5,48,9,3,71,8614,4431,295,360,81.9,203,296,68.6,34,90,37.8,15,11,3,1,0,0,0,1,1,0,0,0,0,0,316,1723,991,20,19,2,21,6,395,40,11,6,54.5,5,45.5,36,25,14,13,9,17,47,36.2,30,18,5,13,33,69,43,0,17,25,40.5,DF
1605,Jason Denayer,"2,131",2,12,94,55.6,81.8,1209,20,17,2019-2020,24,be BEL,Lyon,fr Ligue 1,25,"2,131",23.7,24,1,1,0,1,1,0,0,0,0,1509,1605,94,3,45,2,1,71,29854,9925,446,472,94.5,901,925,97.4,152,192,79.2,12,12,0,0,0,0,0,2,2,0,0,0,0,0,1209,6763,4168,15,11,0,7,3,1354,3,11,9,81.8,2,18.2,17,13,12,5,0,10,14,71.4,4,32,29,3,20,37,83,0,40,32,55.6,DF
1606,El Bilal Touré,453,2,8,66.2,45.5,66.7,57,1,3,2019-2020,17,ml MLI,Reims,fr Ligue 1,7,453,5,6,1,0,3,0,3,1,2,2,0,51,77,66.2,4,2,1,0,4,703,113,33,47,70.2,12,21,57.1,3,3,100,8,5,0,0,1,2,0,2,0,0,0,1,1,0,57,402,151,7,6,2,12,6,87,34,6,4,66.7,2,33.3,3,3,1,0,2,0,0,,0,6,0,6,1,4,1,0,15,18,45.5,FW
1607,Jean-Eudes Aholou,630,1,13,83.9,47.6,75,225,15,16,2019-2020,25,ci CIV,Saint-Étienne,fr Ligue 1,11,630,7,8,3,3,1,1,2,1,0,0,0,260,310,83.9,5,17,0,0,34,4185,848,122,142,85.9,114,122,93.4,14,29,48.3,13,7,0,0,0,2,4,1,0,0,0,0,0,1,225,1210,572,14,9,1,19,7,267,15,16,12,75,4,25,16,12,2,11,3,3,9,33.3,6,6,1,5,15,31,10,0,10,11,47.6,MF
1608,Angelo Fulgini,"1,579",6,68,77.8,43.2,64.9,670,19,28,2019-2020,22,fr FRA,Angers,fr Ligue 1,20,"1,579",17.5,19,1,2,1,1,2,1,0,0,0,717,922,77.8,25,73,25,7,106,10951,3513,385,438,87.9,221,277,79.8,56,101,55.4,68,35,12,11,1,9,0,6,3,0,2,1,0,0,670,3883,2212,56,39,10,42,37,851,76,77,50,64.9,26,33.8,28,18,8,15,5,12,23,52.2,11,6,1,5,19,47,10,0,19,25,43.2,MF
1609,Lois Diony,666,0,12,60.7,28.6,16.7,110,1,15,2019-2020,26,fr FRA,Saint-Étienne,fr Ligue 1,12,666,7.4,8,4,4,2,0,2,2,0,0,0,65,107,60.7,5,5,5,0,9,850,178,34,48,70.8,21,38,55.3,2,4,50,12,10,0,0,0,2,0,0,0,0,0,0,0,0,110,550,190,15,5,6,19,14,138,45,6,1,16.7,5,83.3,15,5,0,11,4,5,9,55.6,4,3,0,3,1,16,0,0,10,25,28.6,FW
