,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1201,Pierre Kunde,513,0,9,75.2,40,55.6,188,10,8,2020-2021,25,cm CMR,Mainz 05,de Bundesliga,11,513,5.7,6,5,4,0,0,0,0,0,0,0,212,282,75.2,5,21,5,2,23,4031,1296,92,110,83.6,87,109,79.8,30,51,58.8,9,7,1,0,0,1,0,0,0,0,0,0,0,0,188,892,443,6,6,0,9,6,213,7,9,5,55.6,4,44.4,8,4,1,5,2,2,9,22.2,7,6,0,6,10,18,9,0,2,3,40,MF
1202,Jhon Córdoba,"1,537",3,50,74.3,39.6,75,285,6,9,2020-2021,27,co COL,Hertha BSC,de Bundesliga,21,"1,537",17.1,17,4,0,7,1,8,7,0,0,0,226,304,74.3,24,14,5,2,16,3265,352,126,152,82.9,60,81,74.1,19,22,86.4,50,33,0,1,6,10,0,3,1,0,0,1,1,0,285,1460,512,22,12,10,64,29,381,97,20,15,75,5,25,9,4,1,5,3,2,4,50,2,13,2,11,6,15,4,0,40,61,39.6,FW
1203,Jorge Meré,"1,300",0,9,87.3,50.9,66.7,447,15,13,2020-2021,23,es ESP,Köln,de Bundesliga,16,"1,300",14.4,14,2,12,0,0,0,0,0,0,0,596,683,87.3,3,27,2,0,28,12515,3769,155,174,89.1,361,381,94.8,77,120,64.2,9,8,0,0,0,1,0,0,0,0,0,0,0,0,447,1660,853,2,4,0,3,3,488,2,3,2,66.7,1,33.3,13,6,9,3,1,6,13,46.2,7,14,11,3,15,28,63,0,28,27,50.9,DF
1204,Ludwig Augustinsson,"1,957",7,68,64.7,65.7,60,571,20,37,2020-2021,26,se SWE,Werder Bremen,de Bundesliga,23,"1,957",21.7,21,2,1,0,4,4,0,0,0,0,762,1177,64.7,41,42,27,24,60,12691,5651,397,480,82.7,281,412,68.2,67,221,30.3,68,37,26,1,2,1,1,7,3,4,0,0,0,0,571,2745,1609,38,27,6,17,5,679,108,10,6,60,4,40,37,20,19,14,4,17,29,58.6,12,21,7,14,20,57,62,0,46,24,65.7,"DF,FW"
1205,Ismail Jakobs,"1,726",3,35,65.3,58.1,40.9,449,16,25,2020-2021,20,sn SEN,Köln,de Bundesliga,23,"1,726",19.2,18,5,1,1,1,2,1,0,0,0,459,703,65.3,15,19,16,11,34,7065,2361,268,329,81.5,141,215,65.6,35,103,34,35,29,2,1,1,2,0,3,2,1,0,0,0,0,449,2288,934,34,20,15,48,9,538,134,22,9,40.9,13,59.1,25,10,17,4,4,11,21,52.4,10,18,1,17,16,41,36,0,25,18,58.1,"MF,FW"
1206,Julian Brandt,"1,495",12,76,83.4,25,59,653,17,27,2020-2021,24,de GER,Dortmund,de Bundesliga,31,"1,495",16.6,17,14,3,3,2,5,3,0,0,0,776,931,83.4,31,62,30,4,102,12066,2776,411,477,86.2,248,281,88.3,71,87,81.6,76,66,3,3,1,3,0,12,9,0,2,0,1,0,653,3755,1291,39,24,15,42,28,871,142,39,23,59,16,41,27,14,13,9,5,12,43,27.9,31,25,1,24,17,44,7,1,7,21,25,"FW,MF"
1207,Aymen Barkok,977,7,41,73.1,38.5,51.1,357,10,29,2020-2021,22,ma MAR,Eint Frankfurt,de Bundesliga,26,977,10.9,9,17,6,2,3,5,2,0,0,0,362,495,73.1,26,30,19,5,46,5510,1769,201,245,82,118,159,74.2,26,51,51,41,27,8,4,0,2,0,7,4,1,2,0,0,0,357,2108,988,30,22,10,48,21,415,76,45,23,51.1,22,48.9,29,15,11,9,9,10,31,32.3,21,15,1,14,10,39,9,1,15,24,38.5,"MF,DF"
1208,Mark Uth,"1,494",2,46,72.8,36.8,45,424,5,25,2020-2021,28,de GER,Schalke 04,de Bundesliga,20,"1,494",16.6,18,2,0,3,1,4,3,0,0,0,409,562,72.8,23,32,7,1,53,7311,1840,190,227,83.7,138,171,80.7,58,115,50.4,46,23,14,1,4,3,1,2,1,0,0,0,1,0,424,2460,990,34,20,6,50,21,512,69,40,18,45,22,55,25,13,13,10,2,5,23,21.7,18,21,0,21,5,30,10,0,7,12,36.8,"FW,MF"
1209,Christian Gentner,"1,033",1,20,75,28.6,57.1,253,17,17,2020-2021,34,de GER,Union Berlin,de Bundesliga,22,"1,033",11.5,13,9,2,0,0,0,0,0,0,0,360,480,75,8,40,7,2,45,5651,1844,180,216,83.3,126,163,77.3,29,54,53.7,20,18,1,0,0,1,0,1,1,0,0,0,0,0,253,1253,520,8,8,2,15,5,382,24,14,8,57.1,6,42.9,17,8,9,5,3,5,18,27.8,13,13,1,12,17,34,16,0,4,10,28.6,MF
