,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1801,Faitout Maouassa,"1,803",3,35,74.9,48.5,42,723,23,51,2019-2020,21,fr FRA,Rennes,fr Ligue 1,23,"1,803",20,23,0,3,3,1,4,3,0,0,0,757,1011,74.9,13,49,13,10,53,11937,4473,430,484,88.8,271,352,77,51,137,37.2,35,25,0,6,0,4,0,3,2,0,1,0,0,0,723,4442,2532,74,57,6,25,17,721,73,50,21,42,29,58,51,33,27,20,4,14,26,53.8,12,13,5,8,23,74,59,0,16,17,48.5,DF
1802,Gil Bastião Dias,"1,057",3,31,79.4,53.8,57.5,453,13,53,2019-2020,22,pt POR,Monaco,fr Ligue 1,14,"1,057",11.7,12,2,6,0,0,0,0,0,0,0,512,645,79.4,13,41,16,3,67,7606,2674,289,334,86.5,185,230,80.4,24,46,52.2,31,19,2,2,5,2,1,3,1,0,0,1,1,0,453,3090,1929,43,36,8,22,15,471,71,40,23,57.5,17,42.5,53,33,30,21,2,29,58,50,29,15,1,14,13,66,22,1,14,12,53.8,"DF,MF"
1803,Stiven Mendoza,"1,101",4,30,67.9,36.4,59.1,323,9,12,2019-2020,27,co COL,Amiens,fr Ligue 1,15,"1,101",12.2,12,3,1,5,0,5,5,0,0,0,262,386,67.9,9,23,8,1,32,3939,1165,152,188,80.9,87,117,74.4,14,34,41.2,30,18,2,5,1,3,1,4,3,0,1,0,0,0,323,2421,1326,48,32,11,43,33,398,86,44,26,59.1,18,40.9,12,7,4,5,3,4,22,18.2,18,13,2,11,9,21,3,1,12,21,36.4,"FW,MF"
1804,Youssouf Koné,818,1,17,84.7,46.2,72.7,418,8,22,2019-2020,24,ml MLI,Lyon,fr Ligue 1,11,818,9.1,10,1,2,0,0,0,0,0,0,0,554,654,84.7,8,26,4,2,44,9027,2685,277,300,92.3,213,249,85.5,50,78,64.1,17,16,0,1,0,0,0,1,1,0,0,0,0,0,418,2082,1267,20,20,0,13,9,504,26,22,16,72.7,6,27.3,22,14,17,3,2,12,20,60,8,2,1,1,8,30,15,0,6,7,46.2,DF
1805,Habib Maïga,"2,266",10,47,80.4,45.1,83,846,34,84,2019-2020,23,ci CIV,Metz,fr Ligue 1,26,"2,266",25.2,26,0,1,1,2,3,1,0,0,0,1044,1298,80.4,12,98,15,4,120,17745,4650,488,545,89.5,416,504,82.5,94,153,61.4,47,41,0,1,3,0,2,10,8,0,0,1,0,1,846,5450,2606,56,49,4,45,28,1070,64,53,44,83,9,17,84,50,36,38,10,24,64,37.5,40,39,4,35,34,118,39,2,37,45,45.1,MF
1806,Moussa Dembélé,"2,188",6,44,69.4,47.6,40,452,5,12,2019-2020,23,fr FRA,Lyon,fr Ligue 1,27,"2,188",24.3,24,3,1,16,2,18,12,4,5,1,304,438,69.4,22,14,12,0,27,3932,575,192,258,74.4,70,94,74.5,17,24,70.8,44,32,0,4,3,5,0,6,5,0,0,0,1,0,452,2419,1030,38,23,21,94,58,578,134,60,24,40,36,60,12,7,2,5,5,4,14,28.6,10,14,3,11,5,17,31,0,68,75,47.6,FW
1807,Jhonder Cádiz,799,3,29,58.6,53.6,51.4,178,1,16,2019-2020,24,ve VEN,Dijon,fr Ligue 1,17,799,8.9,7,10,2,2,2,4,2,0,0,0,112,191,58.6,10,8,5,0,20,1640,364,73,102,71.6,28,46,60.9,8,19,42.1,29,15,0,7,3,3,1,3,1,0,1,1,0,0,178,1235,624,25,20,16,26,20,236,64,37,19,51.4,18,48.6,16,8,6,7,3,3,7,42.9,4,4,2,2,1,17,9,0,45,39,53.6,"FW,MF"
1808,Jérémy Morel,"1,806",0,22,82.6,48.6,66.7,720,17,15,2019-2020,35,mg MAD,Rennes,fr Ligue 1,21,"1,806",20.1,20,1,1,1,0,1,1,0,0,0,858,1039,82.6,8,59,5,3,61,16012,6756,353,398,88.7,397,449,88.4,97,152,63.8,22,18,2,0,2,0,0,0,0,0,0,0,0,0,720,3358,1960,16,12,0,3,7,745,19,12,8,66.7,4,33.3,15,9,13,1,1,9,20,45,11,21,17,4,17,32,59,1,36,38,48.6,DF
1809,Remi Oudin,"1,959",4,53,64,40.7,73.3,542,27,24,2019-2020,22,fr FRA,2 Teams,fr Ligue 1,26,"1,959",21.8,21,5,0,4,3,7,4,0,0,0,472,737,64,26,33,16,4,61,7977,2091,223,282,79.1,178,263,67.7,48,122,39.3,53,42,1,5,2,3,0,4,4,0,0,0,0,0,542,2711,1044,31,23,12,39,19,652,152,30,22,73.3,8,26.7,24,13,12,9,3,10,33,30.3,23,23,2,21,27,51,23,1,22,32,40.7,"FW,MF"
1810,Mihailo Ristić,811,2,19,72.5,46.4,40,246,7,18,2019-2020,23,rs SRB,Montpellier,fr Ligue 1,18,811,9,8,10,7,0,2,2,0,0,0,0,272,375,72.5,11,13,8,7,23,4695,1641,130,154,84.4,102,127,80.3,35,60,58.3,19,15,0,0,3,0,1,2,2,0,0,0,0,0,246,1527,675,15,14,4,25,4,281,43,10,4,40,6,60,18,14,7,11,0,9,20,45,11,7,2,5,7,25,18,0,13,15,46.4,"DF,MF"
1811,Valère Germain,"1,350",5,22,71.9,39.3,50,329,8,22,2019-2020,29,fr FRA,Marseille,fr Ligue 1,25,"1,350",15,14,11,3,2,4,6,2,0,0,0,314,437,71.9,13,15,8,3,25,4088,754,202,247,81.8,66,93,71,15,31,48.4,22,18,1,1,1,1,0,5,2,1,0,1,1,0,329,1156,386,15,12,4,23,18,399,97,6,3,50,3,50,22,12,6,11,5,6,31,19.4,25,16,3,13,8,30,26,0,35,54,39.3,FW
1812,Valentin Rongier,"2,060",3,69,86,60.5,88.2,1072,38,81,2019-2020,24,fr FRA,2 Teams,fr Ligue 1,26,"2,060",22.9,23,3,1,0,3,3,0,0,1,1,1243,1446,86,37,133,10,1,122,19548,4306,648,730,88.8,436,478,91.2,101,135,74.8,69,54,1,3,5,3,3,3,2,0,0,0,0,1,1072,5273,2495,44,31,7,38,23,1203,52,34,30,88.2,4,11.8,81,55,25,43,13,25,68,36.8,43,34,4,30,38,119,16,2,26,17,60.5,MF
1813,Adam Ounas,"1,123",5,53,75.1,12.5,63.4,378,11,10,2019-2020,22,dz ALG,Nice,fr Ligue 1,16,"1,123",12.5,14,2,0,2,4,6,2,0,0,0,373,497,75.1,25,25,24,7,52,6633,1587,174,203,85.7,152,193,78.8,43,74,58.1,53,35,3,8,3,3,1,5,4,0,0,0,1,0,378,2880,1310,41,30,21,34,23,500,132,71,45,63.4,26,36.6,10,5,2,6,2,5,13,38.5,8,9,1,8,11,21,8,1,2,14,12.5,"FW,MF"
1814,Fouad Chafik,"1,528",6,51,75.7,50,52,526,26,32,2019-2020,32,ma MAR,Dijon,fr Ligue 1,20,"1,528",17,18,2,5,0,2,2,0,0,0,0,712,941,75.7,22,80,28,16,85,12956,5524,328,371,88.4,290,373,77.7,86,167,51.5,51,42,5,1,0,3,0,6,6,0,0,0,0,0,526,3404,2013,44,28,1,12,7,607,52,25,13,52,12,48,32,21,22,7,3,17,36,47.2,19,12,5,7,26,58,36,0,12,12,50,DF
1815,Dylan Bronn,810,0,2,78.7,50,66.7,169,6,7,2019-2020,24,tn TUN,Metz,fr Ligue 1,9,810,9,9,0,0,0,0,0,0,0,0,0,248,315,78.7,0,9,0,0,11,5736,2000,53,56,94.6,143,160,89.4,50,94,53.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,169,756,388,0,0,0,2,1,238,0,3,2,66.7,1,33.3,7,5,6,1,0,4,7,57.1,3,11,9,2,6,13,42,0,13,13,50,DF
1816,Kevin Strootman,"1,416",5,28,85.2,48.3,60,656,17,39,2019-2020,29,nl NED,Marseille,fr Ligue 1,25,"1,416",15.7,15,10,0,2,3,5,1,1,1,0,823,966,85.2,12,88,7,1,93,13410,4225,422,466,90.6,296,334,88.6,77,102,75.5,28,25,1,0,2,0,0,5,5,0,0,0,0,0,656,2884,1524,21,17,1,12,2,743,20,5,3,60,2,40,39,27,13,23,3,20,49,40.8,29,16,1,15,17,56,24,0,28,30,48.3,MF
1817,Abdoulaye Touré,"2,221",2,41,83.7,48.7,70.5,922,29,32,2019-2020,25,gn GUI,Nantes,fr Ligue 1,27,"2,221",24.7,24,3,0,3,0,3,1,2,2,0,1122,1340,83.7,17,108,8,0,130,18650,4388,555,638,87,427,494,86.4,102,134,76.1,41,24,0,5,5,6,1,2,1,0,1,0,0,0,922,4623,1995,34,28,5,39,32,1171,30,44,31,70.5,13,29.5,32,21,10,21,1,10,30,33.3,20,31,11,20,29,61,18,1,37,39,48.7,MF
1818,Benjamin André,"2,054",4,39,78.1,62.5,64,723,59,72,2019-2020,28,fr FRA,Lille,fr Ligue 1,26,"2,054",22.8,23,3,0,2,1,3,2,0,0,0,965,1236,78.1,15,104,5,3,130,15142,4227,469,544,86.2,344,429,80.2,70,119,58.8,39,32,0,2,2,1,2,4,4,0,0,0,0,0,723,3471,1615,25,25,3,17,20,922,47,25,16,64,9,36,72,44,31,35,6,29,74,39.2,45,32,9,23,59,131,40,1,80,48,62.5,MF
1819,Steven Moreira,"1,389",3,30,77,36,68.8,471,16,37,2019-2020,24,cv CPV,Toulouse,fr Ligue 1,17,"1,389",15.4,16,1,4,0,0,0,0,0,0,0,559,726,77,15,37,13,4,56,9191,4419,291,330,88.2,208,250,83.2,49,104,47.1,30,22,2,0,2,2,2,3,1,0,0,1,1,0,471,2727,1646,32,32,1,16,11,462,43,16,11,68.8,5,31.3,37,25,21,15,1,19,31,61.3,12,16,3,13,16,53,29,0,9,16,36,DF
1820,Andy Pelmard,766,0,3,90.7,26.7,50,364,15,22,2019-2020,19,fr FRA,Nice,fr Ligue 1,10,766,8.5,8,2,3,0,0,0,0,0,0,0,545,601,90.7,0,9,0,0,11,10020,2479,192,200,96,321,331,97,29,57,50.9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,364,1720,913,4,1,0,7,5,488,0,4,2,50,2,50,22,14,13,9,0,9,11,81.8,2,12,4,8,15,37,28,1,4,11,26.7,DF
1821,Xeka,709,1,21,84.5,45.2,66.7,301,4,18,2019-2020,24,pt POR,Lille,fr Ligue 1,17,709,7.9,8,9,3,0,0,0,0,0,0,0,387,458,84.5,8,52,2,0,59,6553,1750,183,204,89.7,138,153,90.2,42,56,75,21,17,0,1,1,1,1,1,0,0,0,0,1,0,301,1671,854,17,3,0,11,3,388,20,6,4,66.7,2,33.3,18,10,3,13,2,9,29,31,20,11,1,10,4,22,7,1,14,17,45.2,MF
1822,Stevan Jovetić,473,1,18,63.5,50,65,162,1,2,2019-2020,29,me MNE,Monaco,fr Ligue 1,9,473,5.3,5,4,0,2,0,2,2,0,0,0,132,208,63.5,6,13,6,1,26,1952,636,76,102,74.5,37,61,60.7,12,24,50,18,11,0,4,1,2,0,1,1,0,0,0,0,0,162,952,506,18,17,5,10,7,208,44,20,13,65,7,35,2,1,0,1,1,1,5,20,4,1,0,1,1,3,5,0,8,8,50,"FW,MF"
1823,Fodé Ballo-Touré,"1,679",0,31,77.9,53.8,64.9,588,24,36,2019-2020,22,sn SEN,Monaco,fr Ligue 1,21,"1,679",18.7,18,3,4,0,0,0,0,0,0,0,681,874,77.9,17,59,15,8,76,10869,3552,375,424,88.4,240,307,78.2,53,97,54.6,31,20,3,3,1,3,1,0,0,0,0,0,0,0,588,3943,2437,67,32,3,30,10,622,109,37,24,64.9,13,35.1,36,25,21,11,4,17,32,53.1,15,10,1,9,24,60,45,0,14,12,53.8,DF
1824,Sada Thioub,"1,508",4,59,77.9,33.3,64.2,566,4,20,2019-2020,24,sn SEN,Angers,fr Ligue 1,23,"1,508",16.8,15,8,1,1,2,3,1,0,0,0,546,701,77.9,27,47,16,2,76,7415,2205,333,379,87.9,135,178,75.8,32,55,58.2,59,45,4,4,3,3,0,4,4,0,0,0,0,0,566,4124,2142,84,49,33,44,43,699,170,95,61,64.2,34,35.8,20,12,8,9,3,5,18,27.8,13,9,1,8,4,24,5,0,10,20,33.3,"MF,FW"
1825,Pierre Lees-Melou,"2,252",9,68,83.5,51.9,58.1,827,32,63,2019-2020,26,fr FRA,Nice,fr Ligue 1,26,"2,252",25,25,1,0,5,6,11,5,0,0,0,1019,1221,83.5,33,98,27,6,157,17481,4875,499,550,90.7,392,451,86.9,98,144,68.1,68,49,2,6,7,3,1,9,7,0,0,2,0,0,827,4544,2385,57,49,9,44,32,1097,153,43,25,58.1,18,41.9,63,27,34,21,8,31,88,35.2,57,38,12,26,32,95,43,0,14,13,51.9,MF
1826,Moreto Cassamã,592,2,18,88.4,62.5,81.3,328,5,17,2019-2020,21,gw GNB,Reims,fr Ligue 1,7,592,6.6,7,0,5,1,1,2,1,0,0,0,444,502,88.4,8,39,3,0,51,9439,2550,140,151,92.7,227,244,93,75,95,78.9,18,10,8,0,0,0,0,2,1,1,0,0,0,0,328,1480,668,4,4,0,12,8,422,3,16,13,81.3,3,18.8,17,11,2,13,2,5,7,71.4,2,7,2,5,5,22,6,0,5,3,62.5,MF
1827,Loris Benito,"1,896",4,31,82.4,53.3,38.5,865,29,40,2019-2020,27,ch SUI,Bordeaux,fr Ligue 1,23,"1,896",21.1,21,2,0,1,0,1,1,0,0,0,1098,1333,82.4,17,74,14,5,119,17587,6515,552,608,90.8,456,534,85.4,62,116,53.4,31,26,3,0,1,0,1,4,3,1,0,0,0,0,865,4476,2471,50,36,6,25,11,973,73,13,5,38.5,8,61.5,40,25,23,11,6,16,43,37.2,27,14,5,9,29,69,58,1,32,28,53.3,DF
1828,Yusuf Yazıcı,848,4,41,68.9,0,34.8,297,5,17,2019-2020,22,tr TUR,Lille,fr Ligue 1,18,848,9.4,9,9,0,1,4,5,0,1,1,0,315,457,68.9,24,28,6,0,35,4897,1530,157,183,85.8,91,120,75.8,38,94,40.4,41,18,20,2,1,0,0,4,2,2,0,0,0,0,297,1869,768,22,30,7,16,29,365,40,23,8,34.8,15,65.2,17,8,2,11,4,5,13,38.5,8,6,1,5,5,22,1,1,0,12,0,"MF,FW"
