,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1401,Gary Gardner,"2,765",5,65,68.8,61.9,59.4,687,46,56,2021-2022,29,eng ENG,Birmingham City,eng Championship,35,"2,765",30.7,31,4,1,6,0,6,6,0,0,0,712,1035,68.8,20,123,19,8,130,14399,4486,289,399,72.4,290,370,78.4,119,211,56.4,65,51,1,1,4,6,2,5,4,0,0,0,0,1,687,3810,1767,40,33,4,43,19,744,71,32,19,59.4,13,40.6,56,31,22,31,3,26,49,53.1,23,23,6,17,46,102,67,1,99,61,61.9,MF
1402,Tom Holmes,"2,437",1,12,75.7,61.2,44.4,734,56,44,2021-2022,21,eng ENG,Reading,eng Championship,32,"2,437",27.1,27,5,5,1,0,1,1,0,0,0,929,1227,75.7,6,28,6,1,48,18314,7474,343,382,89.8,465,560,83,111,249,44.6,12,10,1,0,1,0,0,1,0,0,0,1,0,0,734,2759,1249,4,5,0,15,4,828,9,9,4,44.4,5,55.6,44,34,30,14,0,21,34,61.8,13,37,27,10,56,100,136,3,82,52,61.2,DF
1403,David McGoldrick,973,6,38,73.2,47.2,65.5,355,5,16,2021-2022,33,ie IRL,Sheffield Utd,eng Championship,19,973,10.8,9,10,2,2,4,6,2,0,0,0,297,406,73.2,13,15,10,2,33,4350,905,177,219,80.8,90,114,78.9,18,35,51.4,38,31,0,3,2,1,1,6,6,0,0,0,0,0,355,1957,704,24,19,13,29,18,418,77,29,19,65.5,10,34.5,16,12,5,11,0,6,10,60,4,6,1,5,5,21,8,0,34,38,47.2,"MF,FW"
1404,Festy Ebosele,"1,829",1,36,65,52.6,43,493,23,62,2021-2022,18,ie IRL,Derby County,eng Championship,35,"1,829",20.3,18,17,1,2,1,3,2,0,0,0,388,597,65,16,26,17,7,44,5956,1841,226,286,79,127,193,65.8,27,58,46.6,36,22,1,4,2,6,1,1,1,0,0,0,0,0,493,4802,2336,85,56,35,69,50,521,110,121,52,43,69,57,62,34,36,18,8,25,45,55.6,20,25,3,22,23,85,23,0,41,37,52.6,"FW,DF"
1405,Greg Cunningham,"1,357",2,15,67.8,44.1,16.7,367,17,29,2021-2022,30,ie IRL,Preston,eng Championship,21,"1,357",15.1,17,4,16,0,1,1,0,0,0,0,467,689,67.8,6,55,8,3,62,8367,3891,211,261,80.8,214,293,73,37,96,38.5,15,12,0,0,3,0,0,2,1,0,0,1,0,0,367,1330,642,10,9,1,16,1,461,49,6,1,16.7,5,83.3,29,17,18,9,2,20,39,51.3,19,16,1,15,17,46,26,0,26,33,44.1,"DF,FW"
1406,David Brooks,500,2,19,75.1,0,53.6,178,4,4,2021-2022,24,wls WAL,Bournemouth,eng Championship,7,500,5.6,7,0,3,1,0,1,1,0,0,0,151,201,75.1,4,7,11,1,26,2586,697,71,87,81.6,58,68,85.3,16,23,69.6,19,14,1,4,0,0,0,2,2,0,0,0,0,0,178,1218,538,13,10,9,7,9,188,42,28,15,53.6,13,46.4,4,2,2,2,0,4,7,57.1,3,2,0,2,4,8,1,0,0,4,0,"FW,MF"
1407,Todd Kane,"2,123",6,77,68.2,31.3,47.6,824,16,28,2021-2022,27,eng ENG,Coventry City,eng Championship,29,"2,123",23.6,23,6,8,1,4,5,1,0,0,0,1011,1483,68.2,49,46,39,28,64,16812,6301,552,633,87.2,314,454,69.2,113,295,38.3,77,42,28,2,3,2,0,6,3,2,0,1,0,0,824,4056,2001,65,32,14,26,16,964,191,21,10,47.6,11,52.4,28,23,16,11,1,15,27,55.6,12,22,7,15,16,44,42,1,10,22,31.3,DF
1408,Neco Williams,"1,192",5,31,80.8,51.5,51.4,773,18,37,2021-2022,20,wls WAL,Fulham,eng Championship,14,"1,192",13.2,14,0,0,2,2,4,2,0,0,0,793,982,80.8,14,75,23,12,85,13010,3887,420,451,93.1,298,350,85.1,61,131,46.6,31,23,2,2,2,2,0,5,3,0,0,2,0,0,773,4379,2480,56,47,11,35,11,778,61,37,19,51.4,18,48.6,37,19,16,16,5,21,37,56.8,16,16,4,12,18,55,28,1,17,16,51.5,DF
1409,Kenneth Dougall,"3,350",10,71,75.4,49.1,64,901,28,100,2021-2022,28,au AUS,Blackpool,eng Championship,40,"3,350",37.2,37,3,3,1,5,6,1,0,0,0,1302,1727,75.4,30,140,14,1,152,24619,6799,504,626,80.5,605,712,85,161,287,56.1,71,52,12,0,1,3,3,10,5,3,0,0,1,1,901,3073,1190,7,12,1,47,23,1058,18,25,16,64,9,36,100,59,38,50,12,32,86,37.2,54,34,4,30,28,128,45,1,55,57,49.1,MF
