,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1601,Sebastian Vasiliadis,"2,808",3,69,75.3,41.7,64.6,830,34,73,2019-2020,21,gr GRE,Paderborn 07,de Bundesliga,32,"2,808",31.2,32,0,0,1,1,2,1,0,0,0,806,1070,75.3,27,78,10,1,100,14065,3674,349,423,82.5,331,382,86.6,86,167,51.5,69,56,1,7,2,2,1,3,3,0,0,0,0,0,830,4555,2374,48,36,8,57,39,835,53,79,51,64.6,28,35.4,73,45,34,31,8,28,81,34.6,53,47,6,41,34,107,50,0,20,28,41.7,MF
1602,Josip Brekalo,"1,670",8,95,68.3,32.4,46.3,685,16,18,2019-2020,21,hr CRO,Wolfsburg,de Bundesliga,30,"1,670",18.6,19,11,4,3,4,7,3,0,0,0,564,826,68.3,51,48,34,7,89,9474,3130,266,349,76.2,197,251,78.5,67,134,50,95,63,14,7,7,4,0,8,6,0,2,0,0,0,685,4755,2324,82,63,33,51,44,768,146,82,38,46.3,44,53.7,18,8,5,6,7,5,23,21.7,18,26,0,26,16,34,4,0,11,23,32.4,"MF,FW"
1603,William,"1,364",4,33,69.5,43.9,50,490,24,55,2019-2020,24,br BRA,Wolfsburg,de Bundesliga,16,"1,364",15.2,16,0,5,1,1,2,1,0,0,0,628,903,69.5,15,61,18,9,73,10588,4436,306,356,86,232,329,70.5,65,133,48.9,33,20,5,3,1,4,0,4,2,0,0,0,2,0,490,2744,1526,41,42,1,25,19,563,79,38,19,50,19,50,55,26,34,14,7,27,59,45.8,32,10,3,7,24,79,38,1,18,23,43.9,DF
1604,Valon Berisha,941,1,21,81.3,35.3,33.3,228,9,14,2019-2020,26,xk KVX,Düsseldorf,de Bundesliga,13,941,10.5,12,1,2,0,1,1,0,0,0,0,322,396,81.3,13,24,9,2,35,5096,995,172,195,88.2,108,124,87.1,27,42,64.3,21,13,3,0,1,3,1,1,1,0,0,0,0,0,228,1035,445,10,8,2,17,10,345,54,3,1,33.3,2,66.7,14,9,3,8,3,6,21,28.6,15,4,1,3,9,23,8,0,6,11,35.3,MF
1605,Johannes Eggestein,510,0,15,71.3,11.1,25,169,2,8,2019-2020,21,de GER,Werder Bremen,de Bundesliga,14,510,5.7,4,10,10,1,0,1,1,0,0,0,144,202,71.3,6,6,3,1,11,1990,418,86,107,80.4,43,55,78.2,6,14,42.9,15,9,1,1,3,1,0,0,0,0,0,0,0,0,169,782,329,8,7,4,11,10,171,39,4,1,25,3,75,8,6,2,2,4,3,12,25,9,6,0,6,2,10,4,0,2,16,11.1,"MF,FW"
1606,Florian Niederlechner,"2,720",12,73,70.5,40.7,44.4,478,8,21,2019-2020,28,de GER,Augsburg,de Bundesliga,33,"2,720",30.2,31,2,0,13,6,19,12,1,2,1,351,498,70.5,29,23,15,1,52,5310,1138,179,228,78.5,119,155,76.8,24,37,64.9,73,37,1,12,8,15,0,12,6,0,3,1,2,0,478,2288,1143,42,21,26,63,38,536,132,63,28,44.4,35,55.6,21,13,7,9,5,4,21,19,17,21,5,16,8,29,38,0,46,67,40.7,"FW,MF"
1607,Alphonso Davies,"2,234",9,73,85.6,53.6,63.6,1238,31,70,2019-2020,18,ca CAN,Bayern Munich,de Bundesliga,29,"2,234",24.8,24,5,4,3,5,8,3,0,0,0,1556,1818,85.6,37,96,42,19,135,22115,6305,931,1027,90.7,488,553,88.2,67,101,66.3,73,62,1,5,0,3,2,9,8,0,1,0,0,0,1238,7792,4438,121,90,22,53,42,1320,191,129,82,63.6,47,36.4,70,43,35,24,11,38,58,65.5,20,35,6,29,31,101,51,0,30,26,53.6,DF
1608,Mahmoud Dahoud,558,3,16,89.9,37.5,76.9,367,8,10,2019-2020,23,de GER,Dortmund,de Bundesliga,12,558,6.2,6,6,15,0,1,1,0,0,0,0,438,487,89.9,8,37,9,0,42,7245,1659,210,226,92.9,172,187,92,37,44,84.1,16,14,0,1,1,0,0,3,3,0,0,0,0,0,367,1801,815,7,8,0,11,8,455,11,13,10,76.9,3,23.1,10,6,4,4,2,6,18,33.3,12,8,2,6,8,18,4,0,3,5,37.5,MF
1609,Jadon Sancho,"2,287",32,128,82.1,7.7,55.8,1286,14,14,2019-2020,19,eng ENG,Dortmund,de Bundesliga,32,"2,287",25.4,25,7,1,17,16,33,17,0,0,0,1324,1613,82.1,68,79,55,2,168,17488,4179,814,914,89.1,357,420,85,56,105,53.3,128,96,13,10,6,2,1,32,26,2,2,2,0,0,1286,8217,4153,135,106,48,61,33,1579,298,138,77,55.8,61,44.2,14,11,6,6,2,8,24,33.3,16,8,0,8,14,28,6,0,1,12,7.7,"FW,MF"
