,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2201,Fouad Chafik,"1,847",4,45,73.4,42.1,53.1,481,25,44,2018-2019,31,ma MAR,Dijon,fr Ligue 1,21,"1,847",20.5,21,0,13,0,2,2,0,0,0,0,709,966,73.4,16,53,17,7,75,11290,4801,376,420,89.5,262,359,73,53,129,41.1,45,30,6,2,3,3,1,4,3,0,0,1,0,0,481,2908,1723,48,41,1,19,12,580,68,32,17,53.1,15,46.9,44,31,29,12,3,23,36,63.9,13,17,3,14,25,69,71,0,16,22,42.1,DF
2202,Kevin Strootman,"1,942",8,46,80.8,50.6,76.9,824,24,76,2018-2019,28,nl NED,Marseille,fr Ligue 1,28,"1,942",21.6,21,7,3,1,5,6,1,0,0,0,953,1179,80.8,24,81,14,1,116,14088,4321,557,628,88.7,279,343,81.3,66,111,59.5,46,36,5,1,4,0,0,8,5,1,1,1,0,0,824,3420,1837,24,26,2,16,17,899,33,13,10,76.9,3,23.1,76,40,21,47,8,20,52,38.5,32,24,6,18,24,100,26,0,40,39,50.6,MF
2203,Abdoulaye Touré,"2,749",7,75,79.2,47.5,71.2,1011,47,48,2018-2019,24,gn GUI,Nantes,fr Ligue 1,34,"2,749",30.5,30,4,3,3,1,4,3,0,0,0,1096,1384,79.2,24,123,17,5,146,17179,4912,556,662,84,408,482,84.6,84,133,63.2,75,55,0,4,7,7,2,7,2,0,2,2,1,0,1011,4599,2208,38,44,2,45,40,1174,55,59,42,71.2,17,28.8,48,31,14,28,6,19,56,33.9,37,25,10,15,47,95,29,1,47,52,47.5,MF
2204,Benjamin André,"2,495",6,67,78,59,65.6,946,54,101,2018-2019,27,fr FRA,Rennes,fr Ligue 1,30,"2,495",27.7,28,2,0,3,1,4,3,0,0,0,1174,1505,78,20,108,20,1,185,18044,5013,600,699,85.8,427,529,80.7,78,130,60,67,50,1,4,1,7,4,6,4,0,1,0,1,0,946,4992,2430,52,33,3,55,39,1181,86,32,21,65.6,11,34.4,101,60,39,50,12,33,85,38.8,52,40,6,34,54,155,58,0,141,98,59,MF
2205,Jimmy Durmaz,"1,899",5,86,73.1,27.3,56.3,829,11,34,2018-2019,29,se SWE,Toulouse,fr Ligue 1,36,"1,899",21.1,21,15,0,4,1,5,2,2,2,0,886,1212,73.1,39,97,28,4,144,13971,4885,495,575,86.1,275,364,75.5,83,170,48.8,86,48,19,11,5,3,0,5,2,1,0,1,1,0,829,5149,2654,60,63,14,45,40,1032,110,87,49,56.3,38,43.7,34,22,8,13,13,15,38,39.5,23,14,2,12,11,45,16,1,9,24,27.3,"MF,FW"
2206,Steven Moreira,863,1,11,76,26.3,45.5,241,10,19,2018-2019,23,cv CPV,Toulouse,fr Ligue 1,10,863,9.6,10,0,14,0,0,0,0,0,0,0,314,413,76,4,21,5,3,29,4809,1788,183,208,88,108,141,76.6,19,41,46.3,11,7,3,0,0,1,0,1,1,0,0,0,0,0,241,1354,662,19,12,2,17,10,258,38,11,5,45.5,6,54.5,19,8,13,5,1,10,17,58.8,7,14,0,14,10,29,19,1,5,14,26.3,"DF,MF"
2207,Cheikh N'Doye,"2,334",7,46,60.4,71.6,50,442,25,25,2018-2019,32,sn SEN,Angers,fr Ligue 1,27,"2,334",25.9,26,1,1,0,3,3,0,0,0,0,525,869,60.4,17,64,8,4,94,7867,2901,267,412,64.8,193,306,63.1,30,69,43.5,46,38,0,1,3,4,0,7,7,0,0,0,0,0,442,1953,943,23,14,2,39,27,731,91,10,5,50,5,50,25,15,14,11,0,10,32,31.3,22,33,8,25,25,50,61,0,174,69,71.6,MF
2208,Christopher Jullien,"3,015",6,33,82.8,74.1,57.1,955,41,35,2018-2019,25,fr FRA,Toulouse,fr Ligue 1,34,"3,015",33.5,34,0,1,1,0,1,1,0,0,0,1229,1484,82.8,10,67,4,0,124,25577,11402,390,446,87.4,632,708,89.3,196,299,65.6,33,22,0,0,8,2,1,6,4,0,0,1,1,0,955,4971,3215,10,4,1,12,3,1114,11,7,4,57.1,3,42.9,35,24,23,10,2,12,32,37.5,20,39,27,12,41,76,203,4,140,49,74.1,DF
2209,Xeka,"2,260",2,34,80.6,51.4,50,830,21,59,2018-2019,23,pt POR,Lille,fr Ligue 1,27,"2,260",25.1,26,1,0,2,0,2,2,0,0,0,999,1240,80.6,12,95,6,1,113,17481,4671,436,500,87.2,419,479,87.5,102,179,57,34,24,5,2,0,2,1,2,1,1,0,0,0,0,830,4801,2486,40,26,1,33,14,1023,19,16,8,50,8,50,59,31,25,27,7,18,57,31.6,39,20,2,18,21,80,30,4,38,36,51.4,MF
