,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1801,Dominique Heintz,"3,053",2,35,81.4,54.5,80.8,1074,45,41,2018-2019,24,de GER,Freiburg,de Bundesliga,34,"3,053",33.9,34,0,0,1,1,2,1,0,0,0,1361,1671,81.4,8,121,7,4,137,28365,10721,424,457,92.8,718,792,90.7,208,378,55,35,29,5,0,1,0,0,2,2,0,0,0,0,0,1074,6924,4436,47,25,2,20,10,1328,5,26,21,80.8,5,19.2,41,21,34,6,1,18,32,56.3,14,45,22,23,45,86,214,0,61,51,54.5,DF
1802,Lukas Mühl,"2,790",0,14,83.8,48.4,87.5,991,48,57,2018-2019,21,de GER,Nürnberg,de Bundesliga,31,"2,790",31,31,0,2,1,0,1,1,0,0,0,1227,1465,83.8,4,55,1,0,70,25664,7797,340,377,90.2,702,764,91.9,171,292,58.6,14,10,1,1,0,1,1,0,0,0,0,0,0,0,991,5927,3704,14,7,0,7,4,1153,5,8,7,87.5,1,12.5,57,34,49,6,2,32,51,62.7,19,53,18,35,48,105,139,2,46,49,48.4,DF
1803,Robin Knoche,"2,790",2,21,85.6,54.7,80,1500,44,26,2018-2019,26,de GER,Wolfsburg,de Bundesliga,31,"2,790",31,31,0,3,3,0,3,3,0,0,0,1756,2051,85.6,1,97,3,1,129,39970,12131,345,402,85.8,1078,1164,92.6,321,443,72.5,21,18,2,0,1,0,0,2,2,0,0,0,0,0,1500,8782,5327,28,12,1,11,5,1603,7,10,8,80,2,20,26,20,19,6,1,16,29,55.2,13,46,29,17,44,70,138,2,75,62,54.7,DF
1804,Jean-Philippe Gbamin,"2,672",3,60,79,57.3,53,1026,30,51,2018-2019,22,ci CIV,Mainz 05,de Bundesliga,31,"2,672",29.7,30,1,0,2,1,3,2,0,0,0,1080,1367,79,23,111,19,4,135,18681,5099,568,663,85.7,369,430,85.8,119,191,62.3,60,52,1,2,4,0,1,3,2,0,1,0,0,0,1026,6608,3091,67,53,10,46,50,1049,67,66,35,53,31,47,51,31,29,15,7,23,51,45.1,28,39,5,34,30,81,32,1,51,38,57.3,MF
1805,Milot Rashica,"1,550",11,80,58.9,21.6,44,499,6,24,2018-2019,22,xk KVX,Werder Bremen,de Bundesliga,26,"1,550",17.2,19,7,4,9,5,14,8,1,1,0,301,511,58.9,30,9,23,13,27,4959,1210,152,202,75.2,111,183,60.7,28,80,35,80,45,10,12,4,9,0,11,6,1,3,0,1,0,499,3752,1883,87,38,35,47,35,544,186,75,33,44,42,56,24,16,8,11,5,9,24,37.5,15,16,2,14,6,30,6,1,8,29,21.6,"FW,MF"
1806,Håvard Nordtveit,470,0,9,83,66.7,71.4,191,4,8,2018-2019,28,no NOR,Hoffenheim,de Bundesliga,8,470,5.2,4,4,0,0,0,0,0,0,0,0,230,277,83,2,32,4,0,31,4711,1470,74,85,87.1,123,136,90.4,29,47,61.7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,191,846,547,7,2,1,3,2,212,2,7,5,71.4,2,28.6,8,5,2,4,2,3,7,42.9,4,8,5,3,4,12,14,0,6,3,66.7,"MF,DF"
1807,Kevin Danso,"1,247",3,6,72.4,59.2,40,384,19,25,2018-2019,19,at AUT,Augsburg,de Bundesliga,18,"1,247",13.9,13,5,15,1,1,2,1,0,0,0,451,623,72.4,2,31,1,0,36,9525,4020,145,175,82.9,219,260,84.2,80,163,49.1,6,3,1,0,2,0,0,3,1,0,0,2,0,0,384,2269,1226,6,0,0,4,5,433,2,5,2,40,3,60,25,14,21,3,1,11,14,78.6,3,25,17,8,19,44,72,0,45,31,59.2,DF
1808,Kevin Akpoguma,812,2,11,82.5,47.8,100,313,22,33,2018-2019,23,ng NGA,2 Teams,de Bundesliga,12,812,9,9,3,2,0,0,0,0,0,0,0,363,440,82.5,0,40,2,0,53,6655,2371,149,166,89.8,177,197,89.8,34,63,54,11,10,0,0,0,1,0,2,1,0,0,0,1,0,313,1537,844,6,5,0,6,5,330,0,3,3,100,0,0,33,21,18,15,0,17,28,60.7,11,25,7,18,22,55,27,4,11,12,47.8,DF
1809,Eduard Löwen,"1,623",6,50,74.1,36.7,46,553,8,30,2018-2019,21,de GER,Nürnberg,de Bundesliga,22,"1,623",18,17,5,1,3,2,5,3,0,0,0,540,729,74.1,15,66,14,3,98,9520,3427,254,309,82.2,204,251,81.3,66,112,58.9,50,36,1,2,7,4,0,6,3,0,1,2,0,0,553,3707,1997,46,32,6,36,35,632,59,63,29,46,34,54,30,22,14,13,3,11,34,32.4,23,15,2,13,8,38,23,0,18,31,36.7,"MF,FW"
1810,Janik Haberer,"2,340",8,91,78.3,48.6,63.2,638,36,71,2018-2019,24,de GER,Freiburg,de Bundesliga,27,"2,340",26,26,1,0,1,3,4,1,0,0,0,842,1076,78.3,46,72,17,4,105,15304,3781,354,418,84.7,365,433,84.3,95,134,70.9,91,75,0,3,5,6,2,8,5,0,0,1,2,0,638,3370,1656,30,23,6,42,41,845,80,38,24,63.2,14,36.8,71,47,37,24,10,30,75,40,45,31,4,27,36,107,49,0,52,55,48.6,"MF,FW"
1811,James Rodríguez,"1,138",8,83,82.6,30,61.5,688,4,12,2018-2019,27,co COL,Bayern Munich,de Bundesliga,20,"1,138",12.6,13,7,4,7,3,10,7,0,0,0,805,974,82.6,51,74,36,5,135,14271,3994,369,401,92,302,349,86.5,100,157,63.7,83,56,19,1,6,1,0,8,5,2,0,0,1,0,688,3566,1708,35,26,7,13,12,822,103,26,16,61.5,10,38.5,12,8,3,4,5,5,19,26.3,14,9,0,9,4,16,1,0,3,7,30,MF
1812,Mario Gómez,"2,211",5,48,64.8,52.3,40,270,5,19,2018-2019,33,de GER,Stuttgart,de Bundesliga,31,"2,211",24.6,25,6,2,7,2,9,7,0,0,0,321,495,64.8,25,25,4,0,37,4290,945,195,267,73,93,140,66.4,11,26,42.3,48,37,0,3,6,0,2,5,3,0,0,2,0,0,270,1235,475,18,11,7,40,21,461,111,20,8,40,12,60,19,11,6,10,3,2,12,16.7,10,17,6,11,5,24,33,0,90,82,52.3,FW
1813,Niko Gießelmann,"2,593",9,66,72.6,61.3,47.8,807,36,57,2018-2019,26,de GER,Düsseldorf,de Bundesliga,30,"2,593",28.8,29,1,2,0,3,3,0,0,0,0,997,1373,72.6,26,89,28,11,116,18230,7745,429,502,85.5,431,557,77.4,115,241,47.7,66,41,10,3,6,6,0,9,5,1,0,1,2,0,807,4227,2149,54,37,6,32,8,944,100,23,11,47.8,12,52.2,57,37,38,14,5,26,59,44.1,33,25,6,19,36,93,85,1,49,31,61.3,DF
1814,Markus Suttner,489,0,12,68.9,53.8,0,154,8,10,2018-2019,31,at AUT,Düsseldorf,de Bundesliga,6,489,5.4,6,0,6,1,1,2,1,0,0,0,175,254,68.9,9,11,4,1,15,3581,1421,73,82,89,64,90,71.1,36,74,48.6,12,6,5,0,0,1,0,0,0,0,0,0,0,0,154,733,420,11,9,0,3,4,182,15,2,0,0,2,100,10,7,5,4,1,4,8,50,4,8,3,5,8,18,10,0,7,6,53.8,"DF,MF"
