,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2201,Sam Hutchinson,"1,793",1,31,79.2,57.7,77.8,522,36,57,2019-2020,29,eng ENG,Sheffield Weds,eng Championship,23,"1,793",19.9,20,3,1,1,1,2,1,0,0,0,729,920,79.2,12,61,6,3,77,13312,4141,300,352,85.2,323,374,86.4,83,143,58,31,27,2,0,1,1,0,1,1,0,0,0,0,0,522,2468,1036,11,9,0,10,12,575,19,9,7,77.8,2,22.2,57,39,25,32,0,10,27,37,17,20,6,14,36,93,41,0,30,22,57.7,"MF,DF"
2202,Harrison Reed,"1,821",3,32,86.4,41.1,73.3,620,35,47,2019-2020,24,eng ENG,Fulham,eng Championship,25,"1,821",20.2,21,4,3,0,1,1,0,0,0,0,1045,1209,86.4,13,95,10,1,115,17289,4480,505,549,92,452,497,90.9,70,121,57.9,32,25,2,0,1,3,1,3,2,0,0,0,1,0,620,3304,1511,17,26,2,19,6,897,17,15,11,73.3,4,26.7,47,23,27,16,4,16,49,32.7,33,13,5,8,35,82,33,0,23,33,41.1,MF
2203,Matt Grimes,"4,140",14,144,78.9,44.8,82.2,1686,71,130,2019-2020,24,eng ENG,Swansea City,eng Championship,46,"4,140",46,46,0,0,0,7,7,0,0,0,0,2407,3051,78.9,76,289,23,6,333,45270,15797,984,1109,88.7,1046,1219,85.8,309,579,53.4,144,87,51,0,2,1,3,14,7,7,0,0,0,0,1686,8660,4603,67,51,1,26,32,2045,24,45,37,82.2,8,17.8,130,76,53,64,13,53,103,51.5,50,59,23,36,71,201,64,3,47,58,44.8,MF
2204,Fraizer Campbell,"1,559",4,33,64.9,31,39.1,195,9,28,2019-2020,31,eng ENG,Huddersfield,eng Championship,33,"1,559",17.3,21,12,0,3,2,5,3,0,0,0,170,262,64.9,14,17,7,0,26,2327,697,100,134,74.6,40,61,65.6,12,23,52.2,33,22,2,1,2,4,2,4,2,1,0,0,1,0,195,1120,359,15,15,5,39,23,274,58,23,9,39.1,14,60.9,28,20,3,13,12,4,13,30.8,9,13,6,7,9,37,14,0,31,69,31,FW
2205,Kamil Grosicki,"2,866",19,133,63.3,39.3,48.8,847,16,19,2019-2020,31,pl POL,2 Teams,eng Championship,42,"2,866",31.8,32,10,0,7,7,14,7,0,0,0,685,1082,63.3,66,31,51,11,82,10056,3040,399,490,81.4,188,302,62.3,56,153,36.6,133,82,23,10,10,5,3,19,11,2,1,3,2,0,847,7264,4216,175,86,92,60,53,965,307,80,39,48.8,41,51.3,19,9,10,7,2,11,30,36.7,19,10,1,9,16,35,8,0,11,17,39.3,FW
2206,Rudy Gestede,591,1,13,49.1,57.4,50,68,1,3,2019-2020,30,bj BEN,Middlesbrough,eng Championship,19,591,6.6,5,14,3,2,1,3,2,0,0,0,80,163,49.1,10,15,4,0,15,942,332,55,86,64,17,50,34,1,3,33.3,13,11,0,0,2,0,0,1,1,0,0,0,0,0,68,200,67,3,1,1,19,5,169,25,2,1,50,1,50,3,1,0,2,1,0,2,0,2,5,3,2,1,4,13,0,93,69,57.4,FW
2207,Ryan Manning,"3,689",23,143,69.5,54,50,1227,59,84,2019-2020,23,ie IRL,QPR,eng Championship,41,"3,689",41,41,0,5,4,7,11,4,0,0,0,1787,2573,69.5,75,161,73,37,207,31810,14653,832,968,86,682,903,75.5,222,550,40.4,143,92,25,7,10,8,1,23,17,1,1,3,1,0,1227,6975,4043,105,67,11,47,32,1678,196,74,37,50,37,50,84,56,57,22,5,38,68,55.9,30,36,11,25,59,143,84,1,61,52,54,DF
2208,George Honeyman,"2,059",5,63,73.3,30,61.5,502,14,43,2019-2020,24,eng ENG,Hull City,eng Championship,42,"2,059",22.9,21,21,2,1,3,4,1,0,0,0,630,859,73.3,34,62,20,7,89,10097,3395,326,381,85.6,215,267,80.5,64,133,48.1,63,44,12,1,1,4,1,5,3,2,0,0,0,0,502,2467,989,33,22,3,38,23,606,78,26,16,61.5,10,38.5,43,25,19,20,4,10,56,17.9,46,18,3,15,14,57,11,0,12,28,30,"MF,FW"
2209,Danny Fox,805,1,8,65,70,100,183,8,11,2019-2020,33,sct SCO,Wigan Athletic,eng Championship,11,805,8.9,9,2,6,0,1,1,0,0,0,0,195,300,65,6,26,5,0,23,4762,2655,51,58,87.9,91,107,85,49,121,40.5,8,2,4,0,1,1,0,1,0,1,0,0,0,0,183,865,580,5,3,0,1,1,187,0,2,2,100,0,0,11,9,11,0,0,4,6,66.7,2,9,6,3,8,19,39,0,21,9,70,DF
