,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2401,Kerim Mrabti,877,3,33,72.6,25,63.2,215,4,7,2019-2020,25,se SWE,Birmingham City,eng Championship,15,877,9.7,12,3,3,2,1,3,1,1,1,0,193,266,72.6,20,12,3,0,20,2445,485,116,157,73.9,51,65,78.5,7,14,50,33,29,0,3,0,1,0,3,2,0,1,0,0,0,215,1067,404,13,12,8,31,20,255,73,19,12,63.2,7,36.8,7,6,0,6,1,0,5,0,5,1,0,1,4,11,3,0,9,27,25,"FW,MF"
2402,Lewis Macleod,894,0,14,75.9,60.9,33.3,241,10,34,2019-2020,25,sct SCO,Wigan Athletic,eng Championship,12,894,9.9,11,1,17,0,0,0,0,0,0,0,277,365,75.9,6,39,6,0,44,5435,1587,103,130,79.2,115,140,82.1,47,70,67.1,14,12,0,0,1,1,0,0,0,0,0,0,0,0,241,775,316,1,5,0,8,5,243,3,9,3,33.3,6,66.7,34,22,16,15,3,15,35,42.9,20,10,3,7,10,44,21,1,14,9,60.9,MF
2403,Yan Dhanda,791,4,27,76.1,62.5,58.8,297,3,5,2019-2020,20,eng ENG,Swansea City,eng Championship,16,791,8.8,9,7,17,3,0,3,3,0,0,0,242,318,76.1,13,23,15,5,33,4038,945,118,147,80.3,79,105,75.2,30,44,68.2,27,21,0,2,2,2,0,4,2,0,0,1,1,0,297,1847,720,19,22,3,22,17,303,41,17,10,58.8,7,41.2,5,1,0,4,1,1,5,20,4,2,0,2,3,8,2,0,5,3,62.5,"MF,FW"
2404,Famara Diedhiou,"2,893",8,77,60.6,47.6,57.1,571,13,34,2019-2020,26,sn SEN,Bristol City,eng Championship,41,"2,893",32.1,29,12,2,12,1,13,11,1,2,1,418,690,60.6,34,42,19,2,65,6166,1479,253,384,65.9,113,183,61.7,34,58,58.6,77,51,0,8,9,8,1,8,4,0,0,2,2,0,571,2703,785,23,27,9,112,66,847,152,84,48,57.1,36,42.9,34,15,8,18,8,13,37,35.1,24,28,7,21,13,47,69,0,208,229,47.6,FW
2405,Jack Marriott,"1,137",6,34,71.6,20.8,61.1,202,2,7,2019-2020,24,eng ENG,Derby County,eng Championship,32,"1,137",12.6,10,22,2,2,2,4,2,0,0,0,164,229,71.6,11,11,7,0,22,2598,547,91,111,82,54,78,69.2,13,19,68.4,34,22,0,3,6,2,1,6,3,0,0,1,2,0,202,1214,524,21,9,11,27,21,239,78,18,11,61.1,6,33.3,7,4,1,3,3,1,9,11.1,8,9,0,9,2,9,8,0,11,42,20.8,FW
2406,Elliot Lee,578,2,13,78.2,29.2,64.3,208,9,16,2019-2020,24,eng ENG,Luton Town,eng Championship,11,578,6.4,8,3,12,1,0,1,1,0,0,0,169,216,78.2,4,16,6,2,16,2351,738,112,134,83.6,38,44,86.4,11,17,64.7,13,7,0,2,1,3,0,2,0,0,1,1,0,0,208,1076,412,8,10,1,15,14,205,30,14,9,64.3,5,35.7,16,10,7,9,0,6,17,35.3,11,5,2,3,9,25,4,0,7,17,29.2,"MF,FW"
2407,Ethan Pinnock,"3,038",6,18,79.9,66.3,88.9,1380,49,48,2019-2020,26,jm JAM,Brentford,eng Championship,36,"3,038",33.8,34,2,9,2,4,6,2,0,0,0,1737,2174,79.9,10,89,0,0,100,34530,10863,564,670,84.2,948,1091,86.9,208,355,58.6,18,16,0,0,2,0,0,6,6,0,0,0,0,0,1380,8652,5763,23,9,0,11,8,1545,4,9,8,88.9,1,11.1,48,29,32,15,1,18,28,64.3,10,33,22,11,49,97,184,3,189,96,66.3,DF
2408,Callum Robinson,853,6,42,68,33.3,60,322,9,11,2019-2020,24,ie IRL,West Brom,eng Championship,16,853,9.5,10,6,1,3,2,5,3,0,0,0,238,350,68,18,19,16,4,39,3382,1024,136,161,84.5,79,117,67.5,10,34,29.4,42,34,0,3,5,0,0,6,5,0,0,1,0,0,322,1731,821,35,19,15,33,22,354,92,20,12,60,8,40,11,5,6,5,0,4,15,26.7,11,5,1,4,9,20,5,0,10,20,33.3,FW
2409,Kyle Naughton,"2,487",1,30,74.3,43.8,57.9,868,43,45,2019-2020,30,eng ENG,Swansea City,eng Championship,32,"2,487",27.6,28,4,11,3,0,3,3,0,0,0,1261,1698,74.3,7,111,11,2,149,20866,9358,638,721,88.5,478,631,75.8,107,235,45.5,30,21,4,0,3,0,2,1,1,0,0,0,0,0,868,3692,2042,32,20,5,18,12,1054,39,19,11,57.9,8,42.1,45,28,20,23,2,20,39,51.3,19,27,9,18,43,88,91,0,42,54,43.8,DF
