,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
201,Jhon Lucumí,"2,217",1,20,93.4,50.9,80,1339,16,48,2023-2024,25,co COL,Bologna,it Serie A,29,"2,217",24.6,23,6,4,0,0,0,0,0,0,0,1734,1857,93.4,4,105,5,0,93,31124,9471,711,748,95.1,845,865,97.7,152,196,77.6,20,17,0,1,2,0,0,1,0,0,0,1,0,0,1339,7663,4522,28,21,0,15,6,1552,4,10,8,80,2,20,48,29,31,17,0,27,36,75,9,32,17,15,16,64,68,2,29,28,50.9,DF
202,Toma Bašić,"1,162",1,27,81.9,40,66.7,366,14,20,2023-2024,26,hr CRO,2 Teams,it Serie A,15,"1,162",12.9,14,1,16,0,0,0,0,0,0,0,442,540,81.9,16,43,6,4,53,7981,2047,192,208,92.3,179,214,83.6,57,89,64,27,20,4,2,1,0,0,1,1,0,0,0,0,0,366,1843,758,11,15,0,23,3,439,16,15,10,66.7,5,33.3,20,13,10,9,1,10,27,37,17,18,6,12,14,34,29,0,8,12,40,MF
203,Simeon Nwankwo,686,0,7,62.4,36.9,50,122,0,6,2023-2024,31,ng NGA,Salernitana,it Serie A,15,686,7.6,6,9,10,3,0,3,3,0,0,0,83,133,62.4,5,8,1,0,7,1082,151,52,76,68.4,22,27,81.5,2,2,100,7,6,0,0,1,0,0,0,0,0,0,0,0,0,122,411,89,6,3,6,31,19,167,39,2,1,50,1,50,6,3,0,2,4,1,3,33.3,2,7,0,7,0,6,4,0,24,41,36.9,FW
204,Rade Krunić,687,0,10,90,64.7,100,284,11,10,2023-2024,29,ba BIH,Milan,it Serie A,10,687,7.6,8,2,5,0,0,0,0,0,0,0,388,431,90,5,17,2,0,24,5999,1258,195,209,93.3,161,179,89.9,19,23,82.6,10,9,1,0,0,0,0,0,0,0,0,0,0,0,284,1278,556,5,7,0,8,3,334,3,2,2,100,0,0,10,8,3,6,1,4,9,44.4,5,7,3,4,11,21,14,0,11,6,64.7,MF
205,Valentin Gendrey,"3,044",3,63,74.7,57.6,47.1,810,35,55,2023-2024,23,fr FRA,Lecce,it Serie A,37,"3,044",33.8,35,2,0,2,3,5,2,0,0,0,1031,1380,74.7,24,106,18,7,116,17674,8250,512,593,86.3,425,541,78.6,83,192,43.2,63,47,7,5,2,2,0,3,2,0,1,0,0,0,810,4846,2906,77,32,6,38,20,849,86,34,16,47.1,11,32.4,55,33,35,16,4,30,46,65.2,16,40,11,29,35,90,99,0,53,39,57.6,DF
206,Nadir Zortea,"1,407",9,51,73.3,32.4,42.3,410,5,26,2023-2024,24,it ITA,2 Teams,it Serie A,19,"1,407",15.6,14,5,14,2,5,7,2,0,0,0,487,664,73.3,24,29,29,20,52,7876,3172,262,303,86.5,166,219,75.8,45,88,51.1,51,37,6,3,3,1,1,9,8,0,1,0,0,0,410,2325,1109,38,27,6,32,17,479,93,52,22,42.3,25,48.1,26,18,11,14,1,11,26,42.3,15,15,5,10,5,31,32,1,11,23,32.4,DF
207,Lorenzo Lucca,"2,592",4,46,59.7,50.5,36.4,436,3,19,2023-2024,22,it ITA,Udinese,it Serie A,37,"2,592",28.8,30,7,0,8,4,12,8,0,0,0,271,454,59.7,20,14,5,0,18,3830,448,139,220,63.2,93,149,62.4,15,21,71.4,46,29,0,1,9,6,1,4,3,0,0,1,0,0,436,1829,459,10,16,5,85,48,598,118,33,12,36.4,20,60.6,19,11,4,11,4,5,20,25,15,18,3,15,3,22,36,1,95,93,50.5,FW
208,Tomáš Suslov,"2,092",7,69,72.6,29.4,51.4,506,6,42,2023-2024,21,sk SVK,Hellas Verona,it Serie A,32,"2,092",23.2,23,9,2,3,5,8,2,1,1,0,416,573,72.6,28,40,22,6,64,8181,2111,155,185,83.8,176,210,83.8,70,127,55.1,69,37,13,6,5,5,3,7,5,1,0,1,0,0,506,3572,1525,46,44,13,57,34,510,74,74,38,51.4,28,37.8,42,30,11,22,9,15,47,31.9,32,15,0,15,6,48,8,0,5,12,29.4,"MF,FW"
209,Grégoire Defrel,757,2,19,84.6,22.2,30.8,181,3,17,2023-2024,32,mq MTQ,Sassuolo,it Serie A,20,757,8.4,7,13,6,1,2,3,1,0,0,0,187,221,84.6,8,10,3,1,17,2738,555,102,114,89.5,65,75,86.7,10,13,76.9,19,16,1,0,2,0,0,2,2,0,0,0,0,0,181,1001,348,7,7,2,15,15,219,42,13,4,30.8,8,61.5,17,8,7,5,5,7,15,46.7,8,10,0,10,3,20,9,0,6,21,22.2,"FW,MF"
