,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2601,Ahmed Hegazi,"3,270",4,30,76.7,60.5,92.9,1123,32,46,2018-2019,27,eg EGY,West Brom,eng Championship,38,"3,270",36.3,38,0,0,1,2,3,1,0,0,0,1442,1881,76.7,14,72,5,0,107,31729,12291,370,465,79.6,771,926,83.3,292,447,65.3,30,25,1,0,4,0,0,4,3,0,0,1,0,0,1123,6958,4120,21,16,0,14,14,1273,2,28,26,92.9,2,7.1,46,29,38,8,0,16,31,51.6,15,68,47,21,32,78,241,2,155,101,60.5,DF
2602,Jack Hobbs,"2,117",0,9,69.5,73.2,50,384,54,34,2018-2019,29,eng ENG,Bolton,eng Championship,25,"2,117",23.5,24,1,10,1,0,1,1,0,0,0,592,852,69.5,5,34,4,0,49,11424,5170,205,255,80.4,317,428,74.1,62,138,44.9,9,8,1,0,0,0,0,0,0,0,0,0,0,0,384,1465,671,2,2,1,8,2,421,3,2,1,50,1,50,34,18,27,7,0,14,29,48.3,15,21,14,7,54,88,138,1,123,45,73.2,DF
2603,Henrik Dalsgaard,"3,514",6,82,71,51.9,54.5,1094,61,90,2018-2019,29,dk DEN,Brentford,eng Championship,40,"3,514",39,40,0,3,2,2,4,2,0,0,0,1480,2085,71,37,98,45,9,192,25535,10183,713,860,82.9,633,867,73,118,279,42.3,82,70,8,1,1,1,1,6,4,1,0,1,0,0,1094,5671,3539,70,50,12,38,18,1416,261,33,18,54.5,15,45.5,90,58,65,20,5,47,76,61.8,29,26,11,15,61,151,124,0,138,128,51.9,"DF,MF"
2604,Ben Brereton,695,2,20,76.6,8.7,50,216,3,5,2018-2019,19,cl CHI,Blackburn,eng Championship,25,695,7.7,4,21,14,1,1,2,1,0,0,0,144,188,76.6,5,4,3,0,8,2003,229,93,110,84.5,35,49,71.4,9,13,69.2,20,8,0,3,1,8,0,2,1,0,0,0,1,0,216,1648,519,21,17,13,29,35,240,75,20,10,50,10,50,5,4,3,1,1,3,8,37.5,5,4,1,3,3,8,2,0,2,21,8.7,FW
2605,Andreas Weimann,"3,333",10,100,71.7,31.2,52.5,671,19,25,2018-2019,26,at AUT,Bristol City,eng Championship,44,"3,333",37,40,4,1,10,5,15,10,0,0,0,660,920,71.7,47,66,29,10,98,10906,2383,336,415,81,236,338,69.8,66,113,58.4,100,77,1,9,9,2,2,10,7,0,2,1,0,0,671,4737,2085,79,48,33,59,26,838,237,59,31,52.5,28,47.5,25,18,5,9,11,6,16,37.5,10,39,2,37,19,44,24,0,34,75,31.2,"FW,MF"
2606,Saïd Benrahma,"2,438",21,170,68,16.7,51.7,1045,13,34,2018-2019,22,dz ALG,Brentford,eng Championship,38,"2,438",27.1,29,9,1,10,14,24,10,0,0,0,805,1184,68,88,53,45,11,101,12031,3794,475,545,87.2,221,336,65.8,59,180,32.8,170,99,37,20,9,5,0,21,9,4,4,3,1,0,1045,8167,4243,164,96,59,93,66,1190,295,176,91,51.7,84,47.7,34,19,17,9,8,10,34,29.4,24,15,0,15,13,47,13,0,5,25,16.7,FW
2607,Tom Carroll,720,0,16,86.4,27.3,25,331,9,7,2018-2019,26,eng ENG,2 Teams,eng Championship,14,720,8,8,6,3,0,0,0,0,0,0,0,489,566,86.4,11,39,5,1,60,8098,2421,236,252,93.7,194,214,90.7,38,59,64.4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,331,1234,560,10,6,1,8,9,497,22,4,1,25,3,75,7,4,2,5,0,1,7,14.3,6,12,1,11,9,16,11,0,3,8,27.3,MF
2608,Ash Baker,958,1,10,69.7,30,12.5,214,15,31,2018-2019,21,wls WAL,Sheffield Weds,eng Championship,11,958,10.6,11,0,12,0,0,0,0,0,0,0,288,413,69.7,2,14,7,3,26,4803,2283,147,177,83.1,118,167,70.7,21,46,45.7,10,7,2,0,0,1,0,1,0,1,0,0,0,0,214,1056,487,12,3,1,10,4,223,33,8,1,12.5,7,87.5,31,24,17,14,0,10,18,55.6,8,18,6,12,15,46,46,0,9,21,30,"DF,MF"
2609,Sone Aluko,996,1,32,80.2,23.1,80.6,419,6,19,2018-2019,29,ng NGA,Reading,eng Championship,19,996,11.1,13,6,8,1,1,2,1,0,0,0,393,490,80.2,12,40,11,3,54,7314,1692,173,189,91.5,159,195,81.5,52,84,61.9,32,18,3,4,1,4,2,1,1,0,0,0,0,0,419,2621,1287,38,25,5,27,23,447,44,31,25,80.6,6,19.4,19,14,3,12,4,4,19,21.1,15,10,0,10,6,25,9,0,3,10,23.1,"MF,FW"
2610,Marcus Tavernier,498,2,19,67.5,42.1,59.1,173,4,9,2018-2019,19,eng ENG,Middlesbrough,eng Championship,20,498,5.5,2,18,9,3,1,4,3,0,0,0,133,197,67.5,9,6,8,0,15,1875,401,82,99,82.8,40,58,69,7,21,33.3,19,12,1,1,1,3,1,2,1,0,0,0,0,1,173,1290,399,13,8,4,18,17,179,50,22,13,59.1,9,40.9,9,7,5,2,2,5,10,50,5,6,1,5,4,13,11,0,8,11,42.1,"FW,MF"
2611,Julian Jeanvier,"2,008",0,9,86,49.2,85.7,792,32,44,2018-2019,26,gn GUI,Brentford,eng Championship,24,"2,008",22.3,23,1,10,2,0,2,2,0,0,0,1083,1259,86,2,25,0,0,41,21103,7937,360,404,89.1,593,647,91.7,119,175,68,9,6,0,0,2,1,0,0,0,0,0,0,0,0,792,4151,2118,3,2,0,15,3,887,0,7,6,85.7,1,14.3,44,24,29,14,1,19,29,65.5,10,23,13,10,32,76,107,1,59,61,49.2,DF
2612,Michael Hector,"3,243",4,30,68.3,63.5,84,956,55,79,2018-2019,26,jm JAM,Sheffield Weds,eng Championship,37,"3,243",36,36,1,3,2,0,2,1,1,1,0,1091,1597,68.3,16,89,9,3,98,23878,11547,328,394,83.2,531,663,80.1,216,480,45,30,25,1,0,2,1,1,4,4,0,0,0,0,0,956,5045,2948,10,8,1,27,12,969,7,25,21,84,4,16,79,47,51,28,0,30,58,51.7,28,63,28,35,55,134,208,5,127,73,63.5,DF
2613,Timm Klose,"2,035",4,17,81,70.8,75,911,26,38,2018-2019,30,ch SUI,Norwich City,eng Championship,31,"2,035",22.6,23,8,7,4,1,5,4,0,0,0,1103,1362,81,2,72,2,0,79,21232,8226,404,447,90.4,566,656,86.3,122,220,55.5,17,14,1,0,1,0,1,4,4,0,0,0,0,0,911,4928,2863,17,14,0,7,8,969,7,4,3,75,1,25,38,25,28,6,4,18,28,64.3,10,30,18,12,26,64,122,0,92,38,70.8,DF
2614,Kemar Roofe,"2,423",7,68,73.1,25.9,45,444,3,22,2018-2019,25,jm JAM,Leeds United,eng Championship,32,"2,423",26.9,27,5,0,14,2,16,13,1,2,1,364,498,73.1,25,26,17,5,44,4674,894,236,280,84.3,81,117,69.2,16,30,53.3,68,45,0,5,11,7,0,7,2,0,2,3,0,0,444,2284,842,37,14,19,86,41,598,187,40,18,45,22,55,22,11,4,11,7,6,30,20,24,27,5,22,3,25,25,0,29,83,25.9,"FW,MF"
2615,Josh Dasilva,605,4,29,89.4,0,68.8,303,6,9,2018-2019,19,eng ENG,Brentford,eng Championship,17,605,6.7,5,12,12,1,1,2,1,0,0,0,363,406,89.4,14,45,9,0,65,6579,1827,147,160,91.9,171,181,94.5,35,49,71.4,29,24,0,2,1,1,1,4,4,0,0,0,0,0,303,2123,1149,20,19,2,10,11,377,16,16,11,68.8,5,31.3,9,5,6,2,1,4,12,33.3,8,6,1,5,6,15,12,0,0,5,0,MF
2616,Jack Hunt,"2,708",8,67,64.4,46.3,48.8,723,40,42,2018-2019,27,eng ENG,Bristol City,eng Championship,33,"2,708",30.1,32,1,7,1,5,6,1,0,0,0,942,1463,64.4,32,91,37,22,113,17924,8035,415,498,83.3,390,572,68.2,129,344,37.5,67,57,3,3,0,3,1,8,6,1,1,0,0,0,723,4055,1968,47,34,6,36,18,884,96,43,21,48.8,22,51.2,42,23,21,20,1,24,39,61.5,15,26,8,18,40,82,71,2,50,58,46.3,DF
2617,Josh Scowen,"2,211",5,66,71.9,52.6,75,516,29,62,2018-2019,25,eng ENG,QPR,eng Championship,35,"2,211",24.6,23,12,9,2,2,4,2,0,0,0,726,1010,71.9,29,81,15,5,118,13904,4937,286,349,81.9,313,392,79.8,108,214,50.5,66,51,10,0,2,2,1,5,5,0,0,0,0,0,516,3321,1526,29,20,7,29,17,660,25,16,12,75,4,25,62,35,33,24,5,19,50,38,31,29,8,21,29,91,57,1,40,36,52.6,MF
2618,Ahmed Elmohamady,"2,946",10,87,77.2,50.7,44,875,26,36,2018-2019,30,eg EGY,Aston Villa,eng Championship,38,"2,946",32.7,32,6,7,2,8,10,2,0,0,0,1522,1972,77.2,45,136,37,24,140,25828,9454,740,819,90.4,606,775,78.2,137,290,47.2,87,79,5,1,1,1,0,10,10,0,0,0,0,0,875,4622,2779,84,43,8,29,17,1330,128,25,11,44,14,56,36,22,15,18,3,17,28,60.7,11,27,6,21,26,62,87,1,73,71,50.7,"DF,MF"
2619,Jack Lankester,523,0,15,54.9,20,60,154,3,10,2018-2019,18,eng ENG,Ipswich Town,eng Championship,11,523,5.8,5,6,5,1,0,1,1,0,0,0,107,195,54.9,6,11,4,0,20,2005,850,54,74,73,33,57,57.9,18,50,36,15,8,4,1,0,1,1,0,0,0,0,0,0,0,154,867,269,5,4,3,17,7,148,31,25,15,60,10,40,10,6,3,4,3,3,9,33.3,6,4,0,4,3,13,2,0,2,8,20,"FW,MF"
2620,Luke Freeman,"3,769",14,188,64,25.3,55.6,1090,50,45,2018-2019,26,eng ENG,QPR,eng Championship,43,"3,769",41.9,43,0,2,7,6,13,7,0,0,0,958,1496,64,86,91,51,23,139,15975,5607,487,571,85.3,287,448,64.1,119,334,35.6,188,100,51,15,9,11,2,14,6,6,0,2,0,0,1090,7678,3867,131,100,19,125,114,1158,217,124,69,55.6,55,44.4,45,30,15,23,7,12,39,30.8,27,30,6,24,50,95,41,2,22,65,25.3,"MF,FW"
2621,John Swift,"2,543",12,119,81.9,32.2,68.6,1338,27,46,2018-2019,23,eng ENG,Reading,eng Championship,34,"2,543",28.3,28,6,5,3,3,6,3,0,0,0,1356,1655,81.9,56,167,34,2,205,24382,7009,665,729,91.2,475,553,85.9,174,286,60.8,119,92,14,7,3,3,0,12,9,0,1,2,0,0,1338,7239,3501,64,60,8,76,53,1432,93,70,48,68.6,22,31.4,46,27,23,21,2,19,48,39.6,29,24,4,20,27,73,31,0,19,40,32.2,MF
2622,Dominic Iorfa,825,2,10,71.2,77.4,66.7,217,16,26,2018-2019,23,eng ENG,Sheffield Weds,eng Championship,12,825,9.2,9,3,2,3,1,4,3,0,0,0,311,437,71.2,3,12,5,1,17,4456,1967,192,234,82.1,95,141,67.4,17,41,41.5,10,7,1,2,0,0,0,2,2,0,0,0,0,0,217,1013,565,13,8,6,14,7,254,23,12,8,66.7,4,33.3,26,17,17,9,0,11,16,68.8,5,11,3,8,16,42,41,1,41,12,77.4,DF
2623,Josh Onomah,903,5,24,82,36.4,50,381,11,30,2018-2019,21,eng ENG,Sheffield Weds,eng Championship,15,903,10,10,5,7,0,3,3,0,0,0,0,397,484,82,9,38,10,4,41,5872,1595,199,218,91.3,146,184,79.3,21,38,55.3,24,23,0,0,1,0,0,5,5,0,0,0,0,0,381,1973,820,16,15,2,21,25,428,34,20,10,50,10,50,30,21,15,11,4,12,24,50,12,24,2,22,11,41,9,1,8,14,36.4,MF
2624,Emi Buendía,"2,841",22,184,73.3,33.3,59.8,1238,32,101,2018-2019,21,ar ARG,Norwich City,eng Championship,38,"2,841",31.6,35,3,0,8,12,20,8,0,0,0,1364,1861,73.3,91,169,54,5,233,20833,7432,784,906,86.5,419,539,77.7,105,272,38.6,184,125,30,9,4,10,6,22,17,4,0,0,0,1,1238,6181,3182,70,66,19,63,71,1554,157,92,55,59.8,37,40.2,101,64,43,42,16,42,119,35.3,77,57,3,54,32,133,18,1,21,42,33.3,FW
2625,Alex Pearce,991,0,8,60.8,64.9,50,171,18,8,2018-2019,29,ie IRL,2 Teams,eng Championship,12,991,11,11,1,18,0,0,0,0,0,0,0,226,372,60.8,2,26,0,0,18,4954,2492,75,98,76.5,98,145,67.6,49,117,41.9,8,5,2,0,1,0,0,0,0,0,0,0,0,0,171,673,300,1,1,0,0,0,156,1,2,1,50,1,50,8,4,8,0,0,7,9,77.8,2,11,11,0,18,26,66,0,48,26,64.9,FW
2626,Jake Bidwell,"3,482",6,73,65.9,53.4,55,564,34,39,2018-2019,25,eng ENG,QPR,eng Championship,40,"3,482",38.7,40,0,1,0,4,4,0,0,0,0,1049,1591,65.9,40,89,45,32,111,18062,9099,485,595,81.5,415,629,66,111,282,39.4,73,56,11,0,0,4,2,6,4,0,0,0,1,1,564,3092,1599,54,37,4,18,12,823,109,20,11,55,9,45,39,26,21,14,4,18,31,58.1,13,34,9,25,34,73,132,0,86,75,53.4,DF
2627,Stuart Dallas,"1,255",1,41,75.8,49.1,40,427,16,43,2018-2019,27,nir NIR,Leeds United,eng Championship,26,"1,255",13.9,10,16,4,2,0,2,2,0,0,0,604,797,75.8,15,54,12,1,81,8871,3457,372,425,87.5,186,248,75,30,72,41.7,41,33,2,0,4,2,0,1,1,0,0,0,0,0,427,2693,1624,49,19,7,20,13,579,83,20,8,40,12,60,43,26,23,16,4,19,31,61.3,12,11,0,11,16,59,24,1,28,29,49.1,"DF,MF"
2628,Tom Ince,"3,089",17,121,73.1,15.3,48.1,1047,18,41,2018-2019,26,eng ENG,Stoke City,eng Championship,38,"3,089",34.3,36,2,2,6,7,13,6,0,0,0,887,1213,73.1,44,66,41,6,125,14044,2976,500,575,87,304,379,80.2,68,180,37.8,121,71,12,11,9,15,3,17,10,2,0,1,3,1,1047,7797,3273,116,82,44,91,47,1132,249,77,37,48.1,40,51.9,41,27,18,19,4,13,35,37.1,22,27,3,24,18,59,19,1,9,50,15.3,"FW,MF"
2629,Evandro Goebel,"1,154",8,48,82,26.3,71.4,323,18,24,2018-2019,31,br BRA,Hull City,eng Championship,23,"1,154",12.8,14,9,7,3,4,7,3,0,0,0,475,579,82,21,33,9,0,59,6165,1580,305,345,88.4,119,142,83.8,18,25,72,48,40,2,1,1,3,1,8,7,0,0,1,0,0,323,2006,715,22,21,5,22,23,452,50,21,15,71.4,6,28.6,24,13,9,10,5,5,26,19.2,21,11,0,11,18,42,4,0,10,28,26.3,"FW,MF"
