,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
401,Lorenzo Colombo,"1,515",2,43,62.7,25.8,29.7,306,2,17,2022-2023,20,it ITA,Lecce,it Serie A,33,"1,515",16.8,18,15,4,5,2,7,4,1,2,1,208,332,62.7,17,14,6,2,21,2639,568,133,180,73.9,40,62,64.5,11,28,39.3,43,29,0,4,8,2,0,2,1,0,0,1,0,0,306,1326,408,14,12,6,79,38,418,119,37,11,29.7,22,59.5,17,9,1,9,7,6,14,42.9,8,22,0,22,2,19,7,0,41,118,25.8,FW
402,Frank Tsadjout,"1,051",3,22,67.9,49.6,63.2,209,8,10,2022-2023,23,it ITA,Cremonese,it Serie A,20,"1,051",11.7,14,6,13,3,1,4,3,0,0,0,184,271,67.9,10,14,5,0,18,2340,400,113,155,72.9,54,76,71.1,3,8,37.5,22,18,0,0,3,1,0,3,3,0,0,0,0,0,209,1004,415,15,10,5,37,10,299,63,19,12,63.2,2,10.5,10,8,3,6,1,3,9,33.3,6,7,1,6,8,18,9,0,59,60,49.6,FW
403,Nemanja Radonjić,"1,461",6,49,63,33.3,41.7,520,2,2,2022-2023,26,rs SRB,Torino,it Serie A,28,"1,461",16.2,16,12,2,2,2,4,2,0,0,0,298,473,63,18,20,19,8,42,4373,1199,181,231,78.4,77,124,62.1,25,62,40.3,49,28,4,14,2,1,0,6,5,0,1,0,0,0,520,4385,2110,86,48,52,53,34,568,163,120,50,41.7,60,50,2,1,2,0,0,0,4,0,4,3,0,3,2,4,4,0,7,14,33.3,"MF,FW"
404,Jacopo Fazzini,825,1,24,78.8,31.8,41.9,255,7,31,2022-2023,19,it ITA,Empoli,it Serie A,21,825,9.2,8,13,16,0,0,0,0,0,0,0,257,326,78.8,9,16,4,1,21,3410,878,166,184,90.2,66,78,84.6,10,27,37,24,16,3,2,1,2,0,1,0,1,0,0,0,0,255,1355,552,11,14,0,23,24,292,40,31,13,41.9,15,48.4,31,17,20,8,3,18,34,52.9,16,15,3,12,7,38,19,0,14,30,31.8,MF
405,Gaetano Castrovilli,718,1,18,78,26.7,43.8,176,8,10,2022-2023,25,it ITA,Fiorentina,it Serie A,15,718,8,7,8,5,2,1,3,2,0,0,0,188,241,78,8,10,4,1,14,2876,559,103,116,88.8,58,69,84.1,17,38,44.7,18,12,2,0,2,1,1,1,1,0,0,0,0,0,176,1019,467,12,13,0,11,9,200,16,16,7,43.8,5,31.3,10,8,1,7,2,2,9,22.2,7,5,1,4,8,18,5,0,4,11,26.7,MF
406,Assan Ceesay,"1,812",6,37,57.4,44.1,61.1,304,3,23,2022-2023,28,gm GAM,Lecce,it Serie A,34,"1,812",20.1,20,14,3,6,0,6,5,1,1,0,226,394,57.4,8,13,5,1,16,2930,366,128,193,66.3,62,106,58.5,12,28,42.9,37,25,0,5,3,4,0,6,2,0,3,1,0,0,304,1456,590,21,15,8,64,25,417,111,36,22,61.1,12,33.3,23,18,7,8,8,9,17,52.9,8,15,2,13,3,26,24,0,63,80,44.1,FW
407,Andrea Pinamonti,"2,161",3,53,65.3,31.3,33.3,383,2,10,2022-2023,23,it ITA,Sassuolo,it Serie A,32,"2,161",24,25,7,0,5,0,5,4,1,1,0,324,496,65.3,17,15,14,2,29,3971,594,216,285,75.8,68,117,58.1,12,23,52.2,53,34,0,1,10,7,1,3,0,0,0,2,1,0,383,1470,443,17,11,11,60,56,567,166,30,10,33.3,17,56.7,10,7,0,5,5,3,7,42.9,4,19,2,17,2,12,11,0,36,79,31.3,FW
408,Kevin Lasagna,"1,572",3,39,60.9,22.7,34.2,267,5,12,2022-2023,29,it ITA,Hellas Verona,it Serie A,26,"1,572",17.5,17,9,0,1,2,3,1,0,0,0,157,258,60.9,17,9,9,0,19,2338,547,77,112,68.8,54,81,66.7,8,18,44.4,39,25,0,5,4,3,2,3,1,0,1,1,0,0,267,1736,747,36,23,14,53,34,317,105,38,13,34.2,18,47.4,12,6,7,3,2,6,14,42.9,8,17,1,16,5,17,13,0,20,68,22.7,"FW,MF"
409,Fabiano Parisi,"2,830",8,62,76.7,69.8,49.6,1105,41,65,2022-2023,21,it ITA,Empoli,it Serie A,33,"2,830",31.4,33,0,2,2,0,2,2,0,0,0,1263,1646,76.7,21,99,35,11,154,20129,9462,684,768,89.1,457,589,77.6,95,184,51.6,62,42,4,7,2,6,1,8,6,0,1,0,1,0,1105,7030,4064,102,75,13,55,39,1113,68,129,64,49.6,47,36.4,65,35,37,21,7,30,72,41.7,42,51,16,35,41,106,91,0,30,13,69.8,DF
410,Antonio Sanabria,"2,433",5,50,75.8,41,56.1,496,4,11,2022-2023,26,py PAR,Torino,it Serie A,33,"2,433",27,28,5,2,12,4,16,11,1,1,0,524,691,75.8,25,34,15,0,46,7116,910,335,405,82.7,132,177,74.6,23,31,74.2,50,41,0,5,2,1,1,5,5,0,0,0,0,0,496,2285,536,17,19,11,83,29,730,139,41,23,56.1,11,26.8,11,5,3,3,5,1,7,14.3,6,9,2,7,4,15,7,0,86,124,41,FW
411,Giorgos Kyriakopoulos,"1,470",6,46,76.9,33.3,52.1,605,15,34,2022-2023,26,gr GRE,2 Teams,it Serie A,24,"1,470",16.3,17,7,8,1,3,4,1,0,0,0,618,804,76.9,23,45,25,15,55,10334,4315,325,358,90.8,208,253,82.2,70,146,47.9,46,34,4,3,2,2,1,6,4,1,0,1,0,0,605,3610,2082,38,30,6,27,26,664,96,48,25,52.1,19,39.6,34,14,11,14,9,20,37,54.1,17,21,3,18,15,49,22,1,12,24,33.3,"DF,FW"
