,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
401,Matías Viña,458,2,8,75.7,36.4,41.7,122,4,19,2022-2023,24,uy URU,Bournemouth,eng Premier League,12,458,5.1,5,7,4,2,0,2,2,0,0,0,140,185,75.7,2,10,4,0,17,2103,870,84,93,90.3,49,63,77.8,5,14,35.7,8,7,0,1,0,0,0,2,2,0,0,0,0,0,122,686,434,10,6,5,11,6,136,19,24,10,41.7,11,45.8,19,11,9,8,2,14,30,46.7,16,13,1,12,4,23,22,0,4,7,36.4,DF
402,Harry Souttar,992,2,8,80.7,86.4,60,390,12,15,2022-2023,23,au AUS,Leicester City,eng Premier League,12,992,11,11,1,6,0,1,1,0,0,0,0,448,555,80.7,3,39,1,0,29,8500,3295,145,160,90.6,265,303,87.5,34,76,44.7,8,4,0,2,2,0,0,2,1,0,0,1,0,0,390,1878,948,6,2,1,3,0,420,4,5,3,60,0,0,15,9,10,5,0,7,18,38.9,11,16,12,4,12,27,45,0,38,6,86.4,DF
403,Mohammed Salisu,"1,973",3,25,73.5,67.9,72.7,724,30,52,2022-2023,23,gh GHA,Southampton,eng Premier League,22,"1,973",21.9,21,1,4,0,1,1,0,0,0,0,879,1196,73.5,7,80,7,4,82,16118,7370,360,412,87.4,426,538,79.2,86,209,41.1,25,16,5,1,3,0,0,3,1,1,0,1,0,0,724,3383,1556,5,10,0,5,9,757,4,11,8,72.7,3,27.3,52,29,34,16,2,24,34,70.6,10,56,25,31,30,82,122,1,55,26,67.9,DF
404,Brennan Johnson,"2,934",11,55,57.6,27.3,37.5,450,5,34,2022-2023,21,wls WAL,Nott'ham Forest,eng Premier League,38,"2,934",32.6,33,5,0,8,3,11,7,1,3,2,291,505,57.6,28,12,18,6,30,4220,809,155,223,69.5,103,177,58.2,15,34,44.1,55,36,0,6,7,5,1,11,5,0,1,3,2,0,450,3848,2111,88,46,42,76,25,507,155,88,33,37.5,41,46.6,34,20,18,8,8,8,29,27.6,21,30,1,29,5,39,7,1,18,48,27.3,"FW,MF"
405,Mathias Jørgensen,"1,103",1,9,80.3,53.1,0,295,16,17,2022-2023,32,dk DEN,Brentford,eng Premier League,18,"1,103",12.3,11,7,15,0,0,0,0,0,0,0,404,503,80.3,3,30,0,0,35,6929,3051,181,203,89.2,197,240,82.1,20,49,40.8,9,5,4,0,0,0,0,1,0,1,0,0,0,0,295,1062,616,1,2,0,3,1,321,1,1,0,0,1,100,17,8,9,8,0,9,21,42.9,12,19,12,7,16,33,39,1,17,15,53.1,DF
406,Philippe Coutinho,788,0,24,75,18.8,41.2,309,4,19,2022-2023,30,br BRA,Aston Villa,eng Premier League,20,788,8.8,7,13,2,1,0,1,1,0,0,0,288,384,75,8,30,8,2,48,4081,976,180,210,85.7,82,112,73.2,17,36,47.2,24,19,1,3,1,0,0,0,0,0,0,0,0,0,309,1747,739,18,28,5,23,17,369,68,34,14,41.2,15,44.1,19,14,8,8,3,9,15,60,6,11,1,10,4,23,2,0,3,13,18.8,"MF,FW"
407,Mathias Jensen,"2,803",13,103,69.5,39.3,40.3,901,32,71,2022-2023,26,dk DEN,Brentford,eng Premier League,37,"2,803",31.1,37,0,0,5,6,11,5,0,0,0,1088,1566,69.5,48,117,38,16,141,21665,8457,471,559,84.3,398,555,71.7,191,372,51.3,103,48,47,1,3,3,1,13,7,4,0,1,0,1,901,3514,1386,21,25,1,54,32,1011,77,62,25,40.3,28,45.2,71,36,29,30,12,34,97,35.1,63,54,5,49,32,103,24,1,11,17,39.3,MF
408,Bobby Reid,"2,475",3,54,70.1,22.6,35.2,649,20,42,2022-2023,29,jm JAM,Fulham,eng Premier League,36,"2,475",27.5,29,7,1,4,1,5,4,0,0,0,636,907,70.1,19,36,38,10,63,9625,3067,341,416,82,226,319,70.8,34,81,42,54,36,1,3,5,7,2,3,1,0,0,1,0,1,649,2956,1333,46,33,11,53,32,759,186,54,19,35.2,26,48.1,42,24,14,14,14,16,36,44.4,20,25,3,22,20,62,28,1,12,41,22.6,"FW,DF"
409,Joe Rothwell,"1,016",2,24,84.2,25,69.6,285,9,20,2022-2023,27,eng ENG,Bournemouth,eng Premier League,20,"1,016",11.3,12,8,7,0,1,1,0,0,0,0,385,457,84.2,8,34,11,1,33,6524,1662,179,196,91.3,154,165,93.3,36,68,52.9,24,16,6,1,1,0,0,2,1,1,0,0,0,0,285,1640,790,12,12,2,8,4,319,12,23,16,69.6,7,30.4,20,13,7,12,1,7,21,33.3,14,14,3,11,9,29,7,0,1,3,25,MF
