,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
601,Martin Satriano,"1,705",3,32,64.8,41.3,39.6,346,3,13,2022-2023,21,uy URU,Empoli,it Serie A,31,"1,705",18.9,20,11,6,2,1,3,2,0,0,0,249,384,64.8,14,16,9,1,22,3296,593,143,197,72.6,72,107,67.3,11,23,47.8,32,19,0,4,5,4,0,3,2,0,0,1,0,0,346,1840,737,29,22,12,54,45,466,127,48,19,39.6,27,56.3,13,8,5,6,2,6,14,42.9,8,5,0,5,3,16,22,0,43,61,41.3,FW
602,Gian Marco Ferrari,"2,223",2,21,85.8,66.2,0,858,23,23,2022-2023,30,it ITA,Sassuolo,it Serie A,33,"2,223",24.7,24,9,4,1,0,1,1,0,0,0,1111,1295,85.8,4,78,5,1,101,22139,8213,353,387,91.2,598,655,91.3,144,221,65.2,21,19,1,0,0,1,0,2,2,0,0,0,0,0,858,4530,2799,11,10,0,10,2,938,4,2,0,0,1,50,23,16,11,10,2,10,17,58.8,7,29,20,9,23,46,81,4,47,24,66.2,DF
603,Adrien Rabiot,"2,748",8,82,81.5,56.2,49.1,889,26,65,2022-2023,27,fr FRA,Juventus,it Serie A,32,"2,748",30.5,31,1,0,8,4,12,8,0,0,0,971,1191,81.5,31,99,23,4,133,15511,4279,513,586,87.5,339,412,82.3,83,117,70.9,82,68,0,3,6,3,2,8,5,0,1,1,1,0,889,6016,3069,72,69,5,56,35,1010,109,55,27,49.1,18,32.7,65,35,31,23,11,30,57,52.6,27,37,7,30,26,91,44,1,50,39,56.2,MF
604,Armando Izzo,"2,466",1,26,87,51.9,50,1041,50,73,2022-2023,30,it ITA,Monza,it Serie A,30,"2,466",27.4,29,1,0,1,0,1,1,0,0,0,1389,1597,87,15,85,7,2,96,25346,7926,543,583,93.1,687,755,91,131,213,61.5,26,22,0,0,1,1,2,1,0,0,0,0,1,0,1041,4854,2484,22,10,1,11,8,1280,29,22,11,50,9,40.9,73,50,44,27,2,29,45,64.4,16,29,17,12,50,123,87,1,40,37,51.9,DF
605,Lameck Banda,"1,636",3,42,65,17.9,42.9,505,8,30,2022-2023,21,zm ZAM,Lecce,it Serie A,36,"1,636",18.2,19,17,1,2,1,3,2,0,0,0,278,428,65,14,17,7,1,28,3757,907,173,219,79,81,128,63.3,13,33,39.4,42,20,2,13,3,4,0,3,3,0,0,0,0,0,505,4583,2236,86,55,38,67,36,509,160,112,48,42.9,48,42.9,30,20,13,14,3,15,41,36.6,26,24,2,22,8,38,5,0,7,32,17.9,"FW,MF"
606,Wilfried Singo,"2,046",4,45,75,69.7,55.6,708,12,27,2022-2023,21,ci CIV,Torino,it Serie A,31,"2,046",22.7,24,7,3,2,1,3,2,0,0,0,853,1138,75,23,46,24,10,67,14659,4321,393,458,85.8,376,492,76.4,67,131,51.1,45,29,0,7,7,2,0,4,2,0,1,1,0,0,708,3749,1789,54,34,9,33,17,849,93,54,30,55.6,13,24.1,27,17,14,10,3,12,19,63.2,7,15,2,13,12,39,33,1,53,23,69.7,DF
607,Yann Karamoh,716,3,22,75.5,22.6,45.6,221,0,5,2022-2023,24,fr FRA,Torino,it Serie A,21,716,8,7,14,9,4,0,4,4,0,0,0,163,216,75.5,11,5,5,3,12,2385,407,98,112,87.5,55,69,79.7,6,13,46.2,22,17,0,3,1,1,0,3,1,0,2,0,0,0,221,1493,646,27,10,11,33,13,257,74,57,26,45.6,25,43.9,5,2,3,2,0,1,5,20,4,5,0,5,0,5,2,1,7,24,22.6,"MF,FW"
608,Omar Colley,"1,384",0,5,86.1,47.4,100,511,22,17,2022-2023,29,gm GAM,Sampdoria,it Serie A,16,"1,384",15.4,15,1,0,1,0,1,1,0,0,0,615,714,86.1,0,38,1,0,33,12155,4062,165,186,88.7,380,412,92.2,58,96,60.4,5,2,0,0,1,1,1,0,0,0,0,0,0,0,511,2142,1020,3,1,0,4,2,517,2,2,2,100,0,0,17,10,10,7,0,9,12,75,3,9,5,4,22,39,69,1,27,30,47.4,DF
609,Domagoj Bradarić,"2,250",5,42,74.2,35.9,34,706,21,26,2022-2023,22,hr CRO,Salernitana,it Serie A,31,"2,250",25,24,7,5,0,3,3,0,0,0,0,857,1155,74.2,17,40,17,9,52,13414,4480,462,535,86.4,315,414,76.1,55,144,38.2,42,34,2,1,3,1,1,5,5,0,0,0,0,0,706,4295,2396,63,46,8,27,10,744,107,50,17,34,28,56,26,19,14,8,4,7,16,43.8,9,20,5,15,21,47,44,0,14,25,35.9,DF
