,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
601,Luis Sinisterra,867,2,33,80.5,50,45.2,281,8,21,2022-2023,23,co COL,Leeds United,eng Premier League,19,867,9.6,13,6,1,5,0,5,5,0,0,0,273,339,80.5,9,18,17,2,39,3710,993,161,188,85.6,72,84,85.7,14,19,73.7,33,26,0,2,2,2,1,2,0,0,1,0,0,1,281,1740,931,30,17,8,16,23,341,84,42,19,45.2,17,40.5,21,14,8,9,4,11,19,57.9,8,11,1,10,8,29,2,0,18,18,50,FW
602,Alexander Isak,"1,522",5,49,75.8,44,44.4,371,4,18,2022-2023,22,se SWE,Newcastle Utd,eng Premier League,22,"1,522",16.9,17,5,0,10,1,11,8,2,2,0,279,368,75.8,16,29,15,0,48,4292,977,151,192,78.6,87,106,82.1,25,28,89.3,49,29,0,5,11,3,1,5,1,0,2,1,1,0,371,2548,1300,41,36,22,39,25,431,122,72,32,44.4,30,41.7,18,8,4,7,7,10,28,35.7,18,21,2,19,4,22,8,0,22,28,44,FW
603,John McGinn,"2,693",10,80,78.3,51.2,64.3,804,24,66,2022-2023,27,sct SCO,Aston Villa,eng Premier League,34,"2,693",29.9,30,4,1,1,3,4,1,0,0,0,805,1028,78.3,18,114,20,5,140,14385,4830,374,430,87,309,373,82.8,101,165,61.2,80,56,10,5,3,5,1,10,7,1,0,0,2,0,804,4072,1799,34,35,8,58,35,888,66,70,45,64.3,14,20,66,36,27,29,10,34,71,47.9,37,43,4,39,24,90,19,0,22,21,51.2,"MF,FW"
604,Tom Davies,538,0,6,73.9,35,50,150,4,15,2022-2023,24,eng ENG,Everton,eng Premier League,19,538,6,4,15,15,0,0,0,0,0,0,0,173,234,73.9,2,25,2,0,30,2879,850,87,111,78.4,64,76,84.2,16,29,55.2,6,5,0,0,1,0,0,0,0,0,0,0,0,0,150,616,253,2,1,0,17,4,201,13,6,3,50,3,50,15,9,5,9,1,7,14,50,7,10,1,9,4,19,7,1,7,13,35,MF
605,Son Heung-min,"2,888",13,122,74.8,24.3,39.8,728,13,24,2022-2023,30,kr KOR,Tottenham,eng Premier League,36,"2,888",32.1,33,3,0,10,6,16,10,0,0,0,680,909,74.8,61,32,32,6,79,9315,2506,410,477,86,191,249,76.7,36,90,40,122,74,27,7,10,4,0,13,8,3,2,0,0,0,728,4927,2357,82,60,31,64,55,860,196,83,33,39.8,40,48.2,24,12,7,8,9,9,30,30,21,23,2,21,13,37,6,0,9,28,24.3,"MF,FW"
606,Ben Johnson,866,0,8,73.8,64,47.1,276,9,20,2022-2023,22,eng ENG,West Ham,eng Premier League,17,866,9.6,9,8,10,0,0,0,0,0,0,0,395,535,73.8,3,27,10,5,37,6958,2496,177,202,87.6,175,217,80.6,35,85,41.2,8,7,0,1,0,0,0,0,0,0,0,0,0,0,276,1449,650,15,6,1,7,7,335,22,17,8,47.1,6,35.3,20,14,12,4,4,12,18,66.7,6,12,4,8,9,29,28,1,16,9,64,DF
607,Jordan Henderson,"2,074",7,72,83,52.4,52.2,1060,21,32,2022-2023,32,eng ENG,Liverpool,eng Premier League,35,"2,074",23,23,12,0,0,2,2,0,0,0,0,1341,1615,83,31,158,47,12,189,22431,5954,666,734,90.7,513,594,86.4,122,193,63.2,72,65,1,0,3,1,2,7,5,0,0,1,1,0,1060,4836,2046,37,49,1,18,9,1319,90,23,12,52.2,8,34.8,32,23,10,18,4,15,36,41.7,21,21,3,18,21,53,16,1,11,10,52.4,MF
608,Patrick Bamford,"1,515",6,27,68.8,46.2,32.4,290,5,9,2022-2023,28,eng ENG,Leeds United,eng Premier League,28,"1,515",16.8,18,10,0,4,2,6,4,0,2,2,229,333,68.8,12,18,9,0,23,2421,537,166,211,78.7,35,64,54.7,2,8,25,27,17,0,1,5,3,1,6,4,0,1,1,0,0,290,1186,447,17,17,13,56,21,386,96,34,11,32.4,19,55.9,9,6,0,6,3,4,20,20,16,12,5,7,5,14,13,0,36,42,46.2,FW
609,Duje Ćaleta-Car,946,0,6,84.5,59.4,100,387,15,14,2022-2023,25,hr CRO,Southampton,eng Premier League,13,946,10.5,9,4,13,1,0,1,1,0,0,0,480,568,84.5,1,26,0,0,33,9398,3504,155,173,89.6,268,289,92.7,53,93,57,6,6,0,0,0,0,0,0,0,0,0,0,0,0,387,1829,993,5,1,0,1,2,429,0,2,2,100,0,0,14,10,9,4,1,6,9,66.7,3,15,11,4,15,29,65,1,19,13,59.4,DF
