,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
801,Gaetano Castrovilli,"1,391",5,49,75,40,86.2,425,11,25,2021-2022,24,it ITA,Fiorentina,it Serie A,23,"1,391",15.5,16,7,2,1,1,2,1,0,0,0,404,539,75,14,37,24,0,78,6627,1868,215,243,88.5,145,189,76.7,30,61,49.2,49,36,6,2,1,4,0,5,5,0,0,0,0,0,425,2754,1309,40,30,9,43,19,483,59,29,25,86.2,4,13.8,25,17,15,6,4,12,23,52.2,11,18,4,14,11,36,6,0,8,12,40,MF
802,Mattia Bani,"1,211",0,5,71,60.9,100,248,20,23,2021-2022,27,it ITA,Genoa,it Serie A,17,"1,211",13.5,13,4,7,0,0,0,0,0,0,0,333,469,71,3,16,0,0,24,6336,2698,123,151,81.5,166,201,82.6,36,96,37.5,5,4,0,0,1,0,0,0,0,0,0,0,0,0,248,1193,552,1,1,0,8,0,262,1,1,1,100,0,0,23,13,17,6,0,14,18,77.8,4,19,11,8,20,43,76,0,42,27,60.9,DF
803,Mattia Aramu,"2,100",11,75,65.9,28.9,44.7,580,8,20,2021-2022,26,it ITA,Venezia,it Serie A,32,"2,100",23.3,25,7,0,7,5,12,4,3,4,1,524,795,65.9,35,39,28,13,79,8928,2978,255,303,84.2,190,267,71.2,57,151,37.7,75,31,22,2,5,15,0,11,7,1,0,0,3,0,580,2939,1312,39,22,5,43,24,650,117,38,17,44.7,21,55.3,20,15,5,9,6,8,33,24.2,25,20,2,18,8,28,19,0,11,27,28.9,"MF,FW"
804,Andrea Pinamonti,"2,869",7,72,59.9,36.9,42.5,557,7,11,2021-2022,22,it ITA,2 Teams,it Serie A,36,"2,869",31.9,32,4,1,13,2,15,9,4,4,0,381,636,59.9,29,25,21,3,51,4696,1047,241,348,69.3,92,157,58.6,11,24,45.8,72,43,0,6,11,12,0,7,4,0,0,2,1,0,557,2531,757,36,21,19,71,47,741,233,40,17,42.5,23,57.5,11,6,0,7,4,2,18,11.1,16,24,3,21,7,18,23,0,75,128,36.9,FW
805,Matías Viña,"1,565",2,36,78.5,45.9,48.3,456,25,46,2021-2022,23,uy URU,Roma,it Serie A,26,"1,565",17.4,18,8,8,0,1,1,0,0,0,0,658,838,78.5,11,57,13,6,74,10442,4383,347,398,87.2,257,304,84.5,40,84,47.6,36,26,3,4,1,2,0,2,1,1,0,0,0,0,456,2275,1388,41,22,8,32,6,570,68,29,14,48.3,15,51.7,46,30,27,14,5,29,59,49.2,30,26,3,23,25,71,33,0,17,20,45.9,"DF,FW"
806,Kevin Lasagna,"1,184",7,37,65.6,38.8,52.6,226,3,13,2021-2022,28,it ITA,Hellas Verona,it Serie A,28,"1,184",13.2,11,17,6,2,4,6,2,0,0,0,179,273,65.6,15,10,13,2,28,2677,657,103,132,78,45,70,64.3,15,22,68.2,37,26,0,1,6,3,1,7,6,0,0,0,1,0,226,1519,700,26,13,7,55,27,315,104,19,10,52.6,9,47.4,13,7,4,5,4,4,15,26.7,11,16,0,16,3,16,7,0,31,49,38.8,"MF,FW"
807,Fabiano Parisi,"1,477",5,34,75.3,38.9,52.7,589,22,35,2021-2022,20,it ITA,Empoli,it Serie A,25,"1,477",16.4,16,9,7,0,1,1,0,0,0,0,585,777,75.3,9,58,14,1,74,9644,4062,292,323,90.4,234,311,75.2,46,99,46.5,34,25,2,6,1,0,0,5,3,0,2,0,0,0,589,3860,2116,58,41,6,42,18,519,49,55,29,52.7,26,47.3,35,19,25,5,5,13,31,41.9,18,30,10,20,22,57,42,0,7,11,38.9,DF
808,Simone Romagnoli,"1,497",1,11,76.9,62.1,100,469,9,28,2021-2022,31,it ITA,Empoli,it Serie A,19,"1,497",16.6,17,2,14,2,0,2,2,0,0,0,612,796,76.9,5,44,7,0,61,12093,5583,205,245,83.7,320,395,81,83,136,61,11,9,2,0,0,0,0,1,1,0,0,0,0,0,469,2756,1844,14,5,0,4,2,509,1,1,1,100,0,0,28,12,14,12,2,15,20,75,5,34,28,6,9,37,86,0,54,33,62.1,DF
809,Mitchell Dijks,694,0,12,73.1,69.2,42.9,228,3,15,2021-2022,28,nl NED,Bologna,it Serie A,16,694,7.7,7,9,14,0,2,2,0,0,0,0,247,338,73.1,7,12,4,4,15,3523,1620,147,169,87,78,114,68.4,14,27,51.9,12,8,3,0,0,1,0,0,0,0,0,0,0,0,228,1373,762,21,13,4,12,4,254,24,28,12,42.9,16,57.1,15,6,6,6,3,5,12,41.7,7,11,2,9,3,18,10,1,9,4,69.2,"DF,FW"
810,Antonio Sanabria,"1,803",5,35,72.2,38.6,65,414,2,3,2021-2022,25,py PAR,Torino,it Serie A,29,"1,803",20,22,7,3,6,1,7,6,0,0,0,348,482,72.2,18,14,6,1,24,4786,453,218,281,77.6,79,108,73.1,23,28,82.1,35,24,0,2,6,3,0,5,1,0,1,1,2,0,414,1588,374,11,11,7,79,37,576,123,20,13,65,6,30,3,2,0,1,2,1,4,25,3,11,4,7,2,5,10,0,78,124,38.6,FW
811,Giorgos Kyriakopoulos,"1,975",9,65,81.5,47.2,64.8,923,11,30,2021-2022,25,gr GRE,Sassuolo,it Serie A,29,"1,975",21.9,22,7,5,0,5,5,0,0,0,0,1045,1282,81.5,36,57,26,16,62,16080,6013,550,598,92,390,459,85,68,156,43.6,65,44,6,5,2,6,2,9,6,1,0,0,2,0,923,5116,2836,78,46,11,23,19,1020,114,54,35,64.8,19,35.2,30,14,19,7,4,19,38,50,19,32,9,23,11,41,52,0,17,19,47.2,"DF,FW"
812,Juan Cuadrado,"2,487",12,111,84.4,58.8,62.2,1313,29,48,2021-2022,33,co COL,Juventus,it Serie A,33,"2,487",27.6,28,5,2,4,3,7,4,0,0,0,1585,1877,84.4,59,115,50,13,169,29961,8619,683,741,92.2,669,757,88.4,216,324,66.7,111,74,21,7,4,4,1,12,8,1,2,0,1,0,1313,6878,3900,93,63,33,46,15,1544,175,74,46,62.2,28,37.8,48,23,30,13,5,30,55,54.5,25,23,5,18,29,77,34,0,20,14,58.8,"DF,MF"
813,Mário Rui,"2,992",10,83,84.2,31.1,58.3,1546,40,68,2021-2022,30,pt POR,Napoli,it Serie A,34,"2,992",33.2,34,0,1,0,5,5,0,0,0,0,2073,2461,84.2,41,126,36,8,150,33194,10011,1142,1230,92.8,682,786,86.8,183,301,60.8,83,65,5,3,3,6,1,10,5,2,0,1,2,0,1546,6455,3767,67,35,13,25,14,1892,155,24,14,58.3,10,41.7,68,43,32,28,8,39,84,46.4,45,31,7,24,40,108,50,0,14,31,31.1,DF
814,Norbert Gyömbér,"2,563",1,20,76.1,64.5,66.7,619,44,53,2021-2022,29,sk SVK,Salernitana,it Serie A,31,"2,563",28.5,30,1,3,0,0,0,0,0,0,0,805,1058,76.1,7,59,8,5,66,15687,6323,274,320,85.6,404,493,81.9,112,211,53.1,20,15,1,0,2,1,1,1,0,1,0,0,0,0,619,2881,1273,5,2,0,13,6,678,12,3,2,66.7,1,33.3,53,32,40,11,2,33,50,66,17,38,24,14,44,97,126,1,40,22,64.5,DF
815,Alex Sandro,"1,780",7,42,83.8,60.8,48.3,725,27,27,2021-2022,30,br BRA,Juventus,it Serie A,28,"1,780",19.8,17,11,4,0,1,1,0,0,0,0,918,1096,83.8,23,73,26,10,80,16222,5459,396,440,90,420,489,85.9,84,119,70.6,42,36,1,1,0,3,1,7,6,0,0,0,1,0,725,4206,2255,68,32,9,15,20,835,86,29,14,48.3,15,51.7,27,16,15,9,3,11,25,44,14,17,6,11,27,54,40,0,31,20,60.8,DF
