,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
801,James Tarkowski,"3,106",2,28,68.6,71.2,71.4,596,48,65,2021-2022,28,eng ENG,Burnley,eng Premier League,35,"3,106",34.5,35,0,0,1,2,3,1,0,0,0,816,1190,68.6,10,75,12,0,97,18096,8529,259,356,72.8,369,479,77,172,314,54.8,28,24,1,0,2,0,1,2,2,0,0,0,0,0,596,2550,1226,3,6,0,13,5,702,11,7,5,71.4,2,28.6,65,45,47,17,1,33,47,70.2,14,75,61,14,48,113,186,4,153,62,71.2,DF
802,Callum Hudson-Odoi,962,6,55,79.4,33.3,61.5,344,2,14,2021-2022,20,eng ENG,Chelsea,eng Premier League,15,962,10.7,11,4,7,1,2,3,1,0,0,0,317,399,79.4,25,9,18,4,41,4453,981,203,232,87.5,87,109,79.8,15,33,45.5,55,41,0,6,3,5,0,6,2,0,2,0,2,0,344,2593,1577,67,31,30,22,20,400,102,26,16,61.5,10,38.5,14,10,5,6,3,8,23,34.8,15,8,0,8,2,16,6,1,4,8,33.3,"MF,FW"
803,Moisés Caicedo,660,3,13,81.8,69.2,70,179,10,16,2021-2022,19,ec ECU,Brighton,eng Premier League,8,660,7.3,8,0,11,1,1,2,1,0,0,0,225,275,81.8,4,19,2,0,22,3117,843,144,164,87.8,59,75,78.7,12,17,70.6,13,10,0,1,1,0,1,3,3,0,0,0,0,0,179,736,405,9,9,1,10,10,206,8,10,7,70,3,30,16,10,7,7,2,5,12,41.7,7,18,4,14,10,26,7,0,9,4,69.2,MF
804,Hwang Hee-chan,"1,816",2,37,80.3,25,47.8,548,13,27,2021-2022,25,kr KOR,Wolves,eng Premier League,30,"1,816",20.2,20,10,1,5,1,6,5,0,0,0,513,639,80.3,16,31,14,0,57,7634,1456,291,341,85.3,160,187,85.6,37,51,72.5,37,26,0,5,2,3,1,2,1,0,1,0,0,0,548,3734,1722,66,36,27,47,24,651,114,69,33,47.8,36,52.2,27,13,9,16,2,14,44,31.8,30,10,0,10,13,40,7,1,7,21,25,"FW,MF"
805,Pontus Jansson,"3,321",4,14,80.8,55.7,100,919,52,40,2021-2022,30,se SWE,Brentford,eng Premier League,37,"3,321",36.9,37,0,0,3,1,4,3,0,0,0,1218,1507,80.8,5,35,0,0,67,22414,7103,421,498,84.5,703,821,85.6,77,145,53.1,14,7,0,0,6,1,0,4,1,0,0,2,1,0,919,3896,2019,4,5,1,10,5,1025,5,2,2,100,0,0,40,21,32,8,0,22,34,64.7,12,37,27,10,52,92,187,0,102,81,55.7,DF
806,Emile Smith Rowe,"1,921",6,67,82.9,28,60.4,636,15,14,2021-2022,21,eng ENG,Arsenal,eng Premier League,33,"1,921",21.3,21,12,2,10,2,12,10,0,0,0,682,823,82.9,30,41,20,1,85,9733,1935,401,441,90.9,230,268,85.8,25,58,43.1,67,52,4,5,4,2,0,6,5,1,0,0,0,0,636,3990,2131,65,44,20,41,25,749,139,53,32,60.4,21,39.6,14,7,7,7,0,4,20,20,16,18,1,17,15,29,10,1,7,18,28,"MF,FW"
807,Ken Sema,852,1,22,62.5,34.3,44.4,182,5,16,2021-2022,27,se SWE,Watford,eng Premier League,18,852,9.5,7,11,13,0,0,0,0,0,0,0,140,224,62.5,12,7,3,2,8,2280,758,84,108,77.8,35,53,66,15,39,38.5,22,7,9,1,0,4,1,1,0,1,0,0,0,0,182,1221,444,19,8,4,18,25,187,36,27,12,44.4,15,55.6,16,6,11,4,1,9,20,45,11,10,0,10,5,21,11,0,12,23,34.3,"MF,FW"
808,Diogo Jota,"2,364",13,98,72.6,30.8,39.1,649,6,39,2021-2022,24,pt POR,Liverpool,eng Premier League,35,"2,364",26.3,27,8,1,15,4,19,15,0,0,0,559,770,72.6,40,46,26,2,87,7799,1928,324,397,81.6,183,231,79.2,22,46,47.8,98,63,0,12,9,13,1,13,7,0,2,2,2,0,649,3861,2029,74,52,34,63,33,844,191,69,27,39.1,42,60.9,39,18,12,18,9,13,55,23.6,42,19,2,17,6,45,6,0,37,83,30.8,FW
809,Antonio Rüdiger,"3,035",9,45,87.5,73.7,50,1782,28,48,2021-2022,28,de GER,Chelsea,eng Premier League,34,"3,035",33.7,34,0,1,3,0,3,3,0,0,0,2217,2534,87.5,12,219,24,3,188,41765,13323,865,926,93.4,1079,1167,92.5,247,369,66.9,45,38,0,0,4,2,1,9,6,0,0,1,2,0,1782,8886,5212,54,72,3,20,8,2185,21,12,6,50,6,50,48,28,29,15,4,36,48,75,12,20,11,9,28,76,91,1,56,20,73.7,DF
