,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
401,Simone D'Uffizi,659,2,20,63.7,18.2,34.1,214,4,8,2023-2024,18,it ITA,Ascoli,it Serie B,23,659,7.3,2,21,13,0,0,0,0,0,0,0,137,215,63.7,6,7,7,1,17,1960,501,76,105,72.4,42,62,67.7,7,18,38.9,20,13,2,1,1,3,0,2,0,0,0,1,1,0,214,1865,795,29,16,10,30,14,224,61,44,15,34.1,28,63.6,8,5,3,3,2,3,6,50,3,11,0,11,4,12,4,0,4,18,18.2,"MF,FW"
402,Alessandro Bianconi,"1,917",0,6,90.1,57.4,78.6,612,15,25,2023-2024,24,it ITA,Calcio Lecco 1912,it Serie B,23,"1,917",21.3,22,1,13,1,0,1,1,0,0,0,832,923,90.1,3,21,0,0,36,17723,5263,204,227,89.9,481,503,95.6,139,177,78.5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,612,3016,1457,7,3,0,8,4,720,2,14,11,78.6,3,21.4,25,14,19,5,1,13,18,72.2,5,31,23,8,15,40,63,0,31,23,57.4,DF
403,Luca D'Andrea,733,3,33,75.1,11.1,50,311,3,9,2023-2024,18,it ITA,Catanzaro,it Serie B,23,733,8.1,6,17,9,0,0,0,0,0,0,0,217,289,75.1,7,8,9,2,20,3360,525,117,139,84.2,78,103,75.7,14,26,53.8,33,18,0,11,1,3,0,3,1,0,1,0,1,0,311,2070,1148,39,23,20,29,12,343,108,54,27,50,21,38.9,9,8,4,4,1,6,13,46.2,7,4,0,4,3,12,4,0,1,8,11.1,"MF,FW"
404,Federico Zuccon,"1,880",7,52,84.8,25.6,57.7,569,15,67,2023-2024,20,it ITA,Cosenza,it Serie B,29,"1,880",20.9,23,6,4,0,3,3,0,0,0,0,744,877,84.8,17,82,8,2,94,12300,2998,344,379,90.8,309,347,89,62,96,64.6,52,36,3,4,4,1,4,7,4,0,1,1,0,1,569,2926,1515,33,21,7,43,24,699,47,26,15,57.7,7,26.9,67,37,26,31,10,22,46,47.8,24,36,6,30,15,82,28,0,11,32,25.6,MF
405,Stefano Negro,"1,499",1,15,71.8,68.8,57.1,399,32,28,2023-2024,28,it ITA,Cittadella,it Serie B,20,"1,499",16.7,18,2,1,2,1,3,2,0,0,0,523,728,71.8,7,39,2,0,44,11220,5379,155,207,74.9,273,336,81.3,87,167,52.1,15,9,1,1,4,0,0,1,1,0,0,0,0,0,399,2085,1051,2,6,2,12,2,423,6,7,4,57.1,3,42.9,28,18,20,7,1,12,22,54.5,10,16,11,5,32,60,79,1,86,39,68.8,DF
406,Yayah Kallon,627,4,26,70.5,33.3,51.7,210,3,7,2023-2024,22,sl SLE,Bari,it Serie B,13,627,7,8,5,2,0,2,2,0,0,0,0,155,220,70.5,12,10,6,2,19,2387,485,86,105,81.9,57,74,77,8,24,33.3,26,15,2,4,2,3,0,4,4,0,0,0,0,0,210,1539,671,18,19,5,24,7,229,48,29,15,51.7,9,31,7,4,3,3,1,5,9,55.6,4,8,1,7,3,10,3,0,3,6,33.3,FW
407,Andrea Cagnano,"1,360",1,12,76.1,55.6,61.5,468,24,41,2023-2024,25,it ITA,Südtirol,it Serie B,22,"1,360",15.1,14,8,11,0,0,0,0,0,0,0,586,770,76.1,4,49,7,2,48,10054,3937,262,285,91.9,248,319,77.7,56,122,45.9,12,11,1,0,0,0,0,1,1,0,0,0,0,0,468,2243,1305,19,15,0,8,2,528,31,13,8,61.5,5,38.5,41,27,22,16,3,19,33,57.6,14,21,9,12,24,65,49,0,15,12,55.6,DF
408,Alessandro Bellemo,"2,785",4,50,83.1,44.4,47.6,767,33,59,2023-2024,27,it ITA,Como,it Serie B,36,"2,785",30.9,33,3,1,3,2,5,3,0,0,0,977,1175,83.1,23,83,14,6,95,15283,4839,520,587,88.6,366,419,87.4,62,104,59.6,50,45,2,1,1,1,0,4,4,0,0,0,0,0,767,3505,1635,21,21,2,31,9,900,33,21,10,47.6,9,42.9,59,30,20,32,7,20,36,55.6,16,32,12,20,33,92,41,1,20,25,44.4,MF
409,Pajtim Kasami,"1,978",8,56,73,45.7,42,590,14,36,2023-2024,31,ch SUI,Sampdoria,it Serie B,27,"1,978",22,24,3,3,5,1,6,5,0,0,0,607,831,73,19,70,13,2,92,10283,2983,304,363,83.7,213,278,76.6,66,122,54.1,56,43,0,4,3,3,3,8,8,0,0,0,0,0,590,2882,1220,24,30,6,54,28,748,74,50,21,42,23,46,36,24,18,12,6,21,47,44.7,26,35,5,30,14,50,36,0,21,25,45.7,MF
