,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
601,Lorenco Šimić,"2,109",3,26,74.1,67.1,55.6,563,60,23,2022-2023,26,hr CRO,Ascoli,it Serie B,26,"2,109",23.4,24,2,5,2,0,2,2,0,0,0,731,987,74.1,5,46,2,1,46,15674,6384,198,249,79.5,391,482,81.1,134,236,56.8,26,23,0,1,2,0,0,3,2,0,0,1,0,0,563,2539,1162,3,6,0,9,2,636,16,9,5,55.6,4,44.4,23,14,13,9,1,12,19,63.2,7,26,18,8,60,83,93,0,116,57,67.1,DF
602,Dennis Johnsen,"1,757",6,62,62.6,40,32,504,7,16,2022-2023,24,no NOR,Venezia,it Serie B,33,"1,757",19.5,19,14,3,3,5,8,3,0,0,0,342,546,62.6,34,28,31,9,59,6041,1780,163,212,76.9,131,196,66.8,37,80,46.3,62,50,0,6,2,3,1,6,6,0,0,0,0,0,504,2706,1293,51,23,23,54,28,585,167,97,31,32,60,61.9,16,8,8,4,4,6,22,27.3,16,20,4,16,7,23,5,0,26,39,40,"FW,DF"
603,Filippo Scaglia,"2,219",1,21,81.4,61.6,50,684,30,23,2022-2023,30,it ITA,Como,it Serie B,26,"2,219",24.7,25,1,11,0,0,0,0,0,0,0,947,1164,81.4,6,53,4,0,80,20540,8707,214,256,83.6,584,670,87.2,141,210,67.1,21,19,1,0,1,0,0,1,1,0,0,0,0,0,684,4096,2543,19,3,0,4,2,808,3,4,2,50,2,50,23,10,13,9,1,11,16,68.8,5,25,18,7,30,53,142,1,77,48,61.6,DF
604,Alessandro Vogliacco,"1,640",2,14,88.3,50.7,25,762,16,26,2022-2023,23,it ITA,Genoa,it Serie B,25,"1,640",18.2,18,7,11,0,0,0,0,0,0,0,1063,1204,88.3,2,59,2,0,72,21591,9014,311,336,92.6,600,652,92,142,194,73.2,14,11,1,0,2,0,0,2,1,0,0,1,0,0,762,3610,1887,7,1,0,6,2,906,4,4,1,25,1,25,26,15,16,9,1,15,21,71.4,6,18,10,8,16,42,75,0,35,34,50.7,DF
605,Frederik Sørensen,"2,813",2,19,76.1,54.9,80,679,63,51,2022-2023,30,dk DEN,Ternana,it Serie B,34,"2,813",31.3,32,2,2,1,0,1,1,0,0,0,962,1264,76.1,7,62,3,0,82,21735,10425,232,286,81.1,531,625,85,195,320,60.9,19,13,3,0,2,0,1,2,1,1,0,0,0,0,679,3444,1737,4,9,0,9,5,764,2,5,4,80,1,20,51,27,36,12,3,18,32,56.3,14,49,28,21,63,114,192,0,96,79,54.9,DF
606,Gianluca Di Chiara,"2,452",6,95,70.3,59.3,48.1,958,48,29,2022-2023,28,it ITA,US Reggina,it Serie B,32,"2,452",27.2,30,2,4,0,3,3,0,0,0,0,1187,1689,70.3,53,159,39,21,197,21974,10774,512,587,87.2,489,628,77.9,148,388,38.1,95,57,31,1,5,1,0,6,5,0,0,1,0,0,958,4621,2592,47,36,6,21,14,1086,88,27,13,48.1,9,33.3,29,14,15,11,3,17,35,48.6,18,39,9,30,48,77,48,2,16,11,59.3,DF
607,Anthony Oyono,993,5,32,80.5,63,56.8,360,7,33,2022-2023,21,ga GAB,Frosinone,it Serie B,13,993,11,11,2,10,0,2,2,0,0,0,0,476,591,80.5,11,29,7,5,41,7615,3014,253,282,89.7,179,221,81,32,64,50,32,22,2,5,1,2,0,5,4,0,1,0,0,0,360,2163,1141,35,23,7,17,4,403,44,37,21,56.8,11,29.7,33,24,21,8,4,14,21,66.7,7,10,1,9,7,40,18,0,17,10,63,DF
608,Raúl Asencio,982,3,24,55.3,49.6,42.9,177,3,7,2022-2023,24,es ESP,Cittadella,it Serie B,17,982,10.9,11,6,6,2,1,3,1,1,1,0,110,199,55.3,13,11,7,0,21,1511,394,69,108,63.9,28,55,50.9,6,11,54.5,24,19,0,0,2,3,0,3,1,0,0,1,1,0,177,813,189,6,6,3,40,18,267,45,21,9,42.9,9,42.9,7,3,1,3,3,0,4,0,4,9,0,9,3,10,8,0,56,57,49.6,"FW,MF"
609,Francesco Forte,"2,238",4,42,65.5,40.1,42.9,318,9,15,2022-2023,29,it ITA,2 Teams,it Serie B,34,"2,238",24.9,27,7,0,6,2,8,6,0,2,2,235,359,65.5,11,15,5,0,27,3068,595,144,206,69.9,63,101,62.4,9,14,64.3,42,29,0,2,3,6,2,4,2,0,0,1,0,1,318,1369,485,23,17,10,82,36,446,108,21,9,42.9,11,52.4,15,8,2,8,5,3,11,27.3,8,7,0,7,9,24,19,0,73,109,40.1,FW
