,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1001,Luca Parodi,"2,928",2,40,77.6,55.1,45.8,1100,38,44,2021-2022,26,it ITA,Alessandria,it Serie B,33,"2,928",32.5,33,0,4,0,1,1,0,0,0,0,1365,1758,77.6,15,107,17,8,126,22484,9508,718,812,88.4,520,675,77,106,208,51,40,31,8,0,0,0,1,2,1,1,0,0,0,0,1100,6469,3800,68,47,4,28,11,1059,47,24,11,45.8,13,54.2,44,27,29,13,2,17,43,39.5,26,32,11,21,38,82,73,1,59,48,55.1,DF
1002,Manuel Marras,"1,007",3,38,69.7,18.2,58.3,362,15,13,2021-2022,28,it ITA,Crotone,it Serie B,15,"1,007",11.2,12,3,3,3,3,6,3,0,0,0,290,416,69.7,20,26,20,4,51,4620,1500,164,205,80,95,133,71.4,24,45,53.3,38,29,4,2,1,2,0,3,3,0,0,0,0,0,362,2071,997,29,11,16,23,8,366,105,24,14,58.3,10,41.7,13,7,5,6,2,5,16,31.3,11,12,2,10,15,28,2,0,2,9,18.2,"MF,FW"
1003,Salvatore Esposito,"2,356",10,103,79.7,42.3,37.5,1009,35,41,2021-2022,20,it ITA,SPAL,it Serie B,35,"2,356",26.2,26,9,1,3,3,6,2,1,1,0,1279,1604,79.7,51,165,25,1,176,24415,7668,544,612,88.9,523,605,86.4,194,323,60.1,103,68,24,0,3,7,1,10,6,1,0,0,3,0,1009,4085,1969,19,25,0,19,9,1179,42,16,6,37.5,10,62.5,41,20,11,25,5,21,59,35.6,38,28,8,20,35,76,49,0,22,30,42.3,MF
1004,Karlo Lulić,"1,540",3,40,74,29.2,50,519,11,13,2021-2022,25,hr CRO,Frosinone,it Serie B,26,"1,540",17.1,18,8,8,2,2,4,2,0,0,0,525,709,74,12,69,15,2,96,8559,2308,259,314,82.5,190,244,77.9,52,94,55.3,40,31,5,2,1,0,1,3,1,2,0,0,0,0,519,2870,1402,39,38,4,45,18,592,70,14,7,50,7,50,13,9,6,7,0,9,23,39.1,14,19,2,17,11,24,7,1,7,17,29.2,MF
1005,Patrick Ciurria,"1,671",6,64,66.1,37.1,39.3,509,4,15,2021-2022,26,it ITA,Monza,it Serie B,34,"1,671",18.6,17,17,3,5,2,7,5,0,0,0,359,543,66.1,25,30,19,9,53,5904,1537,186,229,81.2,122,187,65.2,39,89,43.8,64,36,11,5,5,6,1,6,3,0,0,0,2,1,509,4223,2196,79,52,26,64,21,545,140,61,24,39.3,37,60.7,15,7,5,4,6,6,15,40,9,15,3,12,4,19,6,0,13,22,37.1,"MF,FW"
1006,Marko Pajač,"2,954",12,134,68.6,35.7,56,1301,30,33,2021-2022,28,hr CRO,Brescia,it Serie B,36,"2,954",32.8,34,2,0,2,7,9,0,2,3,1,1506,2196,68.6,79,167,79,38,205,29773,13791,590,675,87.4,652,889,73.3,239,533,44.8,134,77,46,0,6,2,3,12,8,2,0,2,0,0,1301,6165,3457,75,66,10,21,13,1430,168,25,14,56,11,44,33,24,16,13,4,19,40,47.5,21,22,9,13,30,63,43,1,10,18,35.7,DF
1007,Luca Zanimacchia,"2,184",8,96,70.3,23.7,47,719,17,45,2021-2022,23,it ITA,Cremonese,it Serie B,36,"2,184",24.3,25,11,1,8,5,13,8,0,1,1,548,780,70.3,36,23,35,12,61,8328,2276,316,366,86.3,155,234,66.2,49,90,54.4,96,64,4,5,8,12,3,8,5,0,2,0,1,0,719,5029,2623,103,50,31,62,37,760,193,66,31,47,35,53,45,31,21,14,10,24,58,41.4,34,21,2,19,17,62,14,1,9,29,23.7,FW
1008,Matteo Cotali,"2,544",1,39,78.3,49.3,72.7,886,58,58,2021-2022,24,it ITA,Frosinone,it Serie B,31,"2,544",28.3,29,2,5,0,0,0,0,0,0,0,1274,1627,78.3,13,96,17,5,127,19239,8695,746,851,87.7,436,548,79.6,71,164,43.3,39,34,4,1,0,0,0,1,1,0,0,0,0,0,886,3993,1958,34,24,0,26,7,949,47,11,8,72.7,3,27.3,58,35,37,17,4,31,46,67.4,15,33,11,22,58,116,50,0,34,35,49.3,DF
1009,Andrés Tello,"1,560",8,56,75.4,50,53.3,564,20,32,2021-2022,24,co COL,Benevento,it Serie B,33,"1,560",17.3,14,19,1,7,3,10,7,0,0,0,534,708,75.4,31,47,19,2,85,8418,2471,290,351,82.6,178,234,76.1,40,67,59.7,56,44,1,2,3,3,3,8,5,0,0,0,1,2,564,3000,1370,34,35,6,41,16,645,108,45,24,53.3,21,46.7,32,20,9,13,10,11,32,34.4,21,21,1,20,20,52,16,1,24,24,50,"FW,MF"
1010,Paolo Bartolomei,874,0,29,71.6,60,37.5,308,10,8,2021-2022,31,it ITA,Cremonese,it Serie B,20,874,9.7,10,10,13,0,0,0,0,0,0,0,327,457,71.6,16,37,12,5,50,5904,1856,141,173,81.5,140,181,77.3,38,73,52.1,29,26,3,0,0,0,0,0,0,0,0,0,0,0,308,1657,652,13,23,0,17,7,321,20,8,3,37.5,5,62.5,8,5,3,4,1,4,10,40,6,16,3,13,10,18,9,0,12,8,60,MF
1011,Manuel De Luca,"2,454",8,52,50.9,39.9,47.8,413,7,12,2021-2022,23,it ITA,Perugia,it Serie B,33,"2,454",27.3,29,4,1,10,3,13,6,4,5,1,216,424,50.9,22,13,5,0,32,3162,515,123,202,60.9,76,134,56.7,9,30,30,52,31,0,3,13,3,2,8,4,0,1,3,0,0,413,2208,779,34,15,20,72,18,541,164,23,11,47.8,12,52.2,12,7,2,4,6,3,15,20,12,21,9,12,7,19,26,0,77,116,39.9,FW
1012,Marco Capuano,"1,812",0,10,77.1,65,100,490,24,31,2021-2022,29,it ITA,Ternana,it Serie B,23,"1,812",20.1,22,1,5,0,0,0,0,0,0,0,680,882,77.1,2,39,3,1,55,12790,5152,261,308,84.7,337,394,85.5,73,152,48,10,8,0,0,0,1,1,0,0,0,0,0,0,0,490,2440,1302,9,8,0,9,2,544,1,3,3,100,0,0,31,19,19,11,1,10,19,52.6,9,33,21,12,24,55,103,0,78,42,65,DF
1013,Sanasi Sy,845,0,10,63.7,38.9,66.7,267,12,26,2021-2022,22,fr FRA,Cosenza,it Serie B,17,845,9.4,10,7,8,0,0,0,0,0,0,0,232,364,63.7,3,19,2,1,28,4136,1764,110,136,80.9,93,136,68.4,25,67,37.3,10,9,0,1,0,0,0,0,0,0,0,0,0,0,267,1724,917,19,11,2,18,17,241,13,24,16,66.7,8,33.3,26,17,20,4,2,15,22,68.2,7,15,3,12,12,38,16,0,7,11,38.9,DF
