,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1201,Domenico Frare,"1,956",1,11,77.7,53.7,50,430,46,29,2021-2022,25,it ITA,Cittadella,it Serie B,24,"1,956",21.7,22,2,8,2,0,2,2,0,0,0,580,746,77.7,1,18,1,0,31,12195,3641,156,209,74.6,343,406,84.5,79,122,64.8,11,10,0,0,1,0,0,1,1,0,0,0,0,0,430,2316,1228,6,2,0,9,0,441,0,2,1,50,1,50,29,14,21,7,1,13,19,68.4,6,13,9,4,46,75,98,1,44,38,53.7,DF
1202,Jaime Báez,"2,019",9,80,66.8,37.5,39,669,13,19,2021-2022,26,uy URU,Cremonese,it Serie B,34,"2,019",22.4,19,15,2,4,3,7,4,0,0,0,625,935,66.8,39,38,46,9,100,10111,4067,329,407,80.8,213,310,68.7,50,139,36,80,62,7,3,5,3,0,9,6,1,0,1,1,0,669,3998,1893,54,41,14,57,28,762,184,41,16,39,25,61,19,13,12,4,3,13,41,31.7,28,24,2,22,13,32,28,0,21,35,37.5,"FW,DF"
1203,Alessandro Di Pardo,"1,874",3,53,70.5,53.4,62.2,600,26,44,2021-2022,22,it ITA,2 Teams,it Serie B,28,"1,874",20.8,20,8,4,1,0,1,1,0,0,0,648,919,70.5,22,45,25,18,68,10832,4228,324,382,84.8,243,360,67.5,58,117,49.6,53,41,3,6,1,2,0,3,2,1,0,0,0,0,600,3965,1952,60,38,7,43,18,626,109,37,23,62.2,14,37.8,44,25,25,13,6,21,37,56.8,16,23,5,18,26,70,50,0,31,27,53.4,"DF,FW"
1204,Fran Karačić,701,2,22,65,50,60,292,13,11,2021-2022,25,au AUS,Brescia,it Serie B,17,701,7.8,6,11,17,0,0,0,0,0,0,0,330,508,65,13,48,17,12,41,6732,3236,122,142,85.9,145,211,68.7,57,131,43.5,22,16,6,0,0,0,0,2,0,2,0,0,0,0,292,1673,915,22,22,2,8,4,302,29,5,3,60,2,40,11,5,5,5,1,4,11,36.4,7,7,1,6,13,24,21,0,12,12,50,DF
1205,Davide Adorni,"2,544",2,15,79.3,56,50,754,42,53,2021-2022,28,it ITA,2 Teams,it Serie B,30,"2,544",28.3,30,0,0,1,0,1,1,0,0,0,1017,1283,79.3,3,68,4,0,76,22007,8726,255,312,81.7,593,670,88.5,160,273,58.6,15,12,0,0,0,0,3,2,1,0,0,0,0,1,754,3547,1705,15,11,0,14,4,808,1,2,1,50,1,50,53,33,29,18,6,26,38,68.4,12,25,11,14,42,95,110,1,98,77,56,DF
1206,Salim Diakité,"1,061",1,19,72,55.4,25,337,8,36,2021-2022,21,ml MLI,Ternana,it Serie B,19,"1,061",11.8,11,8,5,0,0,0,0,0,0,0,372,517,72,7,39,11,5,49,6578,2889,170,200,85,150,197,76.1,40,86,46.5,19,16,0,1,0,2,0,1,1,0,0,0,0,0,337,2228,1085,29,22,9,16,3,335,40,16,4,25,12,75,36,21,19,13,4,18,22,81.8,4,21,9,12,8,44,30,0,31,25,55.4,DF
1207,Luca Paganini,526,1,11,60.1,25,57.1,137,8,6,2021-2022,28,it ITA,2 Teams,it Serie B,19,526,5.8,4,15,5,0,0,0,0,0,0,0,110,183,60.1,4,6,3,0,14,1615,511,68,83,81.9,31,59,52.5,6,20,30,11,9,0,0,0,2,0,1,1,0,0,0,0,0,137,611,252,7,4,0,13,7,153,33,7,4,57.1,3,42.9,6,2,0,5,1,2,7,28.6,5,7,0,7,8,14,8,0,9,27,25,"FW,MF"
1208,Adrian Leon Barišić,776,0,7,78.8,53.7,55.6,292,15,16,2021-2022,20,ba BIH,Frosinone,it Serie B,12,776,8.6,9,3,8,1,0,1,1,0,0,0,371,471,78.8,3,25,1,0,34,6894,2718,131,153,85.6,201,246,81.7,32,51,62.7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,292,1383,631,4,4,0,3,0,272,2,9,5,55.6,4,44.4,16,11,11,4,1,10,15,66.7,5,11,7,4,15,31,25,2,29,25,53.7,DF
1209,Nicola Bellomo,"1,652",6,59,66,34.5,54.8,504,15,18,2021-2022,30,it ITA,US Reggina,it Serie B,31,"1,652",18.4,19,12,4,1,2,3,1,0,0,0,423,641,66,30,45,30,12,73,7578,2412,213,245,86.9,142,210,67.6,59,139,42.4,59,36,14,1,3,5,0,6,3,0,0,2,1,0,504,3053,1385,43,35,11,35,26,561,140,42,23,54.8,19,45.2,18,7,7,11,0,8,15,53.3,7,10,4,6,15,33,6,0,10,19,34.5,"MF,FW"
1210,Elias Cobbaut,"3,149",3,28,80.8,56.1,66.7,1336,38,43,2021-2022,23,be BEL,Parma,it Serie B,35,"3,149",35,35,0,0,2,3,5,2,0,0,0,1485,1838,80.8,15,150,13,6,110,30950,12107,455,519,87.7,775,883,87.8,240,392,61.2,28,25,1,1,1,0,0,3,3,0,0,0,0,0,1336,6453,3427,40,24,2,12,6,1416,24,3,2,66.7,1,33.3,43,24,32,9,2,19,32,59.4,13,41,16,25,38,81,133,1,60,47,56.1,DF
1211,Hamza El Kaouakibi,"1,922",2,37,74.5,70.5,50,649,30,27,2021-2022,23,ma MAR,Pordenone,it Serie B,25,"1,922",21.4,23,2,3,0,1,1,0,0,0,0,850,1141,74.5,19,61,20,8,84,13892,6616,447,515,86.8,314,413,76,70,136,51.5,37,30,1,5,0,1,0,2,2,0,0,0,0,0,649,4100,2148,45,39,8,28,13,711,69,44,22,50,22,50,27,20,18,7,2,16,26,61.5,10,32,13,19,30,57,67,0,31,13,70.5,DF
1212,Simone Mazzocchi,891,0,19,69.6,50,57.1,211,5,6,2021-2022,22,it ITA,Ternana,it Serie B,23,891,9.9,6,17,13,4,0,4,4,0,0,0,165,237,69.6,6,3,7,0,20,2298,323,103,133,77.4,47,63,74.6,8,13,61.5,19,13,0,1,3,2,0,0,0,0,0,0,0,0,211,978,347,12,10,5,38,25,277,73,14,8,57.1,6,42.9,6,2,1,4,1,4,6,66.7,2,8,1,7,5,11,6,0,32,32,50,"FW,MF"
1213,Alberto Gerbo,679,0,9,72,44.4,42.3,307,7,22,2021-2022,31,it ITA,Cosenza,it Serie B,21,679,7.5,8,13,12,0,0,0,0,0,0,0,291,404,72,0,30,7,0,35,5001,1970,131,153,85.6,119,153,77.8,30,70,42.9,9,4,1,0,1,3,0,0,0,0,0,0,0,0,307,1630,880,19,18,5,17,7,325,10,26,11,42.3,15,57.7,22,15,13,8,1,9,24,37.5,15,6,0,6,7,29,12,0,8,10,44.4,"MF,FW"
1214,Salvatore Elia,"1,457",4,48,71.8,47.6,51.1,543,36,34,2021-2022,22,it ITA,Benevento,it Serie B,25,"1,457",16.2,16,9,1,1,1,2,1,0,0,0,552,769,71.8,18,69,24,3,88,8271,3597,330,383,86.2,168,238,70.6,36,96,37.5,48,33,2,3,2,7,1,4,4,0,0,0,0,0,543,3456,1977,55,41,12,37,21,587,110,45,23,51.1,22,48.9,34,22,16,11,7,21,34,61.8,13,8,2,6,36,70,14,0,10,11,47.6,"DF,FW"
1215,Luca Marrone,"1,467",3,14,87.8,54.8,87.5,805,24,30,2021-2022,31,it ITA,Monza,it Serie B,18,"1,467",16.3,17,1,7,0,2,2,0,0,0,0,960,1094,87.8,7,46,3,1,51,20005,7486,267,300,89,550,585,94,138,188,73.4,14,13,1,0,0,0,0,3,3,0,0,0,0,0,805,4082,2049,8,3,0,8,2,814,1,8,7,87.5,1,12.5,30,19,20,10,0,12,22,54.5,10,17,9,8,24,54,56,1,40,33,54.8,DF
1216,Adriano Montalto,"1,417",1,21,66.1,43.5,54.5,323,1,8,2021-2022,33,it ITA,US Reggina,it Serie B,31,"1,417",15.7,18,13,5,5,1,6,4,1,1,0,255,386,66.1,10,20,6,0,31,4121,698,154,220,70,60,86,69.8,31,39,79.5,21,17,0,0,2,2,0,1,1,0,0,0,0,0,323,1255,265,4,7,0,61,13,458,92,11,6,54.5,5,45.5,8,3,2,4,2,1,6,16.7,5,8,2,6,1,9,13,0,74,96,43.5,FW
1217,Luca Vido,"1,398",4,49,69,27.4,50,409,3,14,2021-2022,24,it ITA,2 Teams,it Serie B,30,"1,398",15.5,18,12,3,6,3,9,6,0,0,0,263,381,69,21,24,19,2,47,3730,1072,162,209,77.5,80,110,72.7,10,25,40,49,35,0,2,7,4,1,4,4,0,0,0,0,0,409,1910,679,21,18,9,75,25,453,124,26,13,50,13,50,14,8,5,4,5,6,17,35.3,11,19,1,18,3,17,12,0,17,45,27.4,FW
1218,Emanuele Valeri,"2,249",4,60,67.7,50,44.4,758,48,35,2021-2022,22,it ITA,Cremonese,it Serie B,29,"2,249",25,25,4,3,3,1,4,3,0,0,0,809,1195,67.7,23,73,32,14,98,14356,7619,368,442,83.3,322,451,71.4,93,220,42.3,60,41,6,4,1,7,1,4,2,1,1,0,0,0,758,5417,2939,80,54,17,61,20,729,114,45,20,44.4,25,55.6,35,20,25,8,2,20,35,57.1,15,17,6,11,48,83,35,1,21,21,50,DF
1219,Edoardo Masciangelo,881,3,23,68.1,42.9,35.7,308,11,12,2021-2022,25,it ITA,Benevento,it Serie B,19,881,9.8,8,11,15,0,1,1,0,0,0,0,326,479,68.1,12,28,17,12,42,5442,2539,168,193,87,111,175,63.4,36,75,48,23,15,2,1,2,3,0,3,3,0,0,0,0,0,308,1917,1057,34,17,3,9,5,312,39,14,5,35.7,9,64.3,12,4,6,4,2,5,14,35.7,9,13,5,8,11,23,11,0,6,8,42.9,DF
1220,Giuseppe Loiacono,"1,452",0,13,74.8,52.9,40,428,18,36,2021-2022,29,it ITA,US Reggina,it Serie B,18,"1,452",16.1,16,2,19,0,0,0,0,0,0,0,531,710,74.8,3,49,2,1,46,10430,4906,173,196,88.3,293,358,81.8,61,130,46.9,13,10,1,1,0,1,0,0,0,0,0,0,0,0,428,1971,951,10,3,1,6,4,432,9,10,4,40,6,60,36,18,29,5,2,16,29,55.2,13,16,9,7,18,54,50,1,27,24,52.9,DF
1221,Salvatore Burrai,"2,368",11,106,75.5,43.1,50,1026,25,36,2021-2022,34,it ITA,Perugia,it Serie B,33,"2,368",26.3,27,6,1,2,8,10,1,1,1,0,1318,1746,75.5,59,192,24,5,203,27959,10203,438,494,88.7,600,726,82.6,255,468,54.5,106,60,41,0,4,1,0,11,5,5,0,1,0,0,1026,4381,2332,24,15,1,19,11,1171,34,12,6,50,6,50,36,23,14,13,9,12,40,30,28,16,7,9,25,61,43,0,22,29,43.1,MF
1222,Eric Botteghin,"2,705",0,17,84.8,68.2,80,885,67,64,2021-2022,33,br BRA,Ascoli,it Serie B,31,"2,705",30.1,31,0,3,2,0,2,2,0,0,0,1115,1315,84.8,9,64,3,0,72,23546,9550,349,386,90.4,561,630,89,197,269,73.2,17,13,1,0,1,0,2,0,0,0,0,0,0,0,885,4228,2466,6,5,1,16,3,873,4,10,8,80,2,20,64,41,43,18,3,22,36,61.1,14,41,24,17,67,131,141,2,88,41,68.2,DF
1223,Andrea Arrighini,589,5,17,64.3,37.5,33.3,142,0,4,2021-2022,31,it ITA,Alessandria,it Serie B,13,589,6.5,7,6,6,1,2,3,1,0,0,0,99,154,64.3,11,11,4,2,14,1378,281,60,81,74.1,25,45,55.6,6,10,60,17,12,0,2,1,2,0,5,3,0,1,1,0,0,142,934,400,12,13,6,15,4,183,44,9,3,33.3,6,66.7,4,0,0,3,1,3,4,75,1,1,0,1,0,4,5,0,18,30,37.5,"MF,FW"
1224,Dimitris Stavropoulos,"1,510",0,9,78.4,63.9,50,444,21,22,2021-2022,24,gr GRE,US Reggina,it Serie B,19,"1,510",16.8,18,1,9,0,0,0,0,0,0,0,563,718,78.4,2,26,0,0,39,10690,4668,185,219,84.5,317,373,85,56,105,53.3,9,5,1,0,2,1,0,0,0,0,0,0,0,0,444,2029,1012,6,1,1,9,2,482,5,2,1,50,1,50,22,16,18,3,1,10,19,52.6,9,27,19,8,21,43,85,1,53,30,63.9,DF
1225,Samuel Di Carmine,"1,475",3,38,67.1,46.9,66.7,288,3,4,2021-2022,32,it ITA,Cremonese,it Serie B,31,"1,475",16.4,15,16,3,5,1,6,4,1,2,1,206,307,67.1,19,13,15,5,28,2777,509,126,173,72.8,56,75,74.7,9,15,60,38,32,0,2,2,2,0,3,2,0,0,1,0,0,288,1107,361,17,9,6,50,20,377,109,6,4,66.7,2,33.3,4,3,0,2,2,1,4,25,3,4,0,4,3,7,10,0,38,43,46.9,FW
1226,Edoardo Pierozzi,"1,068",4,27,59.6,63.6,55.6,328,13,22,2021-2022,19,it ITA,Alessandria,it Serie B,19,"1,068",11.9,13,6,9,1,2,3,1,0,0,0,229,384,59.6,17,22,13,4,36,3692,1488,132,184,71.7,74,120,61.7,21,49,42.9,27,19,1,2,2,2,1,4,1,0,0,2,1,0,328,1913,851,23,21,2,27,18,338,65,27,15,55.6,12,44.4,22,11,12,7,3,13,26,50,13,15,2,13,13,35,20,0,35,20,63.6,DF
1227,Dany Mota,"2,058",6,68,68.3,44.1,51.8,651,3,15,2021-2022,23,pt POR,Monza,it Serie B,28,"2,058",22.9,24,4,1,11,1,12,11,0,0,0,426,624,68.3,28,31,18,1,60,7135,1015,213,284,75,163,202,80.7,38,67,56.7,68,48,0,5,7,8,0,6,2,0,2,1,1,0,651,4701,1739,74,37,27,71,45,753,233,83,43,51.8,40,48.2,15,5,2,9,4,5,16,31.3,11,15,2,13,3,18,9,0,41,52,44.1,FW
