,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1401,Anderson Lima,897,6,33,67.3,47.4,55.6,256,7,23,2020-2021,20,br BRA,Salernitana,it Serie B,28,897,10,10,18,4,5,3,8,4,1,1,0,167,248,67.3,13,26,10,2,38,2722,1023,80,105,76.2,54,74,73,19,33,57.6,33,13,6,1,8,5,0,6,2,1,0,3,0,0,256,1622,762,16,16,5,33,8,261,30,36,20,55.6,16,44.4,23,15,11,9,3,8,27,29.6,19,23,1,22,7,30,1,0,9,10,47.4,"MF,FW"
1402,Vasile Mogos,"2,918",6,70,69.9,54.8,43.8,1201,49,65,2020-2021,27,ro ROU,Chievo,it Serie B,35,"2,918",32.4,33,2,2,3,6,9,3,0,0,0,1469,2103,69.9,38,146,37,15,176,25532,11043,674,783,86.1,625,836,74.8,139,367,37.9,70,59,4,3,2,1,1,6,6,0,0,0,0,0,1201,7374,3824,104,69,3,47,21,1390,201,32,14,43.8,18,56.3,65,46,44,15,6,40,64,62.5,24,41,8,33,49,114,81,1,63,52,54.8,DF
1403,Patryk Dziczek,541,1,16,66.8,38.9,75,123,9,17,2020-2021,22,pl POL,Salernitana,it Serie B,15,541,6,5,10,4,0,0,0,0,0,0,0,153,229,66.8,7,21,3,1,20,3440,1136,54,74,73,53,67,79.1,46,69,66.7,16,7,6,3,0,0,0,1,1,0,0,0,0,0,123,468,134,3,2,2,6,7,135,5,8,6,75,2,25,17,14,10,6,1,11,17,64.7,6,7,3,4,9,26,10,0,7,11,38.9,MF
1404,Salvatore D'Elia,526,1,4,70,50,50,162,4,9,2020-2021,31,it ITA,Frosinone,it Serie B,14,526,5.8,6,8,12,0,1,1,0,0,0,0,201,287,70,1,8,3,1,18,3296,1437,105,122,86.1,80,109,73.4,13,39,33.3,4,3,0,0,0,1,0,1,1,0,0,0,0,0,162,1001,514,13,9,0,8,5,177,29,4,2,50,2,50,9,6,4,4,1,3,6,50,3,8,4,4,4,13,5,0,4,4,50,DF
1405,Massimiliano Busellato,"1,640",1,23,84.9,43.5,53.8,585,30,48,2020-2021,27,it ITA,Pescara,it Serie B,27,"1,640",18.2,18,9,2,3,0,3,3,0,0,0,733,863,84.9,8,72,7,0,89,11979,3285,370,415,89.2,305,347,87.9,46,66,69.7,23,20,1,0,2,0,0,1,1,0,0,0,0,0,585,3071,1361,15,22,1,26,23,676,35,13,7,53.8,6,46.2,48,25,23,23,2,23,42,54.8,19,33,9,24,30,78,20,0,10,13,43.5,MF
1406,Salvatore Esposito,"2,295",12,96,80.1,39,57.1,948,30,40,2020-2021,19,it ITA,SPAL,it Serie B,31,"2,295",25.5,26,5,7,5,4,9,4,1,1,0,1302,1626,80.1,50,145,21,5,148,25771,7121,528,588,89.8,528,624,84.6,223,365,61.1,96,54,33,0,5,3,1,12,8,3,0,1,0,0,948,3903,1663,16,22,1,25,19,1105,20,14,8,57.1,6,42.9,40,22,18,21,1,26,53,49.1,27,28,13,15,30,70,45,0,16,25,39,MF
1407,Patrick Ciurria,"3,038",17,121,63.1,30.7,56.1,738,6,21,2020-2021,25,it ITA,Pordenone,it Serie B,36,"3,038",33.8,34,2,0,9,11,20,8,1,2,1,543,860,63.1,61,58,46,8,120,8705,3231,292,405,72.1,174,273,63.7,53,115,46.1,121,78,16,13,5,7,2,17,12,0,3,2,0,0,738,5656,2861,121,66,42,108,51,824,253,82,46,56.1,36,43.9,21,10,6,7,8,6,21,28.6,15,36,3,33,6,27,16,0,23,52,30.7,"FW,MF"
1408,Marko Pajač,642,6,28,78.6,57.1,63.6,367,6,6,2020-2021,27,hr CRO,Brescia,it Serie B,17,642,7.1,6,11,1,0,2,2,0,0,0,0,396,504,78.6,11,26,12,3,37,6958,2341,175,196,89.3,167,200,83.5,43,78,55.1,28,22,5,0,1,0,0,6,5,0,0,1,0,0,367,1564,814,11,8,1,15,10,391,51,11,7,63.6,4,36.4,6,4,3,3,0,4,10,40,6,3,1,2,6,12,9,0,4,3,57.1,"DF,MF"
1409,Matteo Cotali,923,4,16,78.3,35,37.5,342,7,16,2020-2021,23,it ITA,Chievo,it Serie B,13,923,10.3,9,4,23,0,2,2,0,0,0,0,408,521,78.3,9,21,8,7,35,6495,2619,218,244,89.3,154,194,79.4,28,58,48.3,16,14,0,0,0,2,0,4,4,0,0,0,0,0,342,1508,719,20,14,3,12,6,360,49,8,3,37.5,5,62.5,16,8,14,2,0,6,12,50,6,11,3,8,7,23,23,0,7,13,35,DF
