,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1801,Youssef Maleh,"1,996",7,56,71.4,40,60,585,27,58,2019-2020,20,ma MAR,Venezia,it Serie B,28,"1,996",22.2,25,3,5,1,2,3,1,0,0,0,558,781,71.4,18,57,20,11,75,9018,2905,300,348,86.2,177,236,75,56,119,47.1,56,47,0,2,3,4,0,7,5,0,0,1,1,0,585,3245,1710,43,39,7,46,37,647,135,35,21,60,14,40,58,39,25,20,13,21,42,50,21,35,4,31,27,85,28,0,22,33,40,MF
1802,Fabio Ceravolo,"1,306",0,48,66.7,32.1,47.6,289,4,4,2019-2020,32,it ITA,Cremonese,it Serie B,25,"1,306",14.5,16,9,10,2,0,2,2,0,0,0,200,300,66.7,15,16,6,3,28,2668,505,126,169,74.6,58,78,74.4,7,15,46.7,48,26,1,4,9,7,1,0,0,0,0,0,0,0,289,1802,587,26,17,7,50,32,363,103,21,10,47.6,11,52.4,4,1,2,1,1,0,5,0,5,5,1,4,4,8,10,0,27,57,32.1,FW
1803,Pietro Ceccaroni,"2,638",2,48,80.7,40.8,71.4,1324,38,40,2019-2020,23,it ITA,Venezia,it Serie B,31,"2,638",29.3,28,3,5,1,0,1,1,0,0,0,1746,2164,80.7,19,128,17,8,177,31137,11944,725,810,89.5,826,966,85.5,165,295,55.9,48,34,8,5,0,1,0,2,0,1,0,0,1,0,1324,8496,5653,77,51,2,14,14,1518,62,28,20,71.4,8,28.6,40,28,22,15,3,14,22,63.6,8,38,20,18,38,78,99,0,31,45,40.8,DF
1804,Magnus Troest,"2,711",1,14,83.6,63.9,100,724,35,29,2019-2020,32,dk DEN,Juve Stabia,it Serie B,31,"2,711",30.1,31,0,3,1,0,1,1,0,0,0,1135,1357,83.6,3,47,0,0,78,23103,7377,313,367,85.3,648,730,88.8,150,223,67.3,14,13,0,0,1,0,0,1,1,0,0,0,0,0,724,4142,2424,15,4,0,8,1,941,3,2,2,100,0,0,29,20,24,5,0,12,30,40,18,28,18,10,35,64,136,0,76,43,63.9,DF
1805,Davide Luppi,"1,655",5,46,68.3,39.1,60,427,13,20,2019-2020,29,it ITA,Cittadella,it Serie B,31,"1,655",18.4,17,14,4,3,2,5,3,0,0,0,343,502,68.3,18,25,14,8,51,5068,1098,206,254,81.1,97,141,68.8,25,46,54.3,46,37,0,5,2,1,1,5,4,0,0,0,0,1,427,2476,939,37,25,20,61,35,504,149,35,21,60,14,40,20,11,3,8,9,4,17,23.5,13,21,0,21,13,33,7,0,27,42,39.1,"FW,MF"
1806,Angelo Corsi,"1,176",2,23,73.7,48.1,65,377,10,31,2019-2020,30,it ITA,Cosenza,it Serie B,19,"1,176",13.1,13,6,19,0,0,0,0,0,0,0,524,711,73.7,9,54,12,5,66,8876,3647,270,301,89.7,193,273,70.7,51,100,51,23,17,3,3,0,0,0,2,2,0,0,0,0,0,377,2012,1147,22,21,3,9,11,459,45,20,13,65,7,35,31,23,13,11,7,10,21,47.6,11,18,7,11,10,41,43,0,13,14,48.1,"DF,MF"
1807,Mario Gargiulo,813,1,19,66.6,69.6,57.1,213,5,9,2019-2020,23,it ITA,Cittadella,it Serie B,15,813,9,10,5,13,1,1,2,1,0,0,0,199,299,66.6,10,17,8,0,30,3003,873,108,128,84.4,76,110,69.1,8,34,23.5,19,16,1,0,0,2,0,1,1,0,0,0,0,0,213,1194,592,13,14,1,14,15,230,50,7,4,57.1,3,42.9,9,4,3,5,1,4,12,33.3,8,11,1,10,5,14,7,1,16,7,69.6,MF
1808,Riccardo Bocalon,"2,072",5,47,68,44.4,56,348,7,4,2019-2020,30,it ITA,2 Teams,it Serie B,34,"2,072",23,21,13,4,6,2,8,6,0,0,0,257,378,68,20,19,5,2,28,3244,628,165,225,73.3,55,78,70.5,12,25,48,47,36,0,1,5,4,1,5,4,0,1,0,0,0,348,1563,463,16,10,6,49,26,467,152,25,14,56,11,44,4,3,1,2,1,1,11,9.1,10,8,1,7,7,11,30,0,67,84,44.4,"FW,MF"
1809,Agostino Camigliano,703,0,2,75.5,61,0,151,6,6,2019-2020,25,it ITA,Cittadella,it Serie B,11,703,7.8,8,3,19,0,0,0,0,0,0,0,222,294,75.5,0,11,0,0,16,4159,1791,82,102,80.4,122,147,83,17,40,42.5,2,0,0,0,1,0,1,0,0,0,0,0,0,0,151,589,269,1,1,0,2,0,169,0,1,0,0,1,100,6,3,3,3,0,3,4,75,1,11,7,4,6,12,43,0,25,16,61,DF
