,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2201,Pietro Ceccaroni,"1,041",2,15,75.4,50,60,298,16,15,2018-2019,22,it ITA,Padova,it Serie B,16,"1,041",11.6,11,5,19,0,2,2,0,0,0,0,395,524,75.4,6,34,4,2,43,6274,3015,201,226,88.9,166,216,76.9,19,61,31.1,15,14,1,0,0,0,0,2,2,0,0,0,0,0,298,1663,959,15,9,1,5,4,337,18,5,3,60,2,40,15,11,10,5,0,7,10,70,3,17,9,8,16,31,40,0,9,9,50,DF
2202,Angelo Corsi,"1,772",3,58,75.2,50,51.6,608,27,40,2018-2019,29,it ITA,Cosenza,it Serie B,21,"1,772",19.7,20,1,0,0,1,1,0,0,0,0,823,1094,75.2,24,96,34,18,133,15406,7166,341,378,90.2,370,482,76.8,99,183,54.1,58,39,15,0,2,1,1,3,3,0,0,0,0,0,608,3415,1883,42,46,7,21,11,717,81,31,16,51.6,15,48.4,40,28,20,13,7,20,36,55.6,16,26,5,21,27,67,48,0,6,6,50,DF
2203,Riccardo Bocalon,"2,284",4,46,67,37,66.7,352,7,11,2018-2019,29,it ITA,2 Teams,it Serie B,33,"2,284",25.4,24,9,2,8,2,10,8,0,1,1,299,446,67,16,22,12,1,39,4453,689,177,235,75.3,85,129,65.9,25,37,67.6,46,33,0,2,4,4,3,4,2,0,0,0,2,0,352,1905,574,26,11,1,63,36,490,125,15,10,66.7,5,33.3,11,6,0,7,4,2,13,15.4,11,12,2,10,7,18,21,0,64,109,37,FW
2204,Agostino Camigliano,824,0,3,80,52.6,50,242,18,14,2018-2019,24,it ITA,Cittadella,it Serie B,12,824,9.2,9,3,17,0,0,0,0,0,0,0,308,385,80,0,11,0,0,20,5388,2121,119,136,87.5,166,192,86.5,16,39,41,3,3,0,0,0,0,0,0,0,0,0,0,0,0,242,1063,727,6,0,0,4,0,253,2,2,1,50,1,50,14,10,7,5,2,3,3,100,0,4,1,3,18,32,35,0,20,18,52.6,DF
2205,Federico Ricci,"1,209",9,54,71.5,15,45.9,372,6,28,2018-2019,24,it ITA,Benevento,it Serie B,26,"1,209",13.4,11,15,8,2,4,6,2,0,0,0,328,459,71.5,25,29,20,11,45,5921,1446,161,194,83,108,141,76.6,47,91,51.6,54,42,3,3,0,5,1,9,8,0,0,0,1,0,372,2391,1105,35,17,7,29,34,463,111,37,17,45.9,20,54.1,28,20,11,12,5,8,18,44.4,10,18,0,18,6,34,2,0,3,17,15,"MF,FW"
2206,Michele Cremonesi,"1,497",1,9,88.5,82.3,0,493,28,8,2018-2019,30,it ITA,Perugia,it Serie B,18,"1,497",16.6,17,1,11,0,1,1,0,0,0,0,719,812,88.5,1,25,1,0,48,13528,5509,267,293,91.1,387,415,93.3,61,91,67,9,7,0,0,2,0,0,1,1,0,0,0,0,0,493,2678,1909,5,4,1,3,0,625,3,2,0,0,2,100,8,7,5,3,0,4,6,66.7,2,16,10,6,28,36,78,0,51,11,82.3,DF
2207,Salvatore Molina,"1,666",3,38,75.9,45.2,66.7,615,14,37,2018-2019,26,it ITA,Crotone,it Serie B,29,"1,666",18.5,18,11,7,1,2,3,1,0,0,0,701,923,75.9,16,69,24,6,98,13068,3488,308,364,84.6,274,350,78.3,106,170,62.4,38,34,1,1,0,2,0,3,2,0,1,0,0,0,615,3311,1680,34,20,7,22,32,725,108,15,10,66.7,5,33.3,37,26,23,12,2,13,30,43.3,17,22,11,11,14,51,27,1,19,23,45.2,"MF,DF"
2208,Claudio Terzi,"2,779",0,23,82.9,52.1,100,1066,59,38,2018-2019,34,it ITA,Spezia,it Serie B,31,"2,779",30.9,31,0,2,0,0,0,0,0,0,0,1506,1817,82.9,10,162,7,0,150,32818,14326,460,510,90.2,699,790,88.5,315,469,67.2,23,22,0,0,0,0,1,0,0,0,0,0,0,0,1066,7528,5004,31,17,0,3,4,1293,2,2,2,100,0,0,38,29,28,8,2,14,28,50,14,31,18,13,59,97,174,1,73,67,52.1,DF
2209,Alfredo Donnarumma,"2,592",12,95,68.5,31.7,51.7,606,4,14,2018-2019,27,it ITA,Brescia,it Serie B,32,"2,592",28.8,30,2,0,25,7,32,18,7,9,2,481,702,68.5,37,28,41,1,91,7000,1858,282,350,80.6,138,193,71.5,35,58,60.3,95,72,1,8,8,6,0,12,9,0,0,2,1,0,606,3275,1402,63,34,33,68,37,758,313,29,15,51.7,14,48.3,14,10,2,7,5,2,8,25,6,10,2,8,4,18,7,0,20,43,31.7,FW
2210,Valerio Mantovani,"2,033",1,12,79.9,61.1,100,434,62,36,2018-2019,22,it ITA,Salernitana,it Serie B,24,"2,033",22.6,22,2,10,0,1,1,0,0,0,0,625,782,79.9,4,54,5,2,66,11696,4918,234,266,88,329,394,83.5,57,102,55.9,12,8,0,1,3,0,0,1,0,0,0,1,0,0,434,2460,1368,17,14,1,10,0,509,5,2,2,100,0,0,36,25,22,14,0,11,21,52.4,10,25,13,12,62,98,110,0,55,35,61.1,DF
2211,Antonio Marino,997,1,6,85.2,68.3,50,350,14,10,2018-2019,29,it ITA,Lecce,it Serie B,16,997,11.1,10,6,20,0,1,1,0,0,0,0,505,593,85.2,1,26,1,0,33,10000,3639,163,179,91.1,265,290,91.4,69,106,65.1,6,5,0,0,0,0,1,1,1,0,0,0,0,0,350,1627,939,8,4,0,5,1,448,12,2,1,50,1,50,10,9,6,4,0,2,6,33.3,4,6,1,5,14,24,55,0,28,13,68.3,DF
2212,Luca Martinelli,"2,610",3,28,85.4,58.1,54.5,957,47,24,2018-2019,29,it ITA,Foggia,it Serie B,29,"2,610",29,29,0,2,0,0,0,0,0,0,0,1287,1507,85.4,7,95,5,3,126,27132,10602,363,399,91,727,797,91.2,187,284,65.8,28,23,2,0,0,1,2,3,2,1,0,0,0,0,957,6001,3850,26,12,0,12,7,1051,14,11,6,54.5,5,45.5,24,16,16,7,1,9,21,42.9,12,35,23,12,47,71,160,2,54,39,58.1,DF
2213,Anderson Lima,976,3,58,74.5,29.4,62.1,314,6,13,2018-2019,18,br BRA,Salernitana,it Serie B,17,976,10.8,10,7,17,2,1,3,2,0,0,0,234,314,74.5,21,44,11,1,56,3849,1418,127,149,85.2,79,93,84.9,23,53,43.4,58,31,3,7,3,14,0,3,2,0,0,1,0,0,314,1756,768,16,21,2,32,28,349,58,29,18,62.1,11,37.9,13,11,4,9,0,3,13,23.1,10,8,0,8,6,19,3,0,5,12,29.4,"MF,FW"
