,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2401,Kingsley Michael,"1,680",4,47,79.5,37.1,52.9,574,13,34,2018-2019,18,ng NGA,Perugia,it Serie B,25,"1,680",18.7,18,7,5,1,2,3,1,0,0,0,593,746,79.5,16,75,18,6,101,9681,3116,294,332,88.6,232,274,84.7,46,69,66.7,47,37,3,3,1,2,1,4,4,0,0,0,0,0,574,2943,1389,41,29,10,51,22,658,119,34,18,52.9,16,47.1,34,26,19,11,4,7,16,43.8,9,26,4,22,13,47,8,0,13,22,37.1,MF
2402,Alberto Gerbo,"1,996",6,68,71.5,51.6,61.5,760,25,67,2018-2019,28,it ITA,Foggia,it Serie B,26,"1,996",22.2,23,3,4,3,2,5,3,0,0,0,761,1065,71.5,24,71,35,15,99,13241,3947,359,426,84.3,293,397,73.8,80,163,49.1,68,49,2,3,5,6,3,6,5,0,0,1,0,0,760,4656,2492,54,42,5,34,31,905,117,39,24,61.5,15,38.5,67,49,35,21,11,25,62,40.3,37,32,5,27,25,92,27,0,16,15,51.6,"MF,DF"
2403,Daniele Croce,"1,153",2,30,84.9,27.3,68.4,396,18,26,2018-2019,35,it ITA,Cremonese,it Serie B,21,"1,153",12.8,14,7,10,2,1,3,2,0,0,0,405,477,84.9,14,55,14,5,72,5910,1911,251,270,93,127,158,80.4,21,32,65.6,30,28,0,0,0,1,1,2,2,0,0,0,0,0,396,2734,1545,47,35,2,30,22,404,37,19,13,68.4,6,31.6,26,18,16,9,1,11,27,40.7,16,14,1,13,18,44,17,0,3,8,27.3,MF
2404,GastÃ³n Brugman,"2,771",17,128,81.2,73.9,71.4,1320,54,88,2018-2019,25,uy URU,Pescara,it Serie B,31,"2,771",30.8,31,0,0,4,6,10,4,0,0,0,1705,2099,81.2,51,204,51,4,290,33943,10681,664,749,88.7,728,850,85.6,289,428,67.5,128,91,18,2,7,5,5,17,12,2,0,2,0,1,1320,6139,3834,75,58,12,38,27,1576,92,42,30,71.4,12,28.6,88,62,42,37,9,25,66,37.9,41,48,10,38,54,142,28,0,17,6,73.9,MF
2405,Antonino Ragusa,639,1,25,71.7,18.2,36,231,8,19,2018-2019,28,it ITA,Hellas Verona,it Serie B,11,639,7.1,7,4,2,0,0,0,0,0,0,0,195,272,71.7,10,11,14,4,25,2911,913,111,127,87.4,67,86,77.9,12,30,40,25,14,0,3,5,2,1,1,1,0,0,0,0,0,231,1704,861,21,18,7,20,7,272,74,25,9,36,16,64,19,16,12,6,1,8,12,66.7,4,9,0,9,8,27,6,0,2,9,18.2,"FW,MF"
2406,Luca Marrone,"1,960",2,9,87.4,56.1,100,873,22,20,2018-2019,28,it ITA,Hellas Verona,it Serie B,23,"1,960",21.8,22,1,6,0,0,0,0,0,0,0,1151,1317,87.4,3,65,4,0,87,21841,9483,405,429,94.4,632,679,93.1,107,188,56.9,9,9,0,0,0,0,0,2,2,0,0,0,0,0,873,4485,2835,13,5,1,6,4,1034,3,2,2,100,0,0,20,14,13,7,0,7,14,50,7,19,16,3,22,42,100,0,32,25,56.1,DF
2407,Luca Vido,"2,106",6,90,71.5,33.3,70.4,603,6,23,2018-2019,21,it ITA,Perugia,it Serie B,32,"2,106",23.4,24,8,4,10,3,13,7,3,4,1,477,667,71.5,37,41,27,3,66,7199,1649,268,326,82.2,147,201,73.1,37,68,54.4,90,60,0,10,9,11,0,6,3,0,0,2,1,0,603,2972,1097,44,35,22,82,46,769,227,54,38,70.4,16,29.6,23,18,8,10,5,11,22,50,11,17,1,16,6,29,18,0,22,44,33.3,"FW,MF"
2408,Pasquale Mazzocchi,"2,083",5,38,79,52.6,58.2,810,26,35,2018-2019,23,it ITA,Perugia,it Serie B,31,"2,083",23.1,24,7,5,0,4,4,0,0,0,0,1015,1284,79,19,68,25,11,86,17433,5873,476,539,88.3,424,534,79.4,95,155,61.3,38,29,4,3,1,1,0,5,4,0,1,0,0,0,810,5151,2870,77,64,9,50,24,877,83,55,32,58.2,23,41.8,35,27,24,5,6,17,33,51.5,16,17,4,13,26,61,59,2,20,18,52.6,DF
2409,Luca Tremolada,739,9,54,68,37.5,18.2,306,3,7,2018-2019,26,it ITA,Brescia,it Serie B,18,739,8.2,7,11,10,4,5,9,4,0,0,0,327,481,68,29,53,26,4,64,5224,2061,178,214,83.2,93,145,64.1,36,81,44.4,54,44,8,0,1,1,0,9,9,0,0,0,0,0,306,1209,405,9,9,4,24,10,418,59,11,2,18.2,9,81.8,7,5,1,5,1,2,4,50,2,4,0,4,3,10,0,0,3,5,37.5,"MF,FW"
