,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
401,Wakaso,0,"1,098",2017-2018,27,gh GHA,Alavés,es La Liga,21,"1,098",12.2,12,9,11,0,1,1,0,0,0,0,MF
402,Jozabed,0,"1,473",2017-2018,26,es ESP,Celta Vigo,es La Liga,24,"1,473",16.4,18,6,13,0,4,4,0,0,0,0,MF
403,Jefferson Lerma,0,"2,135",2017-2018,22,co COL,Levante,es La Liga,26,"2,135",23.7,25,1,0,0,1,1,0,0,0,0,MF
404,Alberto Bueno,0,226,2017-2018,29,es ESP,Málaga,es La Liga,11,226,2.5,1,10,9,0,0,0,0,0,0,0,"MF,FW"
405,Juanfran,0,"3,057",2017-2018,28,es ESP,La Coruña,es La Liga,35,"3,057",34,34,1,2,0,1,1,0,0,0,0,DF
406,Gerard Valentín,0,158,2017-2018,24,es ESP,La Coruña,es La Liga,3,158,1.8,2,1,5,0,0,0,0,0,0,0,"DF,FW"
407,Roberto Soriano,0,"1,139",2017-2018,26,it ITA,Villarreal,es La Liga,22,"1,139",12.7,11,11,2,0,0,0,0,0,0,0,"MF,FW"
408,Toni Moya,0,3,2017-2018,19,es ESP,Atlético Madrid,es La Liga,1,3,0,0,1,0,0,0,0,0,0,0,0,MF
409,Ferrán Torres,0,311,2017-2018,17,es ESP,Valencia,es La Liga,13,311,3.5,2,11,8,0,1,1,0,0,0,0,MF
410,Raphaël Varane,0,"2,322",2017-2018,24,fr FRA,Real Madrid,es La Liga,27,"2,322",25.8,27,0,3,0,1,1,0,0,0,0,DF
411,Bojan Krkić,0,441,2017-2018,26,es ESP,Alavés,es La Liga,13,441,4.9,4,9,6,0,0,0,0,0,0,0,"FW,MF"
412,Naldo,0,921,2017-2018,28,br BRA,Espanyol,es La Liga,11,921,10.2,10,1,18,0,0,0,0,0,0,0,DF
413,Mehdi Lacen,0,"1,118",2017-2018,33,dz ALG,2 Teams,es La Liga,19,"1,118",12.4,12,7,3,0,0,0,0,0,0,0,MF
414,Aitor Ruibal,0,9,2017-2018,21,es ESP,Betis,es La Liga,2,9,0.1,0,2,2,0,0,0,0,0,0,0,MF
415,Pedro López Muñoz,0,"1,594",2017-2018,33,es ESP,Levante,es La Liga,21,"1,594",17.7,18,3,13,0,0,0,0,0,0,0,DF
416,Víctor López,0,60,2017-2018,20,es ESP,Alavés,es La Liga,1,60,0.7,1,0,1,0,1,1,0,0,0,0,MF
417,Javier Ontiveros,0,391,2017-2018,19,es ESP,Málaga,es La Liga,12,391,4.3,1,11,2,0,0,0,0,0,0,0,"MF,FW"
418,Steve Aldo One,0,90,2017-2018,22,cm CMR,La Coruña,es La Liga,1,90,1,1,0,1,0,0,0,0,0,0,0,DF
419,Paulo Oliveira,0,"2,214",2017-2018,25,pt POR,Eibar,es La Liga,26,"2,214",24.6,25,1,7,0,0,0,0,0,0,0,DF
420,Nicolás Pareja,0,405,2017-2018,33,ar ARG,Sevilla,es La Liga,5,405,4.5,5,0,7,0,0,0,0,0,0,0,DF
421,Óscar Duarte,0,990,2017-2018,28,cr CRC,Espanyol,es La Liga,11,990,11,11,0,5,0,0,0,0,0,0,0,DF
422,Iván Rodríguez,0,20,2017-2018,21,es ESP,Málaga,es La Liga,1,20,0.2,0,1,3,0,0,0,0,0,0,0,DF
423,Jaime Sierra Mateos,0,28,2017-2018,19,es ESP,Leganés,es La Liga,2,28,0.3,0,2,1,0,0,0,0,0,0,0,"FW,MF"
424,Maxime Lestienne,0,669,2017-2018,25,be BEL,Málaga,es La Liga,12,669,7.4,8,4,2,0,1,1,0,0,0,0,MF
425,Ezequiel Garay,0,"2,028",2017-2018,30,ar ARG,Valencia,es La Liga,24,"2,028",22.5,23,1,3,0,0,0,0,0,0,0,DF
426,Raúl Navas,0,"1,791",2017-2018,29,es ESP,Real Sociedad,es La Liga,20,"1,791",19.9,20,0,4,0,1,1,0,0,0,0,DF
427,Alberto Aquilani,0,"1,297",2017-2018,33,it ITA,Las Palmas,es La Liga,21,"1,297",14.4,15,6,11,0,0,0,0,0,0,0,MF
428,Víctor Sánchez,0,"2,457",2017-2018,29,es ESP,Espanyol,es La Liga,30,"2,457",27.3,29,1,2,0,2,2,0,0,0,0,"MF,DF"
429,Beñat Etxebarria,0,"1,120",2017-2018,30,es ESP,Athletic Club,es La Liga,24,"1,120",12.4,12,12,9,0,2,2,0,0,0,0,MF
430,José Luis Gayà,0,"2,916",2017-2018,22,es ESP,Valencia,es La Liga,34,"2,916",32.4,33,1,2,0,3,3,0,0,0,0,DF
431,Sergio Escudero,0,"2,332",2017-2018,27,es ESP,Sevilla,es La Liga,27,"2,332",25.9,26,1,2,0,2,2,0,0,0,0,DF
432,Jeison Murillo,0,"1,374",2017-2018,25,co COL,Valencia,es La Liga,17,"1,374",15.3,15,2,7,0,0,0,0,0,0,0,DF
433,Imanol Sarriegi,0,41,2017-2018,22,es ESP,Eibar,es La Liga,3,41,0.5,0,3,2,0,0,0,0,0,0,0,"MF,FW"
434,Oghenekaro Etebo,0,"1,215",2017-2018,21,ng NGA,Las Palmas,es La Liga,14,"1,215",13.5,14,0,0,0,1,1,0,0,0,0,MF
435,Nemanja Radoja,0,"1,105",2017-2018,24,rs SRB,Celta Vigo,es La Liga,26,"1,105",12.3,11,15,4,0,1,1,0,0,0,0,MF
436,Gabriel Paulista,0,"2,584",2017-2018,26,br BRA,Valencia,es La Liga,30,"2,584",28.7,29,1,3,0,0,0,0,0,0,0,DF
437,Adrián Marín,0,233,2017-2018,20,es ESP,Villarreal,es La Liga,3,233,2.6,2,1,10,0,0,0,0,0,0,0,DF
438,Dídac Vilà,0,731,2017-2018,28,es ESP,Espanyol,es La Liga,14,731,8.1,7,7,11,0,0,0,0,0,0,0,"DF,MF"
439,Aly Abeid,0,77,2017-2018,19,mr MTN,Levante,es La Liga,1,77,0.9,1,0,1,0,0,0,0,0,0,0,DF
440,Álex Mula,0,561,2017-2018,21,es ESP,Málaga,es La Liga,11,561,6.2,7,4,4,0,0,0,0,0,0,0,"FW,MF"
441,João Cancelo,0,90,2017-2018,23,pt POR,Valencia,es La Liga,1,90,1,1,0,0,0,0,0,0,0,0,0,MF
442,Jonás Ramalho,0,"2,298",2017-2018,24,es ESP,Girona,es La Liga,26,"2,298",25.5,25,1,9,0,0,0,0,0,0,0,DF
443,Gabriel Mercado,0,"2,118",2017-2018,30,ar ARG,Sevilla,es La Liga,26,"2,118",23.5,25,1,3,0,1,1,0,0,0,0,DF
444,Rober,0,"1,909",2017-2018,22,es ESP,Levante,es La Liga,25,"1,909",21.2,19,6,7,0,0,0,0,0,0,0,"DF,MF"
445,Jairo Samperio,0,556,2017-2018,24,es ESP,Las Palmas,es La Liga,11,556,6.2,6,5,4,0,0,0,0,0,0,0,"FW,MF"
446,Alberto López,0,45,2017-2018,22,es ESP,Málaga,es La Liga,1,45,0.5,0,1,0,0,0,0,0,0,0,0,DF
447,Jesús Vallejo,0,630,2017-2018,20,es ESP,Real Madrid,es La Liga,7,630,7,7,0,9,0,0,0,0,0,0,0,DF
448,Lucas Hernández,0,"2,116",2017-2018,21,fr FRA,Atlético Madrid,es La Liga,27,"2,116",23.5,24,3,7,0,1,1,0,0,0,0,DF
449,Chuca,0,88,2017-2018,20,es ESP,Villarreal,es La Liga,4,88,1,1,3,5,0,0,0,0,0,0,0,MF
450,Ager Aketxe,0,37,2017-2018,23,es ESP,Athletic Club,es La Liga,3,37,0.4,0,3,6,0,0,0,0,0,0,0,MF
451,Pedro Mosquera,0,"1,396",2017-2018,29,es ESP,La Coruña,es La Liga,23,"1,396",15.5,16,7,7,0,2,2,0,0,0,0,MF
452,Rúben Vezo,0,"1,555",2017-2018,23,pt POR,Valencia,es La Liga,19,"1,555",17.3,17,2,8,0,0,0,0,0,0,0,DF
453,Saša Lukić,0,994,2017-2018,20,rs SRB,Levante,es La Liga,16,994,11,12,4,10,0,1,1,0,0,0,0,MF
454,Imanol Agirretxe,0,232,2017-2018,30,es ESP,Real Sociedad,es La Liga,11,232,2.6,2,9,5,0,0,0,0,0,0,0,FW
455,Rúben Semedo,0,231,2017-2018,23,pt POR,Villarreal,es La Liga,4,231,2.6,3,1,3,0,0,0,0,0,0,0,"DF,MF"
456,Hugo Mallo,0,"2,999",2017-2018,26,es ESP,Celta Vigo,es La Liga,34,"2,999",33.3,34,0,0,0,5,5,0,0,0,0,DF
457,Darío Poveda,0,2,2017-2018,20,es ESP,Villarreal,es La Liga,1,2,0,0,1,0,0,0,0,0,0,0,0,MF
458,Alejandro Arribas,0,270,2017-2018,28,es ESP,La Coruña,es La Liga,3,270,3,3,0,7,0,0,0,0,0,0,0,DF
459,Juan Cruz,0,7,2017-2018,17,es ESP,Málaga,es La Liga,1,7,0.1,0,1,0,0,0,0,0,0,0,0,FW
460,Vicente Gómez,0,"1,525",2017-2018,28,es ESP,Las Palmas,es La Liga,25,"1,525",16.9,17,8,8,0,0,0,0,0,0,0,MF
461,Juanfran,0,"1,307",2017-2018,32,es ESP,Atlético Madrid,es La Liga,17,"1,307",14.5,15,2,13,0,1,1,0,0,0,0,DF
462,Nélson Semedo,0,"1,493",2017-2018,23,pt POR,Barcelona,es La Liga,24,"1,493",16.6,17,7,6,0,0,0,0,0,0,0,DF
463,Thomas Vermaelen,0,"1,018",2017-2018,31,be BEL,Barcelona,es La Liga,14,"1,018",11.3,12,2,9,0,1,1,0,0,0,0,DF
464,Mario González,0,18,2017-2018,21,es ESP,Villarreal,es La Liga,2,18,0.2,0,2,0,0,0,0,0,0,0,0,FW
465,Olarenwaju Kayode,0,383,2017-2018,24,ng NGA,Girona,es La Liga,12,383,4.3,2,10,5,0,0,0,0,0,0,0,"FW,MF"
466,Lucas Boyé,0,276,2017-2018,21,ar ARG,Celta Vigo,es La Liga,13,276,3.1,2,11,2,0,0,0,0,0,0,0,"FW,MF"
467,Theo Hernández,0,963,2017-2018,19,fr FRA,Real Madrid,es La Liga,13,963,10.7,10,3,21,0,0,0,0,0,0,0,DF
468,Toño,0,"1,080",2017-2018,27,es ESP,Levante,es La Liga,12,"1,080",12,12,0,7,0,1,1,0,0,0,0,DF
469,Aleksandar Katai,0,55,2017-2018,26,rs SRB,Alavés,es La Liga,3,55,0.6,0,3,2,0,0,0,0,0,0,0,"MF,DF"
470,Pedro León,0,929,2017-2018,30,es ESP,Eibar,es La Liga,12,929,10.3,10,2,1,0,3,3,0,0,0,0,"FW,MF"
471,Jordi Amat,0,"2,045",2017-2018,25,id IDN,Betis,es La Liga,25,"2,045",22.7,24,1,9,0,0,0,0,0,0,0,"DF,MF"
472,Juanpi,0,610,2017-2018,23,ve VEN,Málaga,es La Liga,16,610,6.8,5,11,5,0,2,2,0,0,0,0,"MF,FW"
473,Bebé,0,365,2017-2018,27,cv CPV,Eibar,es La Liga,9,365,4.1,3,6,10,0,1,1,0,0,0,0,"MF,FW"
474,Guillermo Maripán,0,"1,528",2017-2018,23,cl CHI,Alavés,es La Liga,19,"1,528",17,17,2,13,0,0,0,0,0,0,0,DF
475,Carlos Martínez,0,3,2017-2018,31,es ESP,Real Sociedad,es La Liga,1,3,0,0,1,2,0,0,0,0,0,0,0,DF
476,David Zurutuza,0,"2,242",2017-2018,31,es ESP,Real Sociedad,es La Liga,31,"2,242",24.9,26,5,1,0,2,2,0,0,0,0,MF
477,Borja Lasso,0,53,2017-2018,23,es ESP,Sevilla,es La Liga,1,53,0.6,1,0,1,0,0,0,0,0,0,0,MF
478,Marc Roca,0,264,2017-2018,20,es ESP,Espanyol,es La Liga,8,264,2.9,2,6,17,0,0,0,0,0,0,0,MF
479,Javi Castellano,0,"1,566",2017-2018,29,es ESP,Las Palmas,es La Liga,23,"1,566",17.4,17,6,9,0,0,0,0,0,0,0,MF
480,Benito Ramírez,0,166,2017-2018,22,es ESP,Las Palmas,es La Liga,4,166,1.8,1,3,3,0,0,0,0,0,0,0,"FW,DF"
481,Mauricio Lemos,0,"1,261",2017-2018,21,uy URU,Las Palmas,es La Liga,16,"1,261",14,14,2,2,0,0,0,0,0,0,0,"DF,MF"
482,David Juncà,0,901,2017-2018,23,es ESP,Eibar,es La Liga,15,901,10,10,5,12,0,2,2,0,0,0,0,DF
483,Mikel Rico,0,"1,171",2017-2018,32,es ESP,Athletic Club,es La Liga,17,"1,171",13,13,4,6,0,0,0,0,0,0,0,MF
484,Álex Robles,0,90,2017-2018,18,es ESP,Málaga,es La Liga,1,90,1,1,0,1,0,0,0,0,0,0,0,DF
485,Antonio Rukavina,0,"1,272",2017-2018,33,rs SRB,Villarreal,es La Liga,17,"1,272",14.1,14,3,18,0,0,0,0,0,0,0,DF
486,Sulley Muntari,0,405,2017-2018,32,gh GHA,La Coruña,es La Liga,8,405,4.5,6,2,2,0,0,0,0,0,0,0,MF
487,Stanislav Lobotka,0,"3,061",2017-2018,22,sk SVK,Celta Vigo,es La Liga,38,"3,061",34,34,4,0,0,0,0,0,0,0,0,MF
488,Hernán Pérez,0,516,2017-2018,28,py PAR,2 Teams,es La Liga,14,516,5.7,5,9,9,0,0,0,0,0,0,0,MF
489,Daniel Carriço,0,460,2017-2018,28,pt POR,Sevilla,es La Liga,6,460,5.1,5,1,4,0,0,0,0,0,0,0,DF
490,Ezequiel Muñoz,0,"1,407",2017-2018,26,ar ARG,Leganés,es La Liga,19,"1,407",15.6,17,2,3,0,1,1,0,0,0,0,DF
491,Gabriel Peñalba,0,570,2017-2018,32,ar ARG,Las Palmas,es La Liga,7,570,6.3,7,0,0,0,0,0,0,0,0,0,MF
492,Erick Cabaco,0,"1,040",2017-2018,22,uy URU,Levante,es La Liga,14,"1,040",11.6,12,2,6,0,0,0,0,0,0,0,DF
493,Juankar,0,784,2017-2018,27,es ESP,Málaga,es La Liga,10,784,8.7,9,1,0,0,0,0,0,0,0,0,DF
494,Enric Saborit,0,"1,428",2017-2018,25,es ESP,Athletic Club,es La Liga,19,"1,428",15.9,16,3,3,0,1,1,0,0,0,0,DF
495,Zakaria Bakkali,0,909,2017-2018,21,be BEL,La Coruña,es La Liga,23,909,10.1,10,13,6,0,0,0,0,0,0,0,"FW,MF"
496,Mauro dos Santos,0,983,2017-2018,28,ar ARG,Leganés,es La Liga,14,983,10.9,10,4,13,0,0,0,0,0,0,0,DF
497,Antonio Luna,0,"2,021",2017-2018,26,es ESP,Levante,es La Liga,23,"2,021",22.5,22,1,10,0,2,2,0,0,0,0,DF
498,Sergio Mora,0,813,2017-2018,37,es ESP,Getafe,es La Liga,26,813,9,6,20,8,0,0,0,0,0,0,0,MF
499,Bruno González,0,"1,540",2017-2018,27,es ESP,Getafe,es La Liga,20,"1,540",17.1,17,3,15,0,0,0,0,0,0,0,DF
500,Sergio Arribas,0,23,2017-2018,22,es ESP,Leganés,es La Liga,1,23,0.3,0,1,0,0,0,0,0,0,0,0,MF
501,Isaac Success,0,492,2017-2018,21,ng NGA,Málaga,es La Liga,9,492,5.5,7,2,3,0,1,1,0,0,0,0,"MF,FW"
502,Carlos Vigaray,0,895,2017-2018,22,es ESP,Alavés,es La Liga,12,895,9.9,9,3,1,0,0,0,0,0,0,0,DF
503,Stefan Savić,0,"2,299",2017-2018,26,me MNE,Atlético Madrid,es La Liga,27,"2,299",25.5,26,1,4,0,0,0,0,0,0,0,DF
504,Jefferson Montero,0,58,2017-2018,27,ec ECU,Getafe,es La Liga,4,58,0.6,0,4,3,0,0,0,0,0,0,0,"MF,FW"
505,Diego Godín,0,"2,554",2017-2018,31,uy URU,Atlético Madrid,es La Liga,30,"2,554",28.4,28,2,5,0,0,0,0,0,0,0,DF
506,Andoni López,0,90,2017-2018,21,es ESP,Athletic Club,es La Liga,1,90,1,1,0,0,0,0,0,0,0,0,0,DF
507,Javi López,0,966,2017-2018,31,es ESP,Espanyol,es La Liga,14,966,10.7,12,2,8,0,0,0,0,0,0,0,DF
