,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1201,Gaetano Castrovilli,"2,332",10,61,75.5,25,46.2,649,34,33,2020-2021,23,it ITA,Fiorentina,it Serie A,34,"2,332",25.9,29,5,1,5,3,8,5,0,0,0,573,759,75.5,18,56,33,8,108,8905,2696,342,398,85.9,150,195,76.9,55,85,64.7,61,47,0,1,0,13,0,10,8,0,1,0,1,0,649,4182,2265,74,54,11,67,51,724,124,65,30,46.2,35,53.8,33,19,15,11,7,11,42,26.2,31,25,2,23,34,67,14,0,13,39,25,MF
1202,Francesco Magnanelli,440,0,8,85.7,18.8,100,240,13,7,2020-2021,35,it ITA,Sassuolo,it Serie A,10,440,4.9,7,3,21,0,0,0,0,0,0,0,361,421,85.7,4,39,1,0,33,6066,1587,169,184,91.8,145,166,87.3,34,47,72.3,8,7,1,0,0,0,0,0,0,0,0,0,0,0,240,846,395,2,5,0,6,0,337,6,1,1,100,0,0,7,5,2,5,0,3,10,30,7,6,2,4,13,20,10,0,3,13,18.8,MF
1203,Mattia Bani,"2,066",2,12,86.7,55.5,0,812,60,30,2020-2021,26,it ITA,3 Teams,it Serie A,26,"2,066",23,24,2,10,0,0,0,0,0,0,0,1076,1241,86.7,4,37,4,2,47,21746,7550,309,350,88.3,618,656,94.2,137,203,67.5,12,10,0,0,1,0,1,2,1,0,0,1,0,0,812,3850,1909,6,5,1,5,6,976,8,1,0,0,1,100,30,16,20,9,1,9,20,45,11,26,17,9,60,90,94,0,66,53,55.5,DF
1204,Kevin Lasagna,"2,370",5,50,68.6,34.1,39.4,417,7,13,2020-2021,27,it ITA,2 Teams,it Serie A,36,"2,370",26.3,26,10,1,4,1,5,4,0,0,0,324,472,68.6,22,23,14,2,42,4268,767,213,267,79.8,68,106,64.2,15,25,60,50,33,0,3,9,5,0,5,2,0,2,0,1,0,417,2497,1013,48,27,33,81,30,532,179,33,13,39.4,19,57.6,13,4,2,8,3,4,19,21.1,15,23,1,22,7,20,18,0,44,85,34.1,FW
1205,Andrey Galabinov,430,2,6,70.9,34.5,100,61,0,2,2020-2021,31,bg BUL,Spezia,it Serie A,12,430,4.8,4,8,10,3,1,4,3,0,1,1,73,103,70.9,3,3,3,0,10,1090,148,38,49,77.6,23,36,63.9,6,8,75,6,6,0,0,0,0,0,2,2,0,0,0,0,0,61,242,96,3,4,2,9,17,104,18,2,2,100,0,0,2,1,1,1,0,1,3,33.3,2,2,0,2,0,2,5,0,10,19,34.5,FW
1206,Mitchell Dijks,"1,481",0,19,75.8,48.1,33.3,517,17,21,2020-2021,27,nl NED,Bologna,it Serie A,20,"1,481",16.5,18,2,1,0,0,0,0,0,0,0,602,794,75.8,6,41,4,2,59,8969,4150,332,385,86.2,223,290,76.9,26,65,40,19,14,2,0,0,1,2,0,0,0,0,0,0,0,517,3024,1611,41,29,8,17,7,587,64,57,19,33.3,38,66.7,21,14,15,5,1,12,21,57.1,9,17,2,15,17,38,35,0,13,14,48.1,DF
1207,Antonio Sanabria,978,2,20,75,43.3,52.4,224,5,8,2020-2021,24,py PAR,Torino,it Serie A,14,978,10.9,12,2,1,5,1,6,5,0,0,0,195,260,75,7,8,8,1,20,2738,388,112,144,77.8,53,66,80.3,14,18,77.8,20,17,0,0,1,2,0,2,2,0,0,0,0,0,224,1164,321,11,12,4,29,19,286,48,21,11,52.4,10,47.6,8,3,0,4,4,2,9,22.2,7,5,0,5,5,13,8,0,29,38,43.3,FW
1208,Giorgos Kyriakopoulos,"1,456",1,35,81.6,51.5,63.6,682,15,35,2020-2021,24,gr GRE,Sassuolo,it Serie A,23,"1,456",16.2,16,7,15,1,0,1,1,0,0,0,827,1013,81.6,13,46,16,7,59,12272,3769,471,517,91.1,298,364,81.9,41,82,50,35,27,0,5,2,1,0,1,1,0,0,0,0,0,682,3908,2179,58,45,8,23,19,822,116,44,28,63.6,16,36.4,35,18,17,12,6,8,28,28.6,20,16,5,11,15,50,42,0,17,16,51.5,DF
1209,Juan Cuadrado,"2,175",16,116,82,36.4,66.2,1217,43,43,2020-2021,32,co COL,Juventus,it Serie A,30,"2,175",24.2,26,4,0,2,10,12,1,1,1,0,1466,1788,82,60,94,35,8,132,26948,7280,621,685,90.7,661,743,89,168,290,57.9,116,72,25,9,2,7,1,16,9,4,1,0,2,0,1217,6466,4037,93,68,37,47,20,1492,217,68,45,66.2,23,33.8,43,25,22,15,6,29,60,48.3,31,16,2,14,43,86,22,2,12,21,36.4,"DF,MF"
