,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1401,Raheem Sterling,"2,536",15,107,84.7,30,54.1,1037,15,21,2020-2021,25,eng ENG,Manchester City,eng Premier League,31,"2,536",28.2,28,3,5,10,7,17,10,0,1,1,966,1141,84.7,37,45,27,1,67,11107,1934,689,748,92.1,187,222,84.2,17,30,56.7,107,76,0,14,8,9,0,15,9,0,3,2,1,0,1037,6339,3294,129,73,81,62,83,1237,351,122,66,54.1,56,45.9,21,10,5,12,4,5,12,41.7,7,15,0,15,15,36,4,0,9,21,30,FW
1402,Raúl Jiménez,823,4,20,78.1,43.8,47.6,233,8,3,2020-2021,29,mx MEX,Wolves,eng Premier League,10,823,9.1,10,0,0,4,0,4,4,0,0,0,207,265,78.1,5,20,7,1,26,2947,540,114,135,84.4,51,67,76.1,18,23,78.3,20,9,0,4,4,2,1,4,1,0,1,2,0,0,233,1335,657,23,12,7,32,18,303,46,21,10,47.6,11,52.4,3,2,1,2,0,0,7,0,7,2,0,2,8,11,12,0,14,18,43.8,FW
1403,John Fleck,"2,575",3,72,78,37.5,55.6,768,28,51,2020-2021,28,sct SCO,Sheffield Utd,eng Premier League,31,"2,575",28.6,29,2,2,0,2,2,0,0,0,0,971,1245,78,33,110,22,5,151,14229,4533,540,593,91.1,296,364,81.3,70,172,40.7,72,51,15,2,2,2,0,3,2,1,0,0,0,0,768,4026,2160,54,48,5,30,24,933,62,54,30,55.6,24,44.4,51,33,28,18,5,26,83,31.3,57,26,4,22,28,79,12,1,12,20,37.5,MF
1404,Gabriel Jesus,"2,063",11,78,84,25.4,68.6,635,15,17,2020-2021,23,br BRA,Manchester City,eng Premier League,29,"2,063",22.9,22,7,1,9,4,13,9,0,0,0,631,751,84,30,18,13,1,41,7356,844,416,472,88.1,133,154,86.4,18,25,72,78,53,0,8,9,7,1,11,9,0,1,1,0,0,635,3677,1619,54,38,28,59,38,799,202,70,48,68.6,22,31.4,17,6,5,5,7,11,28,39.3,17,16,0,16,15,32,5,0,18,53,25.4,FW
1405,Marc Albrighton,"1,746",12,77,67.2,21.7,56.1,615,17,33,2020-2021,30,eng ENG,Leicester City,eng Premier League,31,"1,746",19.4,17,14,7,1,5,6,1,0,0,0,627,933,67.2,38,54,37,14,84,10197,3898,345,408,84.6,193,262,73.7,67,157,42.7,77,59,5,5,2,3,3,12,8,2,0,1,0,1,615,3494,1576,46,33,7,33,29,725,139,66,37,56.1,29,43.9,33,19,14,15,4,16,45,35.6,29,29,3,26,17,50,27,1,10,36,21.7,"DF,FW"
1406,Fred,"2,390",7,78,87,39.1,80,1227,45,81,2020-2021,27,br BRA,Manchester Utd,eng Premier League,30,"2,390",26.6,27,3,5,1,0,1,1,0,0,0,1590,1828,87,25,189,20,0,189,27917,7883,699,760,92,674,737,91.5,167,213,78.4,78,71,1,2,1,2,1,7,7,0,0,0,0,0,1227,5787,2712,31,33,1,29,30,1496,33,30,24,80,6,20,81,39,39,38,4,29,89,32.6,60,49,9,40,45,126,26,1,9,14,39.1,MF
1407,Jake Livermore,"1,242",1,9,70.4,41.4,40,195,16,33,2020-2021,30,eng ENG,West Brom,eng Premier League,18,"1,242",13.8,15,3,12,0,0,0,0,0,0,0,273,388,70.4,5,23,2,1,26,4417,1144,135,170,79.4,107,141,75.9,21,48,43.8,9,8,0,0,1,0,0,1,1,0,0,0,0,0,195,824,302,0,6,0,15,7,242,6,5,2,40,3,60,33,18,14,16,3,14,31,45.2,17,21,6,15,16,49,26,0,12,17,41.4,MF
1408,N'Golo Kanté,"2,146",1,50,85.9,37.8,68.4,982,59,79,2020-2021,29,fr FRA,Chelsea,eng Premier League,30,"2,146",23.8,24,6,2,0,2,2,0,0,0,0,1325,1542,85.9,22,96,12,1,116,20877,5242,639,716,89.2,519,579,89.6,94,126,74.6,50,47,0,2,1,0,0,1,1,0,0,0,0,0,982,4854,2356,38,41,2,48,15,1227,39,38,26,68.4,12,31.6,79,42,39,35,5,27,56,48.2,29,42,4,38,59,138,34,0,17,28,37.8,MF
1409,Sébastien Haller,937,0,16,63.7,49.3,69.2,176,5,14,2020-2021,26,ci CIV,West Ham,eng Premier League,16,937,10.4,10,6,0,3,0,3,3,0,0,0,158,248,63.7,10,15,5,1,19,2283,509,100,138,72.5,33,54,61.1,16,23,69.6,16,13,0,0,0,3,0,0,0,0,0,0,0,0,176,735,180,4,5,3,41,22,294,52,13,9,69.2,4,30.8,14,9,1,6,7,4,20,20,16,7,1,6,5,19,7,0,67,69,49.3,FW
