,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2001,Rodrigo De Paul,"3,189",14,184,70.6,12.5,58.3,1569,32,53,2018-2019,24,ar ARG,Udinese,it Serie A,36,"3,189",35.4,36,0,0,9,9,18,6,3,6,3,1289,1825,70.6,97,188,79,17,247,25826,8511,527,619,85.1,446,623,71.6,263,436,60.3,184,124,37,12,6,5,0,14,8,4,1,1,0,0,1569,12097,6533,186,144,21,87,65,1617,132,139,81,58.3,58,41.7,53,33,21,27,5,13,42,31,29,35,2,33,32,85,28,0,3,21,12.5,"MF,FW"
2002,Bryan Cristante,"2,425",9,71,80.6,60.2,68.9,822,29,63,2018-2019,23,it ITA,Roma,it Serie A,35,"2,425",26.9,26,9,1,4,3,7,4,0,0,0,1072,1330,80.6,28,145,18,3,182,18035,5844,536,619,86.6,386,455,84.8,111,168,66.1,71,61,1,2,5,1,1,9,7,0,0,2,0,0,822,4774,2309,39,46,2,28,34,1120,47,45,31,68.9,14,31.1,63,34,21,35,7,19,49,38.8,30,37,5,32,29,92,48,0,65,43,60.2,MF
2003,Nikola Maksimović,"1,375",1,18,92.8,42.4,57.1,625,28,20,2018-2019,26,rs SRB,Napoli,it Serie A,17,"1,375",15.3,15,2,17,0,0,0,0,0,0,0,812,875,92.8,4,33,2,0,53,14999,5446,302,319,94.7,415,434,95.6,79,98,80.6,18,17,0,0,0,0,1,1,1,0,0,0,0,0,625,3444,2012,6,6,0,6,2,680,3,7,4,57.1,3,42.9,20,13,14,6,0,6,12,50,6,16,10,6,28,48,56,1,25,34,42.4,DF
2004,Riccardo Gagliolo,"3,045",7,37,73.6,52.5,55.6,863,66,69,2018-2019,28,se SWE,Parma,it Serie A,34,"3,045",33.8,34,0,1,0,2,2,0,0,0,0,1014,1378,73.6,17,68,14,3,109,19286,8986,375,449,83.5,513,634,80.9,114,237,48.1,37,30,2,0,3,1,1,7,4,2,0,1,0,0,863,3920,2419,16,18,0,24,7,896,27,9,5,55.6,4,44.4,69,45,52,15,2,33,68,48.5,35,60,33,27,66,135,213,2,42,38,52.5,DF
2005,Krzysztof Piątek,"2,966",5,78,73.1,38.5,53.3,616,4,17,2018-2019,23,pl POL,2 Teams,it Serie A,37,"2,966",33,34,3,0,22,0,22,20,2,2,0,413,565,73.1,29,21,15,1,46,5944,887,237,291,81.4,119,163,73,29,44,65.9,78,47,0,5,13,13,0,5,1,0,0,1,3,0,616,2785,988,40,22,19,96,46,734,214,30,16,53.3,14,46.7,17,10,4,6,7,4,25,16,21,25,5,20,4,21,34,0,67,107,38.5,FW
2006,Cengiz Ünder,"1,375",12,73,72.2,29.4,48.8,515,13,6,2018-2019,21,tr TUR,Roma,it Serie A,26,"1,375",15.3,17,9,4,3,7,10,3,0,0,0,413,572,72.2,32,29,28,8,45,6466,1690,229,265,86.4,124,166,74.7,40,84,47.6,73,49,9,8,3,4,0,12,8,1,2,0,1,0,515,3592,1622,53,43,17,38,22,581,164,43,21,48.8,22,51.2,6,3,3,3,0,2,11,18.2,9,7,0,7,13,19,5,0,5,12,29.4,FW
2007,Hidde ter Avest,973,2,22,72.7,38.9,44.4,304,10,26,2018-2019,21,nl NED,Udinese,it Serie A,13,973,10.8,12,1,21,0,1,1,0,0,0,0,354,487,72.7,8,26,8,5,28,5223,2043,222,253,87.7,98,148,66.2,26,50,52,22,19,0,2,1,0,0,2,2,0,0,0,0,0,304,1273,673,13,10,1,8,6,333,37,9,4,44.4,5,55.6,26,14,17,6,3,14,20,70,6,14,3,11,10,36,39,1,7,11,38.9,"DF,FW"
2008,Timothy Castagne,"2,006",6,50,81.9,50,51.3,845,28,61,2018-2019,22,be BEL,Atalanta,it Serie A,28,"2,006",22.3,21,7,10,4,3,7,4,0,0,0,1016,1240,81.9,27,49,20,10,82,14255,4646,599,659,90.9,319,403,79.2,44,71,62,50,42,1,4,2,1,0,6,5,0,0,1,0,0,845,4487,2457,61,46,10,34,29,944,159,39,20,51.3,19,48.7,61,39,30,22,9,32,57,56.1,25,32,6,26,28,89,50,0,24,24,50,DF
2009,Marco Sau,613,3,17,84.7,15.4,37.5,190,1,4,2018-2019,30,it ITA,2 Teams,it Serie A,19,613,6.8,5,14,16,1,0,1,1,0,0,0,150,177,84.7,7,7,4,0,13,1924,171,95,101,94.1,39,47,83,4,7,57.1,17,12,1,0,1,3,0,3,1,0,0,0,2,0,190,1249,443,19,9,4,24,16,204,49,16,6,37.5,10,62.5,4,2,0,2,2,0,3,0,3,6,0,6,1,5,4,0,2,11,15.4,"MF,FW"
2010,Lukas Lerager,"1,122",0,26,73.8,44.3,66.7,213,18,34,2018-2019,25,dk DEN,Genoa,it Serie A,14,"1,122",12.5,13,1,2,1,0,1,1,0,0,0,305,413,73.8,18,29,13,5,44,4637,1399,152,186,81.7,108,141,76.6,20,40,50,26,22,0,1,0,3,0,0,0,0,0,0,0,0,213,873,418,11,8,1,5,11,296,26,6,4,66.7,2,33.3,34,18,12,20,2,13,42,31,29,11,1,10,18,52,12,0,27,34,44.3,MF
2011,Emanuele Giaccherini,"2,009",6,94,72.1,29.3,60.5,773,16,14,2018-2019,33,it ITA,Chievo,it Serie A,26,"2,009",22.3,22,4,1,3,1,4,2,1,2,1,796,1104,72.1,44,75,22,8,106,13257,3461,387,450,86,284,377,75.3,87,177,49.2,94,57,26,2,4,5,0,6,2,2,0,1,1,0,773,4627,2272,76,52,16,48,48,933,193,43,26,60.5,17,39.5,14,8,5,7,2,6,31,19.4,25,21,2,19,16,30,10,2,12,29,29.3,"MF,FW"
2012,Ignazio Abate,"1,302",1,23,82.5,61.9,40,646,18,34,2018-2019,31,it ITA,Milan,it Serie A,19,"1,302",14.5,15,4,19,0,0,0,0,0,0,0,763,925,82.5,7,69,11,5,88,13052,4961,352,375,93.9,342,403,84.9,60,114,52.6,23,23,0,0,0,0,0,1,1,0,0,0,0,0,646,2673,1487,27,13,4,8,2,695,43,10,4,40,6,60,34,19,16,13,5,14,22,63.6,8,19,6,13,18,52,50,0,13,8,61.9,DF
2013,Cristian Molinaro,"1,159",0,25,70.6,59.3,58.3,336,15,15,2018-2019,35,it ITA,Frosinone,it Serie A,14,"1,159",12.9,13,1,22,0,0,0,0,0,0,0,413,585,70.6,14,40,14,8,52,7546,3522,192,218,88.1,167,222,75.2,50,108,46.3,25,21,2,0,0,1,1,0,0,0,0,0,0,0,336,1932,1240,28,23,2,6,4,372,41,12,7,58.3,5,41.7,15,10,7,7,1,3,9,33.3,6,11,4,7,15,30,43,0,16,11,59.3,"DF,MF"
2014,Luca Siligardi,"1,639",7,55,62.1,34.1,56.5,460,15,30,2018-2019,30,it ITA,Parma,it Serie A,29,"1,639",18.2,19,10,4,1,2,3,1,0,0,0,325,523,62.1,18,32,11,7,34,5316,1781,175,226,77.4,91,152,59.9,40,82,48.8,55,25,12,8,4,5,1,7,2,2,0,0,3,0,460,3118,1162,40,26,7,40,42,490,99,62,35,56.5,27,43.5,30,20,10,13,7,8,23,34.8,15,19,3,16,15,45,11,0,14,27,34.1,FW
2015,Jakub Jankto,963,2,24,77.5,30.8,20,369,9,7,2018-2019,22,cz CZE,Sampdoria,it Serie A,25,963,10.7,7,18,12,0,0,0,0,0,0,0,433,559,77.5,6,30,17,7,52,6473,1706,243,278,87.4,161,201,80.1,20,44,45.5,24,19,1,0,4,0,0,2,1,0,0,1,0,0,369,1964,1202,32,25,4,8,5,475,80,5,1,20,4,80,7,4,5,2,0,4,15,26.7,11,18,2,16,9,16,16,0,4,9,30.8,MF
2016,Radja Nainggolan,"1,967",6,85,81.3,37.2,67.5,828,8,35,2018-2019,30,be BEL,Inter,it Serie A,29,"1,967",21.9,22,7,2,6,3,9,6,0,0,0,824,1013,81.3,40,61,37,8,135,13302,2730,423,467,90.6,281,348,80.7,80,117,68.4,85,68,1,4,7,2,3,6,4,0,1,0,1,0,828,4152,1974,51,55,7,54,45,980,145,40,27,67.5,13,32.5,35,26,7,20,8,10,24,41.7,14,17,2,15,8,43,5,0,16,27,37.2,MF
2017,Federico Di Francesco,"1,074",6,28,81.7,28.6,59.1,336,5,10,2018-2019,24,it ITA,Sassuolo,it Serie A,19,"1,074",11.9,14,5,18,2,2,4,2,0,0,0,318,389,81.7,10,11,10,1,29,4249,972,194,220,88.2,83,98,84.7,15,23,65.2,28,25,0,0,0,3,0,6,5,0,0,0,1,0,336,2027,1090,38,25,11,26,19,380,106,22,13,59.1,9,40.9,10,6,3,4,3,4,7,57.1,3,12,1,11,5,15,5,0,4,10,28.6,"FW,MF"
2018,Camillo Ciano,"2,454",6,126,60.1,18.6,36.7,734,8,33,2018-2019,28,it ITA,Frosinone,it Serie A,33,"2,454",27.3,28,5,1,7,4,11,5,2,3,1,596,991,60.1,58,62,37,18,101,10651,3512,295,360,81.9,178,283,62.9,96,239,40.2,126,64,32,5,5,20,0,6,1,3,0,0,2,0,734,3678,1653,59,48,6,69,63,850,213,49,18,36.7,31,63.3,33,15,12,10,11,8,50,16,42,28,4,24,8,41,16,0,19,83,18.6,"FW,MF"
2019,Davide Calabria,"1,950",5,48,80.8,40,36.4,991,32,79,2018-2019,21,it ITA,Milan,it Serie A,26,"1,950",21.7,22,4,4,1,2,3,1,0,0,0,1200,1486,80.8,20,109,20,13,123,18984,7055,657,704,93.3,436,536,81.3,80,173,46.2,48,42,1,2,1,1,1,5,5,0,0,0,0,0,991,4710,2898,58,45,4,26,15,1123,124,33,12,36.4,21,63.6,79,51,58,16,5,37,67,55.2,30,33,1,32,32,111,78,1,12,18,40,DF
2020,Amin Younes,498,9,39,88.2,25,64.3,316,2,11,2018-2019,24,de GER,Napoli,it Serie A,12,498,5.5,6,6,6,3,2,5,3,0,0,0,285,323,88.2,9,30,6,0,37,3699,801,177,194,91.2,81,88,92,10,14,71.4,39,28,0,6,1,4,0,9,5,0,2,1,1,0,316,1746,819,19,18,15,9,8,336,66,28,18,64.3,10,35.7,11,6,3,6,2,3,6,50,3,7,0,7,2,13,0,0,1,3,25,"MF,FW"
2021,Giovanni Di Lorenzo,"3,330",12,82,76.9,50.7,45.2,1510,36,66,2018-2019,24,it ITA,Empoli,it Serie A,37,"3,330",37,37,0,0,5,3,8,5,0,0,0,1681,2186,76.9,39,151,71,14,241,25450,10834,941,1055,89.2,574,748,76.7,106,218,48.6,82,66,5,6,3,2,0,12,9,0,2,1,0,0,1510,7345,4149,83,72,12,41,44,1728,219,62,28,45.2,34,54.8,66,43,38,23,5,24,44,54.5,20,34,13,21,36,102,93,3,37,36,50.7,"DF,FW"
2022,Ola Aina,"2,160",5,57,73.1,58.6,49.2,658,39,54,2018-2019,21,ng NGA,Torino,it Serie A,30,"2,160",24,22,8,2,1,3,4,1,0,0,0,861,1178,73.1,25,53,30,11,97,13729,5830,465,525,88.6,268,395,67.8,88,159,55.3,57,37,6,7,1,4,2,5,3,1,0,0,1,0,658,4369,2412,62,56,6,35,23,761,96,61,30,49.2,31,50.8,54,36,32,20,2,23,48,47.9,25,30,3,27,39,93,59,2,41,29,58.6,DF
2023,Stipe Perica,480,1,8,67,45.2,25,82,0,5,2018-2019,23,hr CRO,Frosinone,it Serie A,7,480,5.3,6,1,7,0,0,0,0,0,0,0,63,94,67,0,9,0,0,11,931,171,31,44,70.5,25,34,73.5,3,5,60,8,4,0,0,2,2,0,1,0,0,0,0,1,0,82,339,87,3,3,1,13,8,116,28,4,1,25,3,75,5,3,2,2,1,1,3,33.3,2,3,1,2,0,5,4,0,19,23,45.2,FW
2024,Filip Helander,"1,713",0,10,78.9,65.4,80,430,14,42,2018-2019,25,se SWE,Bologna,it Serie A,20,"1,713",19,19,1,9,0,0,0,0,0,0,0,605,767,78.9,2,38,4,0,55,11498,4282,226,251,90,310,364,85.2,64,134,47.8,10,8,0,0,2,0,0,0,0,0,0,0,0,0,430,2327,1281,10,3,0,6,5,542,4,5,4,80,1,20,42,26,25,13,4,19,23,82.6,4,27,16,11,14,56,84,0,51,27,65.4,DF
2025,Jacob Rasmussen,"1,016",1,6,86.8,64.8,100,394,12,18,2018-2019,21,dk DEN,Empoli,it Serie A,14,"1,016",11.3,10,4,22,0,1,1,0,0,0,0,572,659,86.8,3,40,0,0,43,11330,4169,186,204,91.2,314,340,92.4,68,100,68,6,6,0,0,0,0,0,1,1,0,0,0,0,0,394,1710,1086,9,2,0,5,1,486,5,3,3,100,0,0,18,12,10,6,2,5,14,35.7,9,18,13,5,12,30,55,1,35,19,64.8,"DF,MF"
2026,Marten de Roon,"2,975",8,89,86.6,57.6,50,1545,53,102,2018-2019,27,nl NED,Atalanta,it Serie A,35,"2,975",33.1,34,1,0,2,3,5,1,1,1,0,1940,2239,86.6,31,251,31,6,254,33188,11114,914,1003,91.1,799,883,90.5,178,250,71.2,89,82,0,1,2,1,3,8,8,0,0,0,0,0,1545,6734,3548,33,46,2,19,13,1723,40,16,8,50,8,50,102,57,32,61,9,34,94,36.2,60,48,9,39,53,155,49,1,53,39,57.6,MF
2027,Luca Valzania,970,1,32,75.7,57.1,50,214,17,26,2018-2019,22,it ITA,2 Teams,it Serie A,15,970,10.8,12,3,23,2,1,3,2,0,0,0,218,288,75.7,11,21,4,2,29,3475,951,114,144,79.2,84,97,86.6,13,24,54.2,32,25,1,0,3,3,0,1,1,0,0,0,0,0,214,1157,572,15,15,2,19,6,232,34,16,8,50,8,50,26,16,9,13,4,16,38,42.1,22,18,0,18,17,43,8,1,12,9,57.1,MF
2028,Luka Krajnc,788,0,8,80.5,67.6,100,236,11,10,2018-2019,23,si SVN,Frosinone,it Serie A,9,788,8.8,9,0,25,0,0,0,0,0,0,0,305,379,80.5,1,15,1,1,27,5461,2207,123,138,89.1,155,178,87.1,25,51,49,8,4,0,1,1,1,1,0,0,0,0,0,0,0,236,982,551,6,2,0,0,0,299,1,3,3,100,0,0,10,8,6,3,1,5,6,83.3,1,11,3,8,11,21,42,0,25,12,67.6,DF
