,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2001,César Azpilicueta,"3,402",10,67,84.5,57.6,45.5,1605,43,105,2018-2019,28,es ESP,Chelsea,eng Premier League,38,"3,402",37.8,38,0,0,1,5,6,1,0,0,0,2494,2950,84.5,25,156,46,18,160,34344,11515,1557,1687,92.3,761,904,84.2,87,153,56.9,67,60,2,1,1,2,1,10,9,0,0,0,1,0,1605,5682,3081,46,64,9,33,9,2168,205,22,10,45.5,12,54.5,105,60,52,40,13,38,67,56.7,29,63,16,47,43,148,91,3,68,50,57.6,DF
2002,Sol Bamba,"2,474",2,18,68.9,68.4,70,289,82,74,2018-2019,33,ci CIV,Cardiff City,eng Premier League,28,"2,474",27.5,28,0,1,4,1,5,4,0,0,0,385,559,68.9,4,44,2,0,48,7809,3222,120,160,75,193,244,79.1,64,115,55.7,18,10,1,1,5,1,0,2,2,0,0,0,0,0,289,1565,702,6,5,0,20,11,245,2,20,14,70,6,30,74,42,44,30,0,31,55,56.4,24,72,32,40,82,156,181,3,93,43,68.4,DF
2003,Youri Tielemans,"1,086",6,39,83.1,52.6,66.7,517,5,17,2018-2019,21,be BEL,Leicester City,eng Premier League,13,"1,086",12.1,13,0,0,3,4,7,3,0,0,0,551,663,83.1,16,69,12,2,85,9505,2322,243,276,88,208,233,89.3,68,90,75.6,39,36,0,0,2,1,0,6,6,0,0,0,0,0,517,2028,1159,24,15,3,18,15,594,53,18,12,66.7,6,33.3,17,8,5,9,3,5,17,29.4,12,13,2,11,5,22,13,1,10,9,52.6,MF
2004,Arthur Masuaku,"1,759",1,35,79.9,51.2,72,670,36,57,2018-2019,24,cd COD,West Ham,eng Premier League,23,"1,759",19.5,19,4,12,0,1,1,0,0,0,0,880,1101,79.9,14,70,10,4,96,13634,5290,504,546,92.3,272,353,77.1,68,128,53.1,35,31,1,1,0,0,2,1,1,0,0,0,0,0,670,4724,2739,69,47,12,23,27,727,53,50,36,72,14,28,57,25,38,13,6,31,56,55.4,25,27,6,21,36,93,72,0,21,20,51.2,DF
2005,Dominic Calvert-Lewin,"1,784",5,35,60.6,43,53.8,417,7,13,2018-2019,21,eng ENG,Everton,eng Premier League,35,"1,784",19.8,19,16,2,6,2,8,6,0,0,0,266,439,60.6,12,23,7,1,31,3212,570,162,235,68.9,49,98,50,16,24,66.7,35,22,0,4,5,4,0,5,2,0,0,2,1,0,417,2307,736,32,25,11,67,42,551,136,39,21,53.8,18,46.2,13,7,3,3,7,7,15,46.7,8,16,3,13,7,20,19,0,110,146,43,FW
2006,Kevin Long,514,1,2,81.2,54.1,100,88,7,18,2018-2019,27,ie IRL,Burnley,eng Premier League,6,514,5.7,5,1,23,0,1,1,0,0,0,0,138,170,81.2,1,8,0,0,10,3100,1193,34,38,89.5,74,84,88.1,28,43,65.1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,88,465,212,1,3,2,0,1,113,0,1,1,100,0,0,18,10,13,5,0,7,17,41.2,10,7,5,2,7,25,35,1,20,17,54.1,DF
2007,Leander Dendoncker,"1,467",1,27,78.7,51.4,100,314,23,53,2018-2019,23,be BEL,Wolves,eng Premier League,19,"1,467",16.3,17,2,8,2,0,2,2,0,0,0,484,615,78.7,7,26,4,1,44,6802,1544,266,306,86.9,155,192,80.7,24,34,70.6,27,22,0,1,3,1,0,1,1,0,0,0,0,0,314,1366,550,15,10,5,17,7,477,31,12,12,100,0,0,53,26,25,25,3,16,47,34,31,35,6,29,23,76,34,1,56,53,51.4,MF
2008,Étienne Capoue,"2,944",7,42,83.9,56.3,76.2,1178,85,91,2018-2019,30,fr FRA,Watford,eng Premier League,33,"2,944",32.7,33,0,0,1,3,4,1,0,0,0,1480,1764,83.9,10,133,14,1,170,25515,7490,719,804,89.4,552,645,85.6,163,238,68.5,42,32,0,2,2,4,2,7,5,0,1,0,0,1,1178,4558,2184,17,27,1,18,20,1259,11,42,32,76.2,10,23.8,91,56,36,48,7,33,87,37.9,54,50,13,37,85,176,96,1,63,49,56.3,MF
2009,Elias Kachunga,"1,182",0,13,69.4,44.2,38.5,249,4,22,2018-2019,26,cd COD,Huddersfield,eng Premier League,20,"1,182",13.1,13,7,10,0,0,0,0,0,0,0,220,317,69.4,5,14,5,5,22,2864,574,135,172,78.5,55,78,70.5,12,22,54.5,13,9,0,1,2,1,0,0,0,0,0,0,0,0,249,1656,666,29,19,6,21,20,299,66,26,10,38.5,16,61.5,22,9,8,12,2,9,25,36,16,16,1,15,4,26,10,0,23,29,44.2,"FW,MF"
