,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2201,Jordan Ayew,"1,181",5,33,73.1,26.4,42.3,273,7,38,2018-2019,26,gh GHA,Crystal Palace,eng Premier League,20,"1,181",13.1,14,6,16,1,2,3,1,0,0,0,207,283,73.1,16,11,5,0,19,2618,485,133,156,85.3,46,65,70.8,7,15,46.7,33,21,0,1,5,4,2,5,3,0,0,1,0,1,273,1734,667,31,9,9,47,32,325,90,26,11,42.3,15,57.7,38,23,12,19,7,6,20,30,14,16,0,16,7,45,6,0,32,89,26.4,FW
2202,Davinson Sánchez,"1,942",2,14,89.8,57.8,33.3,1114,30,37,2018-2019,22,co COL,Tottenham,eng Premier League,23,"1,942",21.6,22,1,7,1,1,2,1,0,0,0,1297,1444,89.8,4,31,0,0,59,24668,7528,445,480,92.7,713,759,93.9,127,178,71.3,14,12,0,0,2,0,0,2,0,0,0,2,0,0,1114,4566,2286,5,2,0,8,2,1162,2,3,1,33.3,2,66.7,37,20,28,9,0,20,37,54.1,17,17,9,8,30,67,103,2,67,49,57.8,DF
2203,Florin Andone,881,1,13,66.5,33,24.3,210,3,10,2018-2019,25,ro ROU,Brighton,eng Premier League,23,881,9.8,8,15,5,3,0,3,3,0,0,0,113,170,66.5,2,3,1,1,4,1385,187,73,94,77.7,29,49,59.2,2,6,33.3,13,7,0,1,3,2,0,1,0,0,0,1,0,0,210,1186,368,13,11,11,48,33,237,62,37,9,24.3,28,75.7,10,2,3,4,3,1,6,16.7,5,9,1,8,3,13,12,0,36,73,33,FW
2204,Greg Cunningham,630,0,9,71.4,33.3,0,93,17,18,2018-2019,27,ie IRL,Cardiff City,eng Premier League,7,630,7,7,0,20,0,0,0,0,0,0,0,157,220,71.4,5,17,6,2,24,2545,1152,79,96,82.3,58,76,76.3,14,32,43.8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,93,445,223,4,4,0,6,1,115,9,1,0,0,1,100,18,7,11,4,3,9,16,56.3,7,9,3,6,17,35,16,1,4,8,33.3,DF
2205,Rachid Ghezzal,743,0,44,74.9,58.8,65.5,376,7,14,2018-2019,26,dz ALG,Leicester City,eng Premier League,19,743,8.3,8,11,7,1,0,1,1,0,0,0,353,471,74.9,16,16,17,6,40,5333,1363,197,234,84.2,88,124,71,36,63,57.1,44,32,6,3,2,1,0,0,0,0,0,0,0,0,376,2209,1174,36,29,9,22,21,408,77,29,19,65.5,10,34.5,14,5,3,7,4,3,18,16.7,15,10,1,9,7,21,4,1,10,7,58.8,"FW,MF"
2206,David Brooks,"2,261",14,79,71.2,16.2,37.5,847,24,37,2018-2019,21,wls WAL,Bournemouth,eng Premier League,30,"2,261",25.1,29,1,3,7,5,12,7,0,0,0,640,899,71.2,30,55,37,2,95,9018,2783,407,499,81.6,166,240,69.2,38,68,55.9,79,53,5,3,7,7,4,14,8,0,2,1,2,1,847,4787,2276,66,46,22,58,42,870,144,64,24,37.5,40,62.5,37,26,12,19,6,19,44,43.2,25,36,7,29,24,61,28,0,6,31,16.2,"MF,FW"
2207,Calum Chambers,"2,588",1,40,77.9,54.2,68.8,739,69,64,2018-2019,23,eng ENG,Fulham,eng Premier League,31,"2,588",28.8,29,2,2,2,0,2,2,0,0,0,1175,1509,77.9,16,114,14,0,158,20289,6779,580,661,87.7,444,533,83.3,121,238,50.8,40,34,0,1,4,1,0,1,1,0,0,0,0,0,739,3352,1555,20,17,2,32,26,1124,28,32,22,68.8,10,31.3,64,36,32,27,5,16,48,33.3,32,37,12,25,69,133,113,4,64,54,54.2,"MF,DF"
2208,Joe Bennett,"2,639",2,34,68.6,66.7,70.6,384,60,50,2018-2019,28,eng ENG,Cardiff City,eng Premier League,30,"2,639",29.3,30,0,7,0,1,1,0,0,0,0,639,931,68.6,14,67,12,9,86,10057,5110,335,398,84.2,216,320,67.5,57,135,42.2,34,29,1,0,1,3,0,2,1,0,0,0,1,0,384,1979,1050,28,19,4,10,11,432,41,34,24,70.6,10,29.4,50,29,34,16,0,22,38,57.9,16,30,8,22,60,110,93,0,34,17,66.7,DF
2209,Henrikh Mkhitaryan,"1,641",11,73,74.8,45.7,38.5,579,16,28,2018-2019,29,am ARM,Arsenal,eng Premier League,25,"1,641",18.2,19,6,3,6,4,10,6,0,0,0,655,876,74.8,29,68,30,3,107,9240,2668,396,471,84.1,187,239,78.2,32,70,45.7,73,56,10,1,4,0,2,11,10,0,0,1,0,0,579,3791,2033,68,40,13,50,25,782,144,52,20,38.5,32,61.5,28,22,8,17,3,6,22,27.3,16,34,2,32,16,44,13,0,21,25,45.7,"FW,MF"
2210,Adam Masina,"1,004",0,8,76.6,59.5,63.6,306,17,30,2018-2019,24,ma MAR,Watford,eng Premier League,14,"1,004",11.2,11,3,24,0,1,1,0,0,0,0,432,564,76.6,3,32,4,2,39,6549,2845,247,279,88.5,139,185,75.1,29,61,47.5,8,6,1,0,0,1,0,0,0,0,0,0,0,0,306,1107,527,10,13,0,12,2,323,13,11,7,63.6,4,36.4,30,17,16,13,1,13,25,52,12,19,4,15,17,47,40,0,22,15,59.5,DF
2211,Phil Jones,"1,263",0,4,92.4,71.9,100,469,23,19,2018-2019,26,eng ENG,Manchester Utd,eng Premier League,18,"1,263",14,15,3,4,0,1,1,0,0,0,0,702,760,92.4,3,19,2,0,35,13111,3972,238,255,93.3,366,390,93.8,80,91,87.9,4,3,0,0,1,0,0,0,0,0,0,0,0,0,469,2251,1243,11,8,1,9,2,570,2,3,3,100,0,0,19,13,12,7,0,8,13,61.5,5,16,11,5,23,42,67,3,46,18,71.9,DF
2212,Virgil van Dijk,"3,384",7,31,89.5,73.8,75,2252,40,38,2018-2019,27,nl NED,Liverpool,eng Premier League,38,"3,384",37.6,38,0,0,4,2,6,4,0,0,0,2730,3049,89.5,6,144,4,0,174,54836,17641,895,960,93.2,1477,1578,93.6,336,456,73.7,31,26,0,1,3,0,1,7,5,0,0,2,0,0,2252,9579,5046,20,21,2,7,1,2421,20,12,9,75,3,25,38,28,26,11,1,14,14,100,0,29,18,11,40,78,201,1,175,62,73.8,DF
2213,Victor Wanyama,516,2,8,80.5,50,66.7,237,7,13,2018-2019,27,ke KEN,Tottenham,eng Premier League,13,516,5.7,4,9,7,1,0,1,1,0,0,0,265,329,80.5,2,19,0,0,28,3988,965,141,165,85.5,108,131,82.4,8,13,61.5,8,4,0,2,0,2,0,2,0,0,2,0,0,0,237,1230,634,13,7,1,8,4,255,6,9,6,66.7,3,33.3,13,13,8,5,0,6,12,50,6,9,3,6,7,20,11,0,14,14,50,MF
2214,Emerson Palmieri,663,1,16,86.2,35.7,71.4,355,8,14,2018-2019,23,it ITA,Chelsea,eng Premier League,10,663,7.4,7,3,6,0,0,0,0,0,0,0,451,523,86.2,5,21,12,3,34,5381,1380,319,342,93.3,95,113,84.1,9,22,40.9,16,14,0,1,0,0,1,1,1,0,0,0,0,0,355,2146,1436,39,20,7,8,9,424,50,14,10,71.4,4,28.6,14,9,6,5,3,6,10,60,4,11,1,10,8,22,14,0,5,9,35.7,DF
2215,Aron Gunnarsson,"2,266",2,44,65.1,57.1,84.6,347,38,51,2018-2019,29,is ISL,Cardiff City,eng Premier League,28,"2,266",25.2,27,1,3,1,1,2,1,0,0,0,600,921,65.1,16,67,10,2,85,11209,4352,228,293,77.8,274,383,71.5,77,194,39.7,44,28,9,0,1,5,1,2,2,0,0,0,0,0,347,1512,672,10,16,2,26,7,412,12,13,11,84.6,2,15.4,51,29,23,25,3,23,84,27.4,61,40,12,28,38,89,55,1,44,33,57.1,MF
2216,David Silva,"2,401",19,152,85.2,45.2,66,1609,22,30,2018-2019,32,es ESP,Manchester City,eng Premier League,33,"2,401",26.7,28,5,2,6,8,14,6,0,0,0,1795,2108,85.2,73,138,84,4,270,24214,5509,1044,1158,90.2,521,600,86.8,83,128,64.8,152,124,8,6,11,3,0,19,18,1,0,0,0,0,1609,7721,3902,118,94,36,28,30,1892,222,47,31,66,15,31.9,30,18,12,11,7,1,20,5,19,18,1,17,22,52,15,0,19,23,45.2,MF
2217,Jonny Castro,"2,771",7,70,78.2,43.2,50,765,60,79,2018-2019,24,es ESP,Wolves,eng Premier League,33,"2,771",30.8,32,1,1,1,1,2,1,0,0,0,1099,1405,78.2,31,36,22,7,75,14776,4550,692,777,89.1,308,398,77.4,43,92,46.7,70,49,1,9,3,5,3,7,2,0,1,1,3,0,765,4861,2734,85,55,12,40,40,943,161,60,30,50,30,50,79,43,42,33,4,31,60,51.7,29,45,8,37,60,139,64,2,38,50,43.2,"DF,MF"
2218,Mohamed Salah,"3,250",21,160,73.4,14.3,53,1216,5,21,2018-2019,26,eg EGY,Liverpool,eng Premier League,38,"3,250",36.1,37,1,0,22,8,30,19,3,3,0,846,1152,73.4,68,55,71,3,127,10807,3092,534,647,82.5,199,273,72.9,39,78,50,160,104,4,26,12,14,0,21,8,1,4,3,5,0,1216,7481,3747,131,91,96,109,119,1272,429,151,80,53,71,47,21,9,3,11,7,5,16,31.3,11,9,0,9,5,26,6,0,10,60,14.3,FW
