player,transfer,season,matches_played,minutes,matches_played_starter,matches_played_sub,matches_no_play,raw_goals,raw_assists,raw_goals_and_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,Progressive_Passes,tot_carry_distance,Total_Pass_Distance_Towards_Opp_Goal,prog_pass_ratio,prog_carry_dist_ratio,progression_by_carry,aerial_win_loss_ratio,Shot_Creating_Actions,def_action_to_shot,takeon_to_goal,prog_carry_distance,prog_carries,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,Tackles_Total,Tackles_Won,tackle_success_rate,Interceptions,Clearances,Aerial_Win_Percentage,aerial_attempts,Forward,Midfielder,Defender
Fabinho,1,2017-2018,34,3060,34,0,0,7,3,10,3,2003,85.6,36,28,261,6736,9666,37.03448275862069,0.5605700712589073,2.8671222475322704,96.08888888888889,92,5,4,3776,64,57,51,72.5,114,64,0.5614035087719298,43,62,67.6,139,0,1,0
Rachid Ghezzal,1,2017-2018,26,1006,7,19,4,2,3,5,2,568,70.8,16,13,57,2957,1812,31.789473684210527,0.41697666553939805,2.6573275862068964,9.409090909090908,47,0,1,1233,39,127,55,52.7,31,24,0.7741935483870968,11,2,29,31,1,1,0
Nampalys Mendy,1,2017-2018,14,965,11,3,14,0,1,1,0,744,90.3,2,0,64,2233,2841,44.390625,0.49261083743842365,2.2222222222222223,4,12,0,0,1100,10,6,4,75,13,6,0.46153846153846156,13,10,50,6,0,1,0
Max Gradel,1,2017-2018,29,2415,27,2,0,8,1,9,4,1016,55.7,44,37,96,6749,3749,39.052083333333336,0.5006667654467328,3.610042735042735,13.26,105,2,0,3379,136,316,143,55.2,63,36,0.5714285714285714,14,30,20.6,63,1,1,0
Issa Diop,1,2017-2018,34,3060,34,0,0,3,0,3,3,1247,79.3,5,4,106,4533,8739,82.44339622641509,0.628722700198544,3.2796317606444187,58.583333333333336,23,0,0,2850,14,1,15,73.3,58,43,0.7413793103448276,76,128,61.3,93,0,0,1
Dimitri Foulquier,1,2017-2018,16,1239,13,3,2,0,2,2,0,678,78.5,8,10,52,3201,3079,59.21153846153846,0.5520149953139644,4.268115942028985,5.625,27,0,0,1767,44,30,54,61.1,25,12,0.48,14,33,38.5,13,0,0,1
Yves Bissouma,1,2017-2018,24,1561,15,9,6,2,1,3,2,1042,84.1,11,7,113,5407,4194,37.11504424778761,0.544294433142223,3.9344919786096257,24,46,0,1,2943,64,51,75,73.3,67,50,0.746268656716418,31,31,66.7,33,0,1,1
Adama Diakhaby,1,2017-2018,22,850,10,12,10,2,3,5,2,211,66.4,8,4,7,1430,360,51.42857142857143,0.4762237762237762,3.528497409326425,15.555555555555555,16,1,0,681,26,82,25,20,23,15,0.6521739130434783,13,5,35.7,42,1,0,0
Isaac Mbenza,1,2017-2018,38,2096,22,16,0,8,0,8,8,652,65,29,9,45,3650,1410,31.333333333333332,0.5358904109589041,4.197424892703863,7.636363636363637,69,2,1,1956,74,179,35,62.9,16,11,0.6875,4,5,38.9,18,1,1,0
João Moutinho,1,2017-2018,33,2803,31,2,3,1,6,7,1,2024,82.5,55,30,310,6367,9537,30.76451612903226,0.6117480760169625,3.0888183980967487,26.041666666666668,101,0,0,3895,54,76,29,72.4,65,41,0.6307692307692307,36,54,51,49,0,1,0
Prince Oniangué,1,2017-2018,14,1056,14,0,0,1,0,1,1,347,78.4,8,4,45,1203,1122,24.933333333333334,0.5070656691604323,2.3193916349809887,39.70909090909091,20,2,1,610,17,22,9,77.8,16,11,0.6875,11,8,41.5,94,0,1,0
Maxime Le Marchand,1,2017-2018,29,2534,29,0,2,0,3,3,0,1973,87.8,11,11,122,5174,10804,88.55737704918033,0.678391959798995,3.292682926829268,53.21739130434783,35,2,0,3510,45,69,24,70.8,48,36,0.75,65,105,68.9,74,0,0,1
Youri Tielemans,1,2017-2018,27,1569,18,9,5,0,1,1,0,848,79.7,17,5,109,2755,3668,33.65137614678899,0.542649727767695,2.6136363636363638,25.142857142857142,58,1,1,1495,30,60,43,55.8,47,24,0.5106382978723404,34,20,53.3,45,0,1,0
Emiliano Sala,1,2017-2018,36,3031,34,2,0,12,4,16,8,846,61.3,35,18,67,2936,1357,20.253731343283583,0.3249318801089918,1.3455571227080394,119.595,79,2,0,954,34,223,53,52.8,19,11,0.5789473684210527,9,50,37.3,319,1,0,0
Yuri Berchiche,1,2017-2018,22,1716,19,3,13,2,4,6,2,1184,86.5,16,21,74,2858,4254,57.486486486486484,0.593072078376487,2.173076923076923,41.294117647058826,36,1,1,1695,41,145,16,75,39,27,0.6923076923076923,24,53,69.6,56,0,0,1
Thomas Lemar,1,2017-2018,30,2378,27,3,0,2,8,10,2,1319,77,55,36,182,6715,5562,30.560439560439562,0.5167535368577811,3.3333333333333335,7.466666666666667,107,0,4,3470,93,163,89,51.7,33,17,0.5151515151515151,18,16,31.8,22,1,1,0
Malcom,1,2017-2018,35,2856,32,3,0,12,7,19,10,1576,75,87,69,169,10156,5159,30.526627218934912,0.503643166601024,3.9346153846153844,18.367346938775512,182,0,2,5115,153,272,141,66,15,10,0.6666666666666666,14,6,26.9,67,1,0,0
Marlon,1,2017-2018,23,1929,22,1,4,0,0,0,0,1403,94.3,4,3,74,4108,9948,134.43243243243242,0.7054527750730283,3.5558282208588956,38.608695652173914,10,1,0,2898,9,3,11,81.8,36,26,0.7222222222222222,15,72,61.7,60,0,0,1
Júnior Alonso,1,2017-2018,34,2781,30,4,3,2,1,3,2,1884,80.8,11,5,114,6120,13482,118.26315789473684,0.6588235294117647,3.2968111201962387,93.11627906976744,27,0,0,4032,19,14,18,83.3,58,31,0.5344827586206896,56,153,67.9,134,0,0,1
Giovani Lo Celso,1,2017-2018,33,1776,18,15,4,4,3,7,4,1602,89.5,18,30,147,8608,5116,34.802721088435376,0.5238150557620818,3.5254104769351056,5.384615384615385,62,4,2,4509,65,56,67,70.1,77,58,0.7532467532467533,19,12,27.8,18,0,1,0
Ibrahim Amadou,1,2017-2018,30,2405,30,0,0,0,0,0,0,1581,87.2,10,4,114,5131,9158,80.33333333333333,0.5618787760670435,2.788201160541586,34.22222222222222,27,0,0,2883,18,19,13,84.6,43,29,0.6744186046511628,41,70,55,60,0,1,1
Joris Gnagnon,1,2017-2018,36,2919,32,4,2,2,2,4,2,1301,90.6,4,0,70,4504,6680,95.42857142857143,0.5479573712255773,2.6884531590413943,72,14,0,0,2468,10,7,7,100,42,29,0.6904761904761905,29,154,66.7,105,0,0,1
Mouctar Diakhaby,1,2017-2018,12,728,8,4,21,1,0,1,1,419,88.1,0,0,17,1975,2364,139.05882352941177,0.6182278481012659,3.5701754385964914,22.615384615384617,1,1,0,1221,6,0,7,100,10,6,0.6,12,52,61.8,34,0,0,1
Karl Toko Ekambi,1,2017-2018,37,3040,33,4,0,17,6,23,14,953,75.6,47,30,76,6747,1690,22.236842105263158,0.45175633614939975,2.939247830279653,28.358974358974358,109,1,1,3048,138,352,131,50.4,17,8,0.47058823529411764,15,2,26.4,106,1,1,0
Keita Baldé,1,2017-2018,23,1473,19,4,2,8,5,13,8,392,70.9,15,13,32,2486,777,24.28125,0.5056315366049879,3.256476683937824,15.535714285714286,42,0,4,1257,57,139,46,65.2,12,8,0.6666666666666666,6,5,34.9,43,1,1,0
Kévin Malcuit,1,2017-2018,23,1817,21,2,0,0,6,6,0,1200,78.7,25,20,110,6079,5915,53.77272727272727,0.6121072544826451,4.296766743648961,14.083333333333334,53,1,0,3721,104,114,96,59.4,51,37,0.7254901960784313,38,47,52,25,0,0,1
Javier Pastore,1,2017-2018,25,1347,14,11,3,4,5,9,4,1018,81.2,26,33,96,4129,3211,33.447916666666664,0.571566965366917,3.084967320261438,4.5,60,1,1,2360,65,131,42,64.3,33,21,0.6363636363636364,10,14,33.3,12,1,1,0
Soualiho Meïté,1,2017-2018,20,1431,16,4,1,1,2,3,1,755,83.3,16,7,61,3379,2055,33.68852459016394,0.4820952944658183,2.5734597156398102,30.526315789473685,40,2,0,1629,36,46,50,70,27,14,0.5185185185185185,26,16,60.4,48,0,1,0
Koffi Djidji,1,2017-2018,29,2416,27,2,6,0,0,0,0,1004,74.1,5,9,60,2428,6240,104,0.49917627677100496,2.2036363636363636,38.94736842105263,21,2,0,1212,18,24,15,80,55,39,0.7090909090909091,45,126,66.1,56,0,0,1
Assane Dioussé,1,2017-2018,25,1344,17,8,12,1,0,1,1,876,83.7,8,4,93,2341,3705,39.83870967741935,0.42973088423750533,1.8424908424908424,10.666666666666666,15,0,0,1006,14,26,15,86.7,32,21,0.65625,11,16,40,25,0,1,0
Lukas Lerager,1,2017-2018,37,3283,37,0,0,3,1,4,3,1608,75.9,24,23,180,4273,6341,35.227777777777774,0.46665106482564944,1.8411819021237303,100.32,75,3,0,1994,35,97,14,57.1,107,74,0.6915887850467289,67,66,56.9,174,0,1,0
Hamza Mendyl,1,2017-2018,12,851,9,3,12,0,0,0,0,413,77,3,6,20,1698,1666,83.3,0.4994110718492344,3.2490421455938696,6.666666666666667,10,0,0,848,23,41,24,50,18,10,0.5555555555555556,17,26,40,15,0,1,1
Nordi Mukiele,1,2017-2018,33,2791,31,2,2,0,1,1,0,1766,74.7,35,34,200,7075,12350,61.75,0.6183745583038869,4.119585687382298,73.08823529411765,70,3,0,4375,82,80,63,65.1,70,55,0.7857142857142857,73,104,67.6,105,0,0,1
Fallou Diagne,1,2017-2018,29,2238,26,3,1,1,1,2,1,1019,77.9,8,2,62,2640,7477,120.59677419354838,0.44886363636363635,1.7792792792792793,64.06666666666666,24,2,0,1185,7,12,9,88.9,33,20,0.6060606060606061,46,116,67.4,92,0,1,1
Jérôme Roussillon,1,2017-2018,22,1880,22,0,0,3,3,6,3,1015,75.1,27,22,80,3386,5429,67.8625,0.5676314235085647,3.5072992700729926,11.6875,64,0,1,1922,72,125,72,51.4,40,27,0.675,15,52,40.7,27,0,0,1
Paul-Georges Ntep,1,2017-2018,13,511,5,8,0,1,0,1,1,192,65.6,6,11,23,1017,573,24.91304347826087,0.5221238938053098,3.5878378378378377,5.625,18,0,0,531,19,58,21,66.7,14,8,0.5714285714285714,3,4,38.5,13,1,1,0
Almamy Touré,1,2017-2018,20,1248,13,7,12,1,5,6,1,657,70.6,17,12,62,1927,3894,62.806451612903224,0.5967825635703166,3.0183727034120733,33.45454545454545,32,0,2,1150,32,76,19,68.4,51,29,0.5686274509803921,22,61,59.3,54,0,0,1
Manu García,1,2018-2019,31,1843,21,10,6,0,4,4,0,935,78.8,22,19,139,3940,3665,26.366906474820144,0.5063451776649747,2.4968710888610763,3.2142857142857144,58,1,0,1995,36,65,58,55.2,37,26,0.7027027027027027,15,5,17.6,17,0,1,0
Sheyi Ojo,1,2018-2019,15,468,3,12,7,0,0,0,0,104,59.6,4,3,7,1040,170,24.285714285714285,0.4028846153846154,3.7079646017699117,4.25,14,0,0,419,14,47,23,34.8,8,6,0.75,3,2,20,20,1,1,0
Michael Hector,1,2018-2019,37,3243,36,1,3,2,0,2,1,1597,68.3,16,9,98,5045,11547,117.8265306122449,0.5843409316154609,3.083682008368201,128.73972602739727,30,1,0,2948,10,7,25,84,79,47,0.5949367088607594,55,208,63.5,200,0,0,1
Jack Clarke,1,2018-2019,22,808,4,18,9,2,2,4,2,317,71,17,15,31,2129,820,26.451612903225808,0.556599342414279,4.488636363636363,5.294117647058823,39,0,1,1185,43,104,47,55.3,13,9,0.6923076923076923,3,4,22.7,22,1,1,0
Nicolas Pépé,1,2018-2019,38,3324,37,1,0,22,11,33,13,1295,75.8,70,38,116,9002,3500,30.17241379310345,0.46622972672739393,3.250968241673122,43.13513513513514,176,2,7,4197,139,293,182,55.5,27,10,0.37037037037037035,13,11,53.2,79,1,1,0
William Saliba,1,2018-2019,16,1277,13,3,14,0,0,0,0,666,85.4,1,2,21,2142,3495,166.42857142857142,0.5266106442577031,2.785185185185185,29.473684210526315,4,0,0,1128,7,4,12,75,32,20,0.625,28,44,59.6,47,0,0,1
Daniel James,1,2018-2019,33,2500,28,5,6,4,7,11,4,1053,75.2,40,67,97,7584,2769,28.54639175257732,0.5838607594936709,4.468213925327952,14.35,128,0,3,4428,182,391,76,57.9,26,20,0.7692307692307693,7,13,25.9,54,1,1,0
Djibril Sidibé,1,2018-2019,26,2076,22,4,0,0,2,2,0,1435,73.2,30,36,133,4263,6966,52.37593984962406,0.5547736335913676,2.7436194895591646,31.153846153846153,67,3,0,2365,58,166,32,25,50,34,0.68,30,51,53.6,56,0,1,1
