"player","season","fouls_drawn_to_shot","def_action_to_shot","goal_creating_action","comp_live_pass_to_goal","comp_dead_pass_to_goal","takeon_to_goal","shot_to_goal_shot","fouls_drawn_to_goal","def_action_to_goal","carries","tot_carry_distance","prog_carry_distance","prog_carries","carries_into_final_third","carries_into_box","fail_to_control","lose_control_due_to_tkl","successfully_rec_pass"
"Fabinho","2017-2018",9,5,18,11,0,4,0,2,1,1317,6736,3776,64,39,10,24,21,1525
"Rachid Ghezzal","2017-2018",5,0,9,7,0,1,1,0,0,464,2957,1233,39,26,12,45,24,543
"Nampalys Mendy","2017-2018",0,0,2,2,0,0,0,0,0,495,2233,1100,10,5,0,5,6,667
"Max Gradel","2017-2018",8,2,7,4,0,0,1,2,0,936,6749,3379,136,76,50,97,61,941
"Issa Diop","2017-2018",2,0,0,0,0,0,0,0,0,869,4533,2850,14,9,1,10,5,832
"Dimitri Foulquier","2017-2018",0,0,3,3,0,0,0,0,0,414,3201,1767,44,25,4,19,14,447
"Yves Bissouma","2017-2018",0,0,4,2,0,1,1,0,0,748,5407,2943,64,43,7,28,18,854
"Adama Diakhaby","2017-2018",4,1,4,3,0,0,0,1,0,193,1430,681,26,15,8,24,15,230
"Isaac Mbenza","2017-2018",2,2,3,1,0,1,1,0,0,466,3650,1956,74,46,22,47,34,612
"João Moutinho","2017-2018",2,0,13,7,6,0,0,0,0,1261,6367,3895,54,46,1,31,18,1519
"Prince Oniangué","2017-2018",2,2,1,0,0,1,0,0,0,263,1203,610,17,12,0,18,10,311
"Maxime Le Marchand","2017-2018",0,2,3,3,0,0,0,0,0,1066,5174,3510,45,31,2,16,16,1534
"Youri Tielemans","2017-2018",5,1,7,4,0,1,2,0,0,572,2755,1495,30,27,7,19,18,696
"Emiliano Sala","2017-2018",9,2,4,3,0,0,1,0,0,709,2936,954,34,31,9,133,80,983
"Yuri Berchiche","2017-2018",3,1,7,5,0,1,0,1,0,780,2858,1695,41,22,11,19,7,903
"Thomas Lemar","2017-2018",7,0,16,7,3,4,0,2,0,1041,6715,3470,93,75,5,52,41,1140
"Malcom","2017-2018",12,0,22,13,3,2,3,1,0,1300,10156,5115,153,132,46,74,65,1447
"Marlon","2017-2018",0,1,1,1,0,0,0,0,0,815,4108,2898,9,9,0,5,1,1210
"Júnior Alonso","2017-2018",0,0,3,3,0,0,0,0,0,1223,6120,4032,19,14,3,14,11,1416
"Giovani Lo Celso","2017-2018",3,4,8,4,1,2,0,1,0,1279,8608,4509,65,46,3,34,29,1473
"Ibrahim Amadou","2017-2018",4,0,0,0,0,0,0,0,0,1034,5131,2883,18,13,1,18,11,1305
"Joris Gnagnon","2017-2018",1,0,2,2,0,0,0,0,0,918,4504,2468,10,7,1,13,5,1059
"Mouctar Diakhaby","2017-2018",0,1,0,0,0,0,0,0,0,342,1975,1221,6,2,0,3,2,331
"Karl Toko Ekambi","2017-2018",8,1,14,10,0,1,1,2,0,1037,6747,3048,138,77,55,106,86,1125
"Keita Baldé","2017-2018",3,0,10,5,0,4,1,0,0,386,2486,1257,57,31,16,41,27,414
"Kévin Malcuit","2017-2018",4,1,7,6,0,0,0,1,0,866,6079,3721,104,70,14,38,31,933
"Javier Pastore","2017-2018",1,1,10,9,0,1,0,0,0,765,4129,2360,65,46,19,32,25,996
"Soualiho Meïté","2017-2018",2,2,5,5,0,0,0,0,0,633,3379,1629,36,26,3,27,35,651
"Koffi Djidji","2017-2018",0,2,2,2,0,0,0,0,0,550,2428,1212,18,16,1,19,8,583
"Assane Dioussé","2017-2018",0,0,0,0,0,0,0,0,0,546,2341,1006,14,6,3,16,22,713
"Lukas Lerager","2017-2018",10,3,3,3,0,0,0,0,0,1083,4273,1994,35,27,5,45,29,1254
"Hamza Mendyl","2017-2018",0,0,0,0,0,0,0,0,0,261,1698,848,23,27,1,14,2,299
"Nordi Mukiele","2017-2018",2,3,2,2,0,0,0,0,0,1062,7075,4375,82,59,9,42,27,1245
"Fallou Diagne","2017-2018",1,2,4,3,0,0,1,0,0,666,2640,1185,7,5,4,12,3,682
"Jérôme Roussillon","2017-2018",4,0,9,6,0,1,1,1,0,548,3386,1922,72,38,16,42,22,719
"Paul-Georges Ntep","2017-2018",2,0,2,2,0,0,0,0,0,148,1017,531,19,8,2,16,7,203
"Almamy Touré","2017-2018",0,0,9,7,0,2,0,0,0,381,1927,1150,32,25,4,17,13,409
"Manu García","2018-2019",5,1,5,5,0,0,0,0,0,799,3940,1995,36,38,4,45,29,904
"Sheyi Ojo","2018-2019",4,0,3,1,0,0,1,1,0,113,1040,419,14,9,8,12,7,120
"Michael Hector","2018-2019",1,1,4,4,0,0,0,0,0,956,5045,2948,10,8,1,27,12,969
"Jack Clarke","2018-2019",1,0,4,2,0,1,1,0,0,264,2129,1185,43,15,23,27,11,303
"Nicolas Pépé","2018-2019",23,2,36,17,2,7,4,5,1,1291,9002,4197,139,134,62,110,110,1475
"William Saliba","2018-2019",0,0,0,0,0,0,0,0,0,405,2142,1128,7,3,1,11,8,508
"Daniel James","2018-2019",21,0,16,10,0,3,1,2,0,991,7584,4428,182,97,61,56,48,1161
