"","player","age","season","Transfer"
"1","Fabinho",24,"2017-2018",1
"2","Rachid Ghezzal",26,"2017-2018",1
"3","Nampalys Mendy",26,"2017-2018",1
"4","Max Gradel",30,"2017-2018",1
"5","Issa Diop",21,"2017-2018",1
"6","Dimitri Foulquier",25,"2017-2018",1
"7","Yves Bissouma",21,"2017-2018",1
"8","Terence Kongolo",24,"2017-2018",1
"9","Adama Diakhaby",22,"2017-2018",1
"10","Isaac Mbenza",22,"2017-2018",1
"11","João Moutinho",31,"2017-2018",1
"12","Rúben Vinagre",19,"2017-2018",1
"13","Prince Oniangué",29,"2017-2018",1
"14","Jean Michaël Seri",26,"2017-2018",1
"15","André Zambo Anguissa",22,"2017-2018",1
"16","Maxime Le Marchand",28,"2017-2018",1
"17","Matt Miazga",23,"2017-2018",1
"18","Youri Tielemans",21,"2017-2018",1
"19","Antonio Barreca",23,"2017-2018",1
"20","Emiliano Sala",NA,"2017-2018",1
"21","Yuri Berchiche",28,"2017-2018",1
"22","Thomas Lemar",22,"2017-2018",1
"23","Malcom",21,"2017-2018",1
"24","Marlon",22,"2017-2018",1
"25","Farid Boulaya",25,"2017-2018",1
"26","Sanjin Prcic",24,"2017-2018",1
"27","Júnior Alonso",25,"2017-2018",1
"28","Sergi Darder",24,"2017-2018",1
"29","Giovani Lo Celso",22,"2017-2018",1
"30","Mariano Díaz",25,"2017-2018",1
"31","Ibrahim Amadou",25,"2017-2018",1
"32","Joris Gnagnon",21,"2017-2018",1
"33","Gonçalo Guedes",21,"2017-2018",1
"34","Mouctar Diakhaby",21,"2017-2018",1
"35","Karl Toko Ekambi",25,"2017-2018",1
"36","Jean-Clair Todibo",19,"2017-2018",1
"37","Jesé",25,"2017-2018",1
"38","Ganso",29,"2017-2018",1
"39","Mariusz Stepinski",23,"2017-2018",1
"40","Alban Lafont",19,"2017-2018",1
"41","Yann Karamoh",19,"2017-2018",1
"42","Keita Baldé",23,"2017-2018",1
"43","Kévin Malcuit",27,"2017-2018",1
"44","Javier Pastore",29,"2017-2018",1
"45","Soualiho Meïté",24,"2017-2018",1
"46","Nicolas N'Koulou",28,"2017-2018",1
"47","Koffi Djidji",25,"2017-2018",1
"48","Assane Dioussé",21,"2017-2018",1
"49","Lukas Lerager",25,"2017-2018",1
"50","Hamza Mendyl",20,"2017-2018",1
"51","Nordi Mukiele",20,"2017-2018",1
"52","Kevin Trapp",28,"2017-2018",1
"53","Alassane Plea",25,"2017-2018",1
"54","Fallou Diagne",28,"2017-2018",1
"55","Jean-Philippe Mateta",21,"2017-2018",1
"56","Moussa Niakhaté",22,"2017-2018",1
"57","Jérôme Roussillon",25,"2017-2018",1
"58","Paul-Georges Ntep",25,"2017-2018",1
"59","Diego Contento",28,"2017-2018",1
"60","Almamy Touré",22,"2017-2018",1
"61","Scott Carson",33,"2018-2019",1
"62","Arijanet Muric",21,"2018-2019",1
"63","Manu García",21,"2018-2019",1
"64","Andy Lonergan",35,"2018-2019",1
"65","Sheyi Ojo",22,"2018-2019",1
"66","Abdul-Rahman Baba",24,"2018-2019",1
"67","Michael Hector",26,"2018-2019",1
"68","Tanguy Ndombélé",22,"2018-2019",1
"69","Jack Clarke",18,"2018-2019",1
"70","Georges-Kevin N'Koudou",24,"2018-2019",1
"71","Nicolas Pépé",24,"2018-2019",1
"72","William Saliba",18,"2018-2019",1
"73","Daniel James",21,"2018-2019",1
"74","Will Norris",26,"2018-2019",1
"75","Djibril Sidibé",27,"2018-2019",1
"76","Luke Garbutt",27,"2018-2019",1
"77","Muhamed Besic",27,"2018-2019",1
"78","Youri Tielemans",22,"2018-2019",1
"79","Andy King",30,"2018-2019",1
