"Player","Season","Progressive_Passes_Received","TakeOn_Attempts","TakeOn_Successful","TakeOn_Success_Percentage","TakeOn_Tackled","TakeOn_Tackled_Percentage","Tackles_Total","Tackles_Won","Tackles_Defensive_Third","Tackles_Middle_Third","Tackles_Attacking_Third","Challenges_Tackled","Challenges_Attempts","Challenges_Tackle_Percentage","Challenges_Lost","Ball_Blocks","Shot_Blocks","Pass_Blocks","Interceptions","Tackles_Plus_Interceptions","Clearances","Errors_Leading_to_Shot","Aerials_Won","Aerials_Lost","Aerial_Win_Percentage","Position"
"Fabinho","2017-2018",57,51,37,72.5,14,27.5,114,64,38,67,9,48,112,42.9,64,48,13,35,43,157,62,0,94,45,67.6,"MF"
"Rachid Ghezzal","2017-2018",127,55,29,52.7,26,47.3,31,24,6,22,3,7,34,20.6,27,17,0,17,11,42,2,1,9,22,29,"FW,MF"
"Nampalys Mendy","2017-2018",6,4,3,75,1,25,13,6,8,5,0,5,17,29.4,12,9,1,8,13,26,10,1,3,3,50,"MF"
"Max Gradel","2017-2018",316,143,79,55.2,64,44.8,63,36,28,21,14,24,72,33.3,48,39,2,37,14,77,30,0,13,50,20.6,"FW,MF"
"Issa Diop","2017-2018",1,15,11,73.3,4,26.7,58,43,35,22,1,21,48,43.8,27,38,25,13,76,134,128,0,57,36,61.3,"DF"
"Dimitri Foulquier","2017-2018",30,54,33,61.1,21,38.9,25,12,15,8,2,7,17,41.2,10,15,4,11,14,39,33,0,5,8,38.5,"DF"
"Yves Bissouma","2017-2018",51,75,55,73.3,20,26.7,67,50,30,32,5,19,39,48.7,20,13,2,11,31,98,31,1,22,11,66.7,"MF,DF"
"Adama Diakhaby","2017-2018",82,25,5,20,20,80,23,15,6,12,5,6,16,37.5,10,13,0,13,13,36,5,0,15,27,35.7,"FW"
"Isaac Mbenza","2017-2018",179,35,22,62.9,13,37.1,16,11,4,8,4,6,16,37.5,10,8,1,7,4,20,5,0,7,11,38.9,"FW,MF"
"João Moutinho","2017-2018",76,29,21,72.4,8,27.6,65,41,19,37,9,27,80,33.8,53,52,12,40,36,101,54,0,25,24,51,"MF"
"Prince Oniangué","2017-2018",22,9,7,77.8,2,22.2,16,11,5,9,2,8,31,25.8,23,20,4,16,11,27,8,0,39,55,41.5,"MF"
"Maxime Le Marchand","2017-2018",69,24,17,70.8,7,29.2,48,36,28,18,2,20,41,48.8,21,36,13,23,65,113,105,4,51,23,68.9,"DF"
"Youri Tielemans","2017-2018",60,43,24,55.8,19,44.2,47,24,14,28,5,17,55,30.9,38,24,5,19,34,81,20,1,24,21,53.3,"MF"
"Emiliano Sala","2017-2018",223,53,28,52.8,24,45.3,19,11,3,9,7,5,33,15.2,28,27,3,24,9,28,50,0,119,200,37.3,"FW"
"Yuri Berchiche","2017-2018",145,16,12,75,4,25,39,27,21,11,7,12,25,48,13,15,2,13,24,63,53,0,39,17,69.6,"DF"
"Thomas Lemar","2017-2018",163,89,46,51.7,44,49.4,33,17,9,19,5,10,41,24.4,31,22,1,21,18,51,16,1,7,15,31.8,"MF,FW"
"Malcom","2017-2018",272,141,93,66,48,34,15,10,3,7,5,1,28,3.6,27,13,1,12,14,29,6,0,18,49,26.9,"FW"
"Marlon","2017-2018",3,11,9,81.8,2,18.2,36,26,22,13,1,15,22,68.2,7,19,15,4,15,51,72,2,37,23,61.7,"DF"
"Júnior Alonso","2017-2018",14,18,15,83.3,3,16.7,58,31,36,22,0,28,50,56,22,26,16,10,56,114,153,1,91,43,67.9,"DF"
"Giovani Lo Celso","2017-2018",56,67,47,70.1,20,29.9,77,58,26,36,15,26,74,35.1,48,30,5,25,19,96,12,1,5,13,27.8,"MF"
"Ibrahim Amadou","2017-2018",19,13,11,84.6,2,15.4,43,29,24,19,0,14,27,51.9,13,30,13,17,41,84,70,3,33,27,55,"MF,DF"
"Joris Gnagnon","2017-2018",7,7,7,100,0,0,42,29,29,9,4,21,31,67.7,10,22,16,6,29,71,154,2,70,35,66.7,"DF"
"Mouctar Diakhaby","2017-2018",0,7,7,100,0,0,10,6,7,3,0,4,7,57.1,3,14,9,5,12,22,52,1,21,13,61.8,"DF"
"Karl Toko Ekambi","2017-2018",352,131,66,50.4,65,49.6,17,8,2,5,10,5,29,17.2,24,13,0,13,15,32,2,0,28,78,26.4,"FW,MF"
"Keita Baldé","2017-2018",139,46,30,65.2,16,34.8,12,8,5,6,1,1,11,9.1,10,10,1,9,6,18,5,0,15,28,34.9,"FW,MF"
"Kévin Malcuit","2017-2018",114,96,57,59.4,39,40.6,51,37,31,16,4,17,25,68,8,13,5,8,38,89,47,0,13,12,52,"DF"
"Javier Pastore","2017-2018",131,42,27,64.3,15,35.7,33,21,9,16,8,5,23,21.7,18,13,0,13,10,43,14,1,4,8,33.3,"MF,FW"
"Soualiho Meïté","2017-2018",46,50,35,70,15,30,27,14,5,20,2,11,37,29.7,26,23,6,17,26,53,16,1,29,19,60.4,"MF"
"Koffi Djidji","2017-2018",24,15,12,80,3,20,55,39,32,20,3,19,29,65.5,10,34,15,19,45,100,126,0,37,19,66.1,"DF"
"Assane Dioussé","2017-2018",26,15,13,86.7,2,13.3,32,21,14,14,4,13,34,38.2,21,29,2,27,11,43,16,2,10,15,40,"MF"
"Lukas Lerager","2017-2018",97,14,8,57.1,6,42.9,107,74,33,61,13,33,107,30.8,74,44,8,36,67,174,66,1,99,75,56.9,"MF"
"Hamza Mendyl","2017-2018",41,24,12,50,12,50,18,10,12,6,0,11,20,55,9,5,0,5,17,35,26,0,6,9,40,"DF,MF"
"Nordi Mukiele","2017-2018",80,63,41,65.1,22,34.9,70,55,41,25,4,25,44,56.8,19,26,14,12,73,143,104,2,71,34,67.6,"DF"
"Fallou Diagne","2017-2018",12,9,8,88.9,1,11.1,33,20,21,12,0,7,22,31.8,15,33,18,15,46,79,116,3,62,30,67.4,"DF,MF"
"Jérôme Roussillon","2017-2018",125,72,37,51.4,35,48.6,40,27,17,19,4,15,26,57.7,11,26,3,23,15,55,52,0,11,16,40.7,"DF"
"Paul-Georges Ntep","2017-2018",58,21,14,66.7,7,33.3,14,8,8,5,1,8,17,47.1,9,4,1,3,3,17,4,0,5,8,38.5,"FW,MF"
"Almamy Touré","2017-2018",76,19,13,68.4,6,31.6,51,29,31,13,7,18,30,60,12,15,2,13,22,73,61,0,32,22,59.3,"DF"
"Manu García","2018-2019",65,58,32,55.2,26,44.8,37,26,14,17,6,15,49,30.6,34,16,1,15,15,52,5,0,3,14,17.6,"MF"
"Sheyi Ojo","2018-2019",47,23,8,34.8,15,65.2,8,6,2,4,2,2,8,25,6,1,0,1,3,11,2,0,4,16,20,"FW,MF"
"Michael Hector","2018-2019",7,25,21,84,4,16,79,47,51,28,0,30,58,51.7,28,63,28,35,55,134,208,5,127,73,63.5,"DF"
"Jack Clarke","2018-2019",104,47,26,55.3,21,44.7,13,9,2,7,4,3,7,42.9,4,10,0,10,3,16,4,0,5,17,22.7,"MF,FW"
"Nicolas Pépé","2018-2019",293,182,101,55.5,81,44.5,27,10,6,15,6,8,35,22.9,27,33,0,33,13,40,11,1,42,37,53.2,"FW,MF"
"William Saliba","2018-2019",4,12,9,75,3,25,32,20,28,4,0,16,24,66.7,8,11,10,1,28,60,44,2,28,19,59.6,"DF"
"Daniel James","2018-2019",391,76,44,57.9,32,42.1,26,20,9,12,5,8,19,42.1,11,20,0,20,7,33,13,1,14,40,25.9,"FW,MF"
"Djibril Sidibé","2018-2019",166,32,8,25,24,75,50,34,27,12,11,26,48,54.2,22,25,9,16,30,80,51,0,30,26,53.6,"DF,MF"
"Youri Tielemans","2018-2019",41,35,18,51.4,17,48.6,45,24,17,23,5,24,47,51.1,23,20,3,17,18,63,22,0,27,17,61.4,"MF"
"Craig Dawson","2018-2019",8,5,4,80,1,20,51,37,32,17,2,26,40,65,14,45,34,11,65,116,147,6,180,94,65.7,"DF"
"Allan Saint-Maximin","2018-2019",309,252,143,56.7,109,43.3,12,6,1,7,4,2,14,14.3,12,11,0,11,4,16,3,0,30,31,49.2,"FW"
"Emil Krafth","2018-2019",74,22,8,36.4,14,63.6,55,35,34,14,7,32,65,49.2,33,27,12,15,23,78,94,4,42,32,56.8,"DF"
"Lloyd Kelly","2018-2019",78,51,30,58.8,21,41.2,42,28,32,9,1,15,20,75,5,21,6,15,31,73,93,1,76,53,58.9,"DF"
"Erik Pieters","2018-2019",23,15,7,46.7,8,53.3,49,28,28,18,3,25,33,75.8,8,21,13,8,17,66,56,0,21,21,50,"DF"
"Erik Pieters","2018-2019",37,10,5,50,5,50,49,32,33,14,2,16,29,55.2,13,30,7,23,33,82,88,0,44,32,57.9,"DF"
"Adam Webster","2018-2019",19,29,21,72.4,8,27.6,61,36,39,18,4,20,36,55.6,16,64,35,29,91,152,190,0,278,109,71.8,"DF"
