,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2001,Cristhian Stuani,"2,729",8,49,67.7,50.4,48.3,429,4,23,2018-2019,31,uy URU,Girona,es La Liga,32,"2,729",30.3,30,2,0,19,0,19,14,5,5,0,343,507,67.7,14,19,4,0,30,4589,572,208,284,73.2,106,155,68.4,8,17,47.1,49,24,1,4,5,15,0,8,3,0,2,0,3,0,429,1661,461,12,14,7,61,37,592,129,29,14,48.3,15,51.7,23,13,7,13,3,5,20,25,15,13,1,12,4,27,39,0,114,112,50.4,FW
2002,Aihen Muñoz,951,0,17,72.2,45.5,64.5,306,7,13,2018-2019,20,es ESP,Real Sociedad,es La Liga,11,951,10.6,11,0,9,0,0,0,0,0,0,0,381,528,72.2,7,17,10,7,24,5921,2320,206,240,85.8,136,194,70.1,28,59,47.5,17,12,0,4,1,0,0,0,0,0,0,0,0,0,306,1606,827,28,12,2,11,7,349,43,31,20,64.5,11,35.5,13,8,11,2,0,10,19,52.6,9,19,9,10,7,20,26,0,15,18,45.5,DF
2003,Rubén Pardo,"1,368",4,68,77.8,34.6,61.5,535,21,11,2018-2019,25,es ESP,Real Sociedad,es La Liga,24,"1,368",15.2,16,8,7,1,2,3,1,0,0,0,701,901,77.8,38,90,18,6,96,13160,4065,298,330,90.3,272,319,85.3,104,198,52.5,68,38,22,2,4,2,0,4,1,3,0,0,0,0,535,3174,1520,23,22,0,10,11,660,41,13,8,61.5,5,38.5,11,7,2,9,0,4,17,23.5,13,14,6,8,21,32,9,0,9,17,34.6,"MF,FW"
2004,Dani García,"2,476",4,23,82.4,63.6,75,723,49,56,2018-2019,28,es ESP,Athletic Club,es La Liga,29,"2,476",27.5,29,0,2,0,1,1,0,0,0,0,1159,1406,82.4,4,100,3,0,105,21646,5438,478,550,86.9,505,581,86.9,149,217,68.7,23,22,0,0,0,0,1,4,4,0,0,0,0,0,723,3008,1333,11,16,2,9,11,961,10,4,3,75,1,25,56,34,21,32,3,24,63,38.1,39,28,8,20,49,105,46,1,56,32,63.6,MF
2005,Jony,"2,971",13,137,55.1,15.6,44.9,839,22,20,2018-2019,27,es ESP,Alavés,es La Liga,36,"2,971",33,34,2,0,5,11,16,5,0,0,0,657,1192,55.1,85,49,60,40,76,13032,5515,283,373,75.9,215,342,62.9,140,387,36.2,137,68,49,10,4,4,2,13,6,6,1,0,0,0,839,6630,3406,119,90,40,109,60,898,220,138,62,44.9,76,55.1,20,14,6,7,7,7,37,18.9,30,18,0,18,22,42,12,2,5,27,15.6,"MF,FW"
2006,Junior Firpo,"1,937",4,36,80.3,60.7,68.9,717,23,38,2018-2019,21,do DOM,Betis,es La Liga,24,"1,937",21.5,22,2,1,3,4,7,3,0,0,0,914,1138,80.3,20,49,14,2,83,13603,3975,534,602,88.7,311,391,79.5,47,84,56,36,27,0,5,1,2,1,4,4,0,0,0,0,0,717,3958,2420,73,40,21,25,15,861,171,45,31,68.9,14,31.1,38,25,16,14,8,10,24,41.7,14,27,2,25,23,61,48,0,34,22,60.7,"DF,FW"
2007,Ezequiel Ávila,"1,997",8,54,50.8,49.6,47.8,506,13,18,2018-2019,24,ar ARG,Huesca,es La Liga,34,"1,997",22.2,20,14,0,10,2,12,9,1,1,0,296,583,50.8,22,48,17,3,78,5882,2026,140,226,61.9,88,173,50.9,56,115,48.7,54,36,0,3,6,9,0,8,5,0,0,2,1,0,506,2852,1336,55,33,18,52,28,611,131,46,22,47.8,24,52.2,18,10,7,7,4,4,26,15.4,22,21,2,19,13,31,22,0,68,69,49.6,"FW,MF"
2008,Leonardo Suárez,517,2,11,77.6,15.4,50,138,1,3,2018-2019,22,ar ARG,Valladolid,es La Liga,12,517,5.7,7,5,6,2,0,2,2,0,0,0,121,156,77.6,2,13,2,0,23,1761,368,70,83,84.3,38,48,79.2,8,12,66.7,11,11,0,0,0,0,0,2,2,0,0,0,0,0,138,719,371,8,11,1,17,7,163,21,8,4,50,4,50,3,3,2,0,1,2,4,50,2,7,1,6,1,4,4,0,2,11,15.4,"FW,MF"
2009,Néstor Araujo,"2,682",0,11,86,60.3,100,913,35,42,2018-2019,26,mx MEX,Celta Vigo,es La Liga,32,"2,682",29.8,30,2,2,3,0,3,3,0,0,0,1291,1502,86,4,57,4,2,61,25226,8148,387,439,88.2,769,841,91.4,117,184,63.6,11,10,0,0,1,0,0,0,0,0,0,0,0,0,913,3923,2076,4,3,0,6,2,1157,5,2,2,100,0,0,42,22,32,9,1,18,22,81.8,4,32,21,11,35,77,153,1,70,46,60.3,DF
