,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1,Nemanja Gudelj,"1,742",2,20,86.1,66.1,66.7,662,27,31,2023-2024,31,rs SRB,Sevilla,es La Liga,22,"1,742",19.4,20,2,2,1,1,2,1,0,0,0,914,1061,86.1,7,82,2,2,73,16667,5686,346,374,92.5,487,535,91,71,114,62.3,20,17,1,0,2,0,0,2,2,0,0,0,0,0,662,3913,2413,23,21,0,9,4,810,5,6,4,66.7,2,33.3,31,24,18,10,3,17,31,54.8,14,17,9,8,27,58,56,0,41,21,66.1,"DF,MF"
2,Nemanja Maksimović,"3,265",5,46,81.5,53.4,41.2,565,46,65,2023-2024,28,rs SRB,Getafe,es La Liga,37,"3,265",36.3,37,0,0,4,0,4,4,0,0,0,844,1036,81.5,20,67,7,1,73,12019,2217,484,557,86.9,278,338,82.2,37,62,59.7,46,35,0,0,6,2,3,5,3,0,0,2,0,0,565,2540,1251,22,25,2,24,8,695,35,17,7,41.2,9,52.9,65,43,26,31,8,23,41,56.1,18,56,23,33,46,111,61,0,70,61,53.4,MF
3,Selim Amallah,604,1,14,73.2,42.3,42.9,172,11,17,2023-2024,26,ma MAR,Valencia,es La Liga,20,604,6.7,7,13,7,0,1,1,0,0,0,0,120,164,73.2,4,11,3,0,21,1635,456,69,83,83.1,32,46,69.6,7,14,50,14,7,0,3,0,4,0,1,1,0,0,0,0,0,172,954,358,7,13,2,29,15,191,36,42,18,42.9,15,35.7,17,12,7,7,3,3,9,33.3,6,13,0,13,11,28,6,0,11,15,42.3,"FW,MF"
4,Ianis Hagi,804,1,48,64.5,54.2,51.9,224,5,17,2023-2024,24,ro ROU,Alavés,es La Liga,22,804,8.9,8,14,13,0,2,2,0,0,1,1,194,301,64.5,24,21,12,4,32,3661,1189,100,119,84,61,93,65.6,31,65,47.7,48,26,15,3,3,1,0,1,1,0,0,0,0,0,224,1175,576,17,13,2,13,13,249,58,27,14,51.9,8,29.6,17,12,2,14,1,5,12,41.7,7,8,0,8,5,22,4,0,13,11,54.2,"MF,FW"
5,Myrto Uzuni,"2,448",1,33,77.7,15.7,48.1,295,4,18,2023-2024,28,al ALB,Granada,es La Liga,34,"2,448",27.2,28,6,1,11,1,12,7,4,5,1,234,301,77.7,18,10,10,2,18,3414,492,141,163,86.5,74,91,81.3,13,22,59.1,33,24,0,1,5,2,1,1,1,0,0,0,0,0,295,1496,592,21,13,10,46,34,316,90,27,13,48.1,13,48.1,18,14,8,7,3,6,27,22.2,21,19,3,16,4,22,7,0,11,59,15.7,FW
6,Ángel Correa,"1,528",11,68,73.4,27.8,50,473,2,22,2023-2024,28,ar ARG,Atlético Madrid,es La Liga,32,"1,528",17,14,18,3,9,2,11,8,1,1,0,379,516,73.4,32,29,23,2,61,4856,1162,249,301,82.7,85,110,77.3,18,46,39.1,68,48,2,11,3,2,2,11,8,0,2,0,0,1,473,2206,1026,40,16,26,52,33,531,128,56,28,50,27,48.2,22,15,3,11,8,5,17,29.4,12,13,0,13,2,24,6,0,5,13,27.8,"FW,MF"
7,Jaime Mata,"1,787",5,42,65.3,43,53.3,370,17,24,2023-2024,34,es ESP,Getafe,es La Liga,35,"1,787",19.9,22,13,1,5,1,6,5,0,0,0,340,521,65.3,18,12,11,6,19,4502,751,219,281,77.9,88,142,62,14,39,35.9,42,34,1,2,5,0,0,5,3,0,0,2,0,0,370,1456,479,16,16,7,47,20,527,138,15,8,53.3,7,46.7,24,15,12,8,4,11,26,42.3,15,18,1,17,17,41,31,0,49,65,43,"FW,MF"
8,Marcos Llorente,"2,565",8,48,79.9,33.3,40.7,839,14,40,2023-2024,28,es ESP,Atlético Madrid,es La Liga,37,"2,565",28.5,29,8,0,6,4,10,6,0,0,0,974,1219,79.9,26,60,36,11,106,13597,3643,592,654,90.5,299,371,80.6,37,73,50.7,48,40,0,3,2,3,0,8,7,0,0,1,0,0,839,4122,2119,71,40,20,28,18,1033,179,27,11,40.7,11,40.7,40,23,18,17,5,16,44,36.4,28,36,11,25,14,54,35,0,16,32,33.3,"MF,DF"
9,Raúl de Tomás,"1,272",3,22,76.1,36.9,45.5,266,1,9,2023-2024,28,es ESP,Rayo Vallecano,es La Liga,25,"1,272",14.1,15,10,11,1,2,3,0,1,1,0,207,272,76.1,8,14,3,0,23,3281,443,110,132,83.3,61,75,81.3,21,29,72.4,22,11,0,1,7,3,0,3,3,0,0,0,0,0,266,1200,372,11,5,4,44,27,348,73,44,20,45.5,19,43.2,9,5,4,3,2,3,6,50,3,3,0,3,1,10,8,0,24,41,36.9,FW
10,Rubén Alcaraz,"3,134",5,75,80.3,49,43.5,997,33,97,2023-2024,32,es ESP,Cádiz,es La Liga,36,"3,134",34.8,36,0,0,3,1,4,1,2,2,0,1271,1582,80.3,23,151,16,3,154,23608,6666,577,637,90.6,487,558,87.3,167,303,55.1,75,52,10,1,7,2,3,5,3,0,0,2,0,0,997,4688,1909,27,27,3,28,27,1135,37,23,10,43.5,11,47.8,97,59,39,52,6,50,121,41.3,71,60,14,46,33,130,55,2,47,49,49,MF
11,Youssef En-Nesyri,"2,570",8,22,64.5,42.8,29.7,269,7,10,2023-2024,26,ma MAR,Sevilla,es La Liga,33,"2,570",28.6,28,5,0,16,2,18,15,1,1,0,205,318,64.5,9,11,5,0,17,2797,471,118,165,71.5,67,98,68.4,5,13,38.5,22,13,0,1,4,2,2,8,4,0,0,1,1,2,269,1239,458,17,10,11,59,17,373,81,37,11,29.7,25,67.6,10,7,3,4,3,0,10,0,10,9,1,8,7,17,29,1,68,91,42.8,FW
12,Pablo Torre,701,6,24,83,0,31.6,359,4,5,2023-2024,20,es ESP,Girona,es La Liga,26,701,7.8,4,22,10,0,2,2,0,0,0,0,356,429,83,11,42,17,0,65,5756,1588,193,218,88.5,126,145,86.9,27,40,67.5,24,24,0,0,0,0,0,6,6,0,0,0,0,0,359,1713,909,25,18,4,17,13,424,40,19,6,31.6,10,52.6,5,2,0,5,0,4,10,40,6,10,2,8,4,9,6,1,0,7,0,"MF,FW"
13,Óscar Mingueza,"2,998",11,106,75.1,47.1,46.2,1313,17,62,2023-2024,24,es ESP,Celta Vigo,es La Liga,38,"2,998",33.3,33,5,0,2,2,4,2,0,0,0,1478,1967,75.1,48,169,55,17,170,24165,11712,778,875,88.9,536,699,76.7,125,277,45.1,106,83,14,2,1,5,1,11,10,0,0,0,1,0,1313,6460,3490,74,76,9,31,26,1498,134,78,36,46.2,34,43.6,62,38,44,11,7,37,80,46.3,43,38,7,31,17,79,49,2,16,18,47.1,"DF,MF"
14,Beñat Turrientes,"1,687",2,29,84.6,34,48.8,509,6,31,2023-2024,21,es ESP,Real Sociedad,es La Liga,29,"1,687",18.7,19,10,8,0,1,1,0,0,0,0,598,707,84.6,9,47,3,0,51,10126,2148,292,320,91.3,239,260,91.9,54,86,62.8,29,22,0,2,3,1,1,2,1,0,0,1,0,0,509,2885,1387,26,23,2,26,14,601,31,43,21,48.8,14,32.6,31,17,6,20,5,13,30,43.3,17,19,8,11,6,37,17,0,16,31,34,MF
15,Sergio Akieme,"1,675",1,32,77.4,40,52.5,498,10,27,2023-2024,25,es ESP,Almería,es La Liga,19,"1,675",18.6,19,0,1,2,0,2,2,0,0,0,620,801,77.4,17,30,14,12,28,10224,3150,314,346,90.8,247,298,82.9,48,111,43.2,32,22,3,4,1,2,0,1,0,0,0,1,0,0,498,2520,1141,27,23,2,15,16,525,72,40,21,52.5,18,45,27,15,18,7,2,13,16,81.3,3,14,4,10,10,37,34,0,10,15,40,DF
16,Sergi Darder,"2,157",7,91,72.4,36.4,54.8,729,16,39,2023-2024,29,es ESP,Mallorca,es La Liga,36,"2,157",24,21,15,0,2,5,7,2,0,0,0,725,1002,72.4,51,120,32,14,132,13785,4827,313,357,87.7,275,349,78.8,115,229,50.2,91,53,29,1,3,4,1,7,3,4,0,0,0,0,729,4660,2351,56,51,4,48,24,791,75,62,34,54.8,21,33.9,39,26,13,21,5,12,31,38.7,19,20,4,16,16,55,16,0,8,14,36.4,MF
17,Sergio Ramos,"2,517",3,21,89,66.1,54.5,994,41,45,2023-2024,37,es ESP,Sevilla,es La Liga,28,"2,517",28,28,0,3,3,0,3,3,0,0,0,1356,1524,89,4,103,3,0,81,29709,10962,387,420,92.1,712,754,94.4,248,325,76.3,21,17,0,0,3,1,0,3,2,0,0,1,0,0,994,5262,2701,11,10,3,13,6,1192,5,11,6,54.5,3,27.3,45,30,32,11,2,27,40,67.5,13,35,30,5,41,86,156,0,80,41,66.1,DF
18,Aleksandar Radovanović,569,0,2,91.9,60.9,0,110,11,8,2023-2024,29,rs SRB,Almería,es La Liga,9,569,6.3,8,1,3,0,0,0,0,0,0,0,181,197,91.9,1,1,0,0,5,3645,1019,49,51,96.1,107,110,97.3,21,30,70,2,1,0,0,1,0,0,0,0,0,0,0,0,0,110,401,142,0,0,0,2,0,152,1,1,0,0,1,100,8,7,7,1,0,6,6,100,0,8,8,0,11,19,48,0,14,9,60.9,DF
19,Federico Valverde,"2,904",14,119,89.8,67.7,50,1610,43,47,2023-2024,25,uy URU,Real Madrid,es La Liga,37,"2,904",32.3,33,4,1,2,7,9,2,0,0,0,1901,2117,89.8,49,229,41,4,231,29049,7780,1109,1169,94.9,612,675,90.7,126,185,68.1,119,110,0,3,3,1,2,14,12,0,0,2,0,0,1610,9227,5027,104,102,15,28,12,1925,102,44,22,50,21,47.7,47,34,22,13,12,24,42,57.1,18,39,2,37,43,90,40,0,21,10,67.7,MF
20,Kike Salas,"1,605",0,13,78.7,62.3,0,584,26,41,2023-2024,21,es ESP,Sevilla,es La Liga,23,"1,605",17.8,19,4,6,3,0,3,3,0,0,0,794,1009,78.7,5,54,6,2,61,13465,4857,367,421,87.2,367,433,84.8,47,118,39.8,13,9,1,0,1,1,1,0,0,0,0,0,0,0,584,2361,1105,11,3,1,10,8,751,16,8,0,0,7,87.5,41,23,26,12,3,22,36,61.1,14,25,14,11,26,67,91,1,66,40,62.3,DF
21,Jorge Cuenca,"1,963",2,15,83.2,61.2,57.1,668,21,42,2023-2024,23,es ESP,Villarreal,es La Liga,29,"1,963",21.8,21,8,6,3,1,4,3,0,0,0,957,1150,83.2,6,62,10,6,78,17344,6301,367,388,94.6,515,579,88.9,65,154,42.2,15,12,0,2,0,0,1,2,2,0,0,0,0,0,668,3349,2078,11,13,2,10,4,861,30,14,8,57.1,6,42.9,42,29,26,10,6,19,30,63.3,11,26,15,11,21,63,114,0,60,38,61.2,DF
22,Roger Martí,"1,359",4,31,65.4,33.3,30,309,7,12,2023-2024,32,es ESP,Cádiz,es La Liga,23,"1,359",15.1,18,5,2,2,3,5,2,0,0,0,225,344,65.4,11,12,6,0,19,3085,656,140,191,73.3,69,98,70.4,9,23,39.1,31,20,0,0,5,4,2,4,3,0,0,1,0,0,309,1260,390,7,15,2,47,20,354,64,10,3,30,6,60,12,6,1,9,2,2,7,28.6,5,16,1,15,7,19,4,0,17,34,33.3,FW
