,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1001,Ángel Rodríguez,"1,544",5,32,71.1,38.8,56.5,250,3,15,2021-2022,34,es ESP,Mallorca,es La Liga,29,"1,544",17.2,19,10,4,4,2,6,4,0,0,0,187,263,71.1,13,16,10,2,27,2426,544,106,133,79.7,43,56,76.8,13,25,52,32,21,0,2,4,5,0,5,3,0,0,0,2,0,250,1361,590,23,15,5,45,21,290,85,23,13,56.5,10,43.5,15,9,6,7,2,4,21,19,17,15,1,14,3,18,13,0,19,30,38.8,"FW,MF"
1002,Carlos Neva,"2,108",3,35,70.8,39.2,56.3,509,32,31,2021-2022,25,es ESP,Granada,es La Liga,26,"2,108",23.4,24,2,2,0,0,0,0,0,0,0,676,955,70.8,13,36,20,17,37,10825,4259,371,424,87.5,232,326,71.2,57,135,42.2,35,30,3,2,0,0,0,3,3,0,0,0,0,0,509,2547,1148,27,15,4,22,8,550,89,16,9,56.3,7,43.8,31,19,24,7,0,16,28,57.1,12,27,9,18,32,63,81,0,20,31,39.2,DF
1003,Ximo Navarro,"1,347",0,11,70.5,28.1,41.7,342,22,28,2021-2022,31,es ESP,Alavés,es La Liga,18,"1,347",15,16,2,5,0,0,0,0,0,0,0,414,587,70.5,4,25,3,1,35,7311,2845,182,205,88.8,189,249,75.9,33,102,32.4,11,6,1,0,2,2,0,0,0,0,0,0,0,0,342,1799,952,21,18,1,20,6,356,24,12,5,41.7,7,58.3,28,19,21,6,1,13,27,48.1,14,11,5,6,22,50,56,2,9,23,28.1,DF
1004,Toni Lato,590,1,10,73.2,17.4,100,151,8,17,2021-2022,23,es ESP,Valencia,es La Liga,11,590,6.6,7,4,4,0,1,1,0,0,0,0,230,314,73.2,3,21,3,1,29,4097,1497,125,142,88,77,111,69.4,24,46,52.2,10,9,1,0,0,0,0,1,1,0,0,0,0,0,151,703,336,8,6,0,4,7,165,17,8,8,100,0,0,17,12,12,3,2,9,16,56.3,7,6,0,6,8,25,14,0,4,19,17.4,DF
1005,Ander Guevara,867,0,15,85.9,40.5,75,385,12,18,2021-2022,24,es ESP,Real Sociedad,es La Liga,17,867,9.6,11,6,21,0,0,0,0,0,0,0,525,611,85.9,6,43,4,0,48,9144,2336,233,264,88.3,240,265,90.6,41,49,83.7,15,14,0,0,0,0,1,0,0,0,0,0,0,0,385,1932,1080,8,5,3,10,4,476,11,4,3,75,1,25,18,13,6,10,2,10,17,58.8,7,12,6,6,12,30,8,0,15,22,40.5,MF
1006,Alexander Isak,"2,140",4,62,71.8,45.2,50,473,3,7,2021-2022,21,se SWE,Real Sociedad,es La Liga,32,"2,140",23.8,26,6,1,6,2,8,4,2,2,0,316,440,71.8,20,23,15,1,43,4102,829,199,242,82.2,76,109,69.7,16,25,64,62,34,1,13,7,7,0,4,1,0,1,2,0,0,473,3304,1432,58,48,29,56,36,540,160,88,44,50,44,50,7,4,1,3,3,2,12,16.7,10,14,2,12,3,10,10,0,28,34,45.2,FW
1007,Ante Budimir,"1,738",4,28,57,51.7,35.5,285,3,24,2021-2022,30,hr CRO,Osasuna,es La Liga,28,"1,738",19.3,20,8,2,8,2,10,6,2,2,0,204,358,57,10,18,6,1,23,2566,416,130,205,63.4,48,76,63.2,7,13,53.8,28,14,0,2,4,7,1,4,2,0,0,1,1,0,285,1235,429,19,12,5,62,28,420,90,31,11,35.5,20,64.5,24,10,3,15,6,6,19,31.6,13,22,4,18,3,27,16,0,106,99,51.7,FW
1008,Rodrygo,"1,523",12,69,81.4,35.9,46.6,632,11,18,2021-2022,20,br BRA,Real Madrid,es La Liga,33,"1,523",16.9,17,16,1,4,4,8,4,0,0,0,555,682,81.4,28,28,21,2,49,6480,1383,377,410,92,100,133,75.2,15,36,41.7,69,42,7,9,4,7,0,12,8,0,1,1,2,0,632,3830,2220,76,55,38,48,15,695,194,58,27,46.6,31,53.4,18,14,7,4,7,3,18,16.7,15,21,0,21,11,29,3,0,14,25,35.9,FW
1009,Memphis,"1,851",10,82,74.6,40,60.8,676,3,10,2021-2022,27,nl NED,Barcelona,es La Liga,28,"1,851",20.6,20,8,1,12,2,14,8,4,5,1,705,945,74.6,45,29,31,9,72,9485,2460,454,518,87.6,136,195,69.7,52,119,43.7,82,44,20,10,3,5,0,10,4,1,2,1,2,0,676,3682,1992,83,51,45,76,34,926,239,74,45,60.8,29,39.2,10,4,2,4,4,3,13,23.1,10,9,1,8,3,13,4,0,10,15,40,FW
1010,Guido Carrillo,"1,168",1,22,68.9,57.1,57.1,177,1,7,2021-2022,30,ar ARG,Elche,es La Liga,29,"1,168",13,11,18,6,2,0,2,2,0,0,0,208,302,68.9,6,14,2,0,13,2561,422,134,177,75.7,42,65,64.6,9,14,64.3,22,14,0,0,3,3,2,1,1,0,0,0,0,0,177,906,247,5,11,1,34,15,314,47,14,8,57.1,6,42.9,7,4,2,4,1,3,13,23.1,10,9,2,7,1,8,27,0,80,60,57.1,FW
1011,Jason,753,3,39,54.4,33.3,38.1,156,8,15,2021-2022,27,es ESP,2 Teams,es La Liga,19,753,8.4,11,8,14,0,1,1,0,0,0,0,135,248,54.4,20,10,9,8,14,2528,1061,59,78,75.6,49,81,60.5,21,65,32.3,39,17,15,4,0,3,0,3,1,1,0,0,1,0,156,1067,532,15,14,2,15,11,178,37,21,8,38.1,13,61.9,15,8,8,5,2,7,21,33.3,14,9,0,9,8,23,6,0,9,18,33.3,"MF,FW"
1012,Álvaro García,"2,998",7,91,61.2,17.9,44,759,42,42,2021-2022,28,es ESP,Rayo Vallecano,es La Liga,36,"2,998",33.3,34,2,0,7,4,11,7,0,0,0,640,1046,61.2,43,35,51,28,86,10222,3488,325,421,77.2,225,349,64.5,57,164,34.8,91,73,4,3,5,4,2,7,5,1,0,1,0,0,759,4974,2696,124,49,58,70,13,888,293,50,22,44,28,56,42,23,15,18,9,8,35,22.9,27,27,3,24,42,84,24,0,5,23,17.9,"FW,MF"
1013,Iñigo Ruiz de Galarreta,"1,378",1,29,80.9,60,74.3,455,20,40,2021-2022,27,es ESP,Mallorca,es La Liga,22,"1,378",15.3,17,5,0,0,0,0,0,0,0,0,616,761,80.9,11,86,12,1,105,10417,3377,295,333,88.6,233,279,83.5,63,93,67.7,29,23,1,2,1,0,2,1,1,0,0,0,0,0,455,2042,1069,14,24,1,20,15,556,16,35,26,74.3,9,25.7,40,21,14,21,5,14,30,46.7,16,16,2,14,20,60,21,0,18,12,60,MF
1014,Domingos Duarte,"1,687",0,10,76.8,62.9,66.7,409,22,18,2021-2022,26,pt POR,Granada,es La Liga,21,"1,687",18.7,19,2,4,1,0,1,1,0,0,0,567,738,76.8,3,37,1,0,44,11907,5152,182,215,84.7,286,337,84.9,92,164,56.1,10,8,1,0,1,0,0,0,0,0,0,0,0,0,409,1938,1008,4,4,0,6,1,485,3,3,2,66.7,1,33.3,18,14,9,9,0,6,11,54.5,5,27,20,7,22,40,82,0,39,23,62.9,DF
1015,Manu Trigueros,"2,178",10,64,78.8,41.9,53.3,901,13,45,2021-2022,29,es ESP,Villarreal,es La Liga,35,"2,178",24.2,27,8,1,6,4,10,6,0,0,0,965,1224,78.8,23,128,32,2,185,15320,4952,481,543,88.6,365,440,83,77,140,55,64,52,3,1,2,3,3,10,7,1,0,0,1,1,901,3298,1643,30,32,6,35,27,1102,96,15,8,53.3,7,46.7,45,25,16,18,11,23,66,34.8,43,19,3,16,13,58,17,0,18,25,41.9,"MF,FW"
1016,Oier Zarraga,"1,166",3,26,77,41.7,50,320,19,13,2021-2022,22,es ESP,Athletic Club,es La Liga,31,"1,166",13,8,23,2,1,0,1,0,1,1,0,378,491,77,5,54,7,0,74,6095,2423,166,203,81.8,167,205,81.5,24,46,52.2,26,22,0,2,0,2,0,3,2,0,0,0,1,0,320,1776,930,24,21,2,20,9,414,37,8,4,50,4,50,13,5,4,7,2,3,28,10.7,25,17,10,7,19,32,10,0,10,14,41.7,MF
1017,Iglesias,719,1,21,49.4,41.7,55.6,176,10,19,2021-2022,23,es ESP,Getafe,es La Liga,20,719,8,7,13,18,0,1,1,0,0,0,0,163,330,49.4,8,12,7,7,15,3567,1841,56,77,72.7,70,120,58.3,37,113,32.7,21,10,7,1,0,3,0,1,0,1,0,0,0,0,176,1048,432,15,7,1,13,7,168,24,9,5,55.6,4,44.4,19,10,11,8,0,7,17,41.2,10,8,2,6,10,29,28,0,10,14,41.7,DF
1018,Alex Petxa,412,0,8,72.3,42.9,33.3,146,4,12,2021-2022,24,es ESP,Athletic Club,es La Liga,17,412,4.6,1,16,19,0,0,0,0,0,0,0,193,267,72.3,1,18,3,0,25,3097,1159,96,114,84.2,77,102,75.5,14,39,35.9,8,6,0,1,0,1,0,0,0,0,0,0,0,0,146,693,304,8,6,0,9,3,181,14,9,3,33.3,6,66.7,12,9,4,7,1,4,8,50,4,8,2,6,4,16,6,0,6,8,42.9,"DF,MF"
1019,Jon Moncayola,"2,915",4,67,78.2,46.2,68.4,817,20,40,2021-2022,23,es ESP,Osasuna,es La Liga,36,"2,915",32.4,33,3,1,2,3,5,2,0,0,0,1104,1411,78.2,32,125,30,17,131,20806,5889,458,522,87.7,451,522,86.4,162,282,57.4,67,42,16,1,7,1,0,4,3,1,0,0,0,0,817,3428,1433,19,21,1,36,15,1073,66,19,13,68.4,6,31.6,40,20,18,18,4,17,44,38.6,27,26,9,17,20,60,43,0,18,21,46.2,MF
