,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1801,Domingos Duarte,"3,087",1,12,77.3,59.1,71.4,815,34,30,2019-2020,24,pt POR,Granada,es La Liga,36,"3,087",34.3,34,2,1,3,1,4,3,0,0,0,988,1278,77.3,1,67,5,1,90,21341,7870,245,292,83.9,574,658,87.2,159,293,54.3,12,10,1,0,0,1,0,1,1,0,0,0,0,0,815,4445,2306,16,4,0,5,0,818,3,7,5,71.4,2,28.6,30,19,24,5,1,11,20,55,9,34,24,10,34,64,153,1,78,54,59.1,DF
1802,Javi Moyano,"2,227",1,33,71.5,55.1,85,525,27,19,2019-2020,33,es ESP,Valladolid,es La Liga,26,"2,227",24.7,26,0,8,0,0,0,0,0,0,0,759,1062,71.5,13,46,7,4,61,11804,5120,410,481,85.2,275,367,74.9,52,147,35.4,33,26,1,3,0,3,0,1,1,0,0,0,0,0,525,2272,1110,25,18,2,21,12,591,75,20,17,85,3,15,19,8,11,8,0,8,20,40,12,18,5,13,27,46,63,0,43,35,55.1,DF
1803,Manu Trigueros,"1,547",8,73,85.4,29.2,75,562,4,34,2019-2020,27,es ESP,Villarreal,es La Liga,29,"1,547",17.2,17,12,7,2,4,6,1,1,1,0,783,917,85.4,32,89,19,1,116,12860,4040,369,413,89.3,312,345,90.4,67,98,68.4,73,60,5,0,3,2,3,8,8,0,0,0,0,0,562,2644,1309,20,22,1,22,18,786,27,24,18,75,6,25,34,21,10,17,7,12,45,26.7,33,23,12,11,4,38,21,0,14,34,29.2,MF
1804,Allan Nyom,"2,422",1,23,60.2,55.4,44.1,540,14,45,2019-2020,31,cm CMR,Getafe,es La Liga,34,"2,422",26.9,31,3,0,2,0,2,2,0,0,0,572,950,60.2,10,60,18,16,64,9444,4314,320,397,80.6,185,314,58.9,56,181,30.9,23,17,1,1,1,3,0,1,1,0,0,0,0,0,540,3030,1299,49,35,1,28,16,536,68,34,15,44.1,19,55.9,45,25,26,15,4,20,37,54.1,17,24,5,19,14,59,50,1,36,29,55.4,"DF,MF"
1805,Jon Moncayola,"1,496",1,21,74.1,43.8,90.9,334,16,52,2019-2020,21,es ESP,Osasuna,es La Liga,27,"1,496",16.6,15,12,5,1,0,1,1,0,0,0,490,661,74.1,11,37,6,1,44,9593,2528,193,230,83.9,197,254,77.6,83,133,62.4,21,18,0,1,0,1,1,1,1,0,0,0,0,0,334,1354,573,8,9,1,16,10,429,27,11,10,90.9,1,9.1,52,30,26,22,4,27,54,50,27,29,5,24,16,68,23,1,21,27,43.8,"MF,DF"
1806,Wakaso,"1,283",0,12,70.5,39.1,67.6,392,17,54,2019-2020,29,gh GHA,Alavés,es La Liga,16,"1,283",14.3,15,1,0,0,0,0,0,0,0,0,347,492,70.5,5,41,3,1,48,7262,2047,131,160,81.9,135,173,78,71,131,54.2,12,9,2,0,1,0,0,0,0,0,0,0,0,0,392,2133,945,14,16,3,22,13,373,16,37,25,67.6,12,32.4,54,31,25,24,5,16,33,48.5,17,23,5,18,17,71,17,1,18,28,39.1,MF
1807,Robin Le Normand,"2,394",1,10,87.8,61.9,66.7,1279,20,48,2019-2020,22,es ESP,Real Sociedad,es La Liga,31,"2,394",26.6,25,6,5,1,0,1,1,0,0,0,1523,1735,87.8,5,58,3,0,99,29305,8892,475,516,92.1,912,988,92.3,125,198,63.1,10,9,1,0,0,0,0,1,1,0,0,0,0,0,1279,6864,3861,15,7,0,5,2,1349,2,3,2,66.7,1,33.3,48,27,33,15,0,26,35,74.3,9,20,7,13,20,68,99,0,86,53,61.9,DF
1808,Pablo de Blasis,"1,604",3,43,68.4,35.3,54.5,545,24,41,2019-2020,31,ar ARG,Eibar,es La Liga,30,"1,604",17.8,15,15,7,2,3,5,1,1,1,0,659,963,68.4,20,69,25,13,91,12159,4687,289,337,85.8,243,341,71.3,101,220,45.9,43,33,6,1,2,0,1,3,2,0,0,1,0,0,545,2271,1096,28,19,3,22,17,637,89,22,12,54.5,10,45.5,41,32,22,13,6,30,63,47.6,33,13,0,13,24,65,21,0,24,44,35.3,"DF,MF"
1809,Ibai Gómez,695,3,29,64.2,14.3,73.3,172,3,5,2019-2020,29,es ESP,Athletic Club,es La Liga,17,695,7.7,6,11,17,0,0,0,0,0,0,0,201,313,64.2,15,8,7,6,16,3117,1099,112,122,91.8,53,86,61.6,23,77,29.9,29,11,14,3,1,0,0,3,2,0,0,1,0,0,172,786,333,14,7,4,18,18,221,53,15,11,73.3,4,26.7,5,3,2,2,1,3,8,37.5,5,4,0,4,3,8,6,0,1,6,14.3,FW
1810,Roberto Soldado,"2,347",7,49,67.6,36,36.7,438,4,16,2019-2020,34,es ESP,Granada,es La Liga,33,"2,347",26.1,30,3,3,7,4,11,6,1,1,0,378,559,67.6,28,22,9,2,36,5148,787,215,281,76.5,102,152,67.1,21,42,50,49,38,0,2,2,7,0,7,5,0,1,0,1,0,438,1478,522,17,18,10,52,18,537,123,30,11,36.7,19,63.3,16,9,2,7,7,7,24,29.2,17,16,4,12,4,20,16,0,45,80,36,FW
1811,Ferrán Torres,"2,251",8,60,69.7,42.7,56.8,695,14,23,2019-2020,19,es ESP,Valencia,es La Liga,34,"2,251",25,26,8,3,4,5,9,4,0,0,0,535,768,69.7,25,32,35,8,76,7746,2357,310,355,87.3,166,245,67.8,32,88,36.4,60,44,0,11,2,2,1,8,6,0,2,0,0,0,695,4684,2382,87,65,17,63,24,772,194,95,54,56.8,41,43.2,23,15,6,16,1,8,30,26.7,22,20,3,17,14,37,12,0,41,55,42.7,"MF,FW"
1812,Óscar de Marcos,541,1,10,72.3,43.8,40,126,8,5,2019-2020,30,es ESP,Athletic Club,es La Liga,13,541,6,6,7,4,0,1,1,0,0,0,0,162,224,72.3,8,15,6,4,20,2178,763,98,114,86,45,64,70.3,7,15,46.7,10,7,3,0,0,0,0,1,1,0,0,0,0,0,126,752,374,14,6,1,8,3,154,28,5,2,40,3,60,5,3,2,1,2,3,6,50,3,6,0,6,8,13,8,0,7,9,43.8,"DF,FW"
1813,Raphaël Varane,"2,822",1,14,87.1,70.8,66.7,1153,31,30,2019-2020,26,fr FRA,Real Madrid,es La Liga,32,"2,822",31.4,32,0,4,2,1,3,2,0,0,0,1466,1683,87.1,6,79,1,0,68,31568,10795,425,449,94.7,774,837,92.5,258,365,70.7,14,9,2,0,3,0,0,1,1,0,0,0,0,0,1153,7168,3537,7,14,0,10,3,1323,3,12,8,66.7,4,33.3,30,17,15,14,1,12,23,52.2,11,32,16,16,31,61,124,0,80,33,70.8,DF
1814,Lucas Ocampos,"2,745",8,75,74.1,43.5,44.7,960,22,54,2019-2020,25,ar ARG,Sevilla,es La Liga,33,"2,745",30.5,31,2,0,14,3,17,9,5,5,0,711,959,74.1,24,44,27,7,93,10099,2265,426,492,86.6,177,239,74.1,52,88,59.1,75,48,0,9,5,12,1,8,5,0,2,0,1,0,960,6934,3611,131,71,64,92,71,1089,312,152,68,44.7,84,55.3,54,31,30,19,5,30,72,41.7,42,33,2,31,22,76,27,0,30,39,43.5,"FW,MF"
1815,Isco,"1,181",7,50,84.5,26.1,73.3,710,7,13,2019-2020,27,es ESP,Real Madrid,es La Liga,23,"1,181",13.1,15,8,7,1,2,3,1,0,0,0,727,860,84.5,23,67,21,4,96,10614,2626,432,462,93.5,208,243,85.6,52,87,59.8,50,39,1,2,3,4,1,7,3,1,0,1,2,0,710,4224,2155,48,39,6,29,21,833,75,45,33,73.3,12,26.7,13,9,2,10,1,5,14,35.7,9,9,0,9,7,20,4,1,6,17,26.1,"FW,MF"
1816,Diego Costa,"1,350",7,31,68.6,42.1,47.6,290,3,9,2019-2020,30,es ESP,Atlético Madrid,es La Liga,23,"1,350",15,14,9,0,5,4,9,3,2,3,1,253,369,68.6,15,16,14,1,34,3320,629,143,187,76.5,64,89,71.9,12,19,63.2,31,22,0,1,4,3,1,7,5,0,1,1,0,0,290,1178,373,9,12,6,42,20,401,86,21,10,47.6,11,52.4,9,5,1,4,4,1,10,10,9,4,2,2,3,12,10,0,67,92,42.1,FW
1817,Naldo,"1,332",3,12,82.5,47.5,75,420,21,24,2019-2020,30,br BRA,Espanyol,es La Liga,18,"1,332",14.8,15,3,8,0,1,1,0,0,0,0,566,686,82.5,3,30,2,0,40,11973,4446,146,169,86.4,330,370,89.2,86,132,65.2,12,10,0,0,2,0,0,3,1,0,0,2,0,0,420,1970,927,3,6,1,8,4,503,0,4,3,75,1,25,24,13,15,9,0,7,15,46.7,8,11,7,4,21,45,50,1,29,32,47.5,DF
1818,Lucas Pérez,"2,496",9,111,63.4,27,45.1,562,2,12,2019-2020,30,es ESP,Alavés,es La Liga,34,"2,496",27.7,29,5,1,11,5,16,6,5,5,0,459,724,63.4,63,36,28,5,73,7507,2585,234,301,77.7,153,232,65.9,50,122,41,111,52,38,7,10,4,0,9,5,2,2,0,0,0,562,2842,1226,47,40,20,52,50,585,177,51,23,45.1,28,54.9,12,6,2,8,2,3,13,23.1,10,13,2,11,2,14,0,0,10,27,27,FW
1819,Aleksandar Sedlar,814,0,6,81.5,50,75,265,16,13,2019-2020,27,rs SRB,Mallorca,es La Liga,12,814,9,9,3,9,0,0,0,0,0,0,0,325,399,81.5,1,21,0,0,27,5712,2714,149,160,93.1,143,173,82.7,31,53,58.5,6,5,0,0,0,0,1,0,0,0,0,0,0,0,265,1374,656,4,2,0,1,1,253,3,4,3,75,1,25,13,6,10,2,1,7,11,63.6,4,17,11,6,16,29,31,0,18,18,50,DF
1820,Eden Hazard,"1,077",11,55,83.6,46.2,69,592,6,7,2019-2020,28,be BEL,Real Madrid,es La Liga,16,"1,077",12,14,2,3,1,3,4,1,0,0,0,500,598,83.6,21,29,15,2,59,7057,1381,326,364,89.6,116,140,82.9,37,46,80.4,55,42,0,7,1,5,0,11,7,0,0,1,3,0,592,4368,2465,86,50,31,28,33,638,162,71,49,69,22,31,7,3,2,3,2,3,15,20,12,5,0,5,6,13,0,0,6,7,46.2,"FW,MF"
1821,Djené,"3,060",1,13,69,57.7,77.8,492,34,42,2019-2020,27,tg TOG,Getafe,es La Liga,34,"3,060",34,34,0,0,0,0,0,0,0,0,0,711,1031,69,6,75,6,3,98,15530,6645,196,255,76.9,376,477,78.8,131,262,50,13,9,2,0,2,0,0,1,0,0,0,1,0,0,492,3242,1563,20,6,1,18,8,432,7,18,14,77.8,4,22.2,42,32,27,15,0,17,30,56.7,13,20,7,13,34,76,105,1,86,63,57.7,DF
1822,Aitor Ruibal,"1,220",1,36,72.7,22.2,55,348,8,27,2019-2020,23,es ESP,Leganés,es La Liga,25,"1,220",13.6,13,12,9,0,0,0,0,0,0,0,293,403,72.7,12,24,6,1,36,4146,1391,175,213,82.2,90,114,78.9,14,40,35,36,25,1,5,4,1,0,1,1,0,0,0,0,0,348,2106,1145,40,28,16,19,22,350,74,60,33,55,27,45,27,17,14,11,2,16,39,41,23,18,1,17,8,35,11,0,6,21,22.2,"DF,MF"
1823,Gareth Bale,"1,089",7,36,72.6,70,60,395,6,9,2019-2020,30,wls WAL,Real Madrid,es La Liga,16,"1,089",12.1,12,4,10,2,2,4,2,0,0,0,363,500,72.6,12,22,16,8,35,5861,1344,206,238,86.6,113,152,74.3,37,82,45.1,36,22,2,5,4,3,0,7,6,0,0,1,0,0,395,2674,1374,48,39,8,24,11,510,118,30,18,60,12,40,9,5,5,2,2,3,14,21.4,11,8,2,6,6,15,9,0,28,12,70,"FW,MF"
1824,Luis Suárez,"1,998",13,68,75.1,57.9,48.9,506,1,4,2019-2020,32,uy URU,Barcelona,es La Liga,28,"1,998",22.2,22,6,0,16,8,24,15,1,1,0,505,672,75.1,26,19,16,1,43,7026,968,290,351,82.6,131,164,79.9,35,54,64.8,68,45,0,14,6,3,0,13,10,0,1,1,1,0,506,2048,1063,30,31,21,33,24,735,171,47,23,48.9,24,51.1,4,0,0,1,3,2,12,16.7,10,6,1,5,1,5,11,0,11,8,57.9,FW
1825,Francis Coquelin,"1,905",2,25,89.3,66.7,69,681,38,37,2019-2020,28,fr FRA,Valencia,es La Liga,26,"1,905",21.2,21,5,2,0,0,0,0,0,0,0,897,1004,89.3,6,72,9,0,85,15765,3753,394,413,95.4,353,382,92.4,100,138,72.5,25,20,0,1,1,2,1,2,0,0,0,1,1,0,681,2867,1269,14,17,1,34,25,823,18,29,20,69,9,31,37,21,25,11,1,16,38,42.1,22,19,9,10,38,75,25,0,24,12,66.7,MF
1826,Sergio Canales,"3,163",14,155,83.9,17.6,75,1577,13,25,2019-2020,28,es ESP,Betis,es La Liga,36,"3,163",35.1,36,0,0,6,6,12,3,3,4,1,1888,2249,83.9,80,145,59,17,229,32304,7183,898,975,92.1,703,798,88.1,213,331,64.4,155,109,32,7,4,3,0,14,9,4,0,1,0,0,1577,10837,6225,150,100,13,36,49,1904,153,68,51,75,17,25,25,16,14,6,5,7,28,25,21,30,1,29,13,38,16,0,6,28,17.6,"MF,FW"
1827,Paco Alcácer,924,2,17,78.9,21.4,42.9,159,2,3,2019-2020,25,es ESP,Villarreal,es La Liga,13,924,10.3,11,2,1,4,1,5,4,0,0,0,179,227,78.9,9,5,5,0,15,2197,326,115,132,87.1,38,54,70.4,6,8,75,17,15,0,0,1,1,0,2,1,0,0,0,1,0,159,597,270,13,7,9,15,8,213,50,7,3,42.9,4,57.1,3,3,2,1,0,1,7,14.3,6,4,1,3,2,5,10,0,6,22,21.4,FW
1828,Javier Ontiveros,889,4,38,75.5,33.3,58.8,438,5,29,2019-2020,21,es ESP,Villarreal,es La Liga,30,889,9.9,7,23,7,2,1,3,2,0,0,0,372,493,75.5,9,27,9,3,30,5495,1308,225,249,90.4,101,137,73.7,23,51,45.1,38,19,6,10,0,2,1,4,3,0,0,0,1,0,438,3504,1856,64,42,29,24,29,490,88,51,30,58.8,21,41.2,29,14,13,14,2,8,35,22.9,27,13,1,12,5,34,7,0,8,16,33.3,"FW,MF"
1829,Héctor Herrera,"1,123",2,49,85.5,70,93.3,561,17,31,2019-2020,29,mx MEX,Atlético Madrid,es La Liga,21,"1,123",12.5,12,9,12,0,2,2,0,0,0,0,671,785,85.5,21,71,12,2,92,9874,3646,377,410,92,190,217,87.6,51,78,65.4,49,33,9,1,0,2,4,2,2,0,0,0,0,0,561,2621,1331,20,21,0,17,15,623,22,15,14,93.3,1,6.7,31,21,9,18,4,13,32,40.6,19,16,7,9,17,48,13,2,28,12,70,MF
