,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2201,Gareth Bale,"1,786",9,51,71.7,51.4,54.5,669,11,16,2018-2019,29,wls WAL,Real Madrid,es La Liga,29,"1,786",19.8,21,8,2,8,3,11,7,1,1,0,567,791,71.7,18,48,22,9,62,9102,1919,339,393,86.3,154,237,65,57,97,58.8,51,34,1,8,5,3,0,9,6,0,2,1,0,0,669,4094,1802,73,44,25,24,19,822,205,44,24,54.5,20,45.5,16,8,5,7,4,6,20,30,14,19,3,16,11,27,13,0,37,35,51.4,FW
2202,Pedro López Muñoz,465,2,13,81.6,44.4,50,145,8,5,2018-2019,34,es ESP,Levante,es La Liga,8,465,5.2,4,4,19,0,1,1,0,0,0,0,191,234,81.6,5,14,7,4,22,3151,1259,102,108,94.4,67,81,82.7,18,34,52.9,13,11,0,2,0,0,0,2,2,0,0,0,0,0,145,907,535,15,12,2,5,1,149,19,12,6,50,6,50,5,3,5,0,0,3,7,42.9,4,8,3,5,8,13,7,0,4,5,44.4,DF
2203,Luis Suárez,"2,827",25,121,74.3,68.8,40,838,8,18,2018-2019,31,uy URU,Barcelona,es La Liga,33,"2,827",31.4,31,2,0,21,6,27,17,4,4,0,744,1001,74.3,47,40,38,5,97,11662,2187,414,506,81.8,204,273,74.7,78,101,77.2,121,86,0,11,8,15,1,25,15,0,5,1,4,0,838,4305,1984,73,50,53,76,53,1104,294,90,36,40,54,60,18,11,1,6,11,4,10,40,6,12,4,8,8,26,24,0,22,10,68.8,FW
2204,Lluis López,521,0,2,80.8,58.3,100,133,7,5,2018-2019,21,es ESP,Espanyol,es La Liga,6,521,5.8,5,1,5,0,0,0,0,0,0,0,198,245,80.8,0,12,0,0,18,3747,1582,74,86,86,97,113,85.8,23,41,56.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,133,775,476,3,2,0,1,1,173,0,1,1,100,0,0,5,3,4,1,0,3,6,50,3,6,2,4,7,12,21,0,14,10,58.3,DF
2205,Francis Coquelin,"1,761",1,42,85.8,64.8,81.8,623,49,46,2018-2019,27,fr FRA,Valencia,es La Liga,26,"1,761",19.6,20,6,2,0,1,1,0,0,0,0,836,974,85.8,18,100,4,1,106,14916,4550,380,425,89.4,314,343,91.5,105,145,72.4,42,40,0,1,1,0,0,1,1,0,0,0,0,0,623,2614,1230,18,13,1,16,26,773,19,33,27,81.8,6,18.2,46,31,25,14,7,17,35,48.6,18,21,5,16,49,95,29,1,35,19,64.8,MF
2206,Sergio Canales,"2,655",7,95,83.3,21.4,74.4,1375,9,44,2018-2019,27,es ESP,Betis,es La Liga,32,"2,655",29.5,30,2,1,7,2,9,5,2,2,0,1581,1898,83.3,55,106,38,9,181,25620,5038,787,846,93,585,664,88.1,133,254,52.4,95,63,20,6,1,4,1,7,5,0,1,0,1,0,1375,9073,4259,113,94,13,68,54,1684,182,78,58,74.4,20,25.6,44,30,19,18,7,11,53,20.8,42,34,3,31,9,53,8,1,6,22,21.4,MF
2207,Luisinho,507,0,5,83.7,0,71.4,152,16,14,2018-2019,33,pt POR,Huesca,es La Liga,7,507,5.6,6,1,2,0,0,0,0,0,0,0,206,246,83.7,3,12,4,2,16,3264,1059,111,116,95.7,82,98,83.7,10,24,41.7,5,3,1,0,1,0,0,0,0,0,0,0,0,0,152,1038,534,15,15,1,2,4,166,8,7,5,71.4,2,28.6,14,10,9,5,0,10,17,58.8,7,6,1,5,16,30,17,0,0,4,0,DF
2208,Paulo Oliveira,"2,245",0,5,68.4,63,50,540,36,49,2018-2019,26,pt POR,Eibar,es La Liga,28,"2,245",24.9,24,4,8,0,0,0,0,0,0,0,698,1020,68.4,1,65,1,0,83,16807,6155,129,170,75.9,394,488,80.7,165,323,51.1,5,4,0,0,1,0,0,0,0,0,0,0,0,0,540,2714,1243,9,5,0,7,2,580,0,2,1,50,1,50,49,39,33,16,0,28,44,63.6,16,25,10,15,36,85,116,0,75,44,63,DF
2209,Ezequiel Garay,"2,136",0,12,83.3,63.1,100,634,16,20,2018-2019,31,ar ARG,Valencia,es La Liga,24,"2,136",23.7,24,0,3,2,0,2,2,0,0,0,896,1075,83.3,4,89,3,0,82,18868,6953,266,293,90.8,480,529,90.7,142,235,60.4,12,11,0,0,1,0,0,0,0,0,0,0,0,0,634,4211,2418,16,10,1,4,0,793,2,2,2,100,0,0,20,17,15,3,2,9,18,50,9,30,23,7,16,36,140,0,70,41,63.1,DF
2210,Gerard Gumbau,"1,199",2,19,71.1,48.4,100,265,13,22,2018-2019,23,es ESP,Leganés,es La Liga,16,"1,199",13.3,13,3,11,1,1,2,0,1,1,0,320,450,71.1,7,22,5,3,41,5959,1712,143,166,86.1,131,168,78,42,94,44.7,19,9,2,0,2,4,2,2,1,0,0,1,0,0,265,943,411,11,10,1,10,3,316,23,5,5,100,0,0,22,16,9,13,0,6,25,24,19,15,2,13,13,35,13,0,15,16,48.4,MF
2211,Raúl Navas,"1,310",0,14,85.9,65.1,100,606,20,23,2018-2019,30,es ESP,Real Sociedad,es La Liga,16,"1,310",14.6,15,1,11,0,0,0,0,0,0,0,750,873,85.9,6,42,3,2,45,15651,5266,195,212,92,451,488,92.4,98,152,64.5,14,11,0,0,1,0,2,0,0,0,0,0,0,0,606,3573,1973,13,5,1,4,0,674,1,4,4,100,0,0,23,14,20,3,0,13,21,61.9,8,20,9,11,20,43,60,1,28,15,65.1,DF
2212,Vicente Iborra,"1,665",6,34,80,56.6,41.2,475,22,31,2018-2019,30,es ESP,Villarreal,es La Liga,19,"1,665",18.5,19,0,0,3,1,4,3,0,0,0,637,796,80,7,63,4,0,69,10504,2790,325,391,83.1,228,277,82.3,63,79,79.7,34,31,0,0,1,2,0,6,5,0,0,1,0,0,475,1728,670,7,11,3,16,14,624,48,17,7,41.2,10,58.8,31,18,22,5,4,14,37,37.8,23,25,7,18,22,53,41,1,82,63,56.6,MF
2213,Víctor Sánchez,"1,265",1,24,78.7,58.3,54.5,354,25,45,2018-2019,30,es ESP,Espanyol,es La Liga,24,"1,265",14.1,13,11,10,0,2,2,0,0,0,0,440,559,78.7,8,44,7,1,59,6718,2258,224,251,89.2,164,203,80.8,27,48,56.3,24,20,2,0,0,1,1,1,1,0,0,0,0,0,354,1608,652,11,14,3,17,13,459,34,11,6,54.5,5,45.5,45,30,21,17,7,14,67,20.9,53,17,2,15,25,70,25,0,21,15,58.3,MF
2214,Miguel Layún,506,1,16,69.2,20,45.5,158,1,8,2018-2019,30,mx MEX,Villarreal,es La Liga,8,506,5.6,5,3,5,0,1,1,0,0,0,0,193,279,69.2,11,19,5,5,18,3340,1015,100,118,84.7,63,87,72.4,24,60,40,16,5,9,1,1,0,0,1,0,1,0,0,0,0,158,861,424,10,7,0,14,7,213,45,11,5,45.5,6,54.5,8,2,0,7,1,2,6,33.3,4,8,2,6,1,9,10,0,1,4,20,"MF,DF"
2215,Gerard Piqué,"3,150",6,23,91.2,73.9,85.7,1660,36,42,2018-2019,31,es ESP,Barcelona,es La Liga,35,"3,150",35,35,0,1,4,2,6,4,0,0,0,2196,2407,91.2,6,143,2,0,127,42386,14988,781,844,92.5,1154,1215,95,242,307,78.8,23,15,0,2,4,1,1,6,2,0,1,2,1,0,1660,9033,5679,32,28,2,17,11,1847,13,14,12,85.7,2,14.3,42,27,25,17,0,24,37,64.9,13,41,27,14,36,78,154,5,116,41,73.9,DF
2216,Javier Eraso,631,1,17,75.2,36.4,42.9,174,7,6,2018-2019,28,es ESP,Leganés,es La Liga,13,631,7,9,4,6,0,0,0,0,0,0,0,176,234,75.2,7,17,1,0,16,2637,501,101,122,82.8,56,67,83.6,10,25,40,17,9,5,1,0,2,0,1,0,0,0,0,1,0,174,705,296,8,7,0,12,13,185,43,7,3,42.9,4,57.1,6,3,3,2,1,0,6,0,6,3,1,2,7,13,4,0,8,14,36.4,"MF,FW"
2217,Beñat Etxebarria,"2,031",3,66,79.7,54.1,60,697,24,47,2018-2019,31,es ESP,Athletic Club,es La Liga,27,"2,031",22.6,25,2,3,1,2,3,1,0,0,0,1026,1287,79.7,32,117,17,2,138,19358,5684,433,482,89.8,395,457,86.4,160,277,57.8,66,36,27,0,3,0,0,3,0,3,0,0,0,0,697,2800,1183,14,17,2,10,23,891,22,15,9,60,6,40,47,24,14,25,8,19,59,32.2,40,18,1,17,24,71,11,0,20,17,54.1,MF
2218,José Luis Gayà,"3,137",5,66,79.1,43.6,57.4,1056,43,83,2018-2019,23,es ESP,Valencia,es La Liga,35,"3,137",34.9,35,0,0,1,1,2,1,0,0,0,1437,1816,79.1,25,127,36,15,158,23651,8165,735,817,90,567,694,81.7,114,217,52.5,66,58,2,4,0,2,0,5,4,0,0,0,1,0,1056,6167,3680,96,50,16,31,17,1249,159,68,39,57.4,29,42.6,83,59,56,20,7,46,80,57.5,34,48,6,42,43,126,105,1,34,44,43.6,DF
2219,Sergio Escudero,"1,545",2,33,78.6,38.6,60,603,24,43,2018-2019,28,es ESP,Sevilla,es La Liga,21,"1,545",17.2,18,3,2,0,1,1,0,0,0,0,753,958,78.6,11,57,26,6,107,12000,4798,394,435,90.6,290,348,83.3,51,121,42.1,33,26,2,2,1,2,0,2,2,0,0,0,0,0,603,2909,1783,40,30,4,24,11,642,90,20,12,60,8,40,43,29,20,18,5,18,35,51.4,17,22,4,18,24,67,52,0,22,35,38.6,"DF,FW"
2220,Sofiane Boufal,"2,085",13,116,75.6,47.2,64.3,888,10,35,2018-2019,24,ma MAR,Celta Vigo,es La Liga,35,"2,085",23.2,25,10,1,3,3,6,3,0,0,0,659,872,75.6,40,47,31,2,95,9701,2415,382,441,86.6,188,257,73.2,48,91,52.7,116,54,9,32,7,13,1,13,7,0,1,1,4,0,888,7683,4395,154,113,44,90,64,953,126,224,144,64.3,80,35.7,35,21,18,11,6,15,47,31.9,32,24,0,24,10,45,12,0,17,19,47.2,"MF,FW"
