,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2401,Yannick Bolasie,851,1,12,53.2,55,47.2,257,4,8,2017-2018,28,cd COD,Everton,eng Premier League,16,851,9.5,11,5,4,1,0,1,1,0,0,0,143,269,53.2,4,8,8,5,20,2088,555,84,119,70.6,42,85,49.4,9,34,26.5,12,9,0,0,1,2,0,1,1,0,0,0,0,0,257,1939,961,39,24,5,30,25,269,52,36,17,47.2,19,52.8,8,7,4,1,3,2,7,28.6,5,5,0,5,4,12,8,0,11,9,55,FW
2402,Matt Ritchie,"2,804",8,106,65.2,28.9,50,822,35,46,2017-2018,27,sct SCO,Newcastle Utd,eng Premier League,35,"2,804",31.2,32,3,3,3,5,8,3,0,0,0,834,1279,65.2,52,65,28,14,93,13965,4500,418,488,85.7,267,399,66.9,108,280,38.6,106,63,25,5,6,6,1,8,3,4,0,1,0,0,822,4234,1754,53,41,8,49,30,931,139,32,16,50,16,50,46,32,22,18,6,14,53,26.4,39,37,5,32,35,81,63,1,33,81,28.9,"MF,FW"
2403,Idrissa Gana Gueye,"2,751",3,49,84,50.8,66.7,1009,62,117,2017-2018,27,sn SEN,Everton,eng Premier League,33,"2,751",30.6,32,1,1,2,1,3,2,0,0,0,1338,1593,84,16,152,12,3,128,21000,5702,706,793,89,479,558,85.8,93,132,70.5,49,40,0,2,0,3,4,3,1,0,0,0,0,2,1009,5042,2344,26,28,2,42,32,1168,27,27,18,66.7,9,33.3,117,93,65,41,11,35,86,40.7,51,59,9,50,62,179,48,1,33,32,50.8,MF
2404,Shane Duffy,"3,292",2,13,76.4,68.3,85.7,749,50,31,2017-2018,25,ie IRL,Brighton,eng Premier League,37,"3,292",36.6,37,0,0,0,1,1,0,0,0,0,1045,1368,76.4,8,35,3,2,39,23174,7843,271,328,82.6,544,624,87.2,213,373,57.1,13,8,0,0,3,2,0,2,1,0,0,0,1,0,749,3575,1943,8,5,0,15,2,939,10,7,6,85.7,1,14.3,31,19,22,9,0,7,20,35,13,66,59,7,50,81,332,5,192,89,68.3,DF
2405,Steven Defour,"1,997",3,45,81.5,29.4,81.3,664,46,33,2017-2018,29,be BEL,Burnley,eng Premier League,24,"1,997",22.2,24,0,0,1,1,2,1,0,0,0,865,1062,81.5,19,89,25,10,117,15646,4797,365,412,88.6,389,443,87.8,93,161,57.8,45,40,0,1,4,0,0,3,3,0,0,0,0,0,664,3651,1981,38,29,2,23,7,766,30,16,13,81.3,3,18.8,33,22,12,18,3,10,46,21.7,36,35,7,28,46,79,25,0,5,12,29.4,MF
2406,Markus Suttner,"1,179",0,17,71,51.9,20,298,12,25,2017-2018,30,at AUT,Brighton,eng Premier League,14,"1,179",13.1,13,1,8,0,0,0,0,0,0,0,435,613,71,6,39,7,4,56,8260,3590,184,208,88.5,178,238,74.8,64,141,45.4,17,13,3,0,1,0,0,0,0,0,0,0,0,0,298,1474,860,17,16,0,6,2,363,32,5,1,20,4,80,25,15,18,4,3,10,22,45.5,12,16,2,14,12,37,49,1,14,13,51.9,DF
2407,Peter Crouch,"1,567",2,37,58.3,66.6,75,294,1,2,2017-2018,36,eng ENG,Stoke City,eng Premier League,31,"1,567",17.4,14,17,4,5,2,7,5,0,0,0,375,643,58.3,21,40,7,0,41,4463,1102,282,447,63.1,68,122,55.7,9,16,56.3,37,35,0,0,1,1,0,2,2,0,0,0,0,0,294,931,302,9,9,0,36,22,631,85,8,6,75,2,25,2,0,0,1,1,0,12,0,12,7,4,3,1,3,31,0,243,122,66.6,FW
2408,Angelo Ogbonna,"2,880",0,18,79.4,52.7,81.8,645,58,30,2017-2018,29,it ITA,West Ham,eng Premier League,32,"2,880",32,32,0,5,1,0,1,1,0,0,0,811,1021,79.4,7,46,4,1,44,17054,6402,232,266,87.2,451,520,86.7,120,210,57.1,18,12,1,1,2,2,0,0,0,0,0,0,0,0,645,3619,1593,4,6,0,8,4,694,4,11,9,81.8,2,18.2,30,24,18,10,2,8,18,44.4,10,40,27,13,58,88,197,1,79,71,52.7,DF
2409,Jack Cork,"3,420",5,67,79.7,39.5,73.8,966,41,60,2017-2018,28,eng ENG,Burnley,eng Premier League,38,"3,420",38,38,0,0,2,1,3,2,0,0,0,1281,1608,79.7,19,127,11,1,165,21883,5582,583,680,85.7,499,597,83.6,136,208,65.4,67,53,2,2,3,5,2,5,4,0,0,1,0,0,966,4955,1898,39,40,2,67,44,1159,41,42,31,73.8,11,26.2,60,44,25,27,8,20,62,32.3,42,36,15,21,41,101,86,1,51,78,39.5,MF
