,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
201,Andy Diouf,"1,314",2,51,80.2,41.7,51.7,685,3,28,2023-2024,20,fr FRA,Lens,fr Ligue 1,25,"1,314",14.6,16,9,8,1,0,1,1,0,0,0,591,737,80.2,21,46,14,0,80,8535,2144,316,369,85.6,216,251,86.1,25,50,50,51,31,10,5,2,2,1,2,2,0,0,0,0,0,685,4841,2511,63,48,8,29,30,640,55,58,30,51.7,26,44.8,28,19,12,11,5,14,22,63.6,8,13,3,10,3,31,5,1,10,14,41.7,MF
202,Tosin Aiyegun,902,1,13,75.9,37.5,46.2,227,2,6,2023-2024,25,bj BEN,Lorient,fr Ligue 1,19,902,10,10,9,3,2,0,2,2,0,0,0,154,203,75.9,7,7,2,0,16,2377,486,73,98,74.5,58,70,82.9,10,15,66.7,13,12,0,0,0,1,0,1,0,0,0,0,1,0,227,1660,686,17,10,6,18,13,218,52,26,12,46.2,13,50,6,4,2,3,1,3,9,33.3,6,4,1,3,2,8,8,0,6,10,37.5,"MF,FW"
203,Alexandre Lacazette,"2,293",9,56,70.8,40.3,52.4,576,8,19,2023-2024,32,fr FRA,Lyon,fr Ligue 1,29,"2,293",25.5,27,2,0,19,2,21,17,2,2,0,397,561,70.8,21,38,17,2,61,5653,1574,211,283,74.6,113,156,72.4,29,46,63,56,39,0,5,6,6,0,9,4,0,2,1,2,0,576,2746,910,22,20,10,55,37,567,144,42,22,52.4,17,40.5,19,12,8,9,2,5,17,29.4,12,22,3,19,8,27,9,0,27,40,40.3,FW
204,Cheikh Tidiane Sabaly,"1,379",4,39,78.4,22.7,44.9,411,10,40,2023-2024,24,sn SEN,Metz,fr Ligue 1,29,"1,379",15.3,17,12,2,3,1,4,3,0,0,0,290,370,78.4,9,23,4,0,36,4575,1070,139,175,79.4,123,150,82,17,21,81,39,28,0,4,2,4,1,4,3,0,0,1,0,0,411,3102,1300,37,32,14,34,19,357,75,69,31,44.9,36,52.2,40,20,23,12,5,16,40,40,24,19,2,17,10,50,14,0,5,17,22.7,"FW,MF"
205,Désiré Doué,"1,626",12,88,73.9,28.6,60.4,828,14,32,2023-2024,18,fr FRA,Rennes,fr Ligue 1,31,"1,626",18.1,17,14,1,4,4,8,4,0,0,0,576,779,73.9,31,64,45,8,121,9991,3047,268,333,80.5,226,291,77.7,63,106,59.4,88,56,4,14,4,7,3,12,6,0,3,1,1,1,828,6050,2891,78,73,29,58,44,827,172,106,64,60.4,31,29.2,32,18,11,14,7,10,33,30.3,23,30,1,29,14,46,8,0,6,15,28.6,"MF,FW"
206,Neto Borges,"2,516",3,50,80.7,45.1,51.9,1131,57,48,2023-2024,26,br BRA,Clermont Foot,fr Ligue 1,28,"2,516",28,28,0,0,0,1,1,0,0,0,0,1148,1422,80.7,25,62,17,10,88,18050,6542,570,644,88.5,472,572,82.5,60,126,47.6,50,37,5,2,2,3,1,3,1,0,0,0,2,0,1131,7202,3464,58,45,17,31,11,1021,165,54,28,51.9,21,38.9,48,24,25,18,5,28,63,44.4,35,28,6,22,57,105,84,0,37,45,45.1,DF
207,Ismail Jakobs,"1,466",8,50,71.6,55.9,71.4,663,11,57,2023-2024,23,sn SEN,Monaco,fr Ligue 1,22,"1,466",16.3,16,6,2,1,2,3,1,0,0,0,626,874,71.6,17,44,20,10,56,9832,3149,317,380,83.4,256,347,73.8,35,100,35,50,32,9,1,4,2,2,8,6,1,0,1,0,0,663,3473,1345,44,32,13,29,6,627,133,14,10,71.4,3,21.4,57,41,27,21,9,29,47,61.7,18,19,2,17,11,68,40,0,38,30,55.9,DF
208,Stijn Spierings,"1,634",3,42,86.6,62.5,41.7,976,28,54,2023-2024,27,nl NED,2 Teams,fr Ligue 1,26,"1,634",18.2,17,9,3,0,1,1,0,0,0,0,994,1148,86.6,14,150,8,0,166,17761,5826,434,482,90,419,458,91.5,109,151,72.2,42,35,1,1,3,1,1,3,3,0,0,0,0,0,976,4927,2211,16,36,0,13,16,872,26,12,5,41.7,6,50,54,40,26,21,7,30,53,56.6,23,24,6,18,28,82,33,0,15,9,62.5,MF
209,Emanuel Emegha,"2,078",5,28,73.1,33.3,29.4,352,2,8,2023-2024,20,nl NED,Strasbourg,fr Ligue 1,28,"2,078",23.1,23,5,0,8,1,9,8,0,1,1,215,294,73.1,9,11,2,0,11,2721,378,124,168,73.8,69,90,76.7,1,5,20,28,16,0,5,3,4,0,5,1,0,1,2,1,0,352,2016,598,24,19,13,46,29,366,115,34,10,29.4,22,64.7,8,5,2,4,2,4,9,44.4,5,13,3,10,2,10,25,0,33,66,33.3,FW
