,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2601,Mattia De Sciglio,968,2,19,87.8,68.4,90.9,520,14,22,2017-2018,24,it ITA,Juventus,it Serie A,12,968,10.8,10,2,11,1,0,1,1,0,0,0,705,803,87.8,6,52,6,3,59,12231,3667,323,348,92.8,306,344,89,66,84,78.6,19,19,0,0,0,0,0,2,2,0,0,0,0,0,520,2388,1326,23,17,1,7,6,612,46,11,10,90.9,1,9.1,22,17,7,13,2,9,13,69.2,4,12,2,10,14,36,32,0,13,6,68.4,DF
2602,Luca Cigarini,"2,024",6,76,76.5,48.6,71.4,837,42,42,2017-2018,31,it ITA,Cagliari,it Serie A,26,"2,024",22.5,24,2,2,2,3,5,2,0,1,1,1239,1620,76.5,40,151,25,2,182,23711,8640,474,533,88.9,555,687,80.8,177,341,51.9,76,34,32,1,6,3,0,6,0,3,0,2,1,0,837,3427,1773,25,19,2,17,14,1088,18,14,10,71.4,4,28.6,42,30,16,25,1,18,64,28.1,46,32,5,27,42,84,27,1,18,19,48.6,MF
2603,Valentin Eysseric,706,4,42,73.5,40.9,81,284,6,17,2017-2018,25,fr FRA,Fiorentina,it Serie A,21,706,7.8,8,13,16,1,1,2,1,0,0,0,300,408,73.5,23,30,13,0,47,4693,1277,176,204,86.3,83,109,76.1,28,60,46.7,42,27,6,3,3,2,1,4,3,0,0,1,0,0,284,1492,721,27,17,6,14,18,350,66,21,17,81,4,19,17,13,7,4,6,6,20,30,14,10,2,8,6,23,6,0,9,13,40.9,"FW,MF"
2604,Mario Mandžukić,"2,324",7,54,74.3,61.4,63.2,600,25,36,2017-2018,31,hr CRO,Juventus,it Serie A,32,"2,324",25.8,27,5,0,5,1,6,5,0,0,0,739,995,74.3,25,30,14,1,60,11107,1918,418,520,80.4,232,299,77.6,50,79,63.3,54,43,1,0,6,4,0,7,6,0,0,1,0,0,600,3170,1086,29,21,4,40,32,911,234,19,12,63.2,7,36.8,36,23,13,11,12,8,29,27.6,21,20,3,17,25,61,42,2,78,49,61.4,FW
2605,Cristian Dell'Orco,421,0,3,65.7,53.8,100,95,10,4,2017-2018,23,it ITA,Sassuolo,it Serie A,8,421,4.7,5,3,10,0,0,0,0,0,0,0,115,175,65.7,2,11,2,0,12,2200,943,47,57,82.5,51,67,76.1,16,44,36.4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,95,562,317,4,1,0,1,4,98,2,5,5,100,0,0,4,1,1,2,1,1,3,33.3,2,5,1,4,10,14,19,0,7,6,53.8,DF
2606,Federico Chiesa,"3,012",20,147,71.7,25.8,54.3,1052,18,62,2017-2018,19,it ITA,Fiorentina,it Serie A,36,"3,012",33.5,35,1,0,6,4,10,6,0,0,0,753,1050,71.7,57,45,46,11,106,11162,3167,435,508,85.6,235,333,70.6,45,100,45,147,95,2,17,16,12,5,20,12,0,3,0,5,0,1052,8245,4506,164,107,57,87,75,1098,339,140,76,54.3,64,45.7,62,41,22,22,18,16,54,29.6,38,34,1,33,18,80,16,0,8,23,25.8,"FW,MF"
2607,Cristián Zapata,994,0,9,89.1,72.7,85.7,418,15,25,2017-2018,30,co COL,Milan,it Serie A,12,994,11,11,1,24,0,0,0,0,0,0,0,629,706,89.1,4,48,3,0,64,12059,4621,232,248,93.5,318,341,93.3,75,105,71.4,9,8,0,0,1,0,0,0,0,0,0,0,0,0,418,2473,1628,20,8,2,2,0,536,6,7,6,85.7,1,14.3,25,20,21,4,0,15,16,93.8,1,12,6,6,15,40,50,1,32,12,72.7,DF
2608,Andrea Poli,"2,543",5,47,88.7,18.2,69,1060,43,66,2017-2018,27,it ITA,Bologna,it Serie A,32,"2,543",28.3,32,0,2,2,0,2,2,0,0,0,1127,1270,88.7,14,97,19,3,113,18037,4250,567,616,92,455,489,93,74,90,82.2,47,35,0,3,0,6,3,5,5,0,0,0,0,0,1060,4228,1691,19,31,2,37,33,1069,79,29,20,69,9,31,66,53,33,27,6,18,64,28.1,46,55,3,52,43,109,27,0,10,45,18.2,MF
2609,Stefan Simić,555,0,0,78.2,56.3,0,132,10,13,2017-2018,22,cz CZE,Crotone,it Serie A,9,555,6.2,6,3,17,0,0,0,0,0,0,0,165,211,78.2,0,6,0,0,10,3861,1377,23,30,76.7,115,131,87.8,27,46,58.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,628,307,3,0,0,1,0,127,2,1,0,0,1,100,13,8,11,2,0,10,11,90.9,1,6,3,3,10,23,44,0,9,7,56.3,DF
