,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
401,Wahbi Khazri,"1,635",7,42,71.2,36.7,45.9,516,9,26,2022-2023,31,tn TUN,Montpellier,fr Ligue 1,27,"1,635",18.2,20,7,2,4,1,5,4,0,0,0,344,483,71.2,19,41,12,2,49,6049,1925,159,199,79.9,110,143,76.9,53,90,58.9,42,21,8,3,5,4,1,7,3,0,0,3,1,0,516,3522,1530,40,17,22,49,30,472,91,61,28,45.9,24,39.3,26,13,13,7,6,6,25,24,19,17,1,16,9,35,20,0,18,31,36.7,"FW,MF"
402,Xavier Chavalerin,"2,426",3,41,81.9,55.2,52.9,939,41,82,2022-2023,31,fr FRA,Troyes,fr Ligue 1,34,"2,426",27,25,9,3,4,2,6,4,0,0,0,875,1068,81.9,22,77,12,5,95,14453,4866,415,465,89.2,349,403,86.6,69,119,58,41,31,4,2,2,0,2,3,2,0,0,1,0,0,939,4366,1543,18,21,5,24,12,840,49,17,9,52.9,5,29.4,82,50,39,30,13,27,71,38,44,31,8,23,41,123,24,0,16,13,55.2,MF
403,Stéphane Diarra,"1,066",5,35,73.2,38.5,30.8,381,22,25,2022-2023,23,fr FRA,Lorient,fr Ligue 1,28,"1,066",11.8,14,14,9,2,0,2,2,0,0,0,240,328,73.2,11,8,12,1,33,3312,1087,138,180,76.7,82,107,76.6,9,15,60,35,20,2,5,2,5,1,5,1,0,2,0,1,1,381,2900,1516,40,25,20,32,14,306,85,78,24,30.8,45,57.7,25,17,14,9,2,11,29,37.9,18,13,1,12,22,47,9,0,5,8,38.5,"FW,MF"
404,Colin Dagba,958,2,23,80.8,37.5,44,402,17,32,2022-2023,23,fr FRA,Strasbourg,fr Ligue 1,21,958,10.6,12,9,6,0,0,0,0,0,0,0,401,496,80.8,12,26,15,8,31,5529,2050,260,290,89.7,116,148,78.4,12,31,38.7,23,19,2,1,0,1,0,2,2,0,0,0,0,0,402,2384,1286,26,21,5,9,10,361,48,25,11,44,12,48,32,20,17,10,5,19,26,73.1,7,18,2,16,17,49,19,0,3,5,37.5,"DF,MF"
405,Moussa Sissoko,"1,918",1,35,79.8,51.1,41.7,700,16,26,2022-2023,32,fr FRA,Nantes,fr Ligue 1,30,"1,918",21.3,22,8,2,2,0,2,2,0,0,0,628,787,79.8,17,80,10,6,105,10251,3230,292,356,82,257,299,86,45,71,63.4,35,32,0,0,3,0,0,1,1,0,0,0,0,0,700,4357,2141,33,30,4,29,18,618,70,36,15,41.7,19,52.8,26,16,16,7,3,12,18,66.7,6,22,5,17,16,42,17,0,24,23,51.1,MF
406,Marshall Munetsi,"2,700",5,75,73.5,54.2,45.5,818,26,58,2022-2023,26,zw ZIM,Reims,fr Ligue 1,34,"2,700",30,31,3,0,7,3,10,7,0,0,0,651,886,73.5,31,71,11,2,95,10519,3417,306,394,77.7,248,313,79.2,56,109,51.4,75,60,0,3,5,6,1,5,3,0,1,0,1,0,818,4165,1792,33,17,9,53,16,732,87,44,20,45.5,18,40.9,58,27,13,31,14,20,48,41.7,28,37,11,26,26,84,41,1,58,49,54.2,MF
407,Haris Belkebla,"2,656",2,39,84.5,40,32.4,1097,52,80,2022-2023,28,dz ALG,Brest,fr Ligue 1,38,"2,656",29.5,30,8,0,2,0,2,1,1,1,0,1033,1222,84.5,10,107,9,1,129,18238,4759,430,484,88.8,471,524,89.9,100,146,68.5,39,33,0,0,0,4,2,2,1,0,0,0,1,0,1097,5725,2432,19,25,4,37,27,946,37,34,11,32.4,15,44.1,80,48,35,40,5,44,85,51.8,41,32,6,26,52,132,21,3,20,30,40,MF
408,Mario Lemina,838,1,12,89.3,55.6,68.8,579,11,32,2022-2023,28,ga GAB,Nice,fr Ligue 1,14,838,9.3,11,3,0,0,0,0,0,0,0,0,569,637,89.3,4,44,3,0,46,9544,2701,253,268,94.4,252,265,95.1,42,75,56,12,11,0,0,0,0,1,1,1,0,0,0,0,0,579,2983,1278,14,14,0,4,1,549,10,16,11,68.8,5,31.3,32,21,11,14,7,12,18,66.7,6,13,5,8,11,43,20,0,5,4,55.6,"MF,DF"
409,Alexis Sánchez,"2,679",11,116,72.9,33.3,52.4,950,5,27,2022-2023,33,cl CHI,Marseille,fr Ligue 1,35,"2,679",29.8,32,3,2,14,3,17,12,2,3,1,681,934,72.9,55,65,64,5,127,11500,2775,320,426,75.1,238,306,77.8,76,105,72.4,116,87,2,5,10,11,1,11,5,0,1,3,2,0,950,4916,1398,42,24,20,85,62,961,232,82,43,52.4,32,39,27,17,5,16,6,3,24,12.5,21,14,0,14,5,32,6,0,35,70,33.3,"FW,MF"
410,Eduard Sobol,870,2,20,76.2,64.3,44,300,8,19,2022-2023,27,ua UKR,Strasbourg,fr Ligue 1,15,870,9.7,9,6,1,0,1,1,0,0,0,0,298,391,76.2,8,25,10,3,34,4795,1729,156,179,87.2,108,151,71.5,21,43,48.8,20,13,0,2,0,3,2,2,1,0,0,0,0,1,300,1781,771,16,15,2,12,7,277,54,25,11,44,9,36,19,10,10,6,3,9,13,69.2,4,10,1,9,8,27,19,0,9,5,64.3,DF
411,Dango Ouattara,"1,548",15,63,60.1,49.3,35.4,502,19,41,2022-2023,20,bf BFA,Lorient,fr Ligue 1,18,"1,548",17.2,18,0,0,6,5,11,6,0,0,0,267,444,60.1,23,20,23,2,39,3726,1232,151,220,68.6,85,152,55.9,13,34,38.2,63,31,1,12,5,11,3,15,6,0,4,1,3,1,502,3755,1766,64,28,34,45,22,457,151,79,28,35.4,35,44.3,41,26,20,11,10,15,28,53.6,13,24,6,18,19,60,21,0,37,38,49.3,"FW,MF"
412,Marcus Coco,641,0,19,71.7,34,46.7,232,14,24,2022-2023,26,fr FRA,Nantes,fr Ligue 1,26,641,7.1,6,20,10,1,0,1,1,0,0,0,175,244,71.7,10,15,8,5,26,2841,897,97,124,78.2,48,67,71.6,20,35,57.1,19,17,0,2,0,0,0,0,0,0,0,0,0,0,232,1445,733,23,9,4,17,11,210,56,15,7,46.7,8,53.3,24,15,11,9,4,11,23,47.8,12,13,3,10,14,38,7,0,17,33,34,"FW,MF"
413,Stephy Mavididi,"1,288",4,44,74.2,31.3,43.2,392,4,24,2022-2023,24,eng ENG,Montpellier,fr Ligue 1,26,"1,288",14.3,14,12,1,4,2,6,4,0,0,0,236,318,74.2,13,11,6,1,22,3260,618,127,164,77.4,68,82,82.9,16,24,66.7,44,22,0,8,7,5,2,4,3,0,1,0,0,0,392,2852,1175,34,37,11,39,32,356,91,74,32,43.2,37,50,24,19,12,8,4,13,27,48.1,14,21,1,20,4,28,10,0,10,22,31.3,FW
