,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1,Callum Wright,804,4,24,73.4,23.8,30,220,7,13,2023-2024,23,eng ENG,Plymouth Argyle,eng Championship,21,804,8.9,8,13,10,0,1,1,0,0,0,0,201,274,73.4,6,14,9,2,29,3196,888,115,136,84.6,69,95,72.6,15,28,53.6,24,20,0,1,3,0,0,4,3,0,0,1,0,0,220,1356,580,20,13,11,18,6,264,54,20,6,30,13,65,13,8,5,2,6,7,14,50,7,8,0,8,7,20,4,0,5,16,23.8,"MF,FW"
2,Samuel Edozie,"1,364",3,62,77.1,45.5,46,495,9,31,2023-2024,20,eng ENG,Southampton,eng Championship,32,"1,364",15.2,16,16,12,6,3,9,6,0,0,0,381,494,77.1,25,6,32,6,45,4908,976,273,321,85,86,121,71.1,9,19,47.4,62,45,0,10,3,3,1,3,3,0,0,0,0,0,495,4078,2231,106,38,64,40,19,574,235,113,52,46,55,48.7,31,17,13,8,10,10,24,41.7,14,16,3,13,9,40,9,0,10,12,45.5,"FW,MF"
3,Onel Hernández,"1,184",7,52,72.5,44.4,40,334,13,32,2023-2024,30,cu CUB,Norwich City,eng Championship,30,"1,184",13.2,13,17,1,0,2,2,0,0,0,0,259,357,72.5,21,20,9,2,41,3951,789,138,157,87.9,99,130,76.2,13,27,48.1,52,36,0,8,3,4,1,7,4,0,2,0,1,0,334,2645,1425,61,27,27,44,25,337,94,60,24,40,31,51.7,32,14,15,11,6,12,35,34.3,23,23,1,22,13,45,7,0,4,5,44.4,"FW,MF"
4,Morgan Fox,"1,150",0,10,74,43.6,0,366,12,25,2023-2024,29,wls WAL,QPR,eng Championship,20,"1,150",12.8,13,7,10,1,0,1,1,0,0,0,456,616,74,3,27,4,2,28,9705,4684,133,159,83.6,240,280,85.7,80,160,50,10,10,0,0,0,0,0,0,0,0,0,0,0,0,366,1329,593,4,4,0,5,1,432,10,1,0,0,1,100,25,16,12,11,2,11,14,78.6,3,9,9,0,12,37,57,0,17,22,43.6,DF
5,Josh Ruffels,777,1,14,59.8,40.5,0,155,14,17,2023-2024,29,eng ENG,Huddersfield,eng Championship,11,777,8.6,10,1,1,0,0,0,0,0,0,0,220,368,59.8,8,22,10,8,27,4302,1911,83,105,79,98,164,59.8,34,76,44.7,14,13,1,0,0,0,0,1,1,0,0,0,0,0,155,656,353,6,2,0,5,2,202,20,1,0,0,1,100,17,11,9,8,0,4,15,26.7,11,10,1,9,14,31,22,0,15,22,40.5,DF
6,Cameron Pring,"3,403",2,70,68,58.4,50.7,1148,53,85,2023-2024,25,eng ENG,Bristol City,eng Championship,42,"3,403",37.8,39,3,0,1,3,4,1,0,0,0,1390,2044,68,33,102,33,12,140,23334,7065,687,791,86.9,586,830,70.6,103,314,32.8,70,59,5,1,2,2,1,2,1,1,0,0,0,0,1148,7113,3783,105,64,21,62,38,1357,125,69,35,50.7,28,40.6,85,58,53,25,7,51,92,55.4,41,65,25,40,53,138,99,0,94,67,58.4,DF
7,Kieffer Moore,"1,140",4,32,58,66.9,31.6,221,3,11,2023-2024,30,wls WAL,Ipswich Town,eng Championship,18,"1,140",12.7,14,4,0,7,1,8,7,0,0,0,181,312,58,13,16,6,0,29,2885,437,95,152,62.5,63,107,58.9,16,22,72.7,32,23,1,1,5,2,0,4,3,0,0,1,0,0,221,958,310,10,12,4,38,12,368,81,19,6,31.6,13,68.4,11,7,0,7,4,4,8,50,4,9,4,5,3,14,15,0,87,43,66.9,FW
8,Delano Burgzorg,"2,206",4,65,73.1,31,45.3,396,8,13,2023-2024,24,sr SUR,Huddersfield,eng Championship,33,"2,206",24.5,25,8,1,7,2,9,6,1,1,0,274,375,73.1,24,13,18,1,32,3663,612,184,216,85.2,64,84,76.2,14,24,58.3,65,41,1,9,3,10,1,4,2,0,1,1,0,0,396,2834,1145,41,24,35,74,38,423,137,86,39,45.3,39,45.3,13,7,5,6,2,5,13,38.5,8,14,1,13,8,21,7,0,13,29,31,FW
9,Tom Dele-Bashiru,"2,257",2,44,87.6,41.2,48.8,663,28,39,2023-2024,23,ng NGA,Watford,eng Championship,35,"2,257",25.1,28,7,5,2,2,4,1,1,1,0,914,1043,87.6,18,59,17,0,92,15088,3760,411,460,89.3,428,468,91.5,53,76,69.7,44,41,0,1,1,1,0,2,2,0,0,0,0,0,663,3717,1748,30,31,3,33,23,794,38,43,21,48.8,15,34.9,39,26,18,16,5,16,28,57.1,12,22,6,16,28,67,29,2,14,20,41.2,"MF,DF"
