,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
601,Bradley Barcola,"1,440",10,39,69.5,33.3,50,481,19,25,2022-2023,19,fr FRA,Lyon,fr Ligue 1,26,"1,440",16,15,11,5,5,8,13,5,0,0,0,324,466,69.5,25,21,20,4,39,4152,1140,210,276,76.1,85,124,68.5,8,17,47.1,39,32,0,4,2,0,1,10,10,0,0,0,0,0,481,3202,1403,51,30,30,36,8,444,156,80,40,50,38,47.5,25,16,8,10,7,8,39,20.5,31,29,0,29,19,44,10,0,16,32,33.3,"FW,MF"
602,Flavien Tait,"1,680",7,59,85.8,41.2,48.9,1056,20,30,2022-2023,29,fr FRA,Rennes,fr Ligue 1,30,"1,680",18.7,19,11,5,2,2,4,2,0,0,0,933,1087,85.8,22,119,29,1,154,16420,4480,410,467,87.8,375,416,90.1,111,139,79.9,59,45,0,6,3,1,4,7,5,0,2,0,0,0,1056,6119,2800,52,46,13,25,29,962,56,45,22,48.9,17,37.8,30,15,8,17,5,19,42,45.2,23,16,4,12,20,50,12,0,7,10,41.2,MF
603,Eric Bailly,543,0,2,84.3,50,50,218,12,13,2022-2023,28,ci CIV,Marseille,fr Ligue 1,17,543,6,5,12,7,0,0,0,0,0,0,0,231,274,84.3,0,17,0,0,12,4679,1676,72,82,87.8,118,141,83.7,38,45,84.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,218,1355,619,4,2,0,8,3,182,4,4,2,50,2,50,13,10,6,6,1,7,7,100,0,15,12,3,12,25,18,1,15,15,50,DF
604,Carlos Baleba,478,2,11,83,46.7,53.6,302,1,13,2022-2023,18,cm CMR,Lille,fr Ligue 1,19,478,5.3,5,14,13,0,0,0,0,0,0,0,249,300,83,2,33,2,0,33,4837,877,98,114,86,103,119,86.6,41,51,80.4,11,7,0,1,1,2,0,2,0,0,0,0,2,0,302,1903,1027,16,16,2,12,17,284,12,28,15,53.6,9,32.1,13,11,2,9,2,9,14,64.3,5,13,3,10,1,14,3,2,7,8,46.7,MF
605,Azor Matusiwa,"2,484",3,68,85.1,47.8,69.6,1383,46,66,2022-2023,24,nl NED,Reims,fr Ligue 1,30,"2,484",27.6,29,1,0,0,0,0,0,0,0,0,1376,1617,85.1,24,148,13,0,213,26423,8698,508,605,84,636,702,90.6,192,234,82.1,68,64,0,0,2,1,1,3,3,0,0,0,0,0,1383,6842,3122,15,26,0,24,12,1203,18,23,16,69.6,5,21.7,66,41,30,29,7,36,61,59,25,37,11,26,46,112,52,0,32,35,47.8,MF
606,Waren Kamanzi,665,0,11,85.5,33.3,55.6,293,8,16,2022-2023,21,no NOR,Toulouse,fr Ligue 1,11,665,7.4,7,4,10,0,0,0,0,0,0,0,306,358,85.5,5,17,2,0,22,4140,1289,187,208,89.9,98,123,79.7,7,10,70,11,10,0,0,1,0,0,0,0,0,0,0,0,0,293,1715,1007,22,22,4,6,6,252,28,18,10,55.6,5,27.8,16,9,9,5,2,13,19,68.4,6,8,2,6,8,24,9,0,3,6,33.3,DF
607,Kevin Spadanuda,"1,063",1,14,80.3,21.7,52.3,280,11,29,2022-2023,25,ch SUI,Ajaccio,fr Ligue 1,22,"1,063",11.8,13,9,7,0,1,1,0,0,0,0,212,264,80.3,8,15,2,0,17,3060,542,116,141,82.3,78,93,83.9,8,14,57.1,14,10,0,0,2,1,1,1,0,0,0,0,0,1,280,1971,758,17,12,8,29,21,247,56,44,23,52.3,17,38.6,29,18,15,9,5,12,33,36.4,21,18,0,18,11,40,5,0,5,18,21.7,"MF,FW"
608,Montassar Talbi,"3,420",2,11,89,65.7,63.6,1681,40,53,2022-2023,24,tn TUN,Lorient,fr Ligue 1,38,"3,420",38,38,0,0,1,2,3,1,0,0,0,1753,1970,89,5,40,2,1,61,31264,10740,614,653,94,970,1030,94.2,113,218,51.8,11,9,1,0,1,0,0,2,2,0,0,0,0,0,1681,10840,5959,13,7,0,14,8,1547,0,11,7,63.6,4,36.4,53,25,40,13,0,22,35,62.9,13,55,34,21,40,93,190,3,90,47,65.7,DF
609,Hamari Traoré,"2,528",11,64,84.4,49.3,50,1512,38,48,2022-2023,30,ml MLI,Rennes,fr Ligue 1,31,"2,528",28.1,28,3,0,1,4,5,1,0,0,0,1541,1826,84.4,22,132,34,13,159,27185,8228,633,709,89.3,759,868,87.4,124,194,63.9,64,57,0,1,5,0,1,11,10,0,1,0,0,0,1512,7652,3415,55,63,8,26,9,1399,162,18,9,50,9,50,48,32,26,15,7,28,52,53.8,24,33,7,26,38,86,64,0,33,34,49.3,DF
