,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
201,Rodri,1,"3,227",2017-2018,21,es ESP,Villarreal,es La Liga,37,"3,227",35.9,36,1,0,1,3,4,1,0,0,0,MF
202,Emre Çolak,1,"1,449",2017-2018,26,tr TUR,La Coruña,es La Liga,26,"1,449",16.1,17,9,8,1,1,2,1,0,0,0,MF
203,Andreas Pereira,1,"1,078",2017-2018,21,br BRA,Valencia,es La Liga,23,"1,078",12,12,11,3,1,3,4,1,0,0,0,MF
204,Giampaolo Pazzini,1,445,2017-2018,32,it ITA,Levante,es La Liga,9,445,4.9,5,4,4,1,0,1,1,0,0,0,FW
205,Roger Martínez,1,230,2017-2018,23,co COL,Villarreal,es La Liga,8,230,2.6,2,6,6,1,0,1,1,0,0,0,FW
206,Fayçal Fajr,1,"2,385",2017-2018,28,ma MAR,Getafe,es La Liga,31,"2,385",26.5,26,5,4,1,4,5,1,0,1,1,"MF,FW"
207,Chema,1,"2,017",2017-2018,25,es ESP,Levante,es La Liga,25,"2,017",22.4,23,2,6,1,1,2,1,0,0,0,DF
208,Roberto Rosales,1,"3,123",2017-2018,28,ve VEN,Málaga,es La Liga,35,"3,123",34.7,35,0,1,1,0,1,1,0,0,0,DF
209,Ivan Rakitić,1,"2,835",2017-2018,29,hr CRO,Barcelona,es La Liga,35,"2,835",31.5,31,4,1,1,5,6,1,0,0,0,MF
210,Jason,1,"1,786",2017-2018,23,es ESP,Levante,es La Liga,27,"1,786",19.8,22,5,2,1,2,3,1,0,0,0,"FW,MF"
211,Gustavo Cabral,1,"1,891",2017-2018,31,ar ARG,Celta Vigo,es La Liga,26,"1,891",21,20,6,11,1,1,2,1,0,0,0,DF
212,Dimitris Siovas,1,"2,057",2017-2018,28,gr GRE,Leganés,es La Liga,24,"2,057",22.9,24,0,3,1,1,2,1,0,0,0,DF
213,Álex Gálvez,1,"1,979",2017-2018,28,es ESP,2 Teams,es La Liga,22,"1,979",22,22,0,6,1,0,1,1,0,0,0,DF
214,Óscar de Marcos,1,"1,658",2017-2018,28,es ESP,Athletic Club,es La Liga,21,"1,658",18.4,20,1,1,1,2,3,1,0,0,0,"DF,FW"
215,Aleix García,1,852,2017-2018,20,es ESP,Girona,es La Liga,20,852,9.5,7,13,14,1,0,1,1,0,0,0,MF
216,Álex Granell,1,"2,848",2017-2018,28,es ESP,Girona,es La Liga,34,"2,848",31.6,33,1,1,1,7,8,1,0,1,1,MF
217,Djené,1,"3,239",2017-2018,25,tg TOG,Getafe,es La Liga,36,"3,239",36,36,0,0,1,0,1,1,0,0,0,DF
218,Francis Coquelin,1,657,2017-2018,26,fr FRA,Valencia,es La Liga,9,657,7.3,7,2,1,1,0,1,1,0,0,0,"MF,DF"
219,Luisinho,1,"2,622",2017-2018,32,pt POR,La Coruña,es La Liga,30,"2,622",29.1,29,1,2,1,1,2,1,0,0,0,DF
220,Gerard Gumbau,1,"1,434",2017-2018,22,es ESP,Leganés,es La Liga,25,"1,434",15.9,16,9,7,1,0,1,1,0,0,0,MF
221,Mikel Vesga,1,806,2017-2018,24,es ESP,Athletic Club,es La Liga,12,806,9,11,1,14,1,1,2,1,0,0,0,MF
222,Sidnei,1,"1,778",2017-2018,27,br BRA,La Coruña,es La Liga,21,"1,778",19.8,21,0,3,1,1,2,1,0,0,0,DF
223,Víctor Camarasa,1,"1,252",2017-2018,23,es ESP,Betis,es La Liga,24,"1,252",13.9,14,10,9,1,0,1,1,0,0,0,MF
224,David Lombán,1,994,2017-2018,30,es ESP,Eibar,es La Liga,13,994,11,11,2,16,1,0,1,1,0,0,0,DF
225,Marc Bartra,1,"1,420",2017-2018,26,es ESP,Betis,es La Liga,16,"1,420",15.8,16,0,0,1,0,1,1,0,0,0,DF
226,Damián Suárez,1,"2,877",2017-2018,29,uy URU,Getafe,es La Liga,33,"2,877",32,33,0,0,1,4,5,1,0,0,0,DF
227,Pedro Alcalá,1,689,2017-2018,28,es ESP,Girona,es La Liga,8,689,7.7,8,0,4,1,0,1,1,0,0,0,DF
228,Sergi Gómez,1,"2,680",2017-2018,25,es ESP,Celta Vigo,es La Liga,33,"2,680",29.8,31,2,3,1,0,1,1,0,0,0,DF
229,Unai Núñez,1,"2,941",2017-2018,20,es ESP,Athletic Club,es La Liga,33,"2,941",32.7,33,0,1,1,0,1,1,0,0,0,DF
230,Marc Navarro,1,"1,109",2017-2018,22,es ESP,Espanyol,es La Liga,19,"1,109",12.3,10,9,8,1,0,1,1,0,0,0,DF
231,Steven Nzonzi,1,"2,214",2017-2018,28,fr FRA,Sevilla,es La Liga,27,"2,214",24.6,26,1,2,1,2,3,1,0,0,0,MF
232,Brais Méndez,1,948,2017-2018,20,es ESP,Celta Vigo,es La Liga,20,948,10.5,12,8,13,1,1,2,1,0,0,0,"MF,FW"
233,Andrés Iniesta,1,"1,824",2017-2018,33,es ESP,Barcelona,es La Liga,30,"1,824",20.3,25,5,2,1,2,3,1,0,0,0,MF
234,Rubén Castro,1,359,2017-2018,36,es ESP,Betis,es La Liga,10,359,4,3,7,7,1,1,2,0,1,1,0,FW
235,Gaku Shibasaki,1,"1,002",2017-2018,25,jp JPN,Getafe,es La Liga,22,"1,002",11.1,12,10,6,1,0,1,1,0,0,0,"MF,FW"
236,Alexis,1,"2,184",2017-2018,31,es ESP,Alavés,es La Liga,28,"2,184",24.3,25,3,7,1,0,1,1,0,0,0,DF
237,Jon Bautista,1,181,2017-2018,22,es ESP,Real Sociedad,es La Liga,11,181,2,1,10,12,1,0,1,1,0,0,0,"FW,MF"
238,Carlos Fernández,1,137,2017-2018,21,es ESP,Sevilla,es La Liga,2,137,1.5,2,0,1,1,0,1,1,0,0,0,FW
239,Carlos Vela,1,382,2017-2018,28,mx MEX,Real Sociedad,es La Liga,13,382,4.2,2,11,0,1,0,1,1,0,0,0,FW
240,Cheick Doukouré,1,"1,022",2017-2018,24,ci CIV,Levante,es La Liga,19,"1,022",11.4,12,7,2,1,0,1,1,0,0,0,MF
241,Filipe Luís,1,"1,659",2017-2018,31,br BRA,Atlético Madrid,es La Liga,20,"1,659",18.4,19,1,3,1,2,3,1,0,0,0,DF
242,Tomás Pina Isla,1,"2,387",2017-2018,29,es ESP,Alavés,es La Liga,30,"2,387",26.5,28,2,5,1,0,1,1,0,0,0,MF
243,Rubén Rochina,1,151,2017-2018,26,es ESP,Levante,es La Liga,5,151,1.7,1,4,3,1,0,1,1,0,0,0,"MF,DF"
244,Ermedin Demirović,1,182,2017-2018,19,ba BIH,Alavés,es La Liga,3,182,2,2,1,5,1,1,2,1,0,0,0,FW
245,Tana,1,"1,552",2017-2018,26,es ESP,Las Palmas,es La Liga,24,"1,552",17.2,16,8,1,1,1,2,1,0,0,0,"MF,FW"
246,David López,1,"3,330",2017-2018,27,es ESP,Espanyol,es La Liga,37,"3,330",37,37,0,0,1,1,2,1,0,0,0,"DF,MF"
247,José María Giménez,1,"1,690",2017-2018,22,uy URU,Atlético Madrid,es La Liga,23,"1,690",18.8,17,6,8,1,1,2,1,0,0,0,DF
248,Kévin Rodrigues,1,"1,635",2017-2018,23,pt POR,Real Sociedad,es La Liga,20,"1,635",18.2,18,2,9,1,2,3,1,0,0,0,DF
