,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
801,Haris Belkebla,"2,310",1,34,83.8,55.3,73.2,765,48,46,2021-2022,27,dz ALG,Brest,fr Ligue 1,31,"2,310",25.7,26,5,3,0,0,0,0,0,0,0,826,986,83.8,15,71,11,4,98,14445,4109,381,430,88.6,337,396,85.1,89,117,76.1,34,32,0,0,1,1,0,1,1,0,0,0,0,0,765,4000,1697,15,16,3,33,18,741,27,41,30,73.2,11,26.8,46,23,21,21,4,18,39,46.2,21,26,6,20,48,94,30,1,21,17,55.3,MF
802,Mario Lemina,"1,967",2,33,87.3,69.7,75,922,48,62,2021-2022,27,ga GAB,Nice,fr Ligue 1,32,"1,967",21.9,24,8,1,2,0,2,2,0,0,0,1028,1178,87.3,6,95,5,0,93,18206,5095,450,492,91.5,468,514,91.1,95,138,68.8,33,26,0,0,0,4,3,2,1,0,0,0,1,0,922,5692,2761,35,21,3,21,14,987,30,36,27,75,9,25,62,35,25,33,4,28,38,73.7,10,32,9,23,48,110,37,0,23,10,69.7,MF
803,Armand Lauriente,"2,477",8,99,77.9,34.4,47.8,728,15,33,2021-2022,22,fr FRA,Lorient,fr Ligue 1,35,"2,477",27.5,28,7,0,6,2,8,5,1,1,0,553,710,77.9,41,43,27,9,66,8121,2113,318,376,84.6,168,215,78.1,35,52,67.3,99,57,5,12,16,6,3,8,4,0,2,2,0,0,728,4867,2679,89,64,25,98,52,761,194,92,44,47.8,48,52.2,33,18,9,16,8,11,30,36.7,19,27,2,25,15,48,3,0,11,21,34.4,"FW,MF"
804,Jérôme Boateng,"1,622",3,23,87.3,72,50,839,20,20,2021-2022,32,de GER,Lyon,fr Ligue 1,24,"1,622",18,19,5,4,0,1,1,0,0,0,0,991,1135,87.3,8,80,7,2,85,20956,8278,244,263,92.8,606,638,95,133,222,59.9,23,20,1,0,2,0,0,3,3,0,0,0,0,0,839,3761,1853,4,1,0,4,0,907,4,4,2,50,2,50,20,15,11,9,0,9,17,52.9,8,20,10,10,20,40,73,0,18,7,72,DF
805,Dango Ouattara,812,2,24,60.9,51.2,40,218,14,21,2021-2022,19,bf BFA,Lorient,fr Ligue 1,25,812,9,7,18,1,1,2,3,1,0,0,0,170,279,60.9,8,11,7,0,23,2732,727,85,115,73.9,60,103,58.3,16,29,55.2,24,14,0,0,5,4,1,2,2,0,0,0,0,0,218,1418,575,18,10,10,19,9,252,76,20,8,40,12,60,21,15,9,11,1,11,23,47.8,12,10,1,9,14,35,15,1,21,20,51.2,"MF,FW"
806,Marcus Coco,930,2,17,68.9,49.2,53.8,284,10,34,2021-2022,25,fr FRA,Nantes,fr Ligue 1,24,930,10.3,9,15,9,1,1,2,1,0,0,0,224,325,68.9,7,19,5,2,22,3260,1250,123,154,79.9,73,111,65.8,15,33,45.5,17,11,0,2,2,2,0,2,2,0,0,0,0,0,284,1808,950,28,20,7,26,23,299,62,26,14,53.8,12,46.2,34,14,17,11,6,8,18,44.4,10,11,1,10,10,44,15,0,31,32,49.2,"MF,FW"
807,Stephy Mavididi,"2,299",8,65,77.8,16.3,41.7,641,8,24,2021-2022,23,eng ENG,Montpellier,fr Ligue 1,30,"2,299",25.5,27,3,1,8,3,11,8,0,0,0,434,558,77.8,23,17,16,5,34,5450,1102,251,301,83.4,114,143,79.7,15,25,60,65,39,2,8,7,8,1,8,3,0,2,1,2,0,641,4463,1998,74,46,22,77,61,693,182,96,40,41.7,56,58.3,24,13,11,7,6,14,39,35.9,25,23,2,21,8,32,11,0,7,36,16.3,"FW,MF"
808,Caio Henrique Oliveira Silva,"2,662",12,91,75,32.5,37.5,1258,27,53,2021-2022,24,br BRA,Monaco,fr Ligue 1,34,"2,662",29.6,31,3,3,2,8,10,2,0,0,0,1405,1873,75,43,103,44,11,156,22626,7852,719,811,88.7,554,724,76.5,99,241,41.1,91,63,17,2,3,4,2,12,10,0,0,1,1,0,1258,7251,4044,81,76,13,36,6,1280,208,32,12,37.5,20,62.5,53,30,31,18,4,28,59,47.5,31,30,6,24,27,80,37,3,13,27,32.5,DF
809,Laurent Abergel,"2,956",9,83,80.8,61.1,63.9,1311,55,110,2021-2022,28,fr FRA,Lorient,fr Ligue 1,34,"2,956",32.8,34,0,0,0,2,2,0,0,0,0,1342,1660,80.8,35,147,23,9,171,23767,6837,606,679,89.2,535,620,86.3,152,236,64.4,83,67,2,3,1,7,3,9,8,0,0,0,1,0,1311,5629,2353,30,39,3,52,40,1410,73,61,39,63.9,22,36.1,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0,11,7,61.1,MF
