,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1201,Raphinha,404,7,25,64,41.7,40,106,3,5,2020-2021,23,br BRA,Rennes,fr Ligue 1,6,404,4.5,5,1,0,1,2,3,1,0,0,0,89,139,64,9,12,5,1,12,1576,500,39,49,79.6,39,51,76.5,9,27,33.3,25,12,3,3,1,5,1,7,4,0,1,0,1,1,106,782,422,11,8,6,7,3,134,31,25,10,40,14,56,5,2,1,3,1,1,4,25,3,5,0,5,3,8,4,0,5,7,41.7,"FW,MF"
1202,Christophe Hérelle,"1,377",0,13,87.3,64.3,80,644,31,19,2020-2021,27,mq MTQ,Brest,fr Ligue 1,16,"1,377",15.3,15,1,3,0,0,0,0,0,0,0,789,904,87.3,3,44,1,0,59,17389,6217,186,207,89.9,459,498,92.2,140,187,74.9,13,10,0,1,1,0,1,0,0,0,0,0,0,0,644,3004,1659,9,7,0,4,1,710,3,5,4,80,1,20,19,13,12,6,1,10,12,83.3,2,13,9,4,31,50,41,2,36,20,64.3,DF
1203,Aleksandr Golovin,"1,069",12,55,67.7,40.7,54.5,403,11,28,2020-2021,24,ru RUS,Monaco,fr Ligue 1,21,"1,069",11.9,12,9,0,5,9,14,5,0,0,0,396,585,67.7,35,25,16,4,36,6199,1654,215,253,85,120,177,67.8,35,90,38.9,55,25,24,3,2,1,0,12,7,5,0,0,0,0,403,2574,1341,45,29,11,29,12,459,93,33,18,54.5,15,45.5,28,16,6,18,4,8,39,20.5,31,21,0,21,11,39,3,0,11,16,40.7,"MF,FW"
1204,Jordan Ferri,"2,577",6,65,84.8,45.5,57.1,1154,8,58,2020-2021,28,fr FRA,Montpellier,fr Ligue 1,34,"2,577",28.6,31,3,0,0,3,3,0,0,0,0,1396,1646,84.8,22,142,15,7,192,27333,7949,522,582,89.7,637,706,90.2,214,282,75.9,65,60,0,0,1,1,3,6,6,0,0,0,0,0,1154,5707,2736,36,32,6,37,27,1319,41,28,16,57.1,12,42.9,58,40,34,22,2,31,103,30.1,72,30,5,25,8,66,18,1,20,24,45.5,MF
1205,Andrei Girotto,"2,668",5,25,79.6,62,60,894,59,65,2020-2021,28,br BRA,Nantes,fr Ligue 1,34,"2,668",29.6,29,5,2,1,1,2,1,0,0,0,1180,1482,79.6,10,96,6,2,118,21696,8517,470,531,88.5,590,699,84.4,106,208,51,25,20,0,0,3,1,1,5,3,0,0,2,0,0,894,4410,2427,18,22,1,12,2,1036,6,5,3,60,2,40,65,41,50,15,0,39,70,55.7,31,34,15,19,59,124,103,0,85,52,62,"DF,MF"
1206,Fabien Centonze,"3,221",6,59,76.1,62.9,49.6,1230,112,104,2020-2021,24,fr FRA,Metz,fr Ligue 1,36,"3,221",35.8,36,0,0,1,0,1,1,0,0,0,1375,1808,76.1,22,74,29,20,107,20578,8848,793,899,88.2,473,625,75.7,75,179,41.9,59,39,3,3,2,9,3,6,3,0,0,0,2,1,1230,8168,4390,117,80,9,66,32,1246,191,119,59,49.6,60,50.4,104,68,64,30,10,43,73,58.9,30,62,17,45,112,216,119,1,56,33,62.9,DF
1207,Lucas Gourna-Douath,"1,327",2,15,87.1,53.8,61.5,446,24,32,2020-2021,16,fr FRA,Saint-Étienne,fr Ligue 1,30,"1,327",14.7,13,17,7,0,0,0,0,0,0,0,532,611,87.1,2,41,1,0,50,8793,2129,248,277,89.5,221,243,90.9,42,56,75,15,10,0,0,0,1,4,2,2,0,0,0,0,0,446,2643,1288,17,13,0,20,16,468,6,13,8,61.5,5,38.5,32,22,18,11,3,15,28,53.6,13,10,0,10,24,56,18,0,14,12,53.8,MF
1208,Moise Kean,"1,698",1,23,77.6,50,54,278,8,11,2020-2021,20,it ITA,Paris S-G,fr Ligue 1,26,"1,698",18.9,22,4,4,13,0,13,13,0,0,0,243,313,77.6,8,10,7,0,22,3143,454,151,180,83.9,48,62,77.4,13,16,81.3,23,14,0,4,3,2,0,1,1,0,0,0,0,0,278,1685,796,31,17,11,43,31,351,104,50,27,54,23,46,11,8,2,6,3,3,12,25,9,7,1,6,8,19,10,0,14,14,50,FW
1209,Ruben Aguilar,"2,225",7,78,80.7,54.8,41.4,944,47,63,2020-2021,27,fr FRA,Monaco,fr Ligue 1,33,"2,225",24.7,27,6,2,1,3,4,1,0,0,0,1265,1568,80.7,41,77,39,21,101,19271,5384,721,779,92.6,420,535,78.5,87,166,52.4,78,56,10,2,1,7,2,7,4,1,1,0,1,0,944,5100,2717,74,52,4,40,14,1171,231,29,12,41.4,17,58.6,63,37,32,21,10,32,52,61.5,20,30,3,27,47,110,43,1,46,38,54.8,"DF,MF"
